,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,27943,26408,22559,18108,17102,15183,14332,14169,13202,13563,20773,29745,17383,15343,16226,15880,15360,15072,16326,22435,26996,36390,39710,33864,21874,20031,22820,26808,0
1,30312,23451,20106,19234,17926,18400,17148,16130,18957,19160,25382,29565,18592,17357,15174,14328,18348,21680,25421,30023,26417,21939,29548,44325,34509,33264,35860,35270,0
2,77531,66756,59647,64312,61813,62535,60469,61938,60161,62613,73733,71412,67592,73265,63528,65065,63621,56969,59311,63943,59684,61812,72820,74703,67797,62966,56331,61825,0
3,26680,27309,40980,49425,45119,53857,50425,45027,48562,56637,50798,44245,36330,47405,5641,1101,473,320,122,122,122,122,52,1167,770,148,169,167,0
4,56064,45208,39599,36118,44464,50862,47301,52978,45575,44989,63282,52950,48335,48741,58668,69291,70548,69355,73241,69179,60453,53143,63653,41747,41075,57767,44265,43208,0
5,24579,29455,18739,14267,28264,30794,30330,27189,27463,27374,35235,29888,23057,24690,28456,28965,30265,28068,27931,28246,31975,30033,36899,49614,35948,34430,13124,11245,0
6,42204,28124,11439,11616,14678,14848,12490,13546,60263,28432,38908,45872,38698,34700,36710,33499,53591,16394,16953,20328,19768,20886,25516,65724,41259,14277,15920,23373,0
7,5980,6114,4074,4245,5914,5481,4527,5607,4478,3543,6483,7310,4290,4873,5166,3235,4458,6891,4666,3735,5070,2683,4205,8751,4350,4180,4399,4028,0
8,21300,24715,20114,22191,32237,29891,27050,25328,28627,37462,39135,31888,21933,24818,38483,22348,17945,21206,29045,31280,30592,25242,31401,32472,30638,25565,19514,19730,0
9,31606,20671,14157,16015,27407,21677,18852,20651,17034,19214,46289,11577,13187,21057,22141,22926,15181,13124,13582,24850,25286,18202,18041,12595,12334,27472,20185,17304,0
10,15736,19802,13566,10435,14147,13882,8069,9170,8599,5631,8995,8726,3410,3361,3126,2715,9708,13369,8792,10433,11105,9404,12902,12641,8496,9816,11161,7591,0
11,15714,9385,11537,7445,5412,6241,5985,4752,7127,7203,11384,11355,4918,2577,3042,6418,3617,3830,5644,4054,6447,8213,10332,7960,4381,5240,3667,12717,0
12,6747,4639,3578,4427,6087,4434,7435,6717,5322,5972,12640,9586,4654,5040,4660,4387,3898,2795,5993,8503,7101,4812,6926,12531,6093,4438,5056,5026,0
13,8253,10739,10452,8191,6448,7661,12491,10104,8503,10562,19317,7954,4437,6567,10048,4870,6465,7844,5612,4736,6454,6539,10158,11761,9040,7257,6421,9619,0
14,50040,27336,31674,12681,8767,5354,3614,4524,16398,17125,19276,31406,3985,1508,2267,14380,1206,231,1795,1149,45,171,2647,1722,691,874,2529,1129,0
15,93628,94607,106958,111973,117694,122004,124398,121186,115473,108460,111372,114311,106493,104297,97828,89369,77987,73906,70999,70748,69943,65599,76566,83787,85090,99720,93510,91878,0
16,108570,103006,108985,126410,141216,131257,121716,118332,104453,94595,93382,85746,71113,71964,72534,73551,70874,70050,75361,82496,78338,82275,97998,101216,94545,99001,97564,99374,0
17,10467,14403,48814,47118,50034,45229,4558,3669,34084,37503,49913,28768,3293,3675,24892,24906,23482,21561,6142,3681,9430,9115,6562,9233,11385,10195,1465,1213,0
18,6441,7050,77774,75860,77041,71523,13774,13454,108530,84124,88894,100188,28943,31698,112808,113431,54850,54485,117046,122517,40579,42786,129942,131712,36212,34886,123341,42006,0
19,7895,8093,6219,7598,10001,7041,7456,8525,8580,10275,15731,11721,9115,10063,9528,10494,13362,10913,12222,15027,14943,15804,22152,15962,13051,18605,19095,18251,0
20,2892,2365,7937,936,458,824,248,98,655,131,178,11788,10842,14513,9503,6332,15512,12656,4162,4085,21480,14176,36075,14642,9198,6433,7174,9811,0
21,15683,8982,6219,3057,3122,3657,3754,2813,7766,3722,6278,27706,32748,13634,7598,2561,1808,3677,2958,1803,2746,7728,13675,20731,9743,10132,10703,8375,0
22,3479,10209,9275,8129,9940,8550,10917,11266,10159,7743,10325,14644,9621,9159,7462,7571,11401,11385,9940,9506,8716,8813,17675,8884,6986,7439,8207,10485,0
23,32464,32611,44331,47755,42967,37037,29177,28697,31241,31116,47667,27766,18213,21429,29331,22253,24072,33768,31796,27503,23684,22162,35166,50934,29188,22934,23838,24414,0
24,13043,16752,10612,6329,4680,5942,5603,2578,4585,6188,9939,29394,12610,6729,6688,7778,5817,6882,10372,8122,8437,9641,14955,35218,23138,13496,12592,14305,0
25,31694,31180,35215,51782,40162,36097,34043,28810,26098,28409,62172,23992,24814,24294,31916,37567,38367,38645,39583,46925,44805,40954,62488,63979,43353,31428,34107,44171,0
26,44997,53271,59748,52648,52574,51153,54457,49543,49698,59859,64101,72361,59860,57329,56485,53515,55291,59277,63944,54879,55232,56456,63901,76887,77715,66123,66242,85797,0
27,31409,27437,21467,17805,9871,8455,11067,8190,7069,6278,10112,10997,6540,10813,19558,13190,5587,5026,7991,7641,7564,5483,10652,14480,8776,11188,15186,16536,0
28,29503,22984,18642,16213,6443,5556,13017,11834,5087,4618,13709,17733,16794,23460,29396,26006,7537,5927,17988,18596,17693,14896,16235,18184,19964,18753,18450,21569,0
29,14485,14120,12837,6704,3322,1861,2439,2075,977,1782,10447,2174,1306,3950,2565,1245,1607,2130,1170,1110,1699,1410,1711,3227,1898,1290,1312,2012,0
30,15817,7778,5907,3138,2662,1588,1091,2764,4365,2663,8888,7012,3697,4385,3747,1873,5067,5630,4626,3906,2431,2047,7941,6629,3106,4194,3915,2511,0
31,21058,16548,14456,11982,11901,10377,10263,8985,9140,9012,12654,19017,12750,12273,11691,10323,10009,8066,8311,9081,8820,9194,13358,19099,12708,10921,10694,9548,0
32,13327,14458,19424,21307,14897,8312,5108,7922,15987,11718,21516,19054,12382,16981,17021,20292,12535,9910,9767,9988,19275,11016,16373,7542,6798,22496,13169,8545,0
33,9720,8261,8091,7949,9936,5266,5073,6401,4082,3947,14196,9539,5508,5311,3048,3821,5115,4735,3390,5215,5122,4097,11062,6005,3556,3239,2950,3216,0
34,27098,22554,18601,17589,20051,17844,18597,22924,19448,17018,25306,22033,15611,16666,20321,16776,17777,15335,14727,17788,16856,16996,23646,20902,15954,19157,22456,24221,0
35,6142,9288,7286,7588,11717,11101,5817,4398,6977,14224,18481,17210,8281,8788,15066,11331,9492,7810,9562,14815,9874,9359,15336,21970,14278,9451,6574,6446,0
36,15478,9320,9530,11171,12682,16899,12634,7678,7361,12829,21961,17196,11563,8092,9791,15361,11628,10455,13077,15387,23088,21147,22621,14837,15735,20882,20956,23807,0
37,35658,30750,25893,20524,21950,17978,13994,18933,23187,17664,26378,25458,15764,19022,19331,16429,20348,17851,14688,18212,16834,13658,22070,25522,13267,16842,18014,922,0
38,10480,9624,9158,8999,8497,8655,8282,7268,9655,10949,14568,9644,7258,8642,8786,9600,7796,3973,4130,4407,4714,7507,11561,10337,7408,5265,5219,7926,0
39,11042,42424,27713,18335,17461,16294,17847,18742,19294,19617,25184,35642,21162,17320,28662,25717,16180,14651,20217,21854,16491,15458,17610,711,446,0,0,0,0
40,6703,8860,7248,5703,5116,5644,5426,4775,5116,4444,7468,10628,6127,7374,6826,5059,4794,4753,6385,5366,4522,4054,6676,15539,6402,5564,7955,6614,0
41,21733,21773,24845,21931,22655,23079,21106,24003,27650,29027,32589,40001,28708,25767,32233,30873,27048,29499,20794,18097,18699,19174,25960,38404,28713,28280,29443,21972,0
42,2138,1665,1383,2112,3142,4746,6924,5056,5212,8534,44452,34952,17336,17747,16898,14474,13925,12076,10889,10945,10232,9397,12509,15931,10101,7462,5469,4403,0
43,18954,15175,12233,12477,12332,12321,12672,12885,10292,9220,14039,19376,14185,14218,12466,10620,11694,11862,14387,13781,13067,13071,15623,19616,14287,12782,10644,10547,0
44,22769,15439,17588,16390,18072,24249,26865,21005,25083,28817,33446,59080,36491,31972,37630,34673,27748,28815,31917,15926,14774,10983,12700,41116,12172,7078,7296,7311,0
45,20647,21434,26123,17433,23502,22571,15194,17750,26294,18384,27408,47586,74827,97472,128717,160589,127888,76679,75573,78270,87770,101184,75458,50890,50429,71469,47088,42235,0
46,10166,14088,12167,10828,12870,15481,12403,10302,10268,8976,14634,22778,13919,12175,10284,8463,10904,13302,11516,9473,8178,7811,13048,20364,12917,10752,8668,7454,0
47,7886,11052,19202,14720,11911,10373,9993,11721,14653,10454,13576,17557,11155,11933,17131,13629,12130,11006,8590,10881,12987,11049,15085,16686,11073,11979,18894,14356,0
48,10319,12009,9600,14747,13660,4442,4257,6672,11337,15750,16295,8694,3920,5480,13780,4227,3607,4334,5838,11620,3556,3295,7903,31261,10415,2217,2141,2013,0
