,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
0,42840,60180,67065,79050,50235,90270,91545,57375,36720,33660,48960,61965,53550,46410,60435,67830,86445,133365,0
1,84150,45645,75735,55080,56865,88485,84660,59670,59925,74715,37230,52530,75990,80580,112965,89760,71655,110160,0
2,229500,207060,220575,183855,216240,238170,224655,215730,228480,176460,221085,181815,167790,202470,217005,194310,198390,253980,0
3,170850,169830,151980,142035,159375,167790,177480,138975,182325,32385,9690,0,0,0,0,0,0,0,0
4,235620,285090,254235,224910,203745,224145,220065,230520,243015,287385,291975,342465,282285,293760,314925,263160,197115,188190,0
5,96900,106845,97155,95880,111690,114240,73185,55845,72165,81600,91290,106845,90015,73950,77775,84915,87210,101490,0
6,42840,35955,31365,154785,61710,97665,107865,96900,90270,104550,93075,137700,31620,35445,39780,33150,42075,48450,0
7,29835,34935,17850,3315,17340,13770,9690,1785,6375,4590,2550,4335,6885,7650,8670,3825,1785,4080,0
8,135915,123165,127755,155805,183600,178755,138210,104295,132855,212415,113220,97155,101235,125715,143310,127245,109140,136425,0
9,93075,110670,102000,70635,109140,191505,52785,64005,119340,115260,118575,80835,70890,76245,114750,126480,93075,84915,0
10,56100,38250,64005,39780,22950,38250,28560,6375,12495,13770,10455,39780,83385,38760,42330,44625,33915,42330,0
11,19635,30855,16575,29580,39780,57120,46410,13770,8670,9435,26520,17850,13515,34935,13770,39015,67320,52530,0
12,6120,20145,32895,22695,11730,26265,33660,12750,13515,15555,4080,3825,3060,11730,31875,31620,9945,24990,0
13,81090,92055,77010,67575,92055,119850,62730,23460,34935,91035,21675,42075,42075,28560,45135,49725,32130,39015,0
14,13260,10455,7650,43350,46410,65280,61965,18870,1530,3825,49980,8415,510,1785,765,255,0,7395,0
15,360060,356745,387855,375105,342975,349095,332010,321555,325635,328695,317220,278715,251685,249900,222615,219555,232560,264690,0
16,418200,377910,372810,316710,305745,280500,246840,231540,198135,211140,233580,211395,212925,225675,240975,241740,261375,314670,0
17,151470,16830,22695,111690,116535,149175,81090,10710,12750,89250,78540,70890,75735,14280,8925,31110,33150,18870,0
18,347565,54060,89505,476340,387600,395760,479400,121635,139995,488835,529380,269280,240465,546210,543150,176205,184875,524280,0
19,32640,35955,52530,49725,51510,57630,55590,56610,56610,61200,67575,86700,51000,70635,79305,67065,94095,95625,0
20,1020,255,0,1785,255,510,92310,78030,91290,52530,33405,68595,73950,18870,18105,128520,81600,152235,0
21,39270,36720,19635,45645,19380,50235,119085,117300,78795,41820,22185,8415,71910,18870,8415,10710,34680,63750,0
22,14280,8160,14535,11220,22950,16320,22440,24225,12495,8415,15555,15810,20910,7650,9690,7905,10455,36210,0
23,143055,106845,113730,121380,109905,177990,92565,71910,83895,122400,92310,95370,152490,147900,126225,121635,113220,144840,0
24,16065,25245,10710,21420,24225,44880,94605,41820,24735,28305,29325,18615,24990,43605,40290,38505,34935,45645,0
25,136935,158610,105570,95880,124950,240720,110670,114240,136935,141270,162690,166515,181050,184620,192525,161160,171615,247350,0
26,238425,258315,205275,211650,274635,245565,305745,294015,259080,258825,239700,260355,265200,301410,229500,244800,279735,291210,0
27,28560,30855,23205,25245,31365,31875,34935,14790,29835,61710,49725,18105,32895,25755,30855,23460,21165,33660,0
28,19635,48450,53040,21165,19890,67320,88230,100725,88230,129540,97155,24990,20145,68595,79560,80070,73185,66555,0
29,4335,8670,9690,3060,7905,28305,4080,3570,9690,10965,3570,3570,2805,1530,1020,6375,3060,8670,0
30,34425,2550,4845,8160,6120,16575,29325,4590,15810,12750,2550,13260,13515,11730,17085,7140,27795,23970,0
31,30345,42075,22440,19635,11730,15810,32640,41820,34170,16065,14790,22950,16320,21165,26010,14535,12240,17595,0
32,31620,18615,36465,83130,56865,74970,46410,42330,54060,60945,99450,64515,65280,59415,53040,61200,35445,60180,0
33,20910,29325,30090,20655,25245,68595,39780,23460,28560,18105,18870,24735,14790,14535,26265,21675,21420,49980,0
34,101490,105570,139230,132090,129030,147900,109650,74205,119085,156315,108120,122145,117300,112965,114240,123165,129540,159375,0
35,32640,39270,38250,25755,46410,62730,63495,43605,49980,62475,52785,65280,32895,37740,56865,43350,29070,69105,0
36,71655,63495,61710,37740,52785,61965,55845,52530,49470,63495,62475,51510,49470,59160,65280,81855,61455,65280,0
37,60690,45390,64260,80070,50745,85680,66300,41820,40545,52020,45645,53805,48960,30855,56865,59670,40545,61710,0
38,26520,44625,52530,62220,54570,51510,51510,51000,35190,41565,62475,39780,7650,6885,20145,16065,17340,30855,0
39,28815,46665,41310,43095,48960,64515,99705,63495,66045,47940,94350,50745,40290,43860,82875,55335,29835,49470,0
40,22950,12495,6630,5355,31110,16830,36465,14025,17850,15810,17340,10455,16575,13515,10200,21165,13515,27285,0
41,98175,102510,105570,134895,167535,164475,156315,150450,131835,151470,158865,122910,164475,129540,107865,102000,119340,125970,0
