,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
0,88,84,73,72,64,65,39,79,67,65,71,72,58,61,83,84,73,23,0
1,66,74,59,68,63,51,31,75,64,58,42,63,82,59,39,64,69,51,0
2,8,7,9,8,1,2,2,1,2,3,7,6,5,3,7,4,3,1,0
3,15,13,26,29,17,18,12,12,12,41,8,3,1,0,0,0,0,0,0
4,58,53,39,30,54,7,46,49,53,37,29,55,26,2,12,29,23,4,0
5,38,59,44,32,37,46,39,35,32,56,53,51,41,34,38,44,38,44,0
6,46,31,43,18,33,13,32,34,33,28,30,20,39,30,29,19,18,31,0
7,33,25,32,23,17,45,42,30,29,34,24,22,48,35,24,31,21,42,0
8,18,34,25,23,13,11,31,19,18,7,38,31,28,33,22,24,23,31,0
9,15,29,26,29,31,10,17,14,34,35,32,36,19,18,29,31,19,28,0
10,56,42,40,39,15,32,54,11,8,18,10,35,65,30,28,36,15,36,0
11,24,32,14,38,32,31,40,22,5,8,27,13,18,21,16,35,43,39,0
12,20,24,37,27,31,49,34,25,24,24,34,22,23,36,61,41,31,45,0
13,19,45,52,27,48,36,42,6,20,50,20,26,27,19,13,12,22,41,0
14,31,19,27,80,83,62,21,27,5,13,75,11,1,3,9,0,1,16,0
15,27,17,18,15,21,17,17,20,29,29,22,28,32,29,30,35,30,26,0
16,17,12,10,37,29,27,46,30,27,26,28,33,33,25,23,34,33,33,0
17,39,22,18,27,34,32,29,19,21,17,9,14,30,20,13,6,7,23,0
18,15,24,21,7,6,10,13,11,14,14,10,25,29,31,29,37,33,16,0
19,22,23,29,30,33,41,40,26,31,24,43,40,30,31,26,32,41,42,0
20,7,4,0,4,1,3,15,7,5,45,19,28,14,7,6,46,55,24,0
21,10,12,10,32,9,14,18,19,32,42,19,9,20,26,7,9,31,62,0
22,54,49,50,61,51,49,25,54,61,51,49,44,71,56,43,52,61,27,0
23,47,28,28,53,58,27,50,12,17,50,23,25,59,42,27,23,23,61,0
24,35,36,14,33,30,49,21,56,30,22,27,21,26,35,21,13,28,45,0
25,47,56,18,20,21,12,24,14,12,16,27,17,22,19,12,23,32,26,0
26,3,2,1,1,1,2,2,2,2,4,3,2,3,1,2,1,2,5,0
27,43,64,57,57,40,65,51,44,71,46,62,37,35,50,36,40,40,58,0
28,47,44,56,35,25,60,49,52,58,38,41,50,42,54,45,37,42,53,0
29,10,11,10,3,8,63,15,6,21,13,5,5,8,4,4,4,5,15,0
30,12,7,24,33,26,79,64,28,33,37,16,38,47,29,32,17,13,63,0
31,47,40,44,48,45,45,36,47,48,41,43,41,41,45,40,45,38,50,0
32,52,35,44,55,44,39,65,43,38,36,32,55,51,48,50,43,55,50,0
33,25,24,27,12,6,57,39,20,25,9,7,17,14,11,16,13,10,55,0
34,34,28,42,38,31,27,37,33,33,32,24,25,30,23,39,33,28,43,0
35,42,22,11,27,52,46,65,23,23,48,39,28,20,32,40,43,32,42,0
36,62,47,21,10,56,31,52,34,13,10,45,17,12,17,36,37,51,40,0
37,36,56,42,20,49,23,38,70,47,49,51,45,59,58,46,48,56,29,0
38,27,22,30,33,40,52,44,24,41,36,49,43,18,29,20,25,39,44,0
39,55,59,41,43,38,29,19,51,47,26,13,35,56,24,13,50,54,34,0
40,25,30,32,32,27,48,63,36,42,37,31,25,27,33,31,26,30,49,0
41,37,27,29,23,15,23,36,16,4,16,14,20,39,18,19,22,10,23,0
42,28,47,30,26,32,33,32,29,34,28,17,22,20,16,18,20,14,47,0
43,40,49,46,50,40,39,37,35,45,41,42,43,39,51,48,38,47,42,0
44,12,34,8,11,19,27,7,38,27,22,31,10,11,30,20,16,17,26,0
45,37,18,38,44,23,36,17,13,1,2,4,5,10,9,7,1,2,4,0
46,47,41,43,44,36,40,48,46,34,38,38,34,35,42,41,37,30,42,0
47,36,31,35,32,40,49,49,33,46,41,37,36,29,26,30,29,28,36,0
48,28,22,37,54,61,56,47,10,15,50,20,16,11,14,52,19,12,39,0
49,48,25,33,31,13,48,55,25,33,34,21,25,32,19,30,32,19,59,0
50,52,12,3,16,60,26,18,11,5,7,35,17,4,6,13,32,13,11,0
51,22,24,22,32,37,28,69,26,13,23,27,22,26,54,37,31,24,68,0
52,51,31,2,2,31,34,27,41,28,22,31,24,24,18,20,25,16,31,0
53,14,18,18,23,16,33,34,13,15,12,6,24,14,9,7,6,4,22,0
54,23,9,12,19,9,29,49,39,41,19,16,23,27,21,19,33,33,40,0
55,47,34,32,25,12,52,37,13,26,36,14,21,16,10,18,14,19,30,0
56,36,30,18,27,30,43,31,29,19,20,19,19,41,37,27,36,31,27,0
57,24,28,28,34,15,26,15,9,17,6,4,20,30,5,3,4,12,31,0
58,33,47,52,37,40,49,53,47,5,40,43,47,38,34,37,50,63,61,0
59,52,52,36,42,35,43,44,62,70,52,52,54,44,51,37,47,53,37,0
60,14,22,24,20,15,29,46,17,18,9,11,9,14,14,12,14,11,25,0
61,50,39,34,42,38,47,60,45,47,34,44,46,44,33,46,50,53,27,0
62,9,5,1,8,41,31,47,12,5,5,13,4,3,10,9,8,10,14,0
63,12,14,14,46,38,26,15,14,29,17,20,7,10,7,42,23,30,43,0
64,18,7,19,68,11,39,24,16,61,41,5,10,25,53,56,29,4,25,0
65,35,43,35,34,21,38,34,24,43,45,27,24,51,58,30,44,45,48,0
