,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
0,1621545,1546575,1521075,1414485,1340535,2428365,3282615,1753890,1474665,1613640,1618995,1520055,1526940,1806165,2296275,2399040,2520675,3783435,0
1,1975230,1797750,1659540,2023935,2126700,3068670,3212745,1836000,1603185,1379550,1087065,1521330,2377110,2522460,3114570,2673165,2105790,3049035,0
2,6316350,6275550,6363015,6690690,7725480,8429535,8470080,7925910,8466000,7427385,6763110,7186155,7296060,7093335,7129290,7490370,8164590,8340285,0
3,3141600,3901500,3210705,3222690,3863760,4096575,2364105,2300355,3843615,882045,176970,78285,44880,11985,11985,11985,11985,10200,0
4,4841940,3912975,5929005,5985105,5173185,7928715,5820630,4497180,4611165,6058035,6887040,5910900,7567635,9229980,7589565,6146010,6505560,8803365,0
5,3321120,2999310,2642055,2290410,2217225,3178575,2693310,1750830,2142510,2768535,2683365,2555100,2044590,1862775,1970895,2094825,1981350,2874870,0
6,2134605,1840080,2011440,4778700,4059600,5302470,4299555,3064335,3233400,3050310,3157920,3814800,2236350,2247825,2680050,2554590,2676225,3327240,0
7,957015,685695,1011330,783360,627810,1342830,1350480,766530,957525,992460,593385,812430,1291065,863430,697680,830280,468180,823395,0
8,3129360,2791230,2233545,2676225,3778335,4060875,2843505,1683765,2073660,3993300,2323305,1724565,2138430,2713455,2955195,2789445,2053515,2996250,0
9,2755275,2366145,2165715,1406835,1986705,5351940,1030455,1012095,2188920,2525520,2940660,1670250,1134750,1196205,2693820,2372520,1307385,1674840,0
10,1877820,976395,1051620,1056975,533205,1103130,1055445,241740,278460,380970,306765,1136535,1613895,756330,931515,1092420,585990,1256385,0
11,612765,702015,390915,870825,912390,1395615,1363995,467160,203490,300135,665550,316965,449820,602565,423300,781065,924630,1239045,0
12,822885,1391280,1204365,805545,997305,2418420,1814325,795855,929730,851190,798150,607920,468180,1258170,1655715,1252560,891990,1306620,0
13,1289025,2363085,1751340,1237005,1916835,3793890,1343340,712980,1230630,1951260,773415,1150815,1376745,904740,811410,1061565,1172745,1945905,0
14,683910,365925,530145,1963500,2271285,2658375,3567450,463590,134385,283560,1742670,172635,16065,137190,154530,3060,9180,368730,0
15,4286295,4205205,4181745,4099380,4001205,4830720,4780995,3934905,4026195,3936945,3679395,3703620,3562095,3519510,3541185,3331830,3152565,4066230,0
16,4994430,5638815,5784165,4885545,4168485,4610655,3712035,2938110,3010530,2964375,3055155,3317550,3212235,4135080,4673130,3418020,3487125,4634625,0
17,2567085,675495,609705,2041785,2460495,4216170,1994100,540855,565590,1549125,1386435,1517505,1723290,807585,511530,671670,493170,964665,0
18,4081275,1848240,1984155,7752255,6950790,7110930,5485050,3296385,3751050,5411100,5217300,5237700,5259375,6041205,5963175,4439805,4864380,6662895,0
19,1162035,1163820,1228080,1288515,1785000,2925360,1740120,1209720,1270665,1182690,1455285,1785255,1464975,1547340,1687080,1810245,2140980,3142875,0
20,142290,36720,23205,131325,23970,49215,1167900,764745,1005720,1436925,843030,1444065,1019490,595425,596445,1959930,1737570,4902885,0
21,481185,494445,386325,1312485,440895,604350,6091185,8483595,2289900,1189830,440895,265455,608940,501585,180285,304470,870060,1962990,0
22,1688100,2425305,2540565,2173110,1516485,2324580,3472845,2092020,1940040,1390515,1527960,2613495,2564025,1961715,1932135,1685040,1816620,3930315,0
23,2747880,1875780,1871700,2477325,2809080,5726535,1920405,871590,1126335,2590800,1270665,1586355,3030165,2463810,2160870,1806165,1649085,3346365,0
24,792540,800955,355215,653310,810645,1483080,3924195,1608795,752760,669120,771375,459000,594150,980985,649995,641580,785145,1564425,0
25,2472735,2418675,1608285,1639905,2234055,7738485,1878330,1474665,1467525,1891080,2515320,2263125,2367420,2129250,2408985,2560455,2768790,6301815,0
26,6887805,6974760,6646065,6649380,7291980,7530150,7544940,7030860,7008420,6991335,6947220,6914070,6984705,7251945,6732765,6732000,6979350,7324875,0
27,1283415,1804635,1333395,1189065,948855,1705440,1937745,980730,1876035,3054390,2053260,882555,749700,1223235,1082730,1145460,896580,1972425,0
28,859350,2011185,1786275,824160,695895,2203710,2889915,1890060,2518890,3763035,3318315,1207680,939930,2074935,2026230,1994355,1657500,2813160,0
29,190995,295800,245055,87975,207570,1537140,303195,137190,480930,315180,115260,156825,229245,105060,113220,151980,136425,265455,0
30,259335,173910,465120,749445,448545,1632510,1215330,638775,763725,614040,317475,790755,963645,700230,609195,388110,320790,1507050,0
31,1386435,1286475,1098030,1095990,1034535,1734765,2537505,1696515,1544535,1465230,1273470,1231140,958800,995775,1071765,990165,993735,1708755,0
32,1205130,747405,1137300,2329425,1589670,2800665,2322285,1477470,2339880,2542095,3053880,1918365,1430040,1425450,1315800,2581875,1652145,2445195,0
33,574005,597720,685695,389640,363885,2400060,1171980,572220,735930,310590,290445,530145,368220,321555,538560,519945,412590,1787040,0
34,3132930,3380790,4527015,3817095,3157665,4999785,4289865,2980185,3323160,3683220,3195915,3482280,2872320,2858040,3344070,3200250,3152310,4656300,0
35,1595280,778515,490365,886890,2083095,2859570,2361045,919785,1019235,2117265,1395360,1154640,1046010,1429020,2307495,1396890,1175550,2272560,0
36,2514300,1636335,833340,815490,1756695,3769155,2294490,1288260,928200,1084260,1977015,1368840,1316310,1611345,2008125,4058580,3433065,3746460,0
37,2597430,1926015,2636190,3374670,2460750,3618960,3177045,1857675,2536740,2737170,2192235,2599470,2290155,1840080,2424030,2330955,1870425,3219120,0
38,1351755,1123530,1038105,1387965,1577940,2510475,1605480,1087830,1362210,1454010,1684785,1399950,698445,715530,794580,799935,1364760,2466870,0
39,2282760,2179995,2124660,2221815,2737425,3357330,3913995,2637720,2249355,3301230,4561695,2899350,2207025,3530730,4565520,2667300,2215440,3054645,0
40,564825,556155,480165,448290,455175,1095990,1435140,673455,789480,749190,594915,516885,508470,823650,663510,508725,438345,1052385,0
41,2409750,2158065,2334780,2352630,2130780,2979930,3978255,2250885,2134860,2446470,2380935,2238135,2383485,1763580,1674585,1700595,1556775,2198610,0
42,842775,1163055,847365,890970,1159230,4578270,4581585,2280210,1992570,1803615,1424430,1408365,1400460,1309425,1186770,1155915,1136535,1721250,0
43,1291830,1383375,1371900,1121745,1035045,1777605,2304180,1550400,1578195,1317075,1174275,1287240,1286985,1463190,1372410,1297695,1298715,1915305,0
44,1429530,2220795,1250775,1343595,1654440,2330445,5030640,2634660,1833195,2232270,2332230,1514955,1660305,2772615,1294380,1230375,1036065,1308660,0
45,1562130,1041930,1289790,2354415,1311465,2348805,4064445,4487490,6609855,6308955,6083280,5797425,5340720,5083425,5523300,6032025,5586795,5615865,0
46,1889295,1516485,1242105,1272960,1079925,1855125,2769555,1610580,1200030,1062585,881280,1164585,1633785,1366290,1086300,964155,823905,1607520,0
47,1054935,1057485,1325490,1741905,1187790,1908930,2132565,1181415,1431570,2133075,1658775,1351500,1191105,966705,1232670,1565700,1249755,1965030,0
48,633930,633930,1122255,1978800,2553825,2588250,1154130,442170,671415,1991040,574260,437070,491385,746640,1799280,525810,384285,1151580,0
49,1983645,1438455,1614150,1560600,1105170,2109615,2199375,1358640,1186515,1128885,843795,917490,936105,855015,864195,855015,587775,1258680,0
50,1357365,357510,226440,571455,3359370,4655280,618120,384030,167025,261630,941970,461040,188955,148410,365670,858330,214200,247350,0
51,1613895,786930,614040,2080290,1737315,2149140,1412955,606900,1521075,558450,736185,1597575,1389495,2300865,2836875,1594260,494700,1523625,0
