,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
0,1891590,1785510,1748280,1665150,1575900,2303160,2959275,1975995,1711815,1840845,1812030,1729410,1724820,1979055,2458200,2527815,2621655,3295875,0
1,2123895,1980075,1828605,2140215,2262105,2748390,2884050,2041020,1823505,1619505,1256130,1669230,2477835,2514555,2994465,2716005,2276385,2793780,0
2,4151655,4120545,4174860,4174095,4527270,4887075,4779210,4555830,4730250,4452045,4342650,4507125,4426800,4406655,4463265,4516305,4677465,4939605,0
3,2426325,2762925,2395215,2418675,2890935,3008745,1666680,1606500,2718045,835635,193035,82110,45135,17085,17085,17085,17085,11985,0
4,3746970,3165315,4081275,4250850,4007580,5423340,4228920,3442755,3437910,4168995,4734075,4229430,4761360,5563080,5141565,4381665,4389315,5556705,0
5,2830755,2609925,2301375,1980330,1927290,2541330,2215185,1565955,1922190,2474775,2445705,2259300,1853595,1679940,1709265,1846200,1740630,2354925,0
6,1874760,1658775,1773525,3438930,3117630,3650835,3094680,2449785,2436270,2313615,2341410,2683365,1917090,1906125,2173110,2044590,2104515,2504865,0
7,1087575,900915,1112055,862410,743835,1357110,1388475,901935,1000875,1037340,722160,927180,1407345,943245,806565,990675,563295,855270,0
8,2571420,2389605,1833450,2031330,2858295,3041895,2292195,1412955,1620525,3012060,2008380,1512660,1786020,2260830,2401080,2262360,1784235,2431680,0
9,2210850,1981095,1914795,1301265,1627665,3642165,829515,813195,1904850,2129760,2434995,1588650,1037595,1030965,2193510,1975995,1145460,1355580,0
10,1757715,1011585,1045500,1025865,511785,993990,1039125,240720,254745,379440,276675,983790,1474665,716550,838185,1026120,525045,1069725,0
11,584205,690285,383010,860625,895815,1170705,1175040,459510,192270,270045,600525,301410,442425,586500,430695,788460,887400,1048815,0
12,846090,1336455,1254090,920040,1140105,2127720,1650870,855270,952170,909585,845835,689775,538305,1224765,1654185,1357365,950640,1243890,0
13,1259955,2278170,1732470,1354305,1980585,3249465,1237770,657390,1105425,1744710,804525,1106700,1354305,922080,731085,976395,1115625,1667955,0
14,767550,383010,635205,1955085,2292705,2424540,2863650,590070,197880,344760,1936470,207315,27795,118065,187425,7140,12750,349095,0
15,3379515,3249465,3193110,3127830,3060510,3494775,3481005,3001860,3171180,3152055,2890935,2946780,2866710,2825655,2861610,2730795,2582640,3141090,0
16,3727845,4017270,4235550,3840300,3254820,3478455,2888640,2316675,2364615,2286330,2361555,2601765,2533680,2996250,3516450,2799645,2827440,3566685,0
17,2017815,624240,560235,1672545,2079270,3165825,1598850,554880,632145,1206660,1003680,1180140,1507305,783360,460530,514845,421005,808605,0
18,2893485,1425705,1489455,5052825,4862340,4930680,3623550,2374815,2666025,3665115,3591165,3574590,3600600,4234530,4252890,3312960,3515175,4636665,0
19,1119195,1120215,1174785,1224000,1601655,2456160,1671015,1258170,1267605,1195695,1432335,1683765,1353795,1444830,1547595,1591710,1850025,2583660,0
20,165240,44625,23460,131580,28050,46410,869550,555135,718080,1227315,755310,1197225,808605,445485,430695,1650360,1532295,3548070,0
21,438090,482205,368730,1255875,388875,524280,3759975,3831630,1756185,1211505,443700,259335,667335,515865,174165,287640,914430,1701360,0
22,1939020,2333250,2454375,2181525,1751340,2194275,2858550,2078760,2058105,1622565,1625880,2448000,2509455,2108340,2054790,1884195,1937745,3323415,0
23,2426835,1558305,1532805,2232780,2397510,4017525,1634550,677790,866490,2290920,1049580,1295400,2646900,2202690,1744710,1447890,1417035,2721105,0
24,938400,941970,482970,737715,894030,1323960,3085755,1684785,847365,758880,839205,499035,616080,1043205,669885,628575,787185,1361445,0
25,2125170,2060910,1287495,1295910,1683510,5119125,1473900,1154130,1083240,1439985,1936470,1719210,1873740,1688610,1800555,1962225,2161635,4565520,0
26,4647885,4629780,4530330,4526760,4712655,4898550,4903395,4647120,4673895,4659870,4598670,4597140,4608870,4683840,4513245,4480350,4586430,4770030,0
27,1359405,1823760,1440240,1275255,1017195,1610580,1706460,1055190,1820190,2633895,1995885,1020510,901680,1272195,1167390,1263780,1069470,1870425,0
28,956760,1891335,1727115,930750,760920,1891080,2417910,1704165,2224365,3011550,2824125,1256130,1038870,1878585,1862265,1808715,1532805,2297040,0
29,226950,352920,294525,98175,246585,1456560,321045,153000,546465,332010,109905,178500,266475,107610,102510,147645,140250,260100,0
30,326400,233580,562275,837675,553095,1648065,1258425,722670,868275,725730,401370,924885,1069725,825435,758115,481185,412335,1493790,0
31,1398675,1324470,1140615,1109760,1084770,1525920,2158320,1648065,1507815,1469310,1301520,1266840,1021020,1087065,1066410,1015665,1034535,1534845,0
32,1291065,773925,1076100,2063970,1523625,2183310,2056830,1443045,2066520,2250885,2498235,1760775,1352775,1312485,1311975,2271285,1638630,2074425,0
33,581145,626790,712215,379185,376125,1934685,1043970,606390,776475,294270,266985,526575,345270,304215,553605,505665,424575,1513170,0
