,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Class
0,41203.62,41810.07,41990.61,46382.402,44329.05,45508.758,42485.11,46421.984,47335.86,40992.15,41754.844,42827.38,39487.54,44556.355,45286.61,43465.453,43711.67,0
1,41081.484,39885.55,45008.055,45332.703,40804.586,44400.36,44585.914,44724.816,41071.68,38542.66,41722.996,42381.59,42279.58,45154.99,45681.477,44385.438,35756.36,0
2,52752.5,49191.38,47728.793,45490.37,48717.926,45645.254,47220.24,53973.242,60537.31,53024.184,52886.016,49797.617,47315.19,53085.984,45066.62,45043.336,46123.2,0
3,33702.82,37097.355,40790.992,36675.98,33821.934,33952.195,28027.898,30914.973,33714.848,37833.695,44387.562,53462.883,51903.883,62200.08,87386.54,87386.54,30807.486,0
4,33004.34,32396.982,37117.758,37167.16,36492.49,32109.545,28260.225,30655.787,26975.664,30395.025,27929.287,24545.732,27823.846,34176.867,32114.684,39932.66,35943.242,0
5,42827.375,38700.87,40337.277,37939.375,33957.45,40599.71,38204.195,43952.52,43259.383,43006.902,43362.508,41665.23,40033.633,39382.25,43032.51,41788.46,39975.117,0
6,42841.75,42973.957,38277.91,39306.324,46105.434,40510.348,37480.61,38177.33,41575.117,39916.734,37581.02,41914.547,46795.7,39730.316,50530.5,44842.637,47161.973,0
7,39576.035,37049.406,37657.594,35505.156,39680.484,49218.473,39117.63,38039.316,45880.273,46229.023,41955.81,43524.977,49075.773,40751.414,39524.39,40766.395,36972.582,0
8,35581.645,35022.703,35611.703,36180.28,34562.387,37972.29,33663.53,33207.93,40287.21,39906.863,35524.094,35919.887,33440.53,32318.775,32986.812,34385.53,38825.84,0
9,35907.5,38405.227,38234.83,39848.773,41587.625,43925.414,40235.816,36549.984,43556.355,38910.742,37194.152,34912.63,37874.98,39431.277,43962.54,40001.496,39670.246,0
10,43266.297,41458.07,42018.86,38965.25,37659.965,43391.94,42332.56,43823.05,50650.535,40995.023,42147.824,45487.45,44365.91,44514.453,36210.066,38412.816,38017.58,0
11,47240.61,42282.65,44170.777,44622.723,46575.72,48107.746,41949.316,43432.516,46929.473,53338.555,42258.484,40421.145,46602.824,47427.29,43442.523,41223.543,43416.805,0
