,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Class
0,164.38365,212.3516,251.4654,312.6156,205.60248,1391.4722,159.75049,122.36173,113.72629,277.6809,121.005295,158.83286,243.68231,288.03723,410.0701,441.60355,379.8768,0
1,281.75586,174.03131,173.71799,255.81352,238.5696,1427.168,184.71503,135.5878,100.2147,204.60022,281.4342,325.38364,434.73547,435.28314,518.0449,914.143,449.55862,0
2,1425.3519,1373.9668,1437.9149,1633.4954,1862.8259,1739.5151,1861.4957,1799.5569,2314.3167,1630.7493,1676.1675,1445.5511,1349.4707,1676.284,1532.1061,1503.2603,1570.2098,0
3,8588.636,15606.876,9383.27,9314.141,4888.855,7578.763,8542.561,6993.378,4309.377,308.34467,86.86575,57.78449,5.6253295,2.9655285,2.965872,2.965872,1.3545805,0
4,8995.766,8062.0996,9380.41,5809.6294,5657.079,7049.233,8797.438,15244.262,25340.262,23412.88,21283.285,26272.488,28703.637,52994.87,59666.29,20668.38,10549.264,0
5,2015.999,1901.7971,1128.3435,1105.1416,881.47845,2126.689,896.12885,697.3058,1258.6329,804.6132,820.2418,765.3355,639.77814,618.218,686.9313,708.688,772.27637,0
6,17399.658,6807.0186,4446.593,3575.7183,1127.8275,1640.3617,1292.492,1091.755,2220.4983,1494.1863,1128.2191,5531.534,7536.233,12179.372,7585.084,14228.158,9352.273,0
7,1096.4858,1075.2871,1353.5807,1345.0367,1316.7638,4126.167,1720.5425,1505.9237,1207.981,1754.3401,1237.2771,1728.6248,1670.3115,1297.3906,1105.782,1247.1807,1551.384,0
8,2455.8464,2466.6882,4001.4043,2539.5632,2342.676,2843.09,2056.0232,2073.1204,2578.994,2375.8083,1559.9769,2086.656,2929.1484,1807.6102,2570.7227,2343.444,1773.1832,0
9,1154.0864,1755.518,840.8566,973.73553,1572.5483,1483.7556,1248.8077,2912.434,1081.0522,2030.8479,707.08325,599.2337,625.6541,1406.034,1893.144,1043.3624,919.02545,0
10,629.48224,604.8663,438.54788,213.97945,304.40854,6718.2573,326.52872,188.33696,899.34143,338.67517,472.16138,943.0254,387.62823,991.7357,940.9949,2214.024,3703.0796,0
11,542.3926,162.0874,632.58765,815.26984,28072.857,7515.2314,506.37497,780.92444,192.08197,816.68024,311.70938,521.631,826.7468,222.7787,2282.7153,1821.2657,14537.852,0
12,1395.4191,2182.4058,1106.8477,1173.0485,1301.4866,3410.4553,1549.7622,1397.2715,973.4398,966.4523,952.7432,928.6335,1273.8848,2988.846,1746.2416,2474.6155,1801.4701,0
13,1160.3024,1202.2397,1185.8044,1114.5475,1240.4592,1684.3175,762.71924,794.2759,3158.819,866.3281,746.90985,1840.1959,1014.82715,1191.8643,1359.8881,1449.6942,1921.4224,0
14,2393.029,611.56836,500.87106,1078.108,774.19336,1521.5833,81.7407,54.280376,46.96886,193.49359,104.82684,14.386753,32.89881,55.35704,66.3785,20.613297,68.44405,0
15,3289.3652,5165.485,7882.4385,8285.792,4991.24,3628.5278,2608.4246,2952.5996,4010.4102,3197.5781,2244.1807,2474.7087,4406.3438,2476.9338,2069.5034,1326.0408,1338.962,0
16,11871.702,6454.1533,7264.0947,4115.764,4196.11,3298.9783,1889.7216,1706.2281,1325.3209,1656.3318,2817.3086,1575.6884,1554.7703,2206.383,3786.647,3995.39,4885.825,0
17,1978.4282,3571.3926,1669.5818,1861.1337,2037.9244,2911.4783,1578.2267,2874.9954,1838.2267,735.1297,827.13684,1698.8818,1525.4829,1248.5166,1002.13025,1072.4207,1757.0454,0
18,3739.3801,30775.559,6517.1445,8356.615,8220.718,11730.797,12650.121,50564.008,11206.611,11754.317,12957.0625,77034.61,11507.599,9544.905,18712.121,31274.47,5271.3247,0
19,1253.416,1956.9126,2980.2883,2182.9917,3105.4548,3302.0552,2370.0642,2040.8677,1754.0609,2047.8862,2526.4434,2831.0916,2947.3884,2909.0715,5328.8223,2743.8413,5156.71,0
20,130.36185,143.12563,491.90326,92.29072,135.10945,5360.7383,2007.968,1909.2998,8627.103,6765.2656,7550.7734,1867.99,1853.6852,2927.1895,3547.3696,4313.0737,2567.195,0
21,4864.679,707.7551,801.12244,1610.6909,4189.611,2769.981,14224.61,54942.85,1982.2654,2156.6187,527.64606,476.49432,1043.3691,604.19183,813.5958,816.0561,3347.3599,0
22,1314.6603,1698.0411,1685.9336,1466.0935,1354.2931,2270.8953,2203.4136,1476.1642,1543.0762,1655.8262,2133.5479,2353.7117,1723.3646,1488.1218,2077.629,1819.6078,2422.5125,0
23,1587.308,1347.9476,1752.765,1447.2555,1665.9349,3852.0286,945.47064,863.8809,2490.2324,1315.3422,1573.0957,2919.1035,3230.5442,7339.7715,3525.9983,1996.729,1779.6827,0
24,373.92627,212.21513,214.10373,507.11316,399.18704,2054.578,528.2895,302.7684,264.41754,358.33835,304.8059,161.42377,336.306,366.61588,395.32343,392.4846,357.26022,0
25,1723.0757,1528.9429,1542.7981,1345.6575,2777.6804,1966.6808,1489.3949,1393.8955,1536.1204,2119.6924,1875.0752,1840.4644,1803.836,1825.582,2905.1477,2060.5466,2365.3354,0
26,1664.5151,2433.6753,1359.6947,1434.7041,1603.4563,1735.8433,1706.2919,1722.5579,1845.3112,1357.3772,1450.1178,2509.401,1706.7013,2183.371,1905.2458,2182.6062,2215.6282,0
27,1253.0013,532.76434,409.7893,596.38367,626.2651,1683.3859,646.44617,620.61444,876.51697,556.95886,990.1263,546.35,465.2013,433.82916,434.33182,650.8881,589.14984,0
