,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,8.338194,8.302568,8.313569,8.318121,8.034195,8.302017,8.270862,8.256066,8.237693,8.306064,8.134398,8.273258,8.236252,8.261417,8.241524,8.229022,8.273593,8.259096,8.253715,8.306757,8.2751255,8.255436,8.329868,8.307756,8.273048,8.275523,8.281755,0
1,8.279738,8.239868,8.173103,8.180133,8.131359,8.118376,8.092943,8.091715,8.1439,8.246941,7.9370217,8.137156,8.085672,8.076288,8.089399,8.098766,8.13987,8.1896305,8.187016,8.275831,8.265591,8.197967,8.19811,8.168608,8.0658245,8.086117,8.060461,0
2,8.442705,8.459726,8.451424,8.45746,8.469121,8.446656,8.459627,8.455502,8.438301,8.475833,8.462744,8.462327,8.470718,8.477888,8.481861,8.468066,8.475615,8.465959,8.479544,8.475155,8.471294,8.464853,8.472913,8.471234,8.450876,8.461336,8.464178,0
3,8.33338,8.355842,8.376957,8.300938,8.3071575,8.272216,8.260658,8.317175,8.313025,8.311865,8.245651,8.022547,8.173534,8.145721,7.914591,6.702546,4.3238587,3.616225,0.22114648,0.22114648,0.22114648,1.8556924,5.4523783,5.294223,3.174535,1.4271576,1.2473693,0
4,8.304228,8.314566,8.358588,8.370737,8.408796,8.40266,8.415306,8.357175,8.400842,8.399621,8.357367,8.340825,8.309709,8.276364,8.429283,8.427643,8.346018,8.389598,8.398048,8.431323,8.41368,8.31176,8.364721,8.397846,8.317212,8.33201,8.268865,0
5,8.319048,8.207653,8.31195,8.261449,8.32592,8.3191185,8.290653,8.275262,8.299528,8.309411,8.28754,8.198574,8.162685,8.234285,8.256671,8.299709,8.31502,8.229108,8.227957,8.292345,8.308966,8.303917,8.338415,8.3384,8.32762,8.160607,8.124514,0
6,8.303757,8.073873,8.212269,8.109259,8.200021,8.113867,8.1426735,8.103093,7.9959183,8.344715,8.1167145,8.21352,8.25829,8.251226,8.2108135,8.258406,8.103447,8.236231,8.178092,8.188372,8.115459,8.2168255,8.230096,8.232677,8.038983,7.894307,7.7072506,0
7,8.152811,7.9958906,8.050537,7.880048,7.992865,7.9542236,7.9425507,8.009692,7.8754487,7.966249,8.029442,8.029566,7.8270607,7.873286,7.9005995,8.015609,7.948509,8.037933,7.941549,7.930664,7.9129333,7.6277957,7.9411755,8.004276,7.857894,7.589276,7.8291664,0
8,8.273041,8.225793,8.137312,8.274367,8.268511,8.176698,8.190338,8.100715,8.193931,8.216306,8.169464,7.9841156,7.8643274,8.162134,8.205244,8.049915,7.926138,8.084526,8.139873,8.063283,7.9882975,8.190282,8.222128,8.113753,8.167428,8.138369,7.905955,0
9,8.182362,8.113003,7.969448,8.225958,8.259233,8.188335,8.0940075,8.0899105,8.051554,8.284632,8.252892,7.763911,8.015745,8.0881195,8.154411,8.165505,8.091011,7.9533854,8.042929,8.130169,8.037143,8.093882,8.144935,8.0004225,8.180143,8.157312,8.094508,0
10,8.437316,8.420343,8.3810425,8.386934,8.415808,8.414603,8.297761,8.1763115,8.116085,8.233616,8.411813,8.385003,7.492434,7.9021583,8.115204,7.954544,8.184949,8.19252,8.151539,8.2034855,8.183842,8.203117,8.284553,8.159778,8.2043915,8.158263,8.070169,0
11,8.389251,8.075217,8.3947315,8.325296,8.042984,8.119719,7.9967656,8.14344,8.357074,8.295591,8.343321,8.3240185,8.065954,7.0948963,7.992772,7.9736733,7.7731266,8.040137,8.055363,8.143812,8.087881,8.0432625,8.110178,8.088606,8.106609,7.858712,8.117741,0
12,8.058836,8.050295,8.07375,8.079766,7.972042,8.154388,8.251354,8.200638,8.104298,8.262228,8.280775,8.248027,8.021303,8.08346,8.157604,7.7169423,7.9439435,8.062482,7.9173775,8.198856,8.070612,8.019506,8.209255,8.195789,7.9193807,8.056849,8.0165825,0
13,8.157021,8.14443,8.175172,8.12413,8.066087,8.158374,8.176285,8.187052,8.166972,8.181517,8.181361,7.9211044,7.2950306,8.159218,8.159871,7.7791414,8.04188,8.064491,7.5796313,7.6924963,7.8777533,8.048961,8.167032,8.190985,8.113964,8.075775,7.99895,0
14,8.249887,7.9305606,7.891693,7.9201274,8.264025,8.167127,8.121194,7.7480855,7.988645,8.015554,7.937125,7.815235,7.3900704,6.1822653,7.6289935,7.7350755,7.271344,6.060628,6.7015533,6.4799433,2.6027422,6.966811,6.9678926,3.6590872,6.0465117,6.8936253,6.714519,0
