,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3366000,2755020,2829990,3029655,2665260,2501550,2368950,2014245,2236095,2193255,2679795,2644095,1768425,1690395,1643730,1557030,1793160,2319225,1801065,1522350,1613130,1410405,1977780,3449895,1872465,1432590,1382355,1500420,0
1,3734730,3889515,3425160,3070455,3432300,3095700,2603550,2936835,3349170,3108195,3689085,4370190,2594370,2478600,3183165,3143385,2829990,2944740,3105135,3253035,3924705,3319845,3701580,3317295,2895780,3369825,2334525,2401080,0
2,5408550,3895890,3554190,4857750,4553790,2768790,2930205,4293435,3209940,3612330,5586030,1164840,860370,2102985,3666135,5134935,4069290,2688210,1950240,1567230,2275365,3617175,3869115,5447565,3243345,1443300,1833705,3740085,0
3,2826165,1355070,986595,1118940,2388075,3125280,2862120,2587230,2222325,1919130,2586975,2823360,1957635,1860990,1950750,1613640,1573860,1770720,1614660,1489200,1496595,1511385,2094570,2360280,1448400,1611345,1974210,1839825,0
4,2869005,1819425,776985,901935,2347530,2623185,2521185,2110380,1627665,1379040,2126700,2472480,1508580,1779645,1797495,1383375,1326000,1277295,1151325,1108485,1072530,1251285,2336310,2557650,1523625,1317585,1125060,1027395,0
5,665295,248115,452370,792030,2241960,1887510,1408365,974100,870570,1085025,2292450,1159740,544425,813450,1918110,1357875,953955,786675,554625,553350,940695,1065390,1557285,963390,495975,521475,371280,521985,0
6,1910970,2133585,1524645,701250,375870,460785,483480,260355,221340,166260,504390,644895,166770,149940,177735,146880,148410,109395,156825,99450,89250,53295,304980,1262250,687225,453900,172890,109395,0
7,3052350,2120835,2356200,3052095,3993810,4293945,3406035,3176790,3264255,2938875,3669450,3013335,1948965,2070345,3293580,2795565,2858040,3111000,2017815,1815090,2026740,1782705,2292450,2238390,1388730,1476960,1894905,2117010,0
8,1664385,1125060,666570,545445,1353030,2760120,2988090,2746095,2389860,1620270,2227935,2682090,1516230,1600635,2089215,1622820,1754655,1984665,1384395,1317330,1529235,1348440,1948710,2773635,1494810,1535355,2028525,1399950,0
9,1907145,1010055,459255,620160,2367930,2326875,2159595,1723545,1237005,1029690,1783980,1914030,950895,1220175,1495065,1048815,894030,824670,745365,613020,690540,972570,1869405,1811775,828750,576810,510255,517140,0
