,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,54,86,86,81,74,75,82,81,84,92,72,81,68,77,63,54,67,83,70,55,64,47,75,24,66,36,46,42,0
1,14,17,30,44,27,22,46,33,24,41,29,18,46,45,27,32,19,26,22,15,14,23,18,24,37,27,46,35,0
2,7,53,53,15,28,64,72,38,68,75,4,38,14,66,54,6,35,70,57,41,71,71,61,4,73,39,66,59,0
3,64,37,24,20,45,40,55,68,63,57,45,41,60,61,49,46,40,44,57,40,47,41,65,58,42,57,67,49,0
4,86,60,21,25,89,83,78,73,64,52,75,83,64,71,62,47,63,55,47,43,43,57,67,72,60,44,40,42,0
5,23,9,5,9,75,43,32,18,14,29,80,40,10,26,60,46,35,20,15,18,20,31,52,35,11,12,11,13,0
6,68,60,58,25,10,16,15,12,9,6,30,36,4,2,8,6,8,4,5,5,3,2,23,66,29,17,5,1,0
7,70,46,43,52,35,23,58,65,57,67,50,44,38,41,36,62,68,69,50,44,54,45,61,65,31,44,50,73,0
8,54,38,22,17,50,87,82,90,83,61,75,86,49,70,84,72,69,71,53,51,60,44,77,69,66,53,80,57,0
9,76,42,14,15,56,61,61,55,46,33,63,78,31,43,59,39,28,27,23,19,22,34,72,81,24,18,17,18,0
10,71,76,22,25,51,47,82,49,18,23,66,96,47,94,24,99,53,23,11,8,15,17,61,49,8,13,13,7,0
11,51,52,32,48,56,43,29,65,31,22,38,18,57,32,64,57,20,13,20,43,30,23,34,58,11,13,18,32,0
12,33,16,12,36,68,77,63,48,39,41,53,72,41,39,47,33,30,39,30,21,40,36,58,71,49,39,35,41,0
13,75,5,2,27,22,24,30,55,62,64,33,53,67,60,67,61,55,58,55,72,57,72,29,29,71,65,75,69,0
14,41,35,36,55,42,55,42,44,54,31,54,56,44,54,49,36,36,32,21,33,31,33,57,59,29,23,21,28,0
15,50,27,38,44,40,34,29,31,28,29,40,56,36,34,29,27,21,32,29,27,28,15,39,67,30,28,29,16,0
16,6,6,4,11,53,48,18,8,7,6,16,20,7,9,10,5,12,2,2,3,2,5,6,34,11,1,3,4,0
17,26,8,5,37,56,53,56,40,26,21,45,49,46,35,35,38,29,27,27,18,21,27,42,42,27,23,44,44,0
18,51,13,9,13,77,73,67,39,18,23,63,50,20,40,45,8,9,8,8,7,7,33,68,27,10,14,4,9,0
19,95,56,65,63,81,42,23,25,30,48,88,55,14,16,18,16,22,13,10,8,12,33,75,57,6,5,3,2,0
20,66,26,5,0,90,78,73,30,16,13,55,58,14,18,7,5,22,3,1,2,1,3,5,22,1,1,3,1,0
21,39,19,10,8,17,35,42,60,61,40,54,12,8,12,12,11,27,49,15,9,9,7,5,3,6,6,14,11,0
22,80,26,7,1,25,81,87,79,73,56,81,66,39,41,53,47,52,61,19,22,28,16,46,72,12,22,48,28,0
23,19,51,38,29,65,80,79,75,67,67,64,37,79,76,68,73,53,60,51,60,67,64,54,47,49,48,58,51,0
24,40,55,48,51,58,74,73,66,67,64,57,66,73,63,62,77,65,69,85,63,70,55,63,48,74,68,66,48,0
25,25,49,36,33,44,61,91,98,53,74,89,63,50,58,77,74,51,91,76,67,85,55,78,59,65,42,52,52,0
26,50,35,25,48,44,51,37,35,47,23,47,57,25,25,30,13,29,40,18,22,31,23,59,55,34,33,37,24,0
27,25,6,2,19,60,101,84,67,19,8,25,97,45,37,26,6,6,5,16,9,1,3,63,15,7,12,6,2,0
