,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2182290,1653165,1768935,1832175,1552185,1435140,1400970,1095735,1143420,1236750,2050710,1980330,841500,758880,762705,680085,844050,1173765,829515,688755,820845,764235,1399440,2615790,1102875,837420,753015,871845,0
1,2518380,2563515,1988490,1641945,2265675,2163420,1560090,1716660,1907145,1756440,2988345,3843360,1403775,1281885,1957890,1857420,1403265,1562130,1837275,2077230,3034245,2239155,3059490,1931625,1286730,1907910,1334925,1405050,0
2,6540750,4028490,3509820,5292525,4703475,2508180,2690505,4112895,2831010,3339225,7554630,1035555,595170,1328040,3284145,5896365,3612330,2091765,1514700,1197990,1967325,3103350,4262070,6739140,2935560,1184475,1585590,3266040,0
3,2783325,1046010,850935,882045,1915815,2518380,2163930,1791120,1552440,1270155,2356965,2609925,1360680,1230630,1345890,1088340,1055445,1243635,1004955,976650,1057485,1035555,1857420,2220795,922845,1015155,1345890,1135770,0
4,1565955,889695,373830,418455,958035,1119195,1145970,898365,559470,419730,1101600,1852320,680340,679575,756585,511785,459255,424065,380715,341190,317475,362610,1173000,1757715,612000,484500,400860,364650,0
5,358020,97410,419475,671415,1417545,1206660,1128120,743325,688500,733890,1759500,769845,390150,562020,1103385,842010,618885,478380,379440,322830,514080,587775,1099050,725475,319515,362610,257295,328440,0
6,1120470,1203855,831810,271065,150450,190485,235110,138720,121125,101745,423045,338130,63495,62220,70635,52275,49215,43605,66300,41565,36465,27540,167790,889950,357255,231285,81345,51765,0
7,2786130,2026485,2297550,2618595,3381045,3675570,2899095,2790975,3028635,2724675,3830610,3244620,2035920,1980330,2512260,2259555,2386800,2626245,1632000,1481295,1639650,1469310,2245020,2047650,1292850,1385925,1680960,1766895,0
8,1108995,626280,341955,256020,725475,1802085,2032095,1655205,1457070,899895,1853850,1939275,722670,873120,1137555,850935,871590,949620,674985,645150,721650,695895,1383885,1749555,603585,683400,909840,729555,0
9,1114860,539070,230265,351645,1658775,1447890,1382100,1118175,732615,661215,1469310,1566210,506430,763470,907035,598230,469455,500310,478125,390915,422025,584205,1559325,1681725,512295,389895,347310,366435,0
10,2435760,1015920,588285,527850,1346145,1998180,1600635,788460,564315,430185,1323705,1431060,462570,1195695,3513135,1757460,1012860,540345,338130,366690,502860,519945,1225785,1084260,433245,436050,435540,348330,0
11,889695,983790,1614405,1136790,617610,581145,1218645,1171215,626790,532185,1089615,3017160,842520,445230,788460,936105,282795,221850,261120,582420,1298460,1339515,2392410,1516995,584460,647700,890205,955995,0
12,360570,104040,110925,334815,1193145,1049835,741540,400095,390660,375615,854250,973845,336855,321045,389130,273360,236385,319770,243270,207570,265710,265965,542895,696150,357000,290955,264180,313395,0
13,717315,86700,15300,139740,1923465,2140470,1883175,1626645,1612110,1577685,2398020,1671270,1047030,1121745,1163310,1205385,1043460,924375,875415,1257915,1344870,1224000,2073150,1948200,978435,1054680,1234710,1299990,0
14,1596300,645660,717060,1292085,1468545,1272195,1168665,996795,925395,760665,1717680,1597065,603330,792285,693090,618120,550800,440895,471495,475320,552585,655350,1630470,1275255,521985,498780,391935,423045,0
15,333030,241485,298350,469965,430440,331500,173910,163710,242760,160395,437835,612255,284835,193545,184110,185130,199920,207825,231540,143055,176715,102765,208335,643620,300645,265965,268515,189975,0
16,287640,63495,49215,247095,827475,573495,218025,52275,65535,78795,209355,270555,123930,76245,105060,44115,82110,30345,30090,41565,29835,91290,109140,813705,198645,34680,35700,34170,0
17,143055,77010,54570,252450,467925,412590,311865,219045,171615,153000,380715,808605,344760,244545,247095,214965,198390,200940,155805,129795,157590,167790,347310,406980,158865,187425,276420,240210,0
18,644385,186915,54570,180030,1412700,1359405,991950,534990,427125,405450,1027650,756840,204510,455175,583185,247605,181050,197370,155550,147390,183090,359040,1019490,443190,197115,293760,211905,244290,0
19,855270,422280,600270,661980,747405,418710,337110,258060,309060,658410,1980075,560235,106335,122655,184365,209610,303705,151725,88740,59160,137445,404940,1196460,520965,85935,27285,31875,74460,0
20,1623075,596955,88485,56100,1685040,2073405,1526430,556410,316455,316710,1097010,854250,147900,195585,64260,56865,408765,85425,18105,20910,17340,20910,41820,193290,13515,14535,84150,14535,0
21,1203090,564825,610470,604095,837165,1278060,1156170,1704420,2177700,1065900,1853340,1007505,631125,764745,910605,673965,712725,1093185,503370,317985,367965,313140,521985,741030,489600,650760,970785,692070,0
22,1765620,381990,49980,33405,540090,2207790,1760265,1534335,1217370,789735,1705185,1955595,498015,568395,661980,519180,652800,655860,303705,228480,308040,235365,855525,876945,189210,303450,605115,302430,0
23,1474410,939930,465630,426360,1021020,1083240,1027905,923865,823905,621435,1282650,1773270,809370,719355,807075,645660,566355,557430,568905,567375,534480,581910,1495575,1571565,677280,581400,564060,486030,0
