,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3158940,2458710,2505375,2628030,2260065,2127720,2073150,1591710,1673820,1769955,2636445,2724420,1408620,1234965,1186260,1075590,1302540,1763580,1287495,1041420,1204365,1127865,1870170,3439695,1662600,1305345,1154130,1256130,0
1,3215040,3525630,2736405,2241960,3033990,2722125,2007105,2395215,2807805,2394195,3550875,4736880,2051730,1950750,2733090,2640015,2135370,2207790,2541585,2821320,3962955,3014865,3801540,2777715,1959675,2766750,1853340,1930350,0
2,9168525,5916510,5302725,7864455,7148160,3770430,4147575,6550695,4444650,5143095,9718815,1669740,1177590,2766495,5541405,8593500,5981280,3552915,2520420,2049945,3166335,5082660,5965980,9114975,4621620,1992825,2545920,5231580,0
3,3630690,1525665,1206915,1326765,2696370,3505995,2985795,2588250,2182545,1830645,3056685,3259665,1879350,1779135,1861500,1523625,1439985,1661325,1452990,1387455,1445595,1472625,2423775,2738190,1306365,1462935,1859970,1648575,0
4,3829335,2318460,942225,1102875,2807040,3083715,2986050,2478345,1717680,1354050,2716515,3626355,1714110,1919130,1987980,1406325,1272450,1234710,1115115,1057230,998070,1162290,2922300,3584535,1630470,1314780,1097520,1033515,0
5,657390,239445,597210,1053915,2810610,2230995,1636845,1137045,1081200,1251030,2962590,1312740,602055,921060,2178975,1549380,1033515,880770,628065,583695,962625,1088850,1859715,1185240,543150,613530,429165,568905,0
6,1812540,2033880,1348950,532185,267750,340680,389895,240720,204510,149685,576300,594915,134130,115005,131835,96135,108885,90015,124950,79050,62730,38250,271575,1338240,593130,387855,172380,116280,0
7,4080255,2787150,3232125,4098615,5352450,5701035,4318170,4174350,4437255,3985140,5419005,4656810,2784345,2854725,4126665,3439950,3791595,4146045,2442900,2205495,2497725,2215950,3250485,2952135,1719465,1870680,2380935,2396490,0
8,1867110,1198755,667335,527340,1389495,3074025,3250230,2884050,2464065,1532040,2669850,3079635,1375725,1527195,1954830,1486395,1596555,1780155,1215840,1139085,1324470,1231650,2225640,2975850,1205640,1294125,1774035,1268115,0
9,1851045,904485,387090,581910,2735895,2494920,2281740,1767915,1227570,1051875,2188920,2209575,871080,1240830,1468800,1038615,792285,757605,731595,578595,625005,950130,2255985,2265930,788460,578085,474810,564060,0
10,3622020,1592730,1034535,1011075,2589015,3899715,2895015,1483080,1066155,859350,2195040,2453865,880515,2046375,5456490,2815455,1733745,1080435,737460,747150,975120,994245,2093040,1782705,821865,863685,947835,791520,0
11,1785255,2040765,3601875,2549745,1362720,1344105,2988855,2517870,1213545,944775,1974210,5788245,2003025,1002915,1757715,2225895,646425,503625,546720,1269135,2889150,3016905,4549200,2480895,1101345,1156425,1529745,1862265,0
12,527595,158355,183855,569415,1952790,1821975,1278315,658665,641580,602565,1306875,1548615,529890,517140,645150,436560,363885,499800,374085,299880,401370,388365,866490,1235730,580125,477360,437835,467415,0
13,1193400,139230,21165,256275,3473355,3735495,3293580,2897310,2721360,2709120,3871155,2767515,1980840,2030820,2064990,2051730,1816620,1695495,1569015,2123895,2307750,2168520,3516195,3490695,1980840,2006085,2208810,2185860,0
14,2277405,997815,1116900,1925505,2144805,1867875,1728390,1480785,1309425,1131180,2225385,2110890,947580,1185495,1101855,997050,829515,675495,762195,839715,947325,1080945,2344725,1776585,819315,853230,727260,778260,0
15,797130,546720,633165,1061055,912645,705840,471750,453135,541620,410550,868785,1277805,585225,455175,449565,441150,464355,479400,440640,338640,446505,280500,520710,1323195,649485,531165,513825,340170,0
16,339660,91800,79050,272850,1100835,756840,296055,79305,90525,112965,273870,393720,171615,120360,139485,70635,140505,36465,35700,62220,35190,113730,121380,1004700,254745,48195,59670,52785,0
17,384285,180795,181305,736440,1409130,1188300,945030,704310,555645,458745,1038870,1742925,861645,692325,665805,606135,562275,584460,442425,385305,505155,503880,981240,1237515,454155,462825,745365,693090,0
18,1062075,295290,135150,316200,2318205,2251140,1726860,922335,646170,584205,1427745,1080180,365160,798660,1014390,415140,311865,310080,266985,272595,345015,641070,1646280,655095,330990,397545,275655,316200,0
19,1542495,730575,1001640,1024080,1197480,601290,483480,382500,446760,930495,2816475,744345,169065,177990,229755,255255,405960,215985,142035,113475,209100,568140,1801830,838695,146625,53295,48195,94605,0
20,2512515,941715,135660,82110,2712435,3473610,2505375,927945,555645,538815,1626135,1530510,305490,352410,93585,99450,689520,89505,41820,38250,27540,34935,71400,371535,32640,29325,119085,27540,0
21,1672800,846600,947835,1057995,1389240,2073150,1907655,2666790,3370845,1618995,2569890,1433355,941205,1131690,1375725,1051620,1216095,1920150,982260,570690,575535,457215,651525,1031985,787950,1017195,1438710,1030965,0
22,2761905,651525,82875,33915,858075,3723765,3084480,2585190,2207790,1496850,2741250,3018945,986850,1010310,1237515,1014135,1245675,1320645,615060,429675,578595,406980,1232415,1488435,336855,579105,1132455,588795,0
23,2766495,1535865,695895,702780,1811520,1862520,1798770,1573605,1303050,1081965,2122110,2832030,1424940,1295400,1378275,1150560,998835,988635,963390,953955,957525,1044225,2322540,2309790,1077630,977925,962115,896070,0
24,2742525,1360425,862665,1031985,1935450,1893375,1526175,1301520,1345635,1167900,2769810,2441370,1132200,963135,939930,1023060,883320,1107720,1276275,1187535,1164840,973080,1805655,2529090,1088340,934065,942735,778515,0
25,6465015,5289210,5565120,5425635,5714550,4996725,3548835,4566795,5699505,3857130,5339190,6670545,3440970,3733710,5554155,4043790,3866820,5825475,6242655,5733165,5022480,3535065,4943430,6014430,3760485,3231360,3213000,3607230,0
26,1168155,606645,701250,1315800,1219920,981240,681105,747150,814725,514335,1348950,1333395,576555,552330,574515,435285,577320,692580,427890,421515,534990,496230,1538670,1247970,605625,1120215,2055300,937125,0
27,871335,121890,34935,614805,1527195,2766240,2821830,1770975,471495,236385,1343340,2274855,715020,674220,716550,151470,55335,98430,532695,255255,17595,17850,2363340,326145,89250,428655,74460,36465,0
28,3185205,967725,183345,205785,1418055,1696005,1085280,568905,282030,251430,967470,1063860,236130,218535,281265,241740,200430,79815,101490,117810,99705,154785,166770,579615,107610,131580,184365,43350,0
29,1009800,99195,2295,3315,341700,1375215,1327785,530145,418200,360060,773670,882555,208590,192015,218790,160650,210630,61200,14280,35700,26775,60690,78285,414885,60435,38250,72675,11220,0
30,564825,147900,103275,341445,1957125,2421990,1916070,1316055,1091145,673455,1497360,1914540,779535,812940,966705,764490,599760,970275,934575,907800,538305,539835,1645515,2247315,513825,486030,1267350,1692435,0
