,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,4029000,3077340,3104370,3344070,2839935,2665260,2559435,1988745,2177445,2198865,3188265,3104880,1680705,1616955,1523880,1408110,1705950,2317440,1732215,1412445,1501950,1339005,2202180,4331940,1939275,1502205,1475940,1634040,0
1,5069400,5399880,4206990,3729375,4532880,3941280,2911845,3556995,4325055,3718665,4702200,6128415,3073770,2968710,4043535,3985395,3551385,3656700,3941535,4248300,5477145,4356420,5144625,4218975,3372375,4180215,2637720,2795310,0
2,8402760,5304510,4724640,7212420,6616740,3484320,3839025,6095265,3990495,4694295,8788065,1528470,1073040,2655825,5056905,7775970,5465670,3202800,2217735,1886235,2850900,4549965,5173950,8368335,4160325,1687590,2221560,4707300,0
3,3609270,1478745,1253580,1397145,2825145,3821175,3336930,2934285,2461515,2079780,3326220,3646245,2096610,1960440,2052240,1726095,1655460,1937235,1762050,1594260,1664385,1682235,2598960,2950605,1469055,1653675,2136390,1959675,0
4,3070965,1697280,635970,821100,2334270,2607375,2548980,2073405,1493280,1249755,2413065,2928165,1263780,1549890,1563915,1174785,1130670,1001895,911370,926925,884850,1060545,2575755,3026085,1356855,1139085,968490,866490,0
5,602310,217260,575280,985320,2455650,1909185,1397400,1014645,971550,1108995,2738700,1190340,585735,861645,1944375,1377765,921060,857565,600780,571965,922335,1047540,1713855,1060035,504645,490110,362100,468180,0
6,1742160,2047395,1446870,582675,282540,342210,392190,213690,199920,122910,494190,622965,132600,122145,132600,101745,116025,83640,118575,78030,64005,41820,276165,1233435,557430,366690,136425,82620,0
7,4029765,2494155,3013080,4131510,5869590,6515760,4473975,4150635,4406655,3885180,5410590,4343160,2428110,2628030,4819755,3700050,3762780,4019310,2280975,2074425,2275365,2089980,3121965,2761905,1522095,1646535,2173365,2366145,0
8,1697025,1084770,684420,569160,1373940,2942700,3220905,2824635,2340390,1512150,2625735,3015375,1337730,1492260,2016285,1465740,1637100,1953045,1299990,1175550,1423155,1284435,2179485,3103605,1332885,1400715,1899750,1290810,0
9,1802850,866745,440385,575790,2576775,2447745,2206005,1659795,1092420,911625,1939020,2047905,812430,1103385,1401480,967725,842265,775965,680340,545445,609960,873375,2104515,1995375,775200,553860,480420,504900,0
10,4115700,1822230,1129140,1097265,3317550,5288700,3951990,1770975,1191870,1057485,2731560,2956470,1139595,2521440,6124080,3308115,1782960,1218900,861900,863940,1104915,1112565,2192745,1899750,922590,983535,1093950,974100,0
11,1689630,2016540,3757425,2642310,1419585,1429785,3154095,2560710,1179375,931770,1924485,5687775,2000985,1027650,1830900,2176680,652035,550545,588795,1265055,2890935,3144660,4600455,2262870,1145205,1205640,1607010,1935960,0
12,730830,276165,278460,787695,2317440,2282505,1599105,903465,890715,852720,1723800,1979310,791775,728535,915195,643365,560235,777750,545955,441405,590070,625770,1270155,1686060,838440,739500,695130,723945,0
13,1512405,177225,27795,342720,4359990,4682310,4191690,3596520,3255840,3168120,4272015,3184440,2320245,2366910,2363085,2394195,2130015,2080035,1923720,2538780,2787660,2705805,4188120,4051185,2477325,2445960,2665260,2640525,0
14,2917200,1388475,1435395,2385780,2811120,2493135,2369460,1977780,1699065,1476195,2455650,2324835,1235730,1584825,1548615,1320645,1146225,1038615,1062330,1075845,1246950,1483845,2759100,1985940,1058760,1141125,932535,969765,0
15,1068195,734910,778260,1217370,1048305,826965,559725,606900,701505,489090,1002405,1646790,735420,535245,527595,502605,472005,572730,562530,401880,512550,336345,628830,1707735,761940,600270,619140,392955,0
16,383010,137190,116535,302430,1247970,923355,367455,104805,101745,96390,220320,581910,239955,162180,214965,84915,191250,40545,34935,70125,34425,137445,152490,1069215,301155,81855,78795,69870,0
17,428145,194820,184365,772140,1662090,1395105,1067685,729810,550290,494445,1198755,1952535,956760,768315,741795,667080,634440,636735,489345,428910,587520,557430,1016430,1314525,484245,493170,836655,773925,0
18,1094460,336090,171615,329205,2327385,2382210,1916070,942735,580380,556410,1334415,1200540,417690,725985,1018725,414375,332010,303705,304215,311100,331245,697680,1810500,739755,385305,444720,285345,315945,0
19,2208810,1207935,1851045,1769190,1861245,932535,671670,576300,687735,1262760,3661290,1102875,274635,279990,360570,369240,528615,288915,240975,165495,271575,792540,2330955,1084770,196605,93585,103785,138210,0
20,1951005,716295,100470,42330,2165205,2860590,2043825,761940,437835,367455,1343085,1386945,263415,285090,82875,85680,554880,86445,40035,37230,26775,30345,66555,288915,29070,26775,78030,24735,0
21,1395105,719100,899895,985830,1228590,1906380,1792650,2568105,3263235,1576920,2435505,1443045,967215,1095990,1350225,1035810,1188810,2005830,1065390,644385,608175,481695,656370,984045,766275,1023315,1466505,1066410,0
22,2152455,457215,71145,18870,606135,3189540,2615790,2138430,1877055,1189575,2313870,2626500,830790,871845,1038105,809625,1031985,1111290,557430,382245,501840,304980,973845,1312995,293760,493425,903720,492150,0
