,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,41823.715,41563.625,37476.82,41042.082,42095.73,40019.664,47015.406,43000.53,39471.367,36874.945,42993.895,39250.844,43544.156,44415.297,46032.562,43017.35,42874.918,43372.062,40521.58,38558.277,41658.59,39041.824,43815.758,41836.59,42522.973,42072.74,43587.98,0
1,43518.508,49504.777,44105.477,43600.54,43151.164,36914.094,43724.055,47598.996,51543.24,40687.82,44286.19,43998.734,39119.305,42189.598,41002.3,48437.656,41830.383,39493.32,44826.84,40914.42,41197.152,40435.797,52056.137,38308.348,38849.523,42279.547,33997.14,0
2,35669.863,34998.965,35991.562,37525.26,38528.754,37674.734,35113.53,35564.855,37459.32,34255.918,39457.555,37122.285,38101.29,35621.066,41311.227,41851.312,47497.93,41382.996,38394.57,40916.51,37921.105,37410.08,41592.258,34784.336,39358.715,41374.137,38443.86,0
3,39280.543,35480.996,32072.943,32681.535,33530.332,41302.0,38464.402,39647.945,38139.156,39574.586,41820.066,39686.312,43334.992,43721.805,43237.258,38994.9,36430.95,39034.566,38144.34,41048.74,43753.855,41195.203,42834.836,36491.535,40469.453,42898.87,42189.152,0
4,41922.047,39251.04,39793.89,39247.73,39775.805,39056.723,38552.44,38444.996,41459.754,40050.562,42368.97,40468.285,38941.305,42793.055,42766.31,39899.613,40871.91,43127.49,45682.133,43115.465,40289.08,39425.207,39668.312,37328.07,42138.82,41106.855,41546.48,0
5,45198.145,36359.273,36690.645,39113.33,40642.96,37974.227,39262.25,39507.32,41506.6,37002.14,38503.168,39432.426,36350.082,40402.668,43467.12,39752.434,43550.094,38079.105,43495.383,41498.87,40503.734,38761.56,40681.535,35441.027,37705.703,38543.52,46246.67,0
6,39419.14,45702.387,40586.336,41920.594,42826.883,42281.62,38268.93,42458.008,40481.336,37435.35,39478.92,37560.88,35031.566,37115.164,42639.992,38861.92,34428.945,38371.355,39400.11,34349.117,33475.707,38388.117,43809.1,40573.016,39979.285,38006.19,33167.977,0
7,32536.65,28630.793,39971.816,39681.3,33283.793,32869.918,35451.758,30697.646,30727.898,30497.723,33603.527,32665.693,30423.418,27527.828,28062.389,33551.0,35040.773,36590.098,36414.477,36939.312,38055.645,34718.53,39132.883,34741.383,35092.293,33906.875,35448.465,0
8,35036.81,41372.42,36500.8,35585.92,39551.973,40067.773,40764.492,38674.668,35580.17,37471.656,37843.39,37670.066,41757.145,39471.613,44730.117,42562.324,38428.223,41733.016,44633.953,44642.883,42515.664,36577.88,37110.297,43506.94,40922.645,44278.137,44415.496,0
9,42308.332,40111.1,37597.543,39927.605,41509.53,42303.824,42103.188,42463.605,40107.4,38912.824,41182.42,40810.625,41461.684,40951.844,45889.38,39532.703,44277.297,43423.395,43072.223,37989.098,40430.383,43805.414,44174.11,40568.06,40599.86,40800.957,39375.098,0
10,37401.16,34750.867,35482.895,35051.645,37656.7,35575.336,36660.457,35135.74,37488.02,35138.75,36543.68,42088.98,39948.297,40122.42,38262.99,37772.773,36270.004,32330.992,32253.412,30364.236,35066.0,39139.223,37609.996,36358.027,39400.09,36672.703,34182.324,0
11,36200.9,37810.406,36345.043,36845.83,39420.695,35596.234,40241.62,41682.285,34196.297,32145.844,38072.62,38627.74,39541.0,35765.16,40486.7,37884.41,38116.473,38513.89,35195.656,34415.246,38481.66,40388.14,38081.93,39467.574,37686.25,39650.4,37518.74,0
12,38507.816,37725.99,41100.17,45822.844,45254.35,42435.223,43567.57,40346.0,44438.43,41689.84,40537.676,40096.38,44461.688,41631.42,43019.844,39989.418,46240.59,41524.316,39595.496,39618.516,39329.227,39194.2,43766.367,39869.805,44078.492,44271.574,43893.887,0
13,41153.03,35898.438,36374.594,36538.03,38653.93,41178.2,41337.53,37252.867,36452.242,36033.176,38770.168,41775.043,43131.574,38477.254,43868.543,44246.15,41532.336,40312.645,39468.92,40083.95,42540.918,40899.883,42980.605,42219.09,41875.605,38849.96,39367.61,0
14,43009.664,44070.383,48563.883,39322.633,43469.617,41342.53,46382.344,45161.125,48863.54,43135.242,44406.58,42019.17,44791.223,41950.06,43082.234,50849.152,44263.773,45983.785,44409.9,42714.1,46021.777,40985.594,46078.086,41740.598,44801.535,45671.07,44158.23,0
15,43366.453,43536.805,40939.33,44260.16,44405.48,44669.652,42663.676,43068.17,42377.664,38857.773,47616.91,47765.23,50772.906,47168.535,47843.863,47911.96,48529.27,46164.695,42284.273,44359.83,44846.36,38757.797,39996.547,44706.566,49147.14,47093.92,48603.625,0
16,39561.19,33405.82,32357.072,37312.785,37733.758,42915.94,36127.34,34359.816,42674.44,35854.52,41099.14,35545.633,38006.52,47243.87,36814.42,45205.215,35929.26,34345.742,48276.152,35940.566,40565.582,38117.707,46870.605,38966.887,37766.688,35534.086,30295.39,0
17,35449.938,32732.71,38745.223,41373.875,40923.54,43783.895,43987.1,40021.027,41161.574,37530.61,42944.754,44649.074,43024.793,40795.777,40876.74,39865.707,42429.32,41945.805,42556.816,39448.24,43375.81,40848.047,43689.887,38714.1,37854.06,39610.855,44364.457,0
18,40023.13,40089.5,43486.88,47487.973,43509.812,42804.824,42698.227,35832.887,40448.52,40519.01,42026.984,40799.543,39834.805,41040.668,37116.42,36591.906,36235.203,40136.637,36890.098,35001.62,37973.664,37967.363,41188.38,36768.312,34642.418,37142.55,37060.086,0
19,38326.875,39805.637,38167.934,39762.73,35633.996,35106.074,38112.285,40813.848,37063.832,37786.99,37382.008,35289.09,33806.9,35531.215,33988.66,35874.734,38290.543,38276.11,31779.668,31780.52,35346.71,35946.5,38584.336,33003.62,35120.766,35341.043,32783.527,0
20,39613.348,37349.4,38601.11,38774.12,40008.395,38305.25,37797.152,41700.562,37100.242,37449.582,42266.074,32048.016,36797.06,41735.72,33559.734,42295.684,37960.953,37170.094,43162.22,37727.746,45587.88,36792.168,42336.82,31618.16,32658.963,41920.957,32993.79,0
21,35876.023,36402.938,33011.945,34282.86,33616.36,33917.062,36211.492,36575.94,33656.35,33144.5,35150.492,35494.31,37024.27,36061.492,35380.83,36215.027,35253.016,37442.758,34275.44,31189.27,30510.133,27411.629,43041.176,23403.59,27357.982,28334.48,32170.375,0
22,41713.242,35416.875,39619.67,39529.484,38100.15,43302.117,42006.36,39267.33,41601.758,40498.3,43291.887,34823.594,41586.56,43342.555,42347.47,40247.42,40363.785,41981.285,41214.613,39793.86,41298.902,36739.348,40690.645,38311.92,34768.656,37969.035,40602.87,0
23,32617.646,35880.527,40605.516,36899.93,42390.67,46099.566,46303.42,41701.332,42873.715,38978.617,40790.31,43826.543,46635.727,48529.92,43149.3,46422.59,46031.414,45052.918,50293.664,51840.59,47029.234,46048.035,45406.52,46646.805,49499.547,42523.582,47499.824,0
24,37825.71,42787.223,38108.59,38857.227,38301.51,38738.582,40938.992,43402.47,39839.332,33068.902,37874.93,42870.184,45315.87,40877.53,42716.855,50218.32,46673.758,42637.24,44550.977,44570.85,41881.8,39451.465,45216.27,43243.05,45420.848,42410.555,45871.977,0
25,40897.074,41340.36,44896.438,40858.34,40029.367,38561.25,39031.21,41816.793,42249.92,40838.73,42420.996,44805.832,42847.39,41692.27,39398.387,35311.914,41286.695,39574.8,37495.273,38958.93,42027.56,39234.684,41541.04,44675.336,40027.9,38037.14,41308.902,0
26,40952.984,40520.254,40186.758,42062.11,40704.438,38446.367,37887.12,45357.42,42355.203,36767.617,38178.582,42747.98,43105.566,35560.453,35267.547,36568.48,39778.11,42468.227,42119.727,42617.082,38190.402,41580.082,46285.473,40341.203,39456.96,41571.32,43983.22,0
27,37876.812,34638.977,35365.207,40220.613,42952.652,43085.473,40861.12,38119.176,35480.77,33121.29,36317.566,37433.055,37569.33,36050.547,33102.152,30189.51,32635.785,33570.027,40076.457,33540.98,30156.87,34850.477,42642.375,39020.7,40983.47,39840.71,35199.938,0
28,41509.355,38125.496,38311.04,40321.293,41734.242,38235.434,42784.47,36364.84,32215.91,34439.21,39886.574,34150.36,37063.81,36243.316,35315.19,38898.29,38728.117,39931.37,51199.336,37644.535,45309.37,30819.049,50943.355,35520.555,43178.996,64492.902,58347.74,0
29,35315.824,39320.902,29051.758,33891.562,43637.414,39530.613,38967.1,39241.71,43095.734,36310.125,37997.695,39122.414,42895.723,43016.562,38058.785,37613.43,35217.13,37050.42,38869.04,24529.496,30815.287,25067.258,47648.57,36429.996,39374.75,50362.15,31079.518,0
30,39628.254,36662.984,36275.508,37712.836,41051.695,40485.21,39985.297,36300.707,37222.61,35876.29,39174.074,38055.992,36294.414,36918.227,35024.316,39832.48,39401.582,36542.477,34108.46,36025.527,41447.12,33291.535,35001.46,34298.62,40208.793,37685.66,36234.418,0
31,36845.598,39684.094,37290.65,37421.605,38944.07,34536.58,36060.082,38221.973,39172.31,32462.781,40152.39,35245.363,35049.73,37642.3,42953.17,41827.254,39435.883,37403.69,35913.203,31531.158,32352.65,30770.127,33537.56,35610.938,34892.754,35910.645,39635.13,0
32,37883.945,35284.6,30041.605,35476.574,34606.164,31466.443,32681.773,32899.477,32322.32,37285.09,35787.793,29488.328,35698.67,34225.188,36071.703,33544.4,32858.613,28974.918,27186.572,29245.982,31892.592,33343.043,31424.549,31053.8,27506.541,29160.975,31594.945,0
33,38476.242,35698.297,32154.592,35330.844,40703.867,43347.402,41101.42,42114.133,38503.39,37411.008,39030.11,38355.324,39700.04,40875.125,41285.28,40672.043,42522.516,40751.375,38382.605,36467.906,36738.58,33641.37,36998.047,37313.777,35795.98,34349.71,38261.336,0
34,28960.578,29748.654,28571.463,28270.873,31882.086,29951.62,27295.627,27018.97,26306.684,30981.188,34214.242,32057.81,28737.668,29446.81,35068.438,30672.127,35260.895,37996.082,38233.785,32802.7,33298.61,34776.816,39288.223,36233.207,37700.58,37921.17,34807.46,0
35,52015.45,38507.78,33837.06,32879.875,29122.68,41195.05,40759.023,39615.86,41677.914,45205.062,43104.445,40966.684,40508.34,38880.508,38577.336,39341.28,42886.703,38148.484,46001.168,38349.41,35321.684,39091.504,40463.02,37984.273,45352.535,37651.832,37948.387,0
36,37579.445,30463.033,34359.094,38049.703,43642.363,43948.37,44830.77,44242.82,42710.484,40807.367,44003.793,43404.305,49652.574,45288.332,44019.496,48108.887,42596.566,36989.62,34644.918,37116.5,38531.965,36584.3,41264.594,42025.75,41044.4,36305.906,38798.395,0
37,37811.31,41517.68,37816.105,43436.074,47706.99,43522.45,38588.508,39737.414,39945.02,40380.71,42258.48,43482.36,41946.31,49162.797,45746.24,40692.773,45013.6,45441.65,46123.5,39575.906,38257.105,39891.355,43094.715,40497.4,41899.582,45452.2,42233.977,0
38,45427.707,43139.797,45499.83,45536.277,44619.402,44823.094,42095.355,43139.355,43276.395,39325.867,42111.92,45117.613,50658.99,47053.918,48536.29,43648.785,39915.234,40732.91,45963.875,43970.555,47752.25,45709.383,45708.29,46027.68,44226.43,44879.57,47220.676,0
39,37842.93,31725.105,32554.85,39878.69,41400.77,42039.43,42776.375,38462.65,37990.215,40933.07,41152.28,42595.555,45184.617,38999.047,39756.625,39494.977,34398.664,34991.34,38701.426,38645.91,38014.336,37942.582,38492.227,36097.895,37549.934,37194.72,38969.023,0
40,30571.781,32128.691,35040.777,35118.465,35143.004,31704.178,34334.438,33261.992,33510.152,31843.398,32867.793,37106.668,36811.32,33772.03,34105.04,32243.758,35864.707,35580.2,41565.07,34264.387,33318.836,35091.87,39137.094,38523.71,41985.25,40409.72,37544.445,0
41,39837.74,38177.184,42776.81,34883.555,39228.156,43833.395,41918.25,42253.28,41734.777,38726.92,38164.418,37637.125,37366.043,45205.816,40890.27,38964.914,42283.55,39329.02,48327.875,41259.33,40237.305,39686.535,40404.516,43590.297,44469.754,48801.16,40815.797,0
42,35180.78,34538.3,30783.992,34166.184,34857.53,31491.203,31990.977,35048.723,33315.777,34623.71,34880.242,30013.57,34834.727,32606.633,32437.139,33321.79,36003.5,34508.46,33978.258,32377.6,36020.35,37261.02,34796.46,31980.93,34970.73,31738.982,32031.791,0
43,37553.41,36723.11,35070.145,38371.957,43188.773,42030.58,43617.918,40234.133,38141.21,38846.08,43363.87,36417.14,40039.78,39364.32,42231.88,41291.824,40660.305,37183.066,41391.824,37810.1,38940.906,36699.594,42109.965,37322.477,41428.617,41472.1,41314.113,0
44,36924.77,37716.195,37796.47,35500.8,40031.227,39873.19,40552.27,38011.86,38582.664,37495.293,39102.5,39782.65,39363.992,44308.543,44171.7,41304.9,37348.44,38149.465,34010.426,31891.41,38265.348,40166.613,42507.254,44372.297,41359.95,36542.477,39357.53,0
45,40674.99,34617.273,34644.715,37167.883,38605.957,39773.184,44824.53,41023.637,41731.957,43468.316,45054.836,44220.95,40082.79,40594.734,40317.68,39228.625,39308.043,35679.37,39883.945,36327.715,36151.016,38736.273,40971.84,38200.215,39061.965,40699.617,36502.32,0
46,40783.55,41840.5,39064.914,38293.434,42186.902,41112.387,34814.83,39493.33,44037.02,40938.39,41160.11,38370.824,38162.07,39603.85,38293.652,35533.082,40978.43,45307.582,45474.59,41830.895,40970.426,40932.82,47459.047,35945.688,34022.81,40134.86,36160.72,0
47,40868.785,36882.21,32612.412,36421.39,40802.496,42899.83,40009.55,37032.63,39371.234,34542.21,41975.297,38297.484,38921.4,39902.215,41172.652,42496.56,37819.51,39877.863,43366.832,35257.96,40221.516,37380.56,46372.918,43160.543,33353.3,29905.076,19574.824,0
