,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3930060,3002625,3216060,3387675,2906745,2657610,2437800,1830135,2079525,2225385,3210705,3039855,1622820,1576410,1489455,1372920,1655205,2278935,1732215,1417290,1468800,1288770,2192235,4298535,1912755,1473900,1496850,1624860,0
1,5029365,5253510,4227390,3638595,4539000,3905580,2951880,3478710,4317405,3791340,4857495,6257955,3069945,2946015,4022115,3993810,3488910,3694950,4117230,4342140,5568945,4409460,5271615,4192200,3270375,4098870,2631600,2748900,0
2,8566980,5596740,4980150,7339665,6817935,3584535,3903795,6222000,3957855,4712145,9126450,1614660,1097010,2679030,5283345,8029950,5629635,3327495,2398785,1893630,3018180,4862595,5491680,8609055,4157520,1741140,2297550,4880445,0
3,3713310,1568760,1295910,1457835,2905215,3983355,3456780,2992170,2474265,2117010,3411390,3635025,2054025,1983135,2125425,1677390,1659795,1964265,1770210,1597575,1650870,1673565,2632875,2926380,1465485,1693200,2208045,1981095,0
4,3279045,1889295,760920,878985,2357475,2745075,2551530,1998180,1483590,1157445,2408985,2921790,1339515,1591200,1624095,1156170,1028925,1010310,856800,892245,862920,999090,2653785,2867220,1229610,976395,918510,849660,0
5,545445,188445,545700,964155,2265420,1889295,1380060,968745,926670,1102365,2507415,1214310,564825,770610,1681215,1253070,885360,777495,477870,490365,835635,963390,1641690,897855,420240,522750,386835,477615,0
6,1821720,2178720,1469565,588030,267750,342720,387600,236385,200430,118065,484245,631635,138975,122910,125715,96135,109905,83895,109650,73950,67320,39525,278460,1352010,578595,410550,160905,106080,0
7,4217955,2919750,3465450,4671855,6147285,6696300,4742745,4530840,4675425,4201125,5781615,4771815,2892975,3008490,5226225,4242180,4291140,4339845,2580855,2392410,2734620,2369460,3329790,3148485,1900515,2012460,2490840,2587995,0
8,1720230,1119195,724710,581400,1356345,3042150,3291795,2945505,2463555,1550655,2665770,3100545,1374450,1408620,1881900,1432590,1673565,1904850,1249755,1186770,1388475,1283160,2254965,3179340,1332375,1428000,1897200,1292085,0
9,1955595,921315,425595,584715,2652765,2458965,2262105,1789590,1164075,991185,2164950,2112165,830280,1113075,1413210,1035300,841755,802485,705330,540345,631125,917490,2053005,1998180,684420,511020,478635,531930,0
