,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3972645,3028380,3069435,3354270,2835855,2647665,2557650,2012460,2191215,2173110,3176790,3083970,1665150,1595025,1483590,1400205,1665405,2299845,1751850,1437945,1501185,1319625,2187135,4307970,1904595,1502970,1455030,1633785,0
1,5009220,5332560,4190160,3673530,4443375,3904050,3025575,3610800,4301850,3738810,4693020,6072570,3071985,2974830,4046595,3987435,3546795,3653130,3949950,4237590,5419260,4348515,5111730,4187355,3364470,4179195,2683620,2813670,0
2,8298720,5450880,4815675,7146375,6537945,3408585,3782160,6016215,3934395,4705515,8689890,1533060,1081710,2527050,4963065,7656120,5419260,3184185,2229975,1856400,2812905,4599180,5180325,8202585,4178685,1639140,2169030,4736625,0
3,3556230,1500165,1228080,1367820,2836620,3740085,3288990,2915670,2468400,2079525,3248955,3536850,2082585,1984920,2049690,1710285,1663110,1902045,1761795,1590690,1640415,1667700,2542350,2827440,1470330,1658520,2136390,1957380,0
4,3123240,1796985,682635,836400,2368440,2658375,2525265,2071620,1521585,1238535,2401080,2901390,1292595,1569780,1583550,1162800,1100580,1022805,933810,918000,866235,1044990,2543880,2985795,1354815,1114350,948855,861900,0
5,508725,186405,550290,917235,2244000,1784745,1335180,936360,914940,1037085,2466870,1123785,537795,802995,1778370,1252050,869295,769335,521985,508215,838185,953955,1560600,949110,441915,497760,362100,483480,0
6,1717170,2020875,1414995,531165,280755,337365,393210,222105,178755,130560,504900,603075,127245,110160,133620,114495,109395,86700,117045,68850,66045,34935,274380,1269390,578850,373575,141780,85425,0
7,3959640,2545665,3076830,4069800,5792070,6379845,4418130,4141200,4431390,3889260,5260140,4357440,2479365,2643330,4942155,3771195,3793125,3982080,2284545,2108085,2333760,2060145,3046740,2774655,1589925,1689120,2174640,2336820,0
8,1674585,1102875,691305,555645,1360170,2968200,3203055,2845035,2338095,1507050,2587485,2984265,1329060,1497615,2027250,1500420,1632000,1928820,1289535,1181415,1398420,1293105,2186115,3063315,1307385,1384905,1849515,1285455,0
9,1827840,884595,436815,576045,2592330,2460495,2221305,1677135,1128120,940950,1997415,2071875,822630,1136025,1421115,976140,843285,781320,673455,547740,613275,891735,2096610,2031330,762450,544170,475830,512040,0
10,4216425,1886235,1154895,1132965,3332340,5328225,3999930,1809480,1216860,1062585,2758845,2982735,1142910,2574990,6184005,3423630,1902045,1222980,864960,858840,1120470,1112565,2263890,1927290,943500,1002915,1115115,976905,0
11,1682235,1998690,3746205,2680050,1459365,1431060,3153840,2586210,1201560,943500,1921935,5690580,1982880,1007760,1766895,2202180,661215,547995,610470,1263270,2873085,3124770,4593570,2257005,1109505,1207170,1614915,1926015,0
12,735675,276165,260865,794580,2388075,2262870,1589160,902445,904230,856035,1702125,1978545,794070,721650,921570,651780,546720,776220,548760,459000,591345,624495,1264545,1659285,845580,751740,686460,719865,0
13,1482570,177735,31365,355215,4352340,4664205,4179705,3596265,3241305,3149505,4255185,3172965,2316930,2361300,2359770,2381445,2125425,2077230,1917600,2544135,2771340,2702745,4223055,4036140,2465340,2443410,2663730,2641290,0
14,2870535,1355835,1424685,2365380,2758080,2471970,2362575,1929585,1640670,1377510,2359005,2208045,1194930,1494810,1511130,1292085,1143420,1012605,1055190,1094715,1254345,1469820,2723145,1924740,1039635,1125315,932280,976395,0
15,1048815,728790,765000,1225020,1072530,826455,551055,593895,686460,489600,1027905,1631235,705840,515865,527340,503370,504390,586245,551820,399075,490875,332775,626280,1698045,746640,599760,620670,367965,0
16,406725,138210,107610,289425,1297695,929730,387345,113220,116535,105315,236385,572475,225165,146115,205020,83130,183855,39270,34170,70380,33660,131580,145095,1137045,301920,79050,74715,64770,0
17,430185,195075,182835,766275,1658010,1390515,1067685,744090,556410,489855,1196715,1873230,911370,788460,745110,670395,633165,634695,487050,422790,587520,563550,1029180,1308660,479910,490875,836655,762195,0
18,1112565,298860,159885,306255,2307240,2320500,1865325,923100,573240,579105,1413975,1137810,369240,712980,958545,389130,303705,290445,269790,272850,304215,645915,1727370,655350,334050,399075,267240,302430,0
19,2135880,1201050,1810755,1728390,1791885,948600,676005,568395,681360,1252815,3513390,1074570,274635,256785,340170,308805,480420,280755,222870,163200,266730,727260,2251140,1034535,192270,89505,100725,111435,0
20,1912245,719610,105060,55590,2125170,2859315,2073405,757095,442680,378420,1327785,1377255,262650,283050,79560,83130,531930,65280,34425,36210,26010,31875,61965,295800,29580,22695,75480,23970,0
21,1348185,678555,859350,928455,1237515,1892865,1734765,2412555,3178320,1533060,2361810,1408110,926415,1056465,1271175,998580,1170450,1970130,1091400,673965,599505,478125,682380,928965,731595,979710,1429785,1026885,0
22,2163420,473280,73185,20655,641070,3113550,2605335,2145315,1870680,1240065,2345235,2600490,833850,845580,1033005,853740,1061310,1113330,556155,377400,503625,305745,935085,1270410,272595,477360,929985,494445,0
23,3616920,2020110,818805,859095,2243490,2363850,2283270,1934940,1608030,1387200,2490840,3354270,1863540,1661070,1705695,1432080,1181160,1215840,1247205,1226040,1254855,1336200,2811885,2666535,1398165,1250775,1156680,1161270,0
24,3373650,1794435,1082730,1360680,2628540,2504610,2044845,1742670,1560855,1403775,3037815,2676990,1373175,1238025,1109250,1310700,1142910,1413720,1652400,1452990,1413720,1224765,2065500,2904705,1352520,1213290,1224765,950130,0
25,5653605,4501770,4947510,4960770,4881975,4184805,2831265,3607740,4765695,3037050,4282470,5261160,2404905,2593350,4171035,2860590,2724675,4444650,4669815,4387530,3884925,2552295,3824235,4913595,2619360,2154495,2160105,2299845,0
