,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,4082040,3061785,3091620,3422865,2845035,2662455,2619870,2088195,2313870,2294235,3324180,3151290,1694730,1601910,1504245,1402755,1681215,2335035,1711050,1397910,1530255,1358640,2220030,4352850,1945140,1490985,1442025,1646790,0
1,5113005,5364690,4289100,3783690,4575975,3940260,3038580,3702090,4347750,3775275,4776660,6158760,3095445,2948820,4037670,3962955,3580455,3651345,3899715,4179705,5505705,4329900,5126265,4252125,3425670,4253910,2729265,2874870,0
2,8412960,5306550,4643550,7111440,6457620,3381300,3743145,6011880,3941790,4728720,8825805,1475430,1035045,2520165,4916910,7780560,5498055,3074280,2074425,1803105,2709630,4450515,5072205,8436420,4159305,1557795,2070345,4715970,0
3,3480240,1433355,1185495,1329060,2802960,3609780,3216060,2890935,2428875,2064735,3247425,3547050,2060400,1967580,2035665,1734255,1647300,1862265,1734765,1597830,1642965,1669485,2538525,2867730,1480275,1639650,2068815,1894650,0
4,3048270,1683510,634185,819060,2324325,2589780,2543370,2075955,1490220,1248480,2402100,2930460,1267605,1553970,1554990,1175040,1129140,1001385,908310,925905,880770,1060800,2583405,3022515,1365780,1142910,965940,864960,0
5,573240,214710,575280,983025,2432445,1899240,1382610,1008780,970785,1100070,2695860,1185750,582675,860625,1952790,1379550,922590,853740,601800,569925,919275,1043205,1701105,1060035,503880,488070,359550,464865,0
6,1600635,1931625,1379805,524790,281775,337620,365160,191250,185385,144075,529125,608430,115515,92055,127245,114495,113220,83385,115260,66555,58395,36210,275145,1188300,537795,350625,133365,75480,0
7,3824235,2316930,2833305,3780375,5671455,6357915,4326075,3968565,4242180,3728610,5178285,4146555,2249865,2414085,4737390,3532005,3583260,3822450,2186115,1989510,2095845,1911990,2904450,2609415,1403520,1541220,2000730,2193255,0
8,1663365,1102620,705585,567630,1362720,2983755,3176535,2825145,2320500,1499655,2572440,2985540,1323705,1525920,2110125,1522860,1659540,1972680,1291320,1178610,1418820,1303560,2194785,3105390,1309170,1371135,1891845,1261485,0
9,1719975,849405,438600,549525,2551530,2428875,2190450,1609305,1061820,887145,1924740,2049435,812940,1136790,1387200,918255,829770,767295,659175,530400,607410,858840,2109360,1997670,772650,554880,469200,499800,0
10,4193220,1888530,1140615,1123785,3268080,5309865,4011405,1783470,1180905,1051875,2744310,3052860,1184730,2635170,6296205,3456015,1884195,1233435,860370,853995,1129650,1120215,2203200,1905360,911880,971040,1088595,980730,0
11,1607010,1918110,3625590,2543115,1413210,1385925,3059745,2527050,1137300,920040,1898985,5515140,1929585,984045,1697790,2125425,636990,550545,591600,1185750,2732835,3008490,4495650,2084880,1092675,1208955,1610070,1911990,0
12,715785,281520,276930,784635,2305200,2239920,1590180,907545,889185,846855,1691160,1982880,796110,735675,912135,640305,557175,774180,545955,437070,586500,628320,1276275,1687335,839205,740775,692580,725730,0
13,1436925,167280,32640,374850,4327350,4653750,4151400,3534810,3217845,3133950,4188375,3190305,2317950,2339880,2340135,2354925,2104770,2064480,1883685,2483445,2766495,2684640,4179705,4017525,2458965,2425050,2642055,2628795,0
14,2820300,1332630,1401735,2265930,2683875,2445960,2287350,1868640,1592475,1350225,2326365,2189940,1166880,1479255,1483590,1306110,1156680,1016685,1037340,1056975,1228335,1438200,2611710,1914285,1022805,1103640,917490,963900,0
15,1037850,728535,774180,1207680,1031985,805800,556665,608175,698190,485010,1013625,1640415,734655,535245,527595,502350,471240,571965,559215,399840,512040,336855,631125,1684530,755310,600780,630105,393975,0
16,393465,139995,109905,242250,1324215,923610,363120,110670,115005,117810,258060,584715,243780,163965,220575,91545,192780,45645,40035,75735,40035,141270,153510,1167900,304725,74715,74715,65790,0
17,414375,190485,182580,765765,1655715,1384905,1057995,721395,541365,495210,1162800,1787550,914430,762195,741540,637500,634185,636735,476085,426105,580380,547740,990165,1313505,480675,478125,818040,756585,0
18,1128630,291210,158100,295545,2207025,2212380,1754400,862920,529635,512295,1286475,1098795,359295,651525,919020,366435,286365,258825,263925,261120,280245,608175,1734000,647445,336090,361080,240210,288660,0
19,2142255,1191105,1720995,1624860,1756440,971805,653055,570945,670140,1208700,3514155,1082985,274890,234855,330990,283560,523260,247605,207825,162690,271830,723435,2187135,1017960,198645,91290,98940,107100,0
20,1930860,743325,103785,45645,2114715,2897565,2042295,725475,429420,392445,1279845,1413210,263160,275655,69615,81600,501585,58140,35445,36720,22440,31110,68340,292485,29835,25755,72675,24225,0
21,1313250,655860,827220,953445,1244400,1852065,1713600,2411790,3194130,1522605,2398785,1425960,929475,1060545,1321920,1019235,1179885,1967070,1110015,695130,625005,498270,701250,961860,728790,963135,1443045,1034025,0
22,2128485,451860,65280,14025,621945,3185460,2604060,2082840,1892610,1240575,2395725,2707335,851190,847110,1011840,806820,1057995,1134750,552840,382755,487050,285345,884340,1345125,281520,508215,909330,491895,0
23,3624060,1989765,800445,853230,2217990,2306220,2223600,1928820,1632510,1398930,2520930,3363960,1875270,1676115,1692945,1404795,1149795,1163055,1253580,1223745,1237005,1367055,2833305,2684895,1421880,1226805,1155150,1171725,0
24,3386145,1790865,1082220,1349715,2587740,2483190,2110890,1761795,1519290,1390770,3039600,2604315,1361955,1220685,1088850,1328805,1138065,1437945,1663110,1439985,1420350,1213800,2050965,2915415,1346910,1179630,1214310,948855,0
25,5117085,4046085,4490295,4470150,4401810,3701070,2269500,2956980,4256460,2310810,3377730,4255950,1674585,1900005,3510840,2097630,1894905,3604170,3932610,3624315,3072240,1748790,2816985,4002990,1881900,1404285,1375725,1446105,0
26,1154130,644640,657135,1338495,1355580,1082730,813705,871590,888675,499035,1329060,1357110,642090,632655,624240,461295,587010,737205,408000,406980,609705,577065,1718700,1337475,607920,1055445,1214565,695640,0
27,671415,152490,49725,638775,1313505,2692035,2795565,1779390,465885,204000,1282650,2477070,812430,742560,671670,157845,66045,107865,500055,185895,22950,20655,1996905,414375,96645,398565,86190,45645,0
28,4901610,1346145,167025,190740,2253435,2708865,1799535,882810,388110,352920,1412445,1359660,268770,315180,364650,313650,253470,89505,122145,139230,109650,147390,187170,598230,122145,135915,208335,55335,0
29,1699065,214200,10710,2550,974610,2284035,2190960,838185,687225,648720,1155150,1136535,270810,324615,334305,249135,361590,101235,28305,41055,27285,64005,71910,544425,73950,37740,68595,10710,0
30,446250,83385,100470,259080,1879605,2529855,1927545,1269390,1047540,654585,1498890,1875015,784380,791520,935595,779280,576300,902445,932280,942990,493935,543405,1735785,2051985,477870,460020,1234455,1723035,0
31,1677390,1319880,1091655,1039125,1132710,795600,591855,972315,1039125,726495,1203855,1226550,725475,783105,873630,714000,796365,919530,614295,600015,1087575,984555,1362465,1666680,1044225,826965,832320,1196460,0
