,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,5985360,6147540,6072825,6116940,5739540,5146410,6372705,4796550,4261050,3899715,4762125,4988565,3336930,3299955,3992535,3407565,3387675,5755860,4630035,4305420,5044665,5000550,5766060,5390190,4034100,4083315,3857130,3757170,0
1,9502065,9907005,9899355,10427205,9548985,9018075,8813565,9063465,8321670,8422905,9933525,8857170,7892250,8277045,8793420,8001900,7577070,8910210,9295260,9405675,10143645,9770580,10643190,9235845,8234715,9018075,8281635,7592880,0
2,12022485,12069915,11689965,11682060,11146305,10499625,10733460,11120295,11702715,11285790,11013450,9314895,8420610,9607125,10339740,10604175,11131515,11002230,9904965,9696120,10238505,10767885,11154210,11434200,10579950,11209290,11793750,10499880,0
3,8381850,6691710,5506470,5312925,6209505,7277190,6852870,6622605,6469350,6783000,8422395,6880665,4666755,5213730,5690835,4309245,4763910,5310375,3474885,3182910,4202400,4521915,5772945,9115995,5456235,4672110,5906820,6405090,0
4,6335985,5427165,3519765,3924705,7300650,8572335,7174425,6873525,6523410,4068015,5176245,5989950,4775640,5455470,6767190,7209105,5262180,5247135,5708430,4206225,3676080,4001205,6288555,7785150,6804675,6994905,4638450,4911045,0
5,7901175,7093335,5930790,6490515,8303310,8547600,7881540,6890610,6251835,6750105,8629200,6578745,4875600,6278100,7547490,6205425,6255405,6611640,4811850,4510950,5318535,5768610,7156320,5646210,3885435,4344180,4261050,4868205,0
6,5453685,5739285,6188085,5946855,3359115,2791230,1759245,1565955,2748390,2234055,4348770,4211835,1664640,1654950,1197480,946815,1330590,1656480,1542495,1185240,1179375,606135,1192890,3910935,2424285,1973190,1115625,1030965,0
7,9709635,7686465,7111695,6400500,6192930,6763365,6652950,6621585,6802635,6646830,6993630,6434925,5548290,5911665,7343235,5840520,5564100,5949150,5261670,5257845,5479440,5200470,6126375,6054210,5080620,5327970,5470005,5970060,0
8,7005870,6178905,5272380,4977600,5944305,7202475,7402905,8106450,7703550,7303965,8433615,8781945,7843800,6727920,6843945,7105575,6910500,6305130,5967255,5814000,6322470,6274530,7172640,7207830,5827770,6062115,6365310,5889735,0
9,8136285,7010205,5910390,5888460,7777755,8799285,9648945,8932140,8623335,7149690,7690545,8175810,6738630,7302690,6904635,5760195,6182985,7198395,6956145,4967655,5203785,6597360,7397295,9001755,7480935,7150710,5051550,4402575,0
10,9716520,9101205,7845840,8027400,8895165,8586615,7812690,7948605,8197995,7255260,8554230,7979715,6177375,7100730,9148890,8010060,7837170,6630000,5738010,6777900,7612260,6793200,8133225,8847480,7152240,6940080,7157085,6879645,0
11,6328335,5733930,5578635,4727445,4417365,4185060,5451390,7581150,4950315,3862995,5096430,7470225,5967765,5235405,6407895,5947620,4103715,3345090,4854435,6994140,6503520,7392960,7619910,7163460,5701800,5027325,5345820,5741835,0
12,5393760,3236460,1927800,3258135,8067690,7777755,7963905,6507855,6592005,5522790,5549820,6048345,3130890,2138430,2731305,3894105,3777315,3850500,4984995,5800740,5167320,2512770,3219630,3534810,2623440,3360645,1970640,2073660,0
13,6999750,1291575,917235,2667555,7476345,8849775,9496455,8030715,7630620,7874145,8761035,7232055,6425745,5990460,5616120,6213075,5713785,4473210,4797570,6124335,6061860,6129180,7677285,7243530,5198430,4966635,5306805,6529275,0
14,6955890,5272890,5753310,7356240,7338390,10044450,10347390,9367170,9829230,8661075,8888280,6916365,7007655,8609310,6032025,6428805,5876475,4198320,3640635,5026560,7886385,8316570,7727775,6108270,4993410,4738920,4372740,4433940,0
15,5543700,4620090,5700015,6557835,8977530,8553720,6509640,6021315,8211765,11158035,10990755,5793345,3271905,2521950,3282615,3456525,2400570,2998290,2646645,2064225,3065100,1285200,1833705,5528400,2620890,2348550,2578560,3701835,0
16,6520350,3610800,3854835,5432010,6080730,5749485,5245350,3283125,3540930,6504795,8022045,3448620,1573095,1949730,1969110,1878840,2117265,871845,1045755,1553205,1488180,1411425,1661835,5155080,2910060,2546175,1395105,1805145,0
17,5557470,3853305,3670980,4470660,5739030,5713530,4698120,3822195,5204295,5892030,6319155,6227865,5035485,3889005,2767260,3127065,5315475,6415545,3743400,2144550,1900005,2440095,4064700,5851230,3737280,4989330,4515540,3821940,0
