,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,5654880,4666500,4289355,5019165,4559655,4234785,4050930,3614370,5576340,4995960,5127285,3335655,2752980,6124080,4892940,3785730,5090565,6982665,6291615,5964960,6201345,7608945,6500460,5441445,4362795,4554300,8082990,10658490,0
1,6015705,5835165,6562680,7088745,7295295,5776515,4694550,5368260,5539110,5055375,5948640,5765550,4984995,6004995,7440135,5620710,5940225,7196355,8138070,6348480,4902375,5174205,6125865,5833380,5664825,5912940,4909515,4698375,0
2,8832435,8749305,8726100,8552190,7889445,7842525,8704170,9016800,7930755,7185390,7195845,3944850,2630580,3041895,4183275,5665590,5116575,5687265,6326805,7337880,8140620,6440535,6694770,6653205,4811850,3550110,4114680,4367895,0
3,5309100,4726680,7042080,7862160,7160400,8256900,6005505,5151000,5484795,4561950,5320320,7536015,5025285,5046960,7404180,6015195,5105610,5831340,4975560,5219595,5285130,4182255,4958985,6194205,4413540,4478565,6861030,6818445,0
4,3156135,2864415,1925760,2241195,3420315,4863360,4631055,3108705,2352375,3201015,4508400,3476415,2095845,2223090,2268990,2472480,2277915,2727735,2039745,2149650,2598195,2945760,3965760,4550730,2562240,2070855,2444175,2457435,0
5,1313505,1110780,4277370,5914980,4642275,4430625,4521660,3512115,4428585,6059820,5117850,3380280,3183165,6210270,4010640,3458055,3001350,3837750,2265420,3188265,3535830,2142510,2910570,3816330,2675970,3153075,4507635,8666685,0
6,2521695,2946525,1801575,1037850,900405,702525,1597065,504645,372810,627810,1958145,1856400,605880,533715,1499145,1894140,771630,546720,2199630,2001495,1215330,3308115,2554080,1819680,884850,747150,1063095,494445,0
7,9370230,9700200,8405820,7572480,7943760,9030825,8696775,8366805,8547600,8294640,8386440,8218395,7517400,8047800,8152605,7119090,6898770,6589710,5354490,5040840,4715205,2544900,2814690,4434705,4311795,4302870,4568580,4184550,0
8,4783290,2477835,2043060,2363085,3819390,5735460,4473465,4220760,4766460,3500895,3644970,3475905,2692545,3902520,3318570,2372775,2339115,3003390,2365890,2402610,3850245,4563735,4374270,4163385,3257880,2911335,2888130,3200250,0
9,1907145,1542750,1244655,1659285,2184585,2148885,2109615,1926780,1875525,2264910,2678010,2516340,1780665,1843140,1972425,1786785,1687080,2038980,2301630,2392665,1906125,2281995,3437910,3290520,2114970,2008635,2703000,3623295,0
10,5638305,4728210,4814145,5092095,5872905,5110455,4212855,4064190,4178430,3701325,4344180,5118615,3191325,3503955,4748355,3232890,2906235,3991005,3421845,3676080,4210815,3910680,4546905,6044265,3942555,4343415,6041970,4490550,0
