,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3437145,3247680,2615790,2092020,1896435,1621545,1546575,1521075,1414485,1340535,2428365,3282615,1753890,1474665,1613640,1618995,1520055,1526940,1806165,2296275,2399040,2520675,3783435,3055665,1784745,1490730,1828860,2334270,0
1,3431790,2536995,2182800,2040510,1982115,1975230,1797750,1659540,2023935,2126700,3068670,3212745,1836000,1603185,1379550,1087065,1521330,2377110,2522460,3114570,2673165,2105790,3049035,3853560,2392410,2021640,1997160,1955085,0
2,7563300,6824565,6373725,6701145,7166775,6316350,6275550,6363015,6690690,7725480,8429535,8470080,7925910,8466000,7427385,6763110,7186155,7296060,7093335,7129290,7490370,8164590,8340285,8245425,7314675,7006380,7273875,7961610,0
3,2786385,2996250,3745950,4358205,3069180,3141600,3901500,3210705,3222690,3863760,4096575,2364105,2300355,3843615,882045,176970,78285,44880,11985,11985,11985,11985,10200,219300,119850,23970,25755,26775,0
4,5978220,4477545,3604425,3034755,4250595,4841940,3912975,5929005,5985105,5173185,7928715,5820630,4497180,4611165,6058035,6887040,5910900,7567635,9229980,7589565,6146010,6505560,8803365,3973665,4058070,6000405,3292560,2760885,0
5,2479110,3012060,2501295,1913010,2886090,3321120,2999310,2642055,2290410,2217225,3178575,2693310,1750830,2142510,2768535,2683365,2555100,2044590,1862775,1970895,2094825,1981350,2874870,4549710,3005430,2499510,1646790,1295655,0
6,3766860,3152055,1632000,1647045,2141235,2134605,1840080,2011440,4778700,4059600,5302470,4299555,3064335,3233400,3050310,3157920,3814800,2236350,2247825,2680050,2554590,2676225,3327240,4878915,3762780,1978290,2195295,3308625,0
7,1057230,1049580,731595,682635,1061565,957015,685695,1011330,783360,627810,1342830,1350480,766530,957525,992460,593385,812430,1291065,863430,697680,830280,468180,823395,1665150,757860,757860,738225,697935,0
8,2064225,2411535,1936215,2429130,3687045,3129360,2791230,2233545,2676225,3778335,4060875,2843505,1683765,2073660,3993300,2323305,1724565,2138430,2713455,2955195,2789445,2053515,2996250,3230595,3068670,2543880,1424175,1404795,0
9,3994575,2450040,1681215,1882155,3403740,2755275,2366145,2165715,1406835,1986705,5351940,1030455,1012095,2188920,2525520,2940660,1670250,1134750,1196205,2693820,2372520,1307385,1674840,1196970,1181925,3086775,1874760,1607775,0
10,1899750,2436780,1879350,1312230,1710540,1877820,976395,1051620,1056975,533205,1103130,1055445,241740,278460,380970,306765,1136535,1613895,756330,931515,1092420,585990,1256385,1197480,594660,841500,1175805,627810,0
11,2391390,1265310,1475685,1020000,456450,612765,702015,390915,870825,912390,1395615,1363995,467160,203490,300135,665550,316965,449820,602565,423300,781065,924630,1239045,925395,322320,423555,336345,1474665,0
12,1316055,872355,640305,909585,1084005,822885,1391280,1204365,805545,997305,2418420,1814325,795855,929730,851190,798150,607920,468180,1258170,1655715,1252560,891990,1306620,2327130,1056975,852465,885360,844305,0
13,1320645,1732470,1703145,1380060,1010820,1289025,2363085,1751340,1237005,1916835,3793890,1343340,712980,1230630,1951260,773415,1150815,1376745,904740,811410,1061565,1172745,1945905,2475030,2034390,1495830,1099815,1743180,0
14,2165970,1337475,1756185,1591455,993990,683910,365925,530145,1963500,2271285,2658375,3567450,463590,134385,283560,1742670,172635,16065,137190,154530,3060,9180,368730,170340,77010,96135,277695,134895,0
15,4415325,4188375,4848315,4531350,4396200,4286295,4205205,4181745,4099380,4001205,4830720,4780995,3934905,4026195,3936945,3679395,3703620,3562095,3519510,3541185,3331830,3152565,4066230,4301595,3483300,3611055,3637575,3610545,0
16,5437875,4437765,4408185,4750140,4984485,4994430,5638815,5784165,4885545,4168485,4610655,3712035,2938110,3010530,2964375,3055155,3317550,3212235,4135080,4673130,3418020,3487125,4634625,4119780,3213000,3410625,3521040,3500895,0
17,1560855,1938000,2035665,1892355,2930205,2567085,675495,609705,2041785,2460495,4216170,1994100,540855,565590,1549125,1386435,1517505,1723290,807585,511530,671670,493170,964665,992460,576810,575535,244290,214455,0
18,1109250,1203600,5190270,4675425,4615245,4081275,1848240,1984155,7752255,6950790,7110930,5485050,3296385,3751050,5411100,5217300,5237700,5259375,6041205,5963175,4439805,4864380,6662895,6124590,3682965,3487890,4456890,4308990,0
