,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1733235,1524135,1317075,1004190,869040,720630,680340,663255,623475,608685,1346145,1703400,784635,654075,719100,747150,684165,697935,848640,1120725,1141125,1209465,2152710,1603440,824160,731850,882810,1127355,0
1,1566720,1070745,954720,981495,880515,853485,785655,724965,870060,908310,1587630,1666680,832320,775965,680595,601035,821100,1223745,1229610,1465995,1452990,1107465,1834980,2149650,1175805,1100835,1056210,1025610,0
2,2628285,2127975,1928820,2085900,2293725,1959420,1910715,2097375,2042550,2355435,3570510,2894250,2060400,2537760,2161890,1954830,2027250,2036685,2071365,2329425,2284035,2458965,3459330,3272670,2139960,2240175,2117010,2070345,0
3,701505,785145,1209465,1893630,1422390,1387455,1661835,1371900,1498890,1989510,2298825,1182690,1068960,1823250,405195,101490,50745,28305,9180,9180,9180,9180,8925,197115,109140,22695,23715,23970,0
4,3192855,2535210,1996395,1658775,2531130,2257260,1914540,2682600,2448255,2377875,4518600,2787150,1952790,2090745,2637975,3279810,3151545,3564645,3944340,3282360,2709630,2621910,4464030,1537395,1328805,1951005,1475430,1384395,0
5,839715,1233690,1071000,788715,1100070,1370115,1319625,1149030,1002150,902700,1788315,1322430,730065,857310,1142655,1167900,1103385,909585,723435,757350,826710,776730,1396125,2113185,1159995,1083750,707880,539835,0
6,1376235,1129905,650250,682635,830790,807840,781320,896325,1909950,1487670,2393175,2000730,1051875,1095735,1122765,1094460,1438455,840735,818805,869550,828240,866235,1399695,2104770,1167135,587775,671925,1020000,0
7,31620,22695,8925,23460,34425,25500,14790,44370,36720,26775,29070,23205,16320,36210,19890,15300,24990,36210,22695,25245,39780,16830,15555,40035,26520,37740,25245,19380,0
8,1434375,1458345,1189575,1423920,2200140,1837530,1645770,1371645,1725840,2218500,2840190,2005065,1156170,1612110,2808570,1645260,1040655,1236240,1799790,1969620,1883685,1321155,2085390,1951005,1701615,1546575,1029435,1039380,0
9,2206260,1339515,839715,942480,1971915,1566210,1267605,1256640,864705,1341810,4152930,700485,590325,1245165,1574625,1782195,1173255,808860,809115,1737315,1613895,886125,1255365,851445,755055,1983135,1067685,903465,0
10,720120,844050,614550,517905,633165,607665,442425,432990,392700,225165,620160,543660,130815,152745,245055,148920,379440,653310,409275,443190,489600,399075,754545,652035,324870,418710,464610,399075,0
11,709920,384795,470220,347310,219555,238170,192780,106845,294015,325380,517905,680085,223125,124440,146370,228480,115515,157080,280245,230010,320790,287385,404430,376890,214455,229500,226440,428145,0
12,703035,589560,446250,692325,711450,462315,750720,687480,467670,556155,1365780,977415,386325,442680,466395,359040,292740,220830,661980,951150,654075,459000,834615,1393065,502605,423810,359805,404685,0
13,1113330,1453245,1710030,1382610,881025,1420860,2946270,1930860,1428000,2303160,4362795,1283670,560235,1132455,1687335,585480,966960,1136280,757350,577830,874650,1003680,1911735,1846200,1253325,895815,750210,1561110,0
14,1501695,1039125,1432080,1026885,698190,523005,258060,370005,1221960,1371900,1856655,2227680,309315,94350,122910,874650,77775,8415,86190,79560,2295,8415,212670,124950,60435,64260,196350,81600,0
15,3229320,3141345,3671490,3407310,3367530,3330300,3335400,3386400,3444540,3327750,4156245,3887220,2950860,3089835,3049290,2776440,2801175,2650980,2489820,2483190,2439585,2441115,3311685,3571785,2698155,2829990,2831265,2878695,0
16,4331430,3417510,3495795,3737025,3876000,3852795,4190670,4277370,3600855,3046230,3671745,2886090,2042040,2054280,1989765,2082585,2178465,2098650,2607375,3170160,2449020,2516085,3623040,3295110,2461515,2578815,2645880,2656590,0
17,1085280,1253835,1367820,1212015,2057595,1747260,367200,350115,1265055,1693200,3476925,1205130,281265,295545,918765,919020,1010820,1185240,603075,330225,377400,322065,658155,862665,442425,454410,155040,92055,0
18,740775,847365,3229830,3141090,3222180,2854980,1053150,1201815,5970570,5859390,5898405,3925980,1734255,2113950,4115445,4073115,3847950,3868860,5012535,4820520,3007980,3282615,5718375,4990860,2261085,2071875,3494520,3153585,0
19,21165,44115,20145,29070,27285,24480,23205,27795,28815,41310,56865,22695,18360,44115,25245,35190,28560,26010,30090,42330,26265,41310,65025,36210,14025,23205,20655,49215,0
20,299625,314160,1000365,68595,44880,136170,17340,9690,60180,15555,53550,782850,523005,723435,951915,528105,895305,675750,314415,324615,1371390,1287750,4180215,843795,481440,310080,281775,379950,0
21,1087575,549780,431460,150960,103275,156060,163710,99705,425340,81855,237915,1711305,2155005,1241850,549525,162945,88995,214710,189465,44370,132855,409020,904485,1135260,398565,449055,563295,406725,0
