,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2991405,2744310,2222070,1774800,1579725,1317840,1240830,1241595,1152345,1158975,2178975,2658120,1419840,1207680,1344870,1349205,1248735,1259445,1550145,1955340,2045865,2125680,3334125,2615535,1488690,1253325,1550910,1991550,0
1,3312450,2448000,2158575,2035410,1923720,1862010,1733745,1596555,1944885,1983135,2970750,3077085,1777095,1621545,1419585,1121745,1568505,2365890,2403120,2898585,2656335,2105025,3054135,3790320,2318970,2033115,1964775,1914540,0
2,4246260,3511605,3133950,3400935,3602130,3234165,3255075,3370335,3353250,3868095,5158905,4736370,3705660,4337805,3653640,3400425,3440970,3363705,3481260,3683730,3712035,4194240,5066085,4901865,3700050,3655170,3403485,3606210,0
3,1562640,1793925,2591565,3441225,2455650,2452845,3063060,2631090,2635935,3358095,3637575,2013225,1900770,3091365,667590,147645,77775,51000,12750,12750,12750,12750,12240,268005,144585,21930,22950,23715,0
4,6800340,5163750,3968310,3229065,4869735,5092860,3897165,5807625,5761725,5299410,8729415,5905800,4300065,4326075,5611530,6619290,5735715,7219305,8898225,7516635,5836185,5962155,8776080,3490950,3320355,5422065,3138030,2635425,0
5,1767660,2343705,2004045,1459875,2227680,2687700,2426325,2079015,1812540,1721505,2945505,2321010,1339005,1652400,2220540,2162145,2026485,1616955,1323705,1452480,1579725,1467015,2414595,4018545,2461005,2107320,1312485,988125,0
6,2490330,2042040,1095225,1072785,1413210,1384395,1296675,1413465,3153585,2614005,3764820,3344835,2027760,2074425,1989765,2124915,2508690,1467780,1471350,1643985,1540455,1604205,2286585,3599070,2454630,1221195,1344870,2041275,0
7,108885,108375,68595,75225,110160,105315,71910,110160,81345,57120,111690,136425,66810,111945,90270,45900,81855,113475,87210,67575,109650,50745,77010,192780,116025,136680,121125,81090,0
8,2137410,2234310,1840590,2199630,3393285,2958255,2581110,2108085,2548980,3337185,3868860,2828715,1664130,2195040,3746460,2233035,1539180,1863795,2557905,2781540,2683110,1966050,2873340,2885580,2574480,2210595,1399950,1419330,0
9,3553935,2121090,1414485,1623075,3173985,2566830,2123640,1929840,1279335,1857675,5285895,984045,915450,1930860,2296020,2698920,1697025,1157445,1184985,2508690,2294235,1278060,1669740,1281885,1233435,2931480,1752105,1474155,0
10,1039125,1296675,931260,706350,913920,888420,542895,565845,559980,293505,746385,706350,168810,188445,310590,198390,559215,890715,472260,544170,671670,471495,885615,801720,393210,518160,635460,465630,0
11,1226805,621945,725730,511275,266985,328695,299880,174675,449565,491130,825435,904485,280500,167025,226695,355980,170595,236130,370260,303450,440385,482715,722415,607410,303960,318240,292995,745365,0
12,1298970,954720,724710,1053660,1154385,854250,1440750,1271175,849405,1037340,2445450,1831665,801720,952425,849150,752505,587775,437070,1327785,1830135,1307130,930240,1447125,2502570,1051620,840225,794580,808095,0
13,1696005,2179230,2417655,1962735,1369350,1905615,3773745,2649705,1983900,3192855,5640090,1778115,878985,1588140,2554080,920295,1472115,1744455,1127610,908820,1330590,1446870,2426070,2793270,2078505,1547085,1141890,2086155,0
14,2327640,1342830,1975740,1750575,1165605,752505,339660,580635,2002770,2384505,2946015,3625590,549270,166515,275910,1707735,165750,13515,103785,127500,4845,10200,403410,171615,77010,101745,341955,131580,0
15,4205205,3967800,4572405,4233000,4165680,4114425,4074645,4011150,3998655,3951480,4839900,4711380,3636555,3804090,3690870,3369060,3430515,3277260,3200505,3234930,3064080,2964375,3953520,4321740,3358605,3421590,3385635,3386910,0
16,5299920,4288845,4329390,4519365,4686135,4745040,5187210,5430480,4583370,3857130,4452300,3532260,2671635,2718045,2630835,2670870,2828970,2757060,3450660,4239120,3155370,3185715,4388550,3998145,3025065,3185970,3284910,3253035,0
17,1646790,1924485,2056320,1909185,2944740,2556120,645150,589560,2036685,2555355,4455615,1802595,486285,540090,1487925,1393830,1500675,1777095,857565,480930,625770,494955,972315,1080945,584715,591855,253725,195330,0
18,1191105,1306620,5081895,4755495,4691745,4094025,1724565,1846200,7766790,7192275,7285350,5361630,3062295,3483045,5463375,5328225,5521515,5428185,6296970,6166410,4553280,4923285,7074210,6467055,3652110,3468510,4692765,4650435,0
19,156825,182580,107610,161925,239445,178245,189465,255765,246585,274635,391935,266730,231795,277950,213180,229755,279225,226185,241485,327165,309315,335070,415905,236895,211140,322830,336600,347820,0
20,404430,371535,1320390,122655,90780,132855,29070,9690,103275,36720,77010,1176570,754545,983280,1365525,780300,1313250,1005975,498015,511785,1931115,1697535,5186955,1171215,754035,465630,440385,651270,0
21,1646535,875925,657645,270045,234855,306000,293505,235365,759390,227460,455940,3447090,4886055,1749555,885870,235620,139485,375870,272340,81345,222360,613275,1366035,1715895,724965,750975,859860,681105,0
22,327165,1034790,954465,949365,1121490,840480,1297950,1574115,1540455,1030200,1676625,1990020,1172235,1238790,922845,903720,1485630,1635570,1302540,1243635,1103895,1133985,3003135,997560,601035,1003170,1256130,1659795,0
23,1534845,1581255,2097630,2795310,2458200,1994610,1375980,1361955,1797240,1987215,3802305,1400460,544425,817275,1856910,901935,1141890,2172090,1960695,1566975,1361955,1267095,2579325,4058835,1806930,1299225,1220685,1222215,0
24,1561110,1916835,1403010,890205,547740,741795,758880,411570,591090,772395,1514700,3670215,1467015,608940,602310,595425,400350,482205,786930,556410,554115,635460,1379295,3521550,1921425,982770,688500,771885,0
25,1259700,1098795,1476705,2890170,2092020,1717170,1566975,1010310,1029945,1606500,5782890,1292850,899895,878220,1202325,1712835,1547850,1677645,1535610,1683765,1806165,1904085,4915380,4633605,2692290,1600635,1144695,1382865,0
26,8100075,8419335,8658780,8393070,8407860,8363490,8305860,8048310,8089365,8495325,8736045,8831925,8379555,8339775,8335185,8315805,8357625,8365275,8402250,7975380,8029950,8247975,8557035,8633535,8393835,8288775,8331870,8683770,0
27,4816950,4154715,3402975,2993700,1445850,1338495,2170050,1750575,1528980,1218900,2027505,1951770,1125570,1998435,2920260,2280975,1052895,930495,1472370,1479510,1529745,1415250,2813670,3110490,2013990,2295000,2560455,2494665,0
28,4099380,3583005,2925360,2592075,1216095,1064370,2187900,2056830,920040,748935,2356200,3082185,1933665,2518125,3597795,3320355,1319880,1099560,2064225,2089725,2036175,1753380,2833305,3042915,2169030,2577285,2641800,2695350,0
29,2015775,1902045,1702125,864450,415140,217515,414885,316455,97665,267750,1719465,371790,130560,555390,285090,100980,180030,204765,87720,122145,198135,134640,333030,595170,290955,208590,171360,357000,0
30,352665,139995,110415,59160,41055,23460,18870,52530,109650,60435,233325,202215,113475,106080,94095,51510,101235,135660,137700,101745,54315,45390,214710,237405,104295,91800,108375,75735,0
31,1624860,693090,476595,406215,399840,341445,304215,239700,239445,246075,469455,595170,283815,258825,256020,224145,234855,142545,165240,207060,147390,167535,383265,657135,316710,223125,232305,208080,0
32,1282140,1258425,2225640,2599215,1803870,1117920,512295,761685,1492515,974355,2059125,2065245,1031475,1671525,1987725,2343450,1530000,1021785,964920,963390,1834725,1214565,2151435,848130,624240,2392410,1307895,748425,0
33,1367820,1011840,985575,857310,1217625,494955,496995,638265,313905,326400,2214165,1147500,543405,649995,262140,238425,413355,307785,290190,480165,452370,364140,1590690,704565,233835,287130,222105,225675,0
34,3992280,2734875,2063715,1939785,2222580,1928055,2205750,2654295,2241195,2020110,3339480,2836365,1878330,2064735,2406690,1987725,2109615,1759755,1745730,2219520,1995885,1963245,3184185,2640015,1665405,2085900,2558925,2718300,0
35,342465,585735,422280,545955,953190,732105,434775,315945,589560,1065900,1667700,1126845,437835,608940,1277040,738735,663000,624240,855780,1365015,866235,773160,1310190,2049945,1089360,730575,483480,491895,0
36,1236240,764235,840225,814725,853740,1186515,794325,528360,462315,858075,2381955,1203600,656370,629850,703545,1138065,877710,851955,995265,1239810,2001750,1638885,2129760,1124550,1036830,1671780,1669485,1761285,0
37,3914250,3822450,3399405,2551020,2512260,2151945,1535610,2259555,3135225,2147610,3451170,2762415,1440750,2234565,2754255,1998945,2152455,2064480,1573350,2174385,2371245,1795455,3086010,2842740,1456815,2305455,2694075,122910,0
38,218790,251685,225675,201705,180540,201450,197880,202980,278715,274890,346035,242250,179010,264690,231030,236130,159375,78285,66045,93585,98685,161415,249645,209100,130560,117555,102000,192780,0
39,1189830,2332485,1881390,1680705,1632000,1549890,1508580,1515210,1570290,1926270,2540310,3141090,1946415,1707735,2495685,3183675,2018835,1658010,2457945,3075300,1894395,1614915,2453610,111690,40290,0,0,0,0
40,641070,1034280,874905,589560,483480,474045,513825,420240,385560,374085,940695,1239300,558450,718335,683655,488580,427890,396525,731595,572475,438855,346800,907545,2292195,1255365,959565,996285,652290,0
41,3643185,3362430,3423120,2648685,2585700,2645880,2291430,2550000,2587230,2165970,3118140,4368150,2408730,2234565,2607630,2603295,2431170,2653275,1869405,1762305,1828605,1648320,2390625,3666645,1863030,1815600,1790100,1457325,0
42,210630,204255,134130,199410,335580,507450,761430,495720,511020,636990,4178685,3986925,2112930,1642965,1442790,1040145,987870,897600,808605,785910,919530,811155,1292850,1824270,770355,632655,527085,423555,0
43,570435,473025,309825,313140,295035,313395,369750,365415,291210,288405,453135,638775,407235,419985,331500,296820,323850,324615,385305,343740,312120,324870,451860,594660,352920,322065,215730,206805,0
44,1475175,960840,974865,811665,689010,963645,1509600,909585,981240,1173000,1559835,3445050,1749810,1137045,1332630,1439220,1026120,1165605,1917855,853740,806565,716550,949620,3242835,814725,448800,481440,412080,0
