,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3641910,3380790,2732580,2171580,1957635,1699065,1587375,1582530,1441260,1392555,2568870,3376710,1803105,1477215,1626390,1644495,1553460,1564425,1882920,2381445,2551275,2657610,3991770,3179595,1834470,1540710,1887255,2446470,0
1,3546285,2609160,2259810,2129250,2045100,2019090,1835745,1699575,2062950,2163930,3153840,3285165,1862265,1648320,1408110,1117410,1578705,2454375,2605335,3263490,2838405,2222580,3235185,4031040,2477070,2108085,2065500,2019600,0
2,7441410,6745005,6292125,6638925,7069620,6282945,6207975,6284220,6561150,7637760,8276790,8294640,7766280,8193405,7280250,6664935,7058910,7141275,6962265,6989805,7299885,7991445,8190090,8099310,7165245,6879645,7144080,7810395,0
3,2778225,3031695,3758955,4358715,3077340,3192345,3960150,3261450,3286185,4011150,4217700,2430660,2372520,3884925,890970,179010,71400,38760,8415,8415,8415,8415,6630,234345,113730,26520,29580,30345,0
4,6429060,4884525,3781395,3220140,4664715,5109690,4056285,6110565,6060330,5319300,8191110,5936400,4503555,4617030,6130455,7072935,6034575,7692585,9270525,7712220,6283965,6614955,8983140,4068015,4104735,6108525,3400680,2791995,0
5,2571165,3102840,2559180,1944885,2955195,3467490,3118905,2759865,2382975,2337840,3443265,2790465,1772505,2182800,2875125,2762925,2651490,2070345,1871445,1999965,2120580,1993845,2926890,4854945,3194385,2636955,1688355,1329825,0
6,3963210,3288735,1719975,1739610,2225640,2185860,1923210,2131545,4888095,4148595,5460315,4600710,3164550,3337440,3177045,3339480,3855345,2273580,2340645,2781795,2625990,2729265,3444030,5161710,3941025,2037450,2230485,3437145,0
7,1053915,1045245,730830,674730,1054680,953445,685950,1003935,778005,624495,1337475,1349970,763725,945285,989655,594660,810645,1284435,856800,693600,820335,464865,820845,1658775,754035,750210,735165,695385,0
8,2347785,2509710,2057595,2519400,3839535,3340755,2965395,2345235,2837130,3848970,4201380,3003390,1790610,2199885,4155990,2440860,1766895,2199630,2887110,3120180,2903430,2134860,3207135,3381555,3176280,2599215,1489455,1452225,0
9,4186335,2534445,1745220,1954575,3596265,2858040,2482170,2334780,1516485,2134350,5646720,1042185,1011330,2324580,2678520,3142365,1845435,1240830,1286985,2855490,2551275,1405305,1760520,1331865,1320390,3234165,1955085,1723800,0
