,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3613350,3416235,2750685,2182035,1949985,1647045,1544280,1525920,1404030,1359915,2566065,3363195,1798515,1460385,1599615,1616190,1491750,1498125,1822485,2394450,2512515,2582640,3922920,3116610,1792905,1505265,1864815,2403630,0
1,3488400,2584935,2260575,2077995,1946670,1890570,1745475,1634040,2017815,2120835,3103350,3227535,1816620,1611090,1378020,1066410,1510620,2365380,2475030,3097230,2720085,2095335,3063570,3900735,2359005,2010930,1986195,1937745,0
2,7629090,6857205,6407640,6735570,7209870,6426765,6384690,6439005,6678960,7753020,8470845,8469060,7879245,8343600,7415655,6794220,7185135,7268520,7084410,7126230,7469205,8152350,8396895,8284185,7319775,7058400,7317990,7964415,0
3,2856510,3130380,3928275,4583880,3242580,3266040,4024155,3379515,3373140,4076175,4389570,2492370,2422755,4038435,951150,191760,88995,45135,11985,11985,11985,11985,10710,307020,171105,30345,31365,32385,0
4,6605775,4894980,3920115,3240795,4729740,5153805,4089690,6169215,6221490,5558490,8624610,6210525,4751925,4821030,6266880,7084410,6089145,7710690,9421485,7972830,6473430,6744495,9223350,4171545,4188375,6331905,3548835,2896545,0
5,2623185,3145680,2552550,1969620,3000585,3501150,3138795,2784090,2372775,2341410,3447600,2789445,1764090,2181270,2884560,2754510,2677500,2162910,1897455,1997415,2094825,1991040,2975340,4890900,3178575,2650215,1687590,1322175,0
6,3975450,3250230,1735275,1764090,2237115,2234820,1984155,2195805,4922775,4180470,5507745,4671345,3238500,3371865,3194385,3386910,3915780,2291430,2345745,2782305,2643840,2736660,3499620,5215005,3920625,2046630,2233800,3432300,0
7,1058250,1051110,733890,685695,1067175,961605,688245,1020510,789225,635715,1354815,1352265,766275,963390,997560,594405,816765,1297185,865215,702015,836145,469710,822630,1672290,760410,759900,741540,701250,0
8,2495940,2596665,2043060,2540310,4005285,3465195,3058725,2397510,2870280,3973155,4338060,3069435,1804125,2324580,4257225,2448000,1787295,2232270,2936580,3161490,3023280,2229210,3271140,3458310,3257370,2653275,1563660,1551420,0
9,4293690,2538525,1775055,1996905,3740085,3039855,2631600,2385525,1547595,2202435,5834655,1149540,1135005,2382465,2778480,3279045,1994355,1328295,1359915,3012825,2572950,1414230,1792650,1372665,1347675,3396090,2048415,1762305,0
10,2060400,2590800,2009400,1384650,1832685,1953045,1076355,1176570,1141890,577320,1232925,1229355,314925,341445,493170,360315,1186770,1686315,812685,963645,1173765,706605,1388730,1275255,636735,921060,1251540,745365,0
11,2509455,1337730,1555245,1072020,504390,685185,736950,401370,929475,956760,1473135,1511895,543915,278205,395760,722670,353940,488835,687225,511530,869550,973845,1313760,1030200,457725,555135,443955,1531020,0
12,1413210,1024590,734145,1115370,1243125,974610,1534335,1298970,885360,1095990,2741250,1983135,802485,962625,899130,825690,653055,453135,1412955,1951515,1413465,990930,1480785,2604060,1181925,985065,945540,948345,0
13,1648575,1966815,2070600,1545300,1142910,1605735,3201780,2162400,1592220,2601765,4834545,1776075,862920,1455030,2255475,898110,1384395,1646790,1126080,900915,1204875,1375980,2308515,2780010,2241705,1689885,1191870,1973700,0
14,2532660,1572840,2135115,1945395,1260720,863175,416670,700995,2358495,2767260,3214530,4000950,583440,176715,317220,1998690,201960,17595,145605,160905,3315,8925,425595,200940,107610,114240,378165,168555,0
15,4671600,4463010,5151000,4715715,4577505,4518600,4494120,4461225,4333980,4166955,5009730,4992390,4095300,4312815,4164915,3864270,3915780,3808425,3655170,3667155,3484320,3303270,4307205,4521660,3612585,3730140,3786495,3747225,0
16,5717610,4645845,4587705,4943685,5161965,5194350,5836950,6098325,5192055,4386255,4845765,3817860,3008745,3123750,3042150,3136500,3415215,3342030,4279155,4853415,3525630,3577650,4881210,4297260,3322140,3523845,3604170,3609780,0
17,1728645,2149905,2222070,2089980,3203310,2804745,712980,643620,2186880,2763945,4805730,2170560,585225,581910,1624605,1432080,1618740,1921170,933300,537795,702270,514590,1080690,1166625,619650,634440,290445,233580,0
18,1296420,1403775,5533500,5113515,4900080,4211580,1885215,2038470,8194170,7584465,7697430,5705880,3409095,3921900,5686755,5541915,5892285,5672985,6418350,6293145,4748355,5195115,7180290,6588690,3881355,3658995,4742235,4665225,0
19,1303305,1452735,1101855,1454775,1735020,1161270,1167900,1238280,1295910,1794690,2939640,1743435,1214055,1276020,1179630,1461915,1790100,1471095,1554480,1695750,1815345,2143020,3144405,2032350,1498890,1626135,1830645,2179230,0
20,527595,476595,1637610,137955,76500,175695,41055,21930,136425,33660,74460,1250775,794580,1041675,1556010,909585,1529235,1087320,594660,591345,2131545,1946925,5625555,1144440,810645,550290,514845,769590,0
21,2875380,1537140,985575,417945,384540,515610,519435,396525,1375215,463590,647445,6460170,8473905,2595645,1315800,459765,269535,655605,526065,188190,332520,875160,2057850,2781540,1025355,956760,1062330,901680,0
22,930750,2759100,2376090,2317440,2429895,1999710,2943465,3252270,2810100,1888530,2861610,3959130,2619870,2625480,1846710,1907655,3318060,3257625,2557650,2437545,2252415,2428110,4967400,2286840,1502460,1866600,2193000,3130380,0
23,2547705,2404140,3285675,4391100,3783435,2951880,1952790,1992315,2760630,3154350,6042480,2105280,882045,1140105,2818260,1302285,1729920,3349935,2635935,2249610,1936980,1781940,3650070,6301560,3030420,2003790,1883685,1613130,0
24,1968600,2554845,1734765,1029945,730065,987615,908565,410295,740265,903975,1645005,4270230,1825290,813195,767295,808860,476595,633675,1038615,686460,696150,859350,1683000,4288335,2501805,1098285,886890,908055,0
25,2234055,1908165,2554335,5297880,3121200,2657610,2618850,1668720,1692180,2385780,8557035,2030055,1512660,1487670,1967325,2643840,2349315,2482680,2277405,2534700,2690760,2870790,7177485,7258065,4664205,2572695,1751085,1968600,0
26,7330995,7724205,8023575,7731855,7647705,7548000,7588545,7265715,7243530,7759140,8104155,8217630,7672950,7647960,7616340,7604355,7620930,7650255,7774950,7308555,7315950,7535250,7930245,8018220,7703295,7562535,7579875,8012100,0
27,5806860,5291760,4351065,3822450,2014500,1828605,2591820,2101200,1794945,1485885,2308515,2383995,1483590,2573205,3780885,2782305,1334160,1229865,1965795,2003790,1884960,1598850,3117885,3693675,2426580,2731305,3151545,3089325,0
28,5198940,4556595,3874470,3392775,1429275,1281375,2720850,2440350,1087830,881280,2812905,3681435,2510220,3235185,4497180,4209030,1673820,1298460,2530365,2554080,2481150,2169030,3532770,3545775,2655570,3172455,3142875,3243600,0
29,2443155,2281485,2030565,1113075,508725,257805,461040,345525,89250,233070,1826310,393975,143565,613275,354705,128520,228225,265710,112200,144075,228990,144330,314415,600270,321555,185385,193545,372810,0
30,2804745,1237770,887910,482715,361845,259335,173910,465120,749445,448545,1632255,1216350,638775,762450,613785,317220,790755,963645,698190,608940,387855,320535,1508580,1237515,558960,627555,614805,417690,0
31,4115445,2567850,2008125,1702890,1651890,1412700,1287750,1100070,1094715,1039635,1742670,2550000,1699830,1547085,1466760,1274745,1230120,960840,996285,1071255,991440,992205,1700595,2647920,1692435,1468035,1392300,1257915,0
32,1945395,2050965,3133695,3551895,2413320,1278060,801210,1180650,2398785,1608030,2841465,2454375,1566720,2505630,2760120,3203820,1990020,1422390,1513680,1416270,2732070,1826055,2675715,960585,770100,3189540,1698810,1055190,0
33,1689375,1258935,1280610,1123785,1528215,620670,612765,748170,407745,373065,2623695,1244910,604605,797895,322320,296055,570180,385050,343740,594915,574515,452625,1948710,846090,297075,346545,246330,251940,0
34,6222000,4779465,3620745,3402720,3922155,3271140,3535575,4662675,3890790,3246915,5277735,4440060,3085500,3426690,3763800,3257370,3547560,2898840,2893995,3509565,3299190,3254565,4901355,4090710,2774910,3435105,4055265,4469385,0
35,723690,1343595,978180,1179630,2004555,1707735,857310,523770,943755,2258535,3150015,2440605,929985,1095735,2381445,1455030,1149540,1074825,1542750,2479620,1488435,1231905,2412555,3780120,2199120,1400205,1002405,1005975,0
36,2594880,1263015,1359915,1579980,1671525,2692800,1709010,924630,876180,1919385,4186335,2462535,1318095,968745,1129905,2035155,1382100,1327530,1699320,2159340,4396965,3606210,3975960,2115225,2049690,3449895,3548835,3608250,0
37,4789410,4568070,3873450,2875890,3011550,2671125,1943865,2661945,3654660,2592330,3695205,3262725,1850535,2626500,3146190,2419950,2630835,2346255,1945905,2634915,2720340,2062185,3276750,3375435,1685040,2472480,2943210,160140,0
38,1540965,1473900,1475175,1585845,1471350,1361700,1127610,1040910,1392045,1587885,2528070,1610070,1087830,1367565,1459875,1694220,1402755,698445,717060,801210,804780,1371645,2470440,2022405,1312740,1012605,1009545,1599870,0
39,1634805,3300465,2795565,2601510,2577795,2405925,2308770,2255220,2346510,2872575,3612330,4201890,2732070,2338860,3471570,4763400,3083460,2318970,3663075,4709085,2830245,2367930,3309645,125205,65535,0,0,0,0
40,763980,1231140,1028670,695640,592110,593130,587775,483990,450840,462570,1164075,1516995,707115,875415,841500,641325,535500,515100,941460,717825,525810,454665,1142400,2765475,1433865,1105680,1160505,828240,0
41,3325200,3039855,3173220,2445195,2426070,2516595,2217735,2423265,2448510,2166225,3015120,4103205,2309280,2120070,2385780,2401080,2275620,2419185,1786785,1619505,1674075,1531530,2186115,3343560,1659795,1648830,1664385,1333650,0
42,358530,310335,249135,365670,634950,937125,1320900,947580,1000110,1219920,4826385,4839390,2472480,2178465,1907655,1491750,1462935,1477215,1395615,1293105,1272195,1235220,1924740,2651745,1422135,1309935,963645,744090,0
43,2251140,1810245,1306620,1314015,1290300,1290810,1383630,1371390,1121490,1034790,1781175,2301885,1549380,1579980,1317075,1176060,1292085,1287240,1464720,1373175,1296675,1298970,1910970,2273325,1567230,1459620,1194675,1139085,0
44,2671125,1570035,1488435,1348950,1158720,1447125,2325090,1283415,1375725,1710030,2429640,5266260,2635425,1917855,2332230,2434230,1559835,1719465,2899095,1326765,1264290,1057995,1406325,4930170,1371900,753780,810645,724965,0
