,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3594990,3359880,2722635,2175150,1923210,1656735,1563660,1562130,1441515,1374195,2514555,3349935,1773015,1481040,1624095,1636080,1553970,1556010,1866600,2371245,2473500,2588760,3903540,3143130,1800300,1506030,1865835,2378640,0
1,3541440,2593605,2262105,2105025,2034900,2020365,1837530,1681980,2053005,2168520,3140325,3266295,1859970,1627155,1401225,1088595,1548870,2456925,2602785,3216825,2771595,2188920,3135225,3944595,2421735,2075700,2060655,2009655,0
2,7615830,6892650,6438750,6780450,7239195,6389790,6309720,6397695,6721035,7768830,8461665,8517510,7951410,8431830,7413870,6789885,7234095,7320540,7083390,7134900,7503120,8184225,8371905,8218905,7315185,7045395,7306260,7987110,0
3,2819280,3027870,3740850,4412010,3099015,3182400,3974175,3229065,3267315,3969585,4141455,2376345,2323305,3886200,881535,176715,73185,41310,10710,10710,10710,10710,9435,213180,111180,24990,27795,28305,0
4,6424215,4888095,3798735,3219885,4698120,5080875,4052460,6148560,6053955,5302215,8210745,5926965,4541040,4651200,6135555,7019130,6022080,7714260,9376095,7782855,6288045,6674370,9013485,4049910,4145280,6104190,3379770,2830755,0
5,2552295,3110235,2580855,1955340,2936070,3408330,3051840,2725695,2388075,2265420,3330045,2764455,1801320,2206515,2812395,2798880,2687700,2093805,1879605,1997415,2159340,2009400,2967690,4649160,3162510,2643330,1691925,1314015,0
6,3861720,3244110,1681470,1711305,2254455,2202435,1893375,2088195,4911300,4210560,5473830,4430625,3099015,3264000,3151290,3272925,3833415,2330955,2324835,2771085,2603295,2751195,3408585,5054355,3874725,2026485,2212890,3420315,0
7,1053915,1044990,730575,673455,1053405,952425,685950,1003680,777750,624495,1337475,1349715,763980,944010,990165,594405,809625,1283925,856800,693855,820845,464865,820845,1660305,753780,748680,735675,694875,0
8,2205495,2515575,2034390,2502825,3841830,3259665,2892465,2291685,2735385,3883650,4182510,2925360,1757970,2145825,4081020,2410770,1768170,2217480,2861865,3082185,2861610,2121855,3129105,3335400,3151035,2618595,1485375,1437180,0
9,4155225,2583405,1765875,1968600,3553935,2836620,2460240,2308005,1483845,2100180,5557215,1063095,1031730,2326875,2682090,3093915,1747005,1216095,1269135,2836875,2476305,1351245,1721505,1258170,1247715,3239265,1960440,1674585,0
10,1984920,2513790,1913265,1311210,1758735,1919130,1009800,1077375,1066665,538305,1162035,1126335,261375,294780,431970,324360,1143420,1643985,750210,909840,1140615,619140,1266585,1195950,594150,858840,1199520,677790,0
11,2427600,1307385,1515720,1029945,474555,627045,710940,399585,888675,936870,1404285,1449930,495975,224655,341700,679065,322065,461550,624750,445230,807585,932025,1244145,969000,356490,452370,380715,1497105,0
12,1379295,993225,665040,933045,1148520,845070,1425195,1279080,843795,1049070,2501550,1883940,832065,978690,863175,822630,612255,473025,1352265,1792905,1316310,981495,1400970,2528580,1105680,909330,933810,938910,0
13,1584315,2107830,2067795,1668210,1210995,1559835,3030675,2246550,1560600,2435505,4635390,1498890,759390,1421370,2288115,866745,1260975,1470840,977160,831300,1195695,1348185,2146845,2700195,2219010,1626135,1131945,1933665,0
14,2310555,1396635,1839570,1707990,1058505,718080,383775,578850,2084625,2396235,2832285,3654660,478890,141525,287640,1792140,170340,17085,136935,164985,3570,9690,377145,171615,80325,99960,291465,141780,0
15,4603515,4391100,5031150,4649925,4549200,4421190,4320465,4288080,4223565,4123605,4974030,4938840,4051695,4160835,4044300,3776550,3793125,3670725,3606975,3643950,3433065,3186225,4151400,4399515,3552150,3691380,3728355,3676845,0
16,5633205,4631310,4557615,4822305,5059200,5096685,5782635,5930790,5013300,4281195,4747335,3787260,3000840,3075555,3006705,3098250,3360135,3281850,4191435,4785075,3492735,3551385,4757025,4236315,3283380,3485595,3558780,3550365,0
17,1707480,2114460,2144550,1978290,3108960,2648175,685695,619650,2134095,2561475,4360755,2024955,576555,608940,1561110,1401225,1589925,1849260,884595,543405,708645,505410,979710,1020765,603585,598230,255765,223635,0
18,1183965,1305345,5342505,4835310,4733565,4141455,1911480,2047905,8018730,7305495,7441920,5575320,3393030,3854325,5545230,5348625,5623005,5477910,6222000,6075630,4550220,5032425,6914835,6341595,3815310,3580710,4569090,4504320,0
19,1300500,1445595,1100070,1455030,1724310,1157955,1158720,1226550,1283160,1777860,2920515,1740885,1204620,1254345,1178100,1457580,1786785,1458855,1543005,1677645,1807440,2134605,3138285,2021130,1499145,1625115,1829370,2157045,0
20,511275,431460,1422900,120360,78030,176205,37485,26010,138720,27795,62475,1202325,777750,1024080,1500420,860115,1462680,1057230,599250,598485,2002260,1820700,5171400,1146990,793050,531165,510510,759900,0
21,2834070,1540710,1018725,398565,368475,505665,497760,386070,1345125,446760,616080,6353325,8507055,2409240,1259190,445230,276165,629850,520965,175695,334305,926415,2007870,2740740,1012095,948600,1086555,900150,0
22,800700,2376855,2090490,2034645,2150160,1853850,2582130,2871810,2382975,1645260,2555610,3685005,2329425,2259045,1561365,1701615,2930460,2926380,2219010,2137665,1848750,1992060,4397475,2104005,1412190,1665150,1994865,2713455,0
23,2496705,2462025,3279810,4266915,3717645,2976615,1924230,1935195,2654805,2985540,5945325,2020110,880005,1182435,2859315,1315800,1672035,3233655,2603550,2217735,1894395,1759245,3565155,6031515,2906745,1890315,1904085,1692945,0
24,2025465,2431680,1601400,1064370,715020,876180,921315,469965,749955,932790,1661070,4147320,1743945,796875,700995,819060,507705,650505,1055445,707880,673200,797895,1648575,4120035,2469675,1153110,844815,883065,0
25,2188155,1850790,2463555,5047215,2989620,2603040,2496705,1636845,1648575,2298825,8017965,1911225,1492770,1501440,1944120,2617575,2353905,2451315,2196060,2492625,2700705,2938875,6767955,6934470,4555830,2470440,1682745,1887000,0
26,6886275,7308555,7650765,7354200,7294020,7266990,7278465,6972975,6969915,7518165,7774440,7762965,7285095,7300905,7288410,7230525,7213440,7258065,7439115,7007655,6987765,7197885,7587525,7649745,7372305,7232055,7264440,7661985,0
27,5338425,4849335,3953520,3300465,1654950,1453755,2147355,1638120,1449420,1154385,2040255,2136900,1219410,2236350,3342285,2377365,1049070,906015,1444830,1326255,1424685,1206405,2538525,3037560,1754400,2186880,2637975,2642820,0
28,4671090,4003245,3338460,2907765,1205385,1048815,2289900,2070600,965940,802485,2408985,3246660,2135625,2756295,4043025,3653895,1407600,1108995,2283525,2246295,2152710,1812030,3071730,3044190,2259555,2680305,2709630,2774655,0
29,2126700,2002260,1816110,931770,419730,200685,337365,257295,97920,236385,1654185,323850,134385,507450,323340,118575,160395,233580,103020,119850,156825,141015,296565,511020,289680,168555,159630,279480,0
30,2802195,1234965,886635,482715,361845,259335,173910,465120,749445,448545,1632510,1215330,638775,763725,614040,317475,790755,963645,700230,609195,388110,320790,1507050,1237770,560235,627300,616080,417690,0
31,3339735,2556375,2004045,1696005,1620015,1385415,1286475,1098030,1094715,1034025,1734765,2536485,1696515,1543770,1465230,1273215,1231650,958290,995010,1071510,989910,993225,1708755,2645370,1688865,1465995,1391025,1255620,0
32,1898985,1974720,2997270,3388185,2411790,1347930,774180,1184730,2358240,1626135,2860335,2450805,1525920,2453100,2752470,3260430,2064480,1462680,1470585,1374195,2671635,1780410,2601000,984045,826710,3139305,1761540,1059270,0
33,1598085,1181925,1183455,1089105,1501695,585480,616335,751230,412845,387345,2507160,1202580,588030,758880,317475,291210,538560,379440,322320,559980,520200,427635,1856145,766020,288405,321810,208590,220830,0
34,5899680,4500750,3458310,3273690,3788280,3152055,3380790,4491570,3786495,3163785,5020440,4295730,2979930,3326220,3692655,3190305,3485340,2852940,2821320,3404250,3208410,3151035,4729995,3963465,2693055,3329025,3940515,4363305,0
35,717315,1279080,926925,1100580,1919895,1626900,792285,484245,905250,2104260,2908530,2374050,925905,1053405,2182800,1422390,1193655,1062585,1428510,2428875,1429020,1204875,2338350,3744165,2220285,1453500,992205,959055,0
36,2449020,1214565,1339005,1493535,1663875,2625735,1671270,871335,830790,1789080,3938220,2395470,1301520,951915,1126335,1997670,1369605,1318605,1639905,2057850,4180725,3479730,3824235,2045865,2021385,3316020,3389205,3418275,0
37,4779975,4554300,3900735,2972790,3116355,2729010,2022405,2801430,3613095,2637210,3923430,3338460,1941570,2717025,3058725,2392410,2774145,2523225,1970640,2567595,2646135,2104260,3503955,3374160,1818150,2646390,2972790,160650,0
38,1530765,1460130,1464720,1569780,1454010,1338750,1120725,1038105,1388475,1575390,2504610,1605225,1088595,1358385,1451205,1670505,1395360,698955,712980,792030,798150,1365015,2467125,2017560,1310190,1001895,1008525,1597575,0
39,1663110,3232380,2697390,2516595,2542860,2348805,2203710,2150160,2273580,2781540,3420570,3944085,2645625,2272560,3366510,4601730,2951880,2257005,3560055,4610910,2721870,2241450,3103860,138210,55335,0,0,0,0
40,723435,1152345,967725,645660,575280,571200,571455,482715,450075,451095,1108230,1464720,681360,825435,771630,604860,516120,519435,803760,664530,513825,434775,1052130,2526030,1251030,919020,1042950,772650,0
41,3398640,3189540,3291540,2621400,2504355,2603805,2279445,2495940,2567595,2238390,3100545,4210305,2361810,2211360,2600490,2554335,2392410,2603040,1882920,1813815,1838295,1632255,2321520,3421845,1733235,1671780,1636080,1353795,0
42,374850,313140,222360,340425,565335,888165,1212270,890970,929730,1180140,4683330,4735860,2491350,2141490,1914540,1514700,1467015,1449165,1307385,1213290,1218900,1158210,1807440,2523735,1317585,1213545,967215,695895,0
43,2250885,1811010,1308405,1314525,1290810,1292340,1383375,1371645,1121745,1035045,1778115,2305200,1550910,1578195,1317075,1174275,1287240,1286730,1462935,1372665,1297440,1298715,1916325,2271030,1568505,1460895,1194420,1138830,0
