,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3485850,3245385,2607885,2080545,1879605,1605225,1519545,1539945,1399950,1319880,2418930,3273435,1717680,1435905,1590180,1620780,1531785,1533825,1831665,2310300,2375070,2534955,3843615,3060765,1751850,1474155,1829625,2327130,0
1,3428985,2515575,2148375,2044080,1977270,2008125,1805145,1651125,1992825,2112930,3071220,3195915,1841100,1611600,1375215,1079160,1515975,2394705,2567340,3135225,2700705,2205495,3133185,3909915,2411535,2058615,2043315,2000730,0
2,7612770,6877605,6424980,6761070,7211145,6332670,6289065,6411975,6707265,7731345,8444325,8452740,7902195,8466000,7444980,6767955,7211910,7308300,7059165,7123680,7454925,8132460,8352015,8293365,7358790,7028055,7283310,7935345,0
3,2782050,3023790,3696735,4336020,3089580,3186990,3962700,3228555,3282615,3994575,4136865,2369460,2298825,3854580,899385,179520,77010,45645,10710,10710,10710,10710,8670,212670,104550,26265,29325,29835,0
4,6406365,4879935,3803835,3231870,4680525,5085210,4042005,6082260,6058290,5318025,8205390,5964705,4519110,4626465,6130200,7093335,6049110,7672950,9276135,7698195,6275040,6581550,8980845,4080255,4111110,6119235,3379005,2801685,0
5,2487270,3039855,2568105,1970385,2916435,3386910,3082440,2679030,2371755,2268990,3329790,2780520,1824270,2212635,2772615,2815455,2666280,2103240,1877310,2000985,2171325,2031840,3019710,4659105,3124005,2608140,1698300,1314780,0
6,3852795,3258645,1666680,1708245,2257515,2196825,1846200,2049435,4928640,4231980,5516160,4389315,3099780,3243855,3057195,3191835,3891810,2313105,2289135,2756295,2611455,2695350,3349425,4999785,3827805,2028525,2215440,3348660,0
7,1056465,1051110,734910,682125,1064115,960840,686460,1016685,783615,629085,1352265,1353540,768570,962370,997305,594915,820080,1298205,868785,704565,837165,468690,823140,1672035,761175,763215,737205,697935,0
8,2190195,2540055,2069835,2544900,3798990,3228555,2869260,2288115,2727990,3836220,4191945,2980440,1785765,2140215,4129470,2489055,1815855,2221050,2849370,3085755,2879970,2096100,3087795,3357840,3131145,2615535,1453755,1439985,0
9,4041750,2572695,1760775,1915050,3526905,2779245,2359515,2286585,1528470,2079780,5467965,1012350,982515,2304435,2661435,3054135,1703655,1155660,1204620,2731815,2449530,1332120,1711815,1221705,1205130,3277770,1959420,1655460,0
