,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,9011445,9751965,9677760,8087070,7642095,7668360,7527600,7697430,7360065,7038765,8196720,9860595,9824895,7479660,6775605,6915855,6781470,6829410,7749960,8318100,8153115,9518895,10877280,9342690,8271435,7898880,8267100,7755570,0
1,9396240,10810980,9146850,8014905,8021280,9133845,7259850,5539620,6191400,7423305,8424690,7833090,6679470,6223530,6796005,8532045,9306225,8286225,8131695,8448660,8411430,8145210,8782455,9086160,8181675,8218395,7568910,7227720,0
2,11680020,11526255,11277630,11615250,12646470,11322000,11162115,12414420,12416205,11829195,11501775,11446695,11287575,10316025,9748905,9993195,10355805,9937605,10679655,11396970,11228670,11299305,10618710,10056945,9834330,9813420,10595760,11866170,0
3,6088380,6439515,6611385,6438495,5749485,6203130,6392595,6175590,6089910,6657285,6852360,4850865,4951590,7055850,2286330,946050,729555,308295,227715,300645,300645,300645,248880,3332595,952425,600525,735930,829260,0
4,10241820,9721365,8391030,8963505,9532920,8986455,8281380,8027145,7913925,7831050,9172350,9636705,9796845,9655575,10053630,9825660,9692805,10948425,9582900,9540315,10177560,8933925,9543120,7832070,7884090,9890430,8454270,8241855,0
5,5803800,4840920,4553790,3641400,4351575,7027545,6120765,5135700,5467200,5799975,6469350,6650655,3240540,3496815,4521915,6167685,11296755,9761655,10059495,10424655,5027835,3791085,6020805,10076070,9808575,8889045,5084190,4675170,0
6,5530185,6043755,4981935,2971260,5824455,5577870,1897455,1889805,4096575,3774510,5057415,11941650,10661295,8968095,9489060,10999425,9647670,7500825,6474450,6785805,5804565,3969075,5460315,6684060,4906455,3703875,3922665,5341230,0
7,2419950,2399805,2015775,2275365,2525775,2246805,2142510,2672145,1806930,1502715,2105535,1924485,1547850,2205240,1923975,1609560,2168010,2791995,2566320,2712690,2574990,1554225,2036430,2442900,1763325,2059890,1907400,1674585,0
8,5623005,5828280,5759175,6164370,6549420,6114390,5463885,5368770,6189360,6376020,6793200,6581805,4987290,5653605,6597105,5516415,4669050,5344035,6465270,6064665,5989440,5604645,7240470,5745150,5056650,4666500,4047615,5097960,0
9,6957420,5663550,4212855,4516560,5919570,5959860,5640345,4963830,4739175,5502645,6911265,4579290,4195260,5425380,5515650,5579145,5760960,4446945,3997890,5587560,5285895,5383560,6414525,2997270,2764455,6074100,5694915,4944195,0
10,7095120,8164080,7180545,5968530,8565705,8485380,4158795,3453465,4074135,3254055,4497180,7307790,5759685,5853525,5677320,5349390,5759685,6086085,5843325,6139125,5779830,5994285,6956910,7240980,5450625,7328700,5798955,4212855,0
11,9045360,8005215,8018475,9286080,9196065,7545450,6969150,8150820,8978295,8731710,9316425,6426765,6633825,7052025,5219595,5892795,7701765,9045615,5360865,4568580,6343890,5971845,5736225,5957565,4677720,5360610,7531425,8863290,0
12,4175880,2893740,3259665,4848570,1663620,1331100,3032715,3373650,2535465,2707335,4763400,6150345,1565445,1644240,4049145,3566175,1251795,1485885,5602095,5889480,4765440,2578560,3157920,5925180,3555720,1514445,1659285,3427710,0
13,5382540,5183130,4877640,5041605,4477800,4626210,5767335,6005760,5186955,5887950,6696300,4879680,3624825,4372485,6180180,4440825,4307715,4385490,4007835,4008600,5793090,7295550,7602570,3298680,2084370,2159595,1805145,2590545,0
14,10063065,7551825,7173150,6102660,6821250,7531425,5190780,4652730,7215990,9185100,9089475,5748975,6121530,1910715,1208955,2697135,609195,1138320,3429750,1822485,341190,346035,2411790,1409640,497760,957015,1004700,1233945,0
15,8933925,8896185,9425565,9420975,10063575,9295005,9159345,9872580,9164190,8732220,9358755,8556270,7607670,7807335,7700235,7224660,6948750,6748065,7039530,7467420,7303455,6708540,7954980,8714880,8108745,7793820,7689780,7575540,0
16,9398790,9274605,9140220,9335295,9574230,9925110,10411905,9470700,8745480,9210090,9984270,8419590,6856185,6726135,7006890,7029330,7013265,6928095,7973595,8222730,7690800,7552590,8282655,8516745,7984560,7581405,8030970,8901285,0
17,4586430,4829700,5041860,4548945,4677975,4554555,2896290,2629305,4251615,5290740,5763510,5618925,4400025,4242690,5022990,4938840,5439660,5156610,4193730,4007325,4328625,3891045,4629780,5082150,3881865,4209540,3014355,2984520,0
18,3004665,3067395,5810430,6267900,6639945,7448550,6203385,6842670,7501080,7171365,6851850,6632805,7424835,7422795,7189470,6960225,6169980,5746935,6247245,6586395,5982045,6316605,7731345,9329175,6762855,6367350,6774840,6669015,0
19,2449275,2516340,2768790,2696115,2811120,2654550,2826420,3075555,3703365,3756150,4311795,2621145,2372010,3083205,3030420,2976870,3300465,3561330,3213000,3568725,3844890,4188630,5256570,3728610,3410115,4304145,4134570,3802305,0
20,2189685,2388330,3523590,621180,699210,1413210,326400,373320,247605,229500,1050345,4053225,3030930,4067505,4033590,3321375,3745695,3583005,2506905,2726460,5296095,5032680,5459550,5865510,5803545,4619070,2148120,1900005,0
21,3798225,4014975,4242180,3277515,4829700,4478565,1275510,1284690,2751195,4518600,10242075,11721585,9953925,8681475,3070710,1044480,929475,2073660,1152090,1283670,4383960,2755530,3576375,3597795,2578305,2965395,2925360,3450405,0
22,893775,1169175,1221960,1316820,3508545,2855490,2264910,2502825,3570255,1833450,2266185,2302650,1774290,2542860,2105280,1989000,3772725,2093295,1888785,2508945,2143530,2289135,2668575,1414485,1011075,1433610,2315655,2060400,0
23,6835275,7048965,7891230,8540715,7671165,7354965,6950025,7177485,7739250,7147395,7786935,7512045,6722310,7191255,7225935,6497655,6968130,7548000,7367205,7135155,6816915,7128270,8227575,8421630,7208595,6711855,6820230,7418970,0
24,7344765,7667340,5565885,4821030,3164805,3871410,6907440,3697500,3124770,3423375,4791960,4981425,2902920,2369460,2447745,1381080,1344870,1949730,2500020,2404905,2019090,2831520,4932720,5220870,3487125,3001605,2648685,2599470,0
25,6386220,6445380,6858225,7481955,7390920,6985980,6769230,6306915,6251835,6927840,8232420,6777390,5837970,6172530,6486435,7024740,7353180,6991080,7508220,8304840,7351650,7181820,8041425,7914435,7237920,6737100,6696810,6877095,0
26,10068675,10277010,10205865,10068420,10073775,10345860,10271400,9889665,10018440,10485090,10620495,10951230,11618310,10973415,10788795,10919355,10332855,10733715,10559295,10339995,10317045,10210455,10834440,10658745,9905475,9899100,9896040,10254315,0
27,5801505,4969950,6018000,6380100,4258245,4276095,4223310,3319590,3516450,3892830,4401555,3319590,2625480,4221780,5732655,3584025,2787915,2850390,2237625,2391390,2917455,2635680,3656190,7903725,5799210,5816550,4988565,3767625,0
28,5667885,5665335,6914835,5585775,2799645,2328405,3402975,4373250,2774655,2698155,4272015,7140000,4227390,3830355,4596375,6137340,6134280,6091950,10000590,7763220,7720890,6020805,5647740,6045540,5213985,6114645,6615720,5162220,0
29,9344220,8892105,7490370,5615100,2672400,2308770,4786860,5480460,2172090,1730430,3733455,5187210,3011805,3391500,1544790,982515,1763325,2932755,1395870,1377765,4742235,1701615,2081820,5795895,2851155,1662345,1434375,2011695,0
30,6597870,6098325,5650545,5336130,5436345,3584535,2630835,3745695,4554555,3882630,6025140,6135810,4346220,4962555,4975815,4393905,5515140,5614335,4961025,5020440,3675825,3681435,6315330,5602095,4661655,5828535,6532335,5172930,0
31,5960625,4706535,4667265,3975450,3190050,3493245,3528180,2379405,3247170,3955815,3810720,2538015,2240175,2411790,1384650,1483335,2476050,3709230,2565810,1410405,1916070,2851410,4521150,3282615,1966815,1584825,1573605,1767660,0
32,5071440,5080620,5487855,5982300,6813600,4532370,3641910,3726060,4303890,3563115,4645335,5246880,3885945,4271760,3230850,4539765,5792580,5610765,3999675,2646900,3633750,3087540,3921390,4719285,3785730,3380025,2564535,2113440,0
33,4802160,4058070,4801650,5037270,5489385,4769520,5293290,5929005,3671235,3862740,5998110,4893705,4153185,3807150,2677755,2794035,3516960,3203055,4121310,7816005,4428585,3899715,5554410,5991990,4724895,3643695,3561585,3821175,0
34,8819430,6076395,4387020,5146155,5828790,5168085,5685480,5706645,5084955,4615755,5648760,5401920,4283745,4034100,4279155,4007070,4118250,4003500,4029255,4376310,4338060,4181490,5271360,5156865,4264875,5702565,5247645,5012025,0
35,1657500,4890135,2279445,2240685,4788135,4221780,1770720,1177335,1912500,2900115,3624825,1580490,1296165,2831520,3522315,1592475,1328550,2217990,2688720,2876400,1845180,1835745,3423375,3720450,2640270,1514445,1463955,2241705,0
36,1836255,1371900,2544645,5372340,3831120,3300210,2924340,3351465,2067285,2702490,8119965,4072605,2387055,2040765,2587740,3519765,2607120,2137410,2957745,4749885,5313945,5860410,6534375,3864015,3293580,3932100,4114680,5791815,0
37,8521080,8659290,7945545,6257445,6024885,7625265,6153915,6407130,7098435,6489495,8079675,7709160,6951810,7851195,7601040,7931520,8392815,8213805,7660455,9145830,8064885,6980115,8653170,6464505,4498710,5641365,6360465,637245,0
38,3080910,3146700,3279810,3357585,2756805,2923320,3102330,2880225,2853705,2761905,3614625,3211215,2557140,2606100,2772360,3502935,2598195,1800045,2091255,2052240,2003790,2533935,3116865,2638740,2053005,2311830,2379405,2475285,0
39,3930315,2677245,2153730,2007360,1557540,2523225,3961170,2411025,2716260,2788680,3541950,8216355,10054650,6243930,3887220,3932100,4783290,2911080,2540055,3296640,3458055,2994210,4316895,638265,236385,0,0,0,0
40,2243235,1794435,1716150,2354160,2286075,1709010,1819425,1333650,900660,1141635,2092020,2633640,1778115,2562240,2699685,3383850,4620345,5593680,4284255,5028855,3551385,3384870,5102040,5480460,3704385,2767260,2471715,1967835,0
41,8040405,7732875,8586105,8535870,7639035,6380865,5875200,6752655,7607415,6985725,7614045,7768065,7014030,6852615,7381740,6693240,5727045,6100365,6887040,6858735,6324765,5980260,7583190,8193405,6773055,6936765,7532190,8006490,0
42,1260210,1543260,1362720,1537140,1932900,2675460,2113440,1752360,1775565,3455250,8752620,7600275,5139780,3859935,3915525,4343925,4090200,3562605,3134970,2992935,3316020,3389715,3754110,4801650,2843250,2246550,2354925,1889295,0
43,4657320,5579910,3815820,2171580,2272560,2614260,2801940,1908420,1783215,3229065,3803070,4912575,4003755,2456670,2419440,3284910,2408220,1276785,2020620,4418640,4357185,5236425,6342360,2865180,1643985,1622310,1442280,1170195,0
44,6551715,7725225,8599365,5631165,4458675,5855310,5553135,5040075,7003065,5942775,6512955,7816005,6819975,6230670,6006780,6803910,5443995,5498055,7170090,6721035,6363015,7719360,9328155,6235005,2772105,2204475,2399550,1922445,0
45,6477000,6660855,7138725,6429825,6521115,7525815,6356895,6821250,7727265,6880665,7611750,8184480,8095485,8217120,8143170,8629200,9959790,8477475,9298320,10881870,8776335,7077525,7845330,8291325,7442430,8083500,8315295,8359155,0
46,5903250,7857060,9852945,7339665,5810430,5644170,7694880,5538855,5756370,9212640,9426840,6621330,5566650,4429605,4394415,5765295,6227610,5779320,5017635,6017235,5636010,6070785,6867150,5887440,4135590,4140180,4437000,4940880,0
47,4742235,5731380,5366475,4418640,4497435,7335330,4642275,3856875,4941900,5556960,5825985,6058800,4779465,4638450,4991880,5177010,5336385,5661765,5663550,6196755,6574410,6116940,7072935,7009185,6367605,8474670,7388370,7064775,0
48,4607595,4254930,4099380,5007180,5557215,4270230,3935160,4843215,5526105,5168340,5752545,4941390,3661290,4608615,4964850,2923575,2472735,2651235,3563370,4366365,2801940,2717280,4707045,7126230,4669815,3547050,3147210,2772105,0
49,7295040,6791670,6466290,6253110,6586905,7202985,6784020,7080585,6771780,6061860,6918150,7674480,6733785,6393870,6208740,5179815,5328225,5501115,5571495,5184405,5061495,4451280,5424615,7661730,5125500,4670835,5618925,5422575,0
50,4873560,3406545,2650470,2356965,3509820,4816695,2518890,2105280,3441225,5482500,5841030,3456015,2582385,2522715,3017925,4069545,2829225,2389860,2278680,2838405,4615755,2607120,3301230,3363705,3249975,4650435,2086920,2083350,0
51,10373145,9384510,8871705,1643220,1423410,4374780,2443665,1894395,3873960,4234530,4938075,3589890,2572695,2495685,552075,677280,1865580,2514810,5380755,4295475,2573970,1819680,3820410,4729485,4021605,1279590,1219665,1341810,0
52,6343380,3681435,3504975,7224150,6958950,6646320,8017710,10229835,11274315,7651530,6653970,6886530,6282435,5876475,6110820,6054210,5602095,5284110,4925580,4834545,4848315,4700925,5323380,5795895,4829700,4818225,5603115,6034575,0
