,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2519910,2852940,2779755,1862520,1448655,1588140,1090125,1287750,2362575,1539180,1604205,2128740,1748280,1404540,1673820,2908275,1246440,1809990,2067540,3771195,6599655,7323345,6240105,4341885,4723875,5790030,6956655,5607705,0
1,4287825,4423995,4167465,3146700,2560455,3178320,2847075,2337075,3093915,3132420,3941790,4485705,3657720,3070455,3508545,6082770,5659470,5413905,5427675,5167575,5786970,5962920,6694515,7405710,7672440,7995525,8252820,8356350,0
2,8634555,7524540,7668360,8832180,8235990,7699980,8288775,8565705,8436675,8686830,9004305,8366295,8867370,9849120,8895420,7696665,7646175,8405055,8614665,8008530,7887915,9045360,10722240,10636305,10306590,9768030,8487420,10069185,0
3,5272635,5586285,6655755,7291470,7289175,6926565,6727155,6933705,7684680,6747300,6461955,6802380,6345675,6379590,3184440,1682235,873885,884085,472770,536010,536010,536010,392190,877965,594915,176715,226185,336855,0
4,6743475,6669525,7211655,6412995,7127250,7787700,7594410,7607925,7413870,7412595,7560750,7450080,7854255,8691165,8581770,8800815,9814950,9250635,8512410,8184225,7878990,7538310,7092570,6545595,6685080,7287135,7399335,7439370,0
5,3667665,4136610,3157155,3089580,4336020,4624425,5026815,4808790,4634115,5018655,5415435,4872540,4707300,4862340,5046705,4782015,4910025,5037780,5317005,5537325,5354490,5213985,5143350,4990095,4849335,5207355,3178830,2984775,0
6,5935380,5538090,2438820,2579070,2649960,2664750,2704275,2758845,7396785,4108560,3936180,6246735,7130055,6568545,6559620,6466290,6789885,3030420,3095445,3450660,3450915,3436890,3501660,6600420,6037635,2793780,2863905,3388950,0
7,986340,1210230,915705,986850,1141125,1130670,783105,914430,820590,607155,1049835,1175805,696660,701760,736695,775200,887655,1133985,810900,812685,645405,527595,811410,1335180,906525,803250,828495,704310,0
8,4853415,4905945,4902885,5366220,6019785,5924925,5504940,5508765,5596740,6174825,6099600,5797170,5619435,6098070,6707010,5637030,4425015,4468620,5495250,5417730,5705115,6078435,5822925,5918550,6064665,5617395,5599545,6257955,0
9,5151255,4969185,5460315,4304400,4205460,4433430,4669305,4957200,5006925,5623770,5722455,5292270,5145900,5630145,5498055,4607595,4516305,5402940,4958985,5045175,5416200,5193840,5482245,4715460,4419405,4935780,5145135,6301050,0
