,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,45150.242,48629.625,44090.41,37707.14,28336.334,25038.332,40529.688,33754.86,35617.883,21151.139,40306.566,41446.08,47634.816,51460.21,53070.66,62766.91,45336.547,40281.25,44247.12,52964.57,49727.105,48713.81,56395.332,51491.28,50960.547,45955.336,48286.68,0
1,37454.508,40205.25,38159.773,36232.28,35860.934,39269.41,35058.88,37169.617,37897.113,31618.91,38271.11,38179.77,34790.27,36677.67,44944.586,42023.797,39953.805,47945.793,40190.402,35026.06,35752.227,33197.387,37520.586,44156.05,44806.664,35205.305,37084.76,0
2,37034.08,32958.91,30672.584,35120.055,33878.67,30984.76,31887.48,33932.176,32330.637,33516.383,41283.562,34178.617,31771.605,30521.057,29749.988,36834.88,33427.586,37687.555,30893.285,29335.057,30275.598,27795.969,35451.29,31876.684,33188.71,31079.07,29567.842,0
3,40373.01,39172.58,36063.445,39989.805,43870.273,39383.9,38319.734,40495.92,43173.76,39780.66,40032.43,40104.098,40841.355,44154.54,43868.793,40501.727,48390.727,47388.773,42154.035,48119.09,47968.234,42878.668,42288.918,43319.01,45257.645,46477.844,45871.21,0
4,41610.598,40422.473,38349.855,38442.582,38594.89,38605.57,37229.637,32423.75,36419.72,35354.293,33458.863,37996.836,37017.902,39204.688,39045.168,38128.77,31039.645,37020.086,36105.812,36736.414,36584.82,38108.125,37896.473,36942.79,38658.008,32865.98,35203.305,0
5,43034.414,38642.86,41037.027,40438.062,39207.64,39991.67,39120.94,41238.133,39023.19,37990.92,42864.91,42177.23,42960.43,44006.863,40705.71,42900.023,41923.418,40589.465,39488.19,40440.49,44359.367,38997.33,42473.996,36329.0,34229.324,36453.684,37806.8,0
6,39841.92,46450.543,43806.273,40376.68,43009.05,41293.78,38578.176,40362.21,42924.562,41567.63,41617.668,40828.69,42039.5,44325.273,38385.445,42378.156,38749.504,34334.613,41762.934,42413.11,42244.305,37339.516,38521.273,41918.46,35044.05,38582.2,39344.945,0
7,41902.582,35734.58,37030.402,39186.406,39856.723,36054.598,37745.04,34435.59,36388.227,36836.164,37967.332,42487.36,44535.504,41225.63,40344.0,45367.69,42038.72,44868.58,44710.156,44257.5,42925.145,40448.633,40721.85,38592.355,40620.23,41612.875,38450.13,0
8,26118.95,29018.074,25948.09,27975.402,28401.078,27883.555,31640.34,28748.457,25152.275,26913.21,33272.027,31131.43,31327.812,28610.213,30271.178,30986.512,27241.113,29888.893,35351.77,32501.406,25812.025,28345.332,34061.27,26435.162,27232.16,29646.465,28362.344,0
9,36241.01,37698.336,37875.816,42129.016,35120.633,36674.324,45168.74,36235.61,39128.6,38079.93,47213.9,40687.777,43076.508,42487.742,41432.375,46649.574,46662.293,50615.336,42884.84,37129.227,32692.527,40920.742,48640.223,43565.715,42465.812,36133.027,36175.875,0
10,35457.156,42212.3,41263.496,41908.56,41051.76,37583.652,38388.418,41939.734,41835.5,37440.332,36953.54,40624.883,38782.027,43178.113,38446.1,36096.99,37660.6,41158.383,41078.9,40448.074,36493.727,37460.844,39082.027,36577.58,43032.508,40757.42,40040.336,0
11,36075.77,36005.707,34967.76,37032.375,36397.652,38515.0,39936.793,37567.51,35981.902,36332.402,39702.816,33785.758,31387.69,35059.785,38284.906,39516.414,37036.344,38706.094,38974.363,40200.336,36730.914,36202.434,36545.625,33609.31,34444.098,40699.305,36562.453,0
