,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1010820,801720,1403010,417435,57630,41310,55845,22440,16065,10455,8160,655350,332520,114240,98685,79815,90525,53550,48960,2042295,1956360,1551930,2131035,2750685,1721505,1515465,1973955,1157700,0
1,4039965,3506760,4048125,3828060,2251140,2338860,3375435,3172710,3262725,3476925,4193985,4835565,3517725,3053370,3783945,3475650,2908020,3064845,2363850,2322030,2758590,3217080,3925980,3766350,2788170,2553315,2916945,2469930,0
2,422790,251940,289425,234090,256020,1391535,736440,315435,336600,408765,498270,594405,431205,787695,1043460,1188555,855270,893775,998325,1036830,828750,995265,1599615,1263525,901935,632655,563295,897600,0
3,1990275,853230,462825,443445,1044480,2681325,2493645,1805145,1910970,1802850,2288115,1669740,852465,1153110,1609050,1342830,1380315,1794180,1681980,1365525,1310955,1032495,1569015,2236095,884340,892245,1309935,1754145,0
4,1161780,1445850,3140325,2773635,927180,646935,1253070,1398165,500565,625260,4534155,2147355,594915,881280,1278060,806310,561000,728025,1449675,911115,2073405,1519290,1786020,2466360,2097885,1340535,1129905,2672655,0
5,1899495,569415,402645,994755,2001495,1716405,1069470,1166625,1405560,902445,1389750,915195,278970,401370,563550,163200,246330,871845,327165,146115,150960,167025,342975,467160,134640,190995,459510,126735,0
6,3396600,1293360,146880,116280,2364870,2604060,1727370,833340,1090380,1571055,1997670,1380825,401370,815235,589305,567885,709155,118575,236385,315180,312885,590325,755565,2354925,191760,125970,693090,66555,0
7,3635790,1824270,793305,856290,2525520,3695715,3505740,3137775,3056175,2714220,3386400,2853450,1506795,1863285,2906490,2304945,2016540,2337075,2101455,1915305,2161380,2001240,2927655,2810865,1665150,1883940,2164695,1812540,0
8,3484065,2830500,2761905,2771850,2901135,3137010,3048015,2892975,2986560,2963610,3432555,3123240,2645880,2612475,2716260,2679030,2640270,2724930,2751450,2785110,2797605,2649195,2995740,3251760,2675460,2674950,2853705,2750175,0
9,1203855,353430,234345,760410,1697280,2464065,1639395,923610,471240,406470,1481805,1942080,731340,672180,382500,385050,313905,268005,464865,423045,1300755,671415,738735,379695,274635,376125,359805,476340,0
10,3735495,2755020,2398020,2509965,2684130,2418930,2139195,1718190,1634805,1828350,3144405,2873595,1818150,2169030,2362830,1619250,1447635,1591200,2051220,2467125,2166225,1729410,2295510,1810245,1254600,1419075,1555500,1633785,0
11,2994465,1402500,1328295,2043825,3031950,3223455,2917200,2349570,1855890,1878330,3171180,3400170,2132565,2751195,3648795,2584170,2407710,2521950,3144660,2864160,2321010,1964520,2644605,2414850,1785000,1935195,2115990,2204220,0
12,60180,98685,985320,1418310,2958510,2407200,1852065,2004045,2106300,1448910,2019600,3358350,2266695,2183565,2227170,2269755,2131290,2075445,2165205,2069835,2010420,2105535,2955705,3490440,2526285,1296930,1212780,2310810,0
