,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,884850,633930,1092930,309060,45135,31875,42840,17085,10455,6375,5355,596190,267240,110160,93330,78795,87975,48450,47685,2025210,1866090,1411425,2273070,3102840,1614405,1373430,1927545,1015665,0
1,4785330,4045575,4845000,4542825,2681580,2887110,4072860,3846165,4010640,4215405,5601075,6890865,4270485,3588870,4936545,4257480,3403740,3414960,2395215,2620890,3143895,3709230,5087760,4491315,2700705,2603295,3078360,2572440,0
2,426870,274125,312120,292485,304725,1529490,746130,372555,421260,495465,622200,722670,550035,1032750,1432845,1418820,1053150,1131690,1369095,1380570,1052130,1215585,2059380,1546830,1123020,803250,696405,1056210,0
3,1885980,797640,493425,458490,970275,2561730,2297550,1591455,1718700,1655715,2553825,1806420,763725,1015155,1458090,1230120,1210230,1615170,1512150,1205895,1140105,984810,1617465,2358240,812175,807840,1160505,1561875,0
4,1135260,1611345,3704130,3354780,1040400,791520,1504500,1606500,679065,830025,6317370,2600490,726495,1156680,1501695,875160,724965,977670,1685040,1105935,2327385,1752870,2191470,3044955,2426580,1715895,1446105,3283125,0
5,1871445,422280,262650,828240,1930095,1592730,901935,1002405,1290300,770100,1473135,897855,203745,301665,442170,116025,195075,733635,266220,110415,128010,144585,338895,427890,114750,171105,380205,97155,0
6,4079490,1137045,113730,75225,2323560,2522460,1486905,606900,873885,1318860,1990785,1340025,255765,623985,437070,419220,630870,79560,207825,288150,278970,502350,698445,2427090,138720,77775,521985,58140,0
7,4183785,1672290,825690,808350,2495685,4002735,3736515,3220395,3116100,2618340,3874215,3044700,1329825,1707735,2771340,2091510,1795200,2130525,1870425,1662090,1967835,1751595,3125025,3017160,1403010,1637355,1969110,1628940,0
8,4667775,3888750,3908895,3913230,4054755,4308990,4048635,3895890,4041495,4042770,4741725,4293180,3657210,3664350,3770175,3673530,3604170,3758955,3803325,3833415,3900990,3755895,4211580,4422975,3762780,3804855,3975195,3847185,0
9,1036830,333285,221085,858075,1664385,2629815,1577175,937380,496485,419730,1776075,2288370,719100,659430,351645,353940,309315,277695,493425,459000,1706970,709665,760665,336855,236895,423810,389640,517650,0
10,4552770,2999310,2729520,2822595,3089070,2771085,2425050,2055555,1966560,2215950,4092240,3501405,2213910,2663220,2795310,1961460,1812540,2009145,2441880,2859570,2550765,2131290,2952135,2198100,1549380,1791885,1930860,2072895,0
11,3309645,1582530,1580745,2289645,3226260,3447855,3104115,2584425,2193765,2205750,3898440,4145280,2468655,3218865,4229685,3003645,2948310,3172455,3756405,3466470,3027870,2716260,3507270,3134970,2475795,2678520,2944485,3075300,0
12,50490,64260,1232925,1463190,2999310,2239410,1653930,2130525,2275875,1334415,2102220,3839025,2442390,2445705,2398020,2467125,2360025,2405670,2456670,2369205,2398785,2429640,3665370,4092750,2796330,1129905,1085025,2801175,0
13,1305090,1280610,1299735,1439730,1576920,1592985,1454775,1574370,1520055,1501950,2230485,1610070,1209975,1178355,1179375,1040655,996030,1153110,1194165,1111545,1099050,1115370,1600890,1184475,1087575,1303560,1260465,1172490,0
14,1078905,796620,812175,990165,2206260,1919640,1445595,1071765,925650,941715,1676880,1438965,589560,833850,1102110,747405,632145,571965,535500,541875,479400,465885,816255,774180,466140,501330,500055,473280,0
15,4176135,2441625,2271795,2376090,2812395,3743910,4025940,3543735,3195660,2983500,4333470,4461735,2948310,3523845,5252235,4788390,3393030,2700960,2886855,3086775,3100290,3016650,3800520,5848425,3624315,3201270,3082950,2777715,0
16,5366730,5214750,4786095,4207245,5003100,5172165,3715350,2570145,2895780,1836255,2011950,2088705,281775,416925,5448585,5286405,7679070,5862195,4415325,5149725,5741325,4393140,5141820,6045540,4497180,4365345,4982955,4154205,0
