,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,980985,694365,1077120,277695,30090,22440,20145,9945,9180,7395,5355,653055,249390,87210,80580,73440,77520,49980,49470,2118795,2096355,1764090,2806530,3194385,1769700,1499655,2213655,1217625,0
1,2764455,2681070,3211725,2814690,1738335,1788060,2725695,2684130,2747370,2875890,4286550,4202910,2650470,2771085,4094535,3701835,2533425,2082585,1684020,2265420,2618595,2586975,3848970,2944740,1613130,2099160,2855745,2089470,0
2,215730,170850,144840,145860,167025,574260,265200,76245,96135,188955,297075,423810,260610,359550,470730,720120,569670,452370,506940,578595,431205,457470,936615,690540,394485,335070,272085,401880,0
3,1003680,453645,332265,367200,540855,1143420,1129905,815745,832830,742815,1294125,904485,408000,554880,727515,564315,584205,756075,723180,667080,630105,546975,945030,1513680,491895,444465,597975,860880,0
4,375615,809115,2152200,1859460,384030,202470,486795,613530,215730,259080,3151290,1917345,319260,520710,818550,531675,268515,348075,811920,542130,1389240,782085,1168155,1997415,1420095,738735,694110,1809735,0
5,1248990,271320,166770,488580,1196460,987105,513825,551055,767040,418710,942990,598995,116535,194055,272850,62475,95115,446760,150450,71655,81855,93330,256785,415395,109140,100215,197370,53295,0
6,3619980,1078650,138720,99705,1829115,1764345,1113075,467160,638265,1085535,1883430,1045500,142800,350880,280500,315690,390915,67320,133365,176460,189465,349605,526830,1920915,107865,73695,329460,35190,0
7,3374160,1459875,593130,579615,1854105,2629050,2268225,1901790,1811265,1602930,2989365,2399295,825435,999090,1620780,1290300,1114605,1280100,1171470,1100580,1227825,1125060,2600490,2477580,903210,1109250,1376490,1014645,0
8,3487125,3020730,3093660,3045465,3097740,3365235,3222945,3155115,3333360,3110745,3874215,3532005,2722125,2767770,3024300,2838915,2807295,2995740,2828970,2890425,3117375,2885070,3495030,3705150,2832285,2852430,3204585,2994975,0
9,840990,203745,150705,607665,1269135,2127210,1126845,627300,271830,244545,1472370,1884705,401880,364905,186660,216750,145350,125205,294015,280245,1327785,457215,583185,282540,159120,234345,215730,304980,0
10,4298535,2734620,2354160,2485740,2543880,2331720,2005065,1603695,1595790,1843140,3672255,3414195,1734255,2117775,2273835,1519800,1414740,1512405,1975485,2304435,2046375,1727370,2590800,2083860,1210485,1408620,1667955,1768425,0
11,2587740,1361190,1326510,1550145,2148630,2317440,2193255,1985940,1732725,1705185,3064845,3244875,1976505,2348805,2917200,2251140,2204475,2241450,2671890,2459220,2247315,2045100,2822850,2509455,1821465,2066010,2261085,2320245,0
12,27795,88230,739245,918000,1447890,1206405,942990,1253325,1343850,651270,1146990,2509965,1360680,1271175,1343595,1387710,1379550,1217880,1254600,1271175,1322940,1441770,2219775,2484720,1487160,591855,592110,1613385,0
13,938145,950895,875160,884085,1044225,963645,892755,968490,984555,974865,1551165,1111290,667845,602310,629085,552330,511785,603075,647445,588285,549525,609705,1130925,859350,639030,859095,770610,676260,0
14,791520,444720,427890,738480,1484100,1255875,908055,558195,495210,517140,1211250,1145205,308295,419730,646425,347565,288915,338385,338385,317475,285345,267495,565080,706095,309315,306765,256530,221850,0
15,2553060,1218390,1078395,1180140,1457580,2236860,2351100,1914030,1741650,1719975,2832030,3090345,1680705,2025210,3075045,3072240,2024955,1542495,1608795,1699065,1812030,1834725,2737680,4046850,2021130,1806165,1690650,1434120,0
16,1788825,1582530,1462680,1397655,1714620,1836255,1489200,1111290,1092420,743325,992715,1008780,127755,201705,2579325,2224620,3082440,2495175,2047395,2163675,2449530,1994355,2729010,2920770,1815345,1683765,1808205,1666935,0
17,785145,457725,540600,1116645,1615425,1422390,1268880,882810,769080,619140,1312230,1526430,625515,683910,964665,1054170,810900,539070,554115,524790,540600,517650,1033260,1371900,686715,700740,642090,827985,0
18,1413720,356235,426870,579360,1306110,2308770,1659540,945540,1154640,763980,1666935,2030565,423555,352155,1554735,1001895,832575,1769955,741795,684165,1684275,974355,1563405,2148885,689010,684675,1628430,718845,0
19,747915,357510,445485,751740,696915,588285,410805,457470,474555,299625,966195,891990,387090,371790,349095,242760,324360,407745,252705,258825,324105,291720,1027905,872865,374595,807330,1648065,648720,0
20,1290555,640815,741540,874140,1460385,1347675,694875,540600,706860,618630,1445850,1728135,455430,429165,653310,427125,366945,482460,389385,368730,502860,220575,503370,1238790,291975,250920,536775,342465,0
21,1076865,829005,877965,859350,1329825,1838805,1732980,1013880,1187790,1228590,1934685,1485120,462060,422025,555645,494700,411570,603330,983535,718335,470220,372045,673455,1446615,485775,409275,578850,1021020,0
22,1472370,759900,550800,603075,1204620,861900,586500,523515,521475,510255,1183200,1155150,514335,401370,404175,313650,245565,326910,371535,305745,263670,311865,719610,991950,480675,485775,492915,519180,0
23,432225,126480,121635,528105,1625115,1401990,761430,609960,1072020,802995,1619760,400350,186660,542895,397035,541875,128010,117045,531420,425595,401880,181050,274635,1165605,362355,358785,117300,121635,0
