,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1136535,778770,1259700,337365,46410,33915,26010,11730,10455,8670,7905,690285,276675,86955,80325,66300,72420,45645,46920,2506650,2413575,2012970,3057195,3732180,2190450,1844415,2661945,1319370,0
1,4494120,4162110,4901355,4390335,2613750,2713965,3928530,3843105,3964995,4151910,5714295,6465525,4044045,3789300,5369280,4806750,3458820,3315255,2451315,2910060,3466725,3712800,5229795,4396710,2617830,3007215,3842595,2871810,0
2,276930,200940,202215,203235,214965,801720,393975,182070,212670,317220,424575,516120,364905,619395,805800,924630,759390,706605,803760,895305,723945,718590,1223745,1047540,691305,529125,440895,590580,0
3,1667955,737970,523260,557940,956250,2122875,1995375,1390260,1400460,1350990,2234055,1616700,696660,888930,1249755,1028925,1057230,1356090,1326510,1154385,1079925,874140,1468290,2361555,789225,759135,1070745,1475685,0
4,753270,1197225,3159960,2719320,731340,482970,1000620,1092420,407490,477615,4716225,2459730,517905,880260,1115625,701760,489600,644130,1274745,850680,2037195,1262250,1679940,2838150,2129250,1209720,1017195,2652510,0
5,1875015,477105,289170,829260,1882920,1545300,871080,919530,1246185,702525,1396380,913155,215985,313140,436560,112455,172890,707880,288660,125715,121635,128010,345270,555645,123930,147390,322575,94095,0
6,5150490,1679175,182835,139995,3035520,3126555,1942335,842520,1134240,1768425,2671125,1700850,320535,706605,537285,587520,704055,113475,238425,344760,342465,601545,859605,3064080,184365,112455,669120,59925,0
7,4600710,2045610,843540,895560,2856000,4148595,3726315,3238245,3083460,2711415,4096320,3341010,1396890,1752105,2768535,2211105,1868130,2045100,1881135,1803870,2002005,1830390,3465960,3352230,1515465,1805910,2149395,1619505,0
8,4312305,3642675,3620745,3627885,3736515,4021350,3799500,3673785,3784200,3669705,4503555,4050675,3293835,3301995,3465960,3401700,3340500,3433575,3362175,3421590,3610800,3407820,3991770,4212855,3467490,3465960,3750285,3572805,0
9,1251285,329970,240465,889185,1720230,2717535,1527960,926670,430440,372555,1792905,2355690,644640,619905,314415,329715,255765,234090,469455,438345,1572075,664785,775455,399075,268770,380205,356235,452880,0
10,5461845,3691890,3156900,3252525,3373650,3125280,2723400,2242470,2100945,2380935,4483665,4186080,2385780,2818515,2991660,2061675,1920405,2111145,2609925,3035520,2761650,2318715,3340500,2530620,1611855,1850025,2098140,2249865,0
11,4298280,2020875,1927545,2705040,3910425,4107030,3702090,3054390,2486760,2503080,4643295,5009730,2948565,3760995,4938585,3439440,3287970,3430260,4270485,3899460,3368040,2981205,4073625,3639105,2693055,3014355,3297915,3378495,0
12,42840,105315,1024845,1358640,2469930,2077230,1504500,1800045,1897710,1018725,1747260,3515940,1951770,1911225,1980840,2064990,2010165,1848495,1942080,1860990,1985685,2097630,3243345,3842340,2303160,993990,918510,2278425,0
13,1255365,1247205,1228590,1290810,1468035,1454265,1374960,1454010,1465485,1419330,1953555,1585080,1150305,1084515,1118940,996795,934575,1071765,1110780,1057995,1044225,1109505,1563405,1304070,1071765,1293360,1224255,1122255,0
14,1267605,846600,823650,1124550,2402610,2004810,1528980,1114350,948855,943245,1843650,1623330,579615,824415,1122765,708135,616590,604350,575790,552840,515610,511530,948345,1028670,537285,531420,475320,467925,0
15,4099890,2220540,1994610,2134860,2580090,3626865,3899460,3335145,3020985,2839680,4287570,4593570,2862120,3399150,5063535,4874070,3368040,2594625,2712435,2903685,2909550,2800410,3777570,5790285,3322140,2936325,2785620,2495175,0
16,3659250,3390735,3125025,2761905,3428220,3561840,2583405,1651635,1857165,1199775,1494300,1556010,188190,284835,4348515,3954030,5869335,4651965,3381045,3860445,4365855,3274965,4209030,5001315,3319845,3092130,3433065,3013080,0
17,1078905,593385,756075,1708245,2463045,2014500,1766640,1285455,1121745,931005,1809735,2043825,946050,1007505,1378785,1538415,1198245,805035,776730,748935,738735,761175,1377510,1911735,947070,913920,895305,1168155,0
18,2261340,649740,696150,901935,2191215,3599835,2818005,1750830,1779645,1224255,2426070,2758590,779280,607920,1943610,1586355,1317075,2212380,1100070,1039380,1981095,1372920,2318715,2907510,1125060,1038360,2022150,1201815,0
19,1168155,606645,701250,1315800,1219920,981240,681105,747150,814725,514335,1348950,1333395,576555,552330,574515,435285,577320,692580,427890,421515,534990,496230,1538670,1247970,605625,1120215,2055300,937125,0
20,1459110,720375,932025,1066155,1730685,1620525,847365,670650,908055,720885,1559325,1952790,537285,541620,859350,553350,465375,618885,493425,477615,641835,296310,621690,1420095,334815,302430,683655,415905,0
21,1654950,1235475,1198755,1258170,2119305,2907510,2826165,1522095,1786020,1877055,2781795,2091000,652545,572220,776985,655860,585735,869295,1550655,1091910,673710,573240,1004955,1939275,627555,495465,828750,1664895,0
22,2045100,1111800,838950,941970,1875780,1454775,994755,827730,827985,827475,1637865,1753635,858075,654075,653820,526830,455940,516120,640305,564060,463080,537030,1047285,1573860,845580,777240,776220,735930,0
23,586500,153000,131580,656370,2208300,1954065,1120980,894540,1348185,1100070,2031840,521475,275145,737460,578850,775965,168810,148920,739500,588795,559215,242250,316965,1468290,530910,545955,169320,172890,0
24,4941390,3894105,3531240,4540020,2844015,2527560,4060875,4529310,2907000,2892465,6675645,2753235,2366910,3521295,3176790,4068015,3698520,2697645,2994975,3465450,4065465,6214605,7082880,4754475,3431280,3601365,3165825,3551385,0
25,2992425,2007105,1843140,2082330,3157155,3924705,3523335,3009765,3299955,3225750,4251870,3567450,2339625,2740485,3550620,3238755,3071220,3505485,3021495,2626245,2677500,2318715,3168120,3787515,2401845,2350845,2600490,2743800,0
26,839205,442935,520200,919530,1569015,1232415,870570,606135,614295,690795,1574370,789480,408255,555390,547740,365160,290700,263670,281775,309570,371535,466140,625515,1030200,607920,527595,548760,538050,0
27,638010,116280,45390,1447890,1870170,2197845,2576775,2743545,1554225,1137810,3875490,1961460,356235,493425,2671380,1076865,218790,329715,1202070,284580,82875,111945,3005175,451860,225420,792030,65790,35190,0
28,4200870,3751815,3461625,3265530,3165060,3043935,4458930,6541260,2443920,1927800,4658595,4261050,2219265,2657610,2690760,1884705,2470185,2338095,2246805,3804855,3276240,2019090,3547560,2694075,1867620,2990640,4711125,3876255,0
29,3393795,3350700,2475285,2808060,2962845,2319990,2676990,3059235,2762670,2282505,3520020,2856510,2030055,2593350,2463555,2384760,2484975,2341410,2470440,2880735,2957745,2551275,3382830,2754000,1844925,2336055,2176170,2179485,0
30,2010165,1448400,1139850,1313760,2749665,2901390,2790465,2311320,1934430,1543770,2527305,3476670,1811775,1859205,2017815,1763070,1508835,1326765,1263270,1347930,1622565,1605990,2644605,2425050,1182690,1404540,1439220,1254090,0
31,1904340,1293615,1368330,1988490,3096720,3453975,1798005,1133475,1770975,1844925,3634515,2881245,1297950,1310700,1398420,1709010,2337330,2079780,1626390,1410660,1177080,504390,640815,1534845,985575,1026885,1011840,1092675,0
32,1429785,74970,13770,2550,1569780,2085900,1286985,531420,189720,179265,913410,698445,159375,66045,116025,1053660,1018470,1172235,881790,887910,969765,780045,1729410,2457435,954465,922845,1374195,982005,0
33,4423485,2023680,844815,840480,2489565,3898185,3516195,2948820,2472480,2229720,3632730,3365745,1587120,1602165,2025210,1925760,1993590,2172600,1849770,1704165,1842375,1798260,2844270,3249720,1815090,1830135,1984410,2045100,0
34,5336640,1011075,676005,1647810,2115480,5015850,3197190,2626500,2008125,1864815,5465415,5798700,1453500,1775820,2345745,2059635,1350990,1236495,1543770,1488180,5499330,2098395,2528325,1306875,854760,2246295,2345745,2580345,0
35,3166845,2355690,1047030,271320,241485,222360,45390,29580,73185,110415,304470,451095,137700,79560,93075,141270,130050,209355,155040,111690,126990,127245,267240,2811375,1236750,431460,339915,467925,0
36,3174495,2376090,1774800,1945140,3564645,4155225,3670215,3676845,4068525,3491715,4667775,4410990,2563515,2583915,2963100,2667045,2752725,3373140,2960040,2651235,2966925,2805765,3931335,4618305,2813925,2584935,2690505,2840190,0
37,2770575,1661835,1417800,1503735,1864815,2339370,2596920,2524245,2742270,2373540,3207900,2823105,1737315,1892865,2087175,1867620,1722015,1973445,1941315,1754145,1768935,1561365,2133585,2461260,1521075,1486650,1626645,1662600,0
38,3927255,2628795,2512260,2583915,3351465,4383195,4177410,4054245,3866820,3146700,4395180,3743910,1983900,2247315,2826420,2601000,2714730,3028635,2624715,2061420,2127465,2066010,2880735,3417510,2069835,2187645,2638485,2926125,0
39,4383195,4047105,4158030,4107540,4158030,4378605,4136610,3940005,4102695,4018290,4842705,4273290,3514155,3532770,4160070,4092750,3679140,3968820,4012170,3807660,3874725,3724785,4203930,4421190,3624060,3839535,4098870,4035885,0
40,944265,178245,138465,650505,942735,3287715,2539035,1487160,1011075,969000,2198100,1327530,370770,1092930,1860990,1233945,328185,321810,1392300,826965,778005,272850,327675,1047285,674475,663510,248880,251430,0
41,3314235,2769810,2577030,3081675,2923575,2629560,2842485,3069690,2898840,3411135,5464905,3792870,2697645,2973045,2829225,3858915,5565885,3843870,2714475,2733600,2831775,2723655,4202910,2901900,2059890,2394195,2077485,1965285,0
42,1897455,2403885,1846710,1800300,2007105,1585845,2150160,2118795,2149650,1945395,2292450,2379150,1439220,1774035,1858185,1798260,1997670,1297440,1383375,1642200,1804125,1847730,2209320,2188155,1232415,1551675,1630215,1829370,0
43,2156025,2353140,2799645,2395470,2308770,2271030,1846455,1694730,1884960,2001750,3100290,3656190,2478855,2266440,2254455,2276385,2353140,2576010,3049800,2558925,1986705,2188665,2806530,3349425,2174130,2193510,1906635,1826565,0
44,388620,341190,1354050,1277040,2652510,3976725,633420,231285,813960,1711050,2976615,2070600,799425,3757170,4276605,3527415,3882630,3818115,4161855,4775895,3078870,1885215,4715970,5894070,3084225,3622275,3274710,1124805,0
45,3242580,3032460,2730540,2547705,2521440,2750175,3050565,2893995,2438820,2461005,3468255,2649195,2130015,2146080,1357110,1054425,1560600,1945140,1731705,1824270,1639395,1757460,2882775,2658120,2020110,1932900,1637355,1781685,0
46,2642565,430695,67065,8415,841245,4023900,3232125,2102730,1646025,829515,1551165,2276385,770610,833340,1013880,469455,477615,1527450,1809480,1509090,3235950,1512915,2020875,3363705,584460,468690,1343595,475830,0
47,173400,187170,237660,139995,131835,168045,140250,143055,179520,298350,314415,371280,134895,125970,211905,177735,166260,324360,619395,318240,371280,404430,565590,265710,208590,357765,241740,257040,0
48,6739395,5702310,5295075,4997235,5144115,5986125,6541260,5678340,4703475,4540275,6437220,6037890,5067615,5499330,4419915,3940515,5025030,6213075,4606065,4597395,4782015,4129470,5245350,4721070,3420060,4031550,4581330,3900480,0
49,3022515,4021605,4548180,3162000,2022660,1951770,2782050,1839315,1218390,2066775,4228920,1878840,931515,1396635,1685550,1007505,1461405,2136900,1142655,1225020,2080035,1887510,2315655,2455905,1854360,2689995,2082585,2071620,0
50,1407090,1414485,1194165,1174275,988380,851700,735420,878985,788460,842775,1397910,1081965,737460,1130925,1130670,649995,727515,919785,719610,608940,890205,1016940,1194420,1096245,886890,1080945,744090,830790,0
51,3694440,2924595,2815455,3904050,3993555,3471315,4062405,3303525,2547960,3222435,7043610,1668210,1238535,2620125,2445450,3009255,2705295,2443665,2556630,1864815,1687335,3034245,5590875,1653165,1351755,2135880,2155770,3805365,0
52,1932645,1610070,1147500,974100,696660,1051875,1795455,1481805,1003680,839970,2212890,1866855,612255,801975,1114095,747660,738990,875415,946305,1066155,864450,1044480,2044080,2415105,1931370,2138430,1828605,1782450,0
53,594405,358785,406980,1074060,507705,353430,660450,935085,809370,530145,979965,1089870,537795,546720,452625,417690,284835,401880,817275,677535,552075,695640,1355835,1667190,1060545,1161015,1130670,1190850,0
54,757350,1097265,896070,754290,584205,475575,536775,764745,790755,577320,810900,939675,539070,598740,753015,630105,501075,643365,827730,762705,861645,833340,1417800,944010,772650,1115370,895815,653310,0
55,2946015,3284400,2570400,2512515,2209065,1896180,2685150,2871300,1712835,1701870,3588360,2113950,1480785,3007725,2074935,1068960,1005720,1190340,1427745,1673820,1571565,1264035,1911735,2169540,1546830,2140725,774690,1093695,0
56,3408075,2628030,3470805,3225750,1285710,1331610,2684640,1804380,1892610,3552150,6596850,5475105,2605335,2171070,3280065,2945505,2220795,2787915,2260830,1918110,2746860,2909550,3956325,4938585,1949730,1985430,3859170,3690360,0
57,637245,148920,52275,118830,1505010,1637100,1919895,2271030,1995375,1714875,3138540,2961825,2364615,2414340,1765620,1923465,2452335,1898220,1175805,1603185,2543880,1162035,2019090,2202435,720375,842010,1104405,719865,0
58,1707990,1859970,1900260,1809735,1898220,1787295,1717680,1882665,1915560,1769700,2088705,2301885,1918875,1951260,1978290,1763835,1647555,1585080,1622565,1719210,1751595,1733745,1886235,2148630,1761540,1659540,1761540,1835745,0
59,3094935,2771340,2478600,2775675,2802450,3332340,4045065,3406035,3369315,3634260,4212090,3551130,2803215,2711415,2724165,2823615,2378130,3024045,3768135,3279045,4094790,5421555,5285130,3144915,2954430,5471025,4818225,4899825,0
60,3786240,5453940,5768100,4060365,2239665,2065755,5175480,4725405,3707445,4983210,8568255,7832835,5678595,5959860,6862815,6633825,6640200,6537435,7098690,7708140,7729815,7898115,9302400,4651710,4353615,7266990,2628540,2539800,0
61,2408220,2049180,1512405,1270920,971550,623730,774690,1945650,1423410,1175040,2227680,1035555,901425,1592220,842520,677790,748425,776730,934320,2655570,1435140,1015920,1612875,1580490,1420095,2812395,1949220,1598850,0
62,3307095,2285820,3073770,4484175,2463300,2982225,6335475,5141310,2235330,1180395,2245785,3898695,1316820,1457325,4565265,2535975,1548615,2428365,2965140,2040000,3810975,6810540,6995670,8149545,7367205,3102840,1817130,1714365,0
63,2325090,3763545,3314745,2676990,2233545,2587740,2485485,1615425,1527705,1559580,2749920,4413795,2294745,1954575,2185350,1660815,1459365,1569780,1645260,1419330,1323450,1315035,2628285,4561440,2263380,1491750,1016685,1081710,0
64,2461515,3181125,2911080,1898220,2074935,1637100,1165350,1854870,2601765,2777715,3814290,3627885,2238900,2272815,2688720,2268480,1794435,1956360,2480130,3295365,3091875,2789955,5057415,3946125,3484065,3812505,3534045,3596010,0
65,2037195,1556010,1296420,1440240,1666680,1633275,1289025,1413210,1951260,1733745,2333250,1950240,1285710,1370370,1338495,1445850,1677390,1755165,1790865,1770210,1872210,2188410,2975085,2677755,1928055,1933410,1983645,2271030,0
66,1085535,406980,184620,495720,1389750,433500,571710,510000,301920,675495,2040255,1064625,571710,176460,84405,479910,1289025,557940,1348185,1460130,528870,1063350,3477435,3370335,1313250,954975,1416780,2111910,0
67,4623405,4421955,4458675,4521150,5043645,4842705,4799610,4396200,4500750,4823070,5606685,4977600,3993810,4254420,5066850,4351065,4322760,4516305,4476270,4611675,4294710,4417875,5245350,5324400,4785075,4751925,4756260,4732800,0
68,2529345,426105,297330,497250,2547960,2038725,1547595,1181160,892500,715275,1819935,1422390,585480,807075,1000620,717825,672945,477615,409530,412845,475320,450840,1154895,1258170,397545,315435,396525,391680,0
