,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1195695,817785,1334670,319515,59415,46665,45900,21165,15555,10455,9690,727515,307785,120105,107610,85680,92310,53295,49980,2485740,2425560,1877310,2900625,3852795,2119050,1764600,2447490,1218390,0
1,5165280,4390845,5216280,4864125,2828715,3037050,4387275,4248810,4373760,4414305,5865510,7192020,4486980,3873450,5425125,4734840,3696225,3699540,2611200,2971260,3560565,4002225,5479440,4784820,2890425,2998800,3670215,2778480,0
2,431970,270810,318240,303960,320790,1570545,758880,372300,418455,507705,650505,753780,550290,1031985,1452225,1451460,1044480,1121745,1390005,1383375,1038105,1210995,2093805,1581255,1145715,810645,698700,1037085,0
3,2072640,855525,516120,521985,1078140,2787405,2502060,1680450,1797750,1732470,2649195,1856655,793305,1042695,1490730,1251795,1218900,1656480,1592220,1254855,1186260,1033005,1736040,2494665,823395,837930,1190850,1687080,0
4,1265565,1764855,4271760,3549855,1076355,829770,1582020,1655970,663510,849150,6742710,2853960,724455,1207935,1514190,901170,717315,971805,1771485,1165350,2572440,1862010,2233800,3313725,2655060,1775055,1489200,3572550,0
5,2151435,500565,296820,922335,2141235,1758480,992715,1090890,1383885,791520,1556520,985065,235110,352410,475065,130305,212925,785910,277950,122145,132855,137190,349095,577320,136425,183345,392190,113730,0
6,4748610,1413210,159375,107610,2751705,2907000,1668720,687480,1006485,1580745,2363085,1570290,286875,716295,465375,467160,668865,99195,243270,330480,324105,580635,807330,2777715,169320,86955,577575,64005,0
7,4589235,1852575,863175,922590,2870025,4466070,4098615,3440715,3261450,2813925,4228410,3360135,1404285,1787550,2941425,2271030,1949220,2230485,1947690,1779135,2112165,1888020,3493755,3207900,1479765,1750320,2147355,1732980,0
8,4861320,3987690,3968055,4006305,4141455,4441590,4203420,4018545,4150890,4121055,4851120,4409970,3731415,3705915,3837240,3764820,3712545,3859170,3866055,3893085,3990750,3840810,4336530,4500495,3832905,3864525,4031805,3920115,0
9,1183965,352665,243270,919785,1768680,2874105,1700340,993480,517395,437325,1896690,2445705,735165,685440,362865,367710,315180,275910,495720,458490,1759245,746385,810900,361845,243015,446760,411570,569160,0
10,5380755,3613350,3181635,3247170,3440205,3130890,2770320,2300865,2093040,2367930,4581330,3969585,2418675,2941170,3007980,2034900,1896945,2134350,2642565,3110235,2767770,2286840,3317040,2432700,1621290,1855380,2012970,2233545,0
11,3920370,1831665,1777095,2547705,3596265,3841575,3493245,2909805,2356710,2360280,4409715,4483155,2638230,3456015,4592295,3216060,3179085,3413175,4127175,3733200,3193110,2855235,3875745,3435615,2610435,2811885,3135990,3248190,0
12,49470,70380,1256895,1565955,3140580,2322030,1680195,2221305,2365890,1353030,2140215,4095555,2521440,2516085,2451825,2524245,2459220,2462025,2512005,2436270,2463555,2514810,3815310,4374015,2903430,1197735,1154130,2870535,0
13,1392045,1350225,1371900,1500930,1686060,1646025,1485120,1617975,1616955,1562640,2337585,1716660,1285455,1222725,1241850,1103385,1038105,1241595,1262505,1163565,1157190,1257150,1771230,1355835,1175805,1381335,1306875,1212015,0
14,1247970,837420,864195,1083750,2450805,2094570,1567485,1157955,1012095,1000365,1811775,1559835,637245,873120,1143420,790500,666315,624750,585225,571965,511020,509490,909075,906270,531165,544170,488835,491640,0
15,4425015,2503335,2298825,2421990,2877930,3876510,4188630,3651600,3233400,3050820,4471425,4625445,3001095,3614625,5503665,5070165,3544755,2772870,2951880,3174240,3158940,3023790,3905325,6026160,3687300,3232890,3099780,2812140,0
