,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1414995,968235,1642965,436050,60435,46410,49470,21165,15555,10455,9690,856545,380970,137190,120105,94095,102000,61455,59925,3095445,2880735,2264910,3369825,4459950,2627520,2191215,3182655,1537395,0
1,5415435,4646355,5440935,5009730,2885325,3140325,4492335,4423230,4595355,4548180,6111075,7316205,4668795,4080765,5697210,4945725,3769410,3791085,2803470,3204585,3807915,4190925,5655135,4917420,3041895,3211470,3977235,3067395,0
2,426870,268005,308805,297075,314925,1583550,729045,370260,423810,501840,646425,739500,559980,1043205,1456305,1457580,1043205,1126590,1375980,1396890,1076865,1232415,2139195,1647045,1155660,830790,713745,1064625,0
3,2042295,826710,531675,466395,1068960,2725695,2419185,1634550,1773780,1735785,2648430,1854870,799425,1044480,1458600,1240320,1237005,1684020,1580235,1347420,1204365,991185,1639905,2680305,889695,883830,1212015,1698555,0
4,1350990,1820955,4310775,3669705,1156170,848640,1600125,1734255,704055,868020,6846240,2994975,787440,1233435,1642455,940695,736185,983025,1811775,1176060,2569380,1890825,2347020,3421335,2759865,1766640,1506285,3638595,0
5,2185860,480165,271575,908820,2152200,1762050,1008270,1103640,1409895,847365,1676115,989400,222360,332265,502860,129030,214710,798405,285345,123420,139740,162180,386835,590835,136425,204510,410805,110415,0
6,4805730,1437945,171615,118320,2758335,2986815,1804890,724965,977160,1611345,2428110,1575390,303960,696150,464100,453135,717825,112200,239445,352920,358530,600270,791775,2854980,179265,91800,578085,58140,0
7,4618815,1988745,899895,878730,2754000,4329135,3954540,3394050,3262215,2743035,4159815,3275730,1420095,1876035,2979165,2240940,1864305,2215440,2035920,1826055,2042040,1867875,3369825,3271650,1507050,1792905,2119560,1699830,0
8,4834545,4027215,4024665,4044555,4154460,4467090,4268445,4064955,4157265,4167975,4935270,4486470,3777315,3754110,3868350,3793125,3708720,3898950,3894105,3945615,4060620,3873195,4380390,4570875,3846675,3867840,4052970,3897675,0
9,1324470,356745,243525,991950,2072895,3064335,1780665,1078395,515610,444975,1983135,2524500,761175,736440,381990,368985,326910,290445,575535,533715,1824270,831300,915450,486285,314925,456450,421005,531930,0
10,5750505,3830865,3315000,3513390,3704895,3338970,2845290,2352375,2129760,2456160,4803180,4169760,2523735,3111000,3162000,2060910,1954575,2203710,2682855,3195915,2853960,2378385,3421590,2507160,1663620,1908165,2078250,2280975,0
11,3973410,1853085,1806675,2582895,3686025,3938220,3567960,2935305,2393430,2358750,4387275,4573935,2716260,3536850,4697100,3300465,3265785,3460095,4108815,3761760,3206625,2887365,3944850,3480495,2674695,2879970,3183420,3282615,0
12,62475,124950,1322175,1616955,3246405,2517105,1866855,2293725,2365380,1439475,2317440,4288335,2612730,2595900,2497215,2614515,2512005,2455140,2538780,2469930,2511750,2564025,3910425,4455360,2936580,1221705,1179120,3010020,0
