,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1054935,734400,1252560,320790,45645,32130,41820,17340,10200,6375,5865,642600,279990,109140,97665,76755,85935,49980,48450,2382975,2238390,1751850,2758080,3579690,1988490,1647300,2373540,1206660,0
1,4982955,4261815,5081895,4751670,2804745,3015885,4286040,4107285,4233000,4394415,5847405,6982665,4385490,3747990,5128050,4501515,3592185,3605955,2542860,2851155,3439185,3870135,5318280,4680270,2855745,2856000,3446070,2741505,0
2,431970,281010,314415,298605,307785,1589925,771375,370770,418200,500565,624495,749445,551820,1036575,1459620,1472370,1066665,1129905,1385415,1386180,1035300,1203345,2066520,1531275,1127100,807075,700230,1049325,0
3,2030820,861135,514590,513060,1048815,2720850,2445195,1697280,1800045,1693965,2611455,1849005,788205,1049835,1499655,1269900,1237005,1656225,1577175,1261485,1175295,1028925,1724055,2456160,812175,823140,1182945,1671525,0
4,1248480,1785000,4224075,3574590,1056975,798915,1554225,1667700,678810,852720,6660855,2910315,766785,1231905,1656990,973845,754035,998070,1799280,1153875,2612220,1863285,2262870,3292050,2649195,1777095,1460895,3537105,0
5,2068560,473535,306000,900660,2099925,1739355,962880,1079160,1427235,824160,1546830,965940,213945,307020,468435,118575,197880,790245,283560,117555,126225,143820,368475,512295,135150,178500,397290,101490,0
6,4539255,1410915,137190,93330,2692800,2823360,1675860,695130,1011585,1561620,2318970,1513170,283560,650760,497760,501075,666570,89250,224655,298605,287130,552330,773670,2692035,155295,85680,584460,53550,0
7,4547925,1917855,885870,906780,2838915,4348005,4030020,3419295,3241560,2812140,4199085,3358605,1437945,1815090,2926125,2236350,1942335,2212125,1964520,1803615,2090745,1881645,3461370,3250995,1507560,1778370,2153985,1726860,0
8,4807005,3959385,3961170,3988965,4105755,4386000,4161855,3985395,4128450,4086120,4821285,4337550,3683220,3691890,3813525,3742635,3684750,3801540,3821685,3870390,3963720,3801285,4284765,4444140,3787515,3835455,4022370,3909150,0
9,1195950,353430,244290,948600,1796985,2872575,1722015,998835,521475,443190,1890570,2420460,743070,692835,361845,371025,315435,281010,507705,472005,1764345,739755,813705,368730,266475,443190,406470,563550,0
10,5005650,3406290,3013845,3103605,3353760,2997525,2631855,2197845,2066265,2331465,4372740,3917055,2344470,2797860,2974575,2053005,1905870,2066010,2564025,3070965,2709120,2250630,3186225,2391390,1594770,1851045,2044590,2159085,0
11,3752835,1751595,1722525,2508180,3663330,3849225,3456015,2837640,2372010,2379150,4235295,4585155,2705040,3456270,4630290,3267570,3140835,3331065,4065210,3686025,3194640,2826165,3759720,3362430,2592330,2857275,3128850,3229575,0
12,48960,80835,1298460,1559325,3095700,2404140,1739610,2186625,2349825,1363485,2154495,4057815,2516850,2470440,2434995,2530875,2407710,2415615,2482680,2383230,2448255,2519910,3801285,4329645,2876145,1206405,1117665,2829990,0
13,1331865,1283670,1317585,1437435,1608795,1586355,1440495,1568250,1518015,1478745,2249355,1626900,1217625,1176060,1179885,1054425,1003425,1185750,1206660,1117920,1110270,1142145,1621035,1216605,1092675,1309680,1257660,1182180,0
14,1167645,827730,838185,1064115,2402355,2101200,1587375,1152855,980475,997815,1797750,1549890,593640,878220,1157955,766275,648975,633420,604605,589050,518160,514845,909330,913920,531675,543915,507195,486540,0
15,4376310,2497980,2294745,2412810,2884305,3909405,4231725,3675570,3280575,3068415,4464795,4594335,2973810,3611055,5554410,5080110,3519765,2769555,2947035,3172200,3177300,3037305,3900735,6001680,3701580,3259155,3114315,2801940,0
16,5492190,5308845,4903395,4314855,5053845,5249685,3771705,2691015,2968965,1847220,2033370,2098650,277695,427125,5576595,5363670,7723185,6040185,4467600,5158905,5816040,4444395,5212200,6106995,4525485,4392885,5026560,4240650,0
17,935850,550545,655095,1650105,2359005,1901790,1617465,1233435,1004445,844305,1741650,1822485,852720,880515,1287240,1433100,1119450,734145,695640,710685,658665,678810,1213290,1780155,807075,786165,788970,973845,0
18,2102475,607155,655095,849150,2015265,3414450,2629050,1748790,1738590,1214055,2239410,2695095,722415,602820,1959420,1578195,1312230,2197335,1100070,1004190,1932390,1284180,2160615,2782305,1062840,979965,1968600,1180650,0
19,1237515,657900,669885,1376490,1412955,1102620,831045,878730,920550,549015,1402755,1392555,645405,604095,630615,492915,639795,774690,433500,438600,600780,563550,1668975,1411425,631635,1043715,1430805,823140,0
20,1871445,855015,1020255,1234200,2166735,1912755,1027140,801465,1136025,882300,1769445,2243235,618120,546720,906270,624240,534225,658665,512805,520455,665550,317475,641580,1416525,351900,315690,787950,456960,0
21,1842630,1435140,1383120,1505010,2608650,4199595,4174860,2031075,2392410,2607630,3475140,2615535,874395,672435,978945,814725,772395,1142655,1960695,1478745,1008780,746385,1211505,2603805,811665,658155,1292595,3013335,0
22,1981860,1061565,836145,957525,1946160,1541985,1026375,890460,846600,785145,1569525,1658265,814470,643365,646680,546975,437835,508725,630360,589050,470985,539580,1031475,1592475,850425,767295,733125,710685,0
23,632910,161925,132600,667335,2285565,2191470,1160505,908820,1345380,1126590,1997670,531675,261630,672180,612765,802740,167025,144075,741030,604860,563550,232560,289425,1394085,547740,555135,163200,147900,0
24,5335365,3687300,3284145,4828170,3083205,2724420,3971370,4079745,2681580,2714730,6087360,2645115,2315400,3232635,2851665,3765840,3498345,2531640,2889915,3164295,3569490,5551860,6477765,4599180,3452190,3472335,2917965,3373395,0
25,2676735,1863285,1793670,1972170,2956215,3792615,3404505,2936580,3242325,3122730,4071585,3423630,2333760,2726715,3502935,3235185,3083205,3459330,3007215,2638485,2644860,2322285,3032205,3637320,2404140,2295255,2542860,2652000,0
26,854250,483225,517650,926925,1638885,1256640,858840,609960,621690,715020,1561620,833085,469710,599250,579105,367710,288405,281520,292740,323340,406470,516375,695640,1037085,611235,520200,562785,584460,0
27,693090,113730,39525,1730430,1892865,2202945,2725950,2994465,1626645,1204365,3974175,1972425,337365,537540,3154605,1210995,269790,354960,1430805,394230,115005,142800,3275985,484755,257295,1031730,137190,72675,0
28,4744275,4350045,3957345,4059600,3996360,3379260,4774110,6907695,2726205,2381445,5231325,4554045,2408730,2816985,2903175,1980840,2413575,2111145,2059125,3962190,3962190,2472225,3847950,2427600,1542240,2815710,4199085,3342030,0
29,3243090,3204075,2468910,2656335,2841465,2203710,2612475,3139050,2669340,2047140,3234930,3007980,2219010,2718045,2528835,2417400,2522970,2440095,2575755,2861865,2999820,2586720,3393285,3042915,2133585,2565810,2301630,2350845,0
30,2048415,1455795,1169175,1359405,2968455,3091110,2952135,2427600,2059635,1682490,2579325,3349680,1906380,1968090,2059125,1882410,1607265,1379040,1329825,1417800,1680195,1744965,2741505,2456670,1321410,1488435,1531020,1371135,0
31,1948965,1415250,1463700,2115480,3373395,3707190,1999710,1227570,1875780,1928055,3551895,2714220,1367565,1326000,1454775,1836255,2599980,2254455,1773015,1487160,1230120,528105,661215,1581000,1074315,1119960,1138575,1250010,0
32,1604460,99195,19125,1275,1681725,2488545,1423920,512550,194565,175185,978945,767295,191250,79560,128010,1175295,1088085,1320900,978690,962880,1126080,880515,1898475,2627775,1089105,1022805,1547595,1139595,0
33,4188630,1692945,760410,744600,2195550,3853560,3502170,2835090,2453100,2169030,3574590,3152310,1506540,1456305,1956870,1945905,2010930,2046630,1790865,1653165,1805910,1765620,2816475,3119670,1734255,1784490,2000475,2033880,0
34,4341630,781320,519180,1297950,1624605,4450005,2672655,2183565,1618995,1529235,4697100,4847040,1206405,1507050,1881135,1625370,1079415,955995,1285200,1200030,5052060,1795455,2131545,1108230,720885,1848495,1938510,2170560,0
35,3624060,2809845,1213290,331755,289680,296565,66045,36465,88740,116280,251685,451350,135660,73695,85680,142035,143055,231795,175950,126735,131580,132090,261120,2702235,1229865,437835,349605,476340,0
36,3056175,2394960,1771485,1954575,3589635,4179450,3603150,3667920,4146045,3530475,4546395,4370700,2668830,2654805,2969985,2637975,2780265,3472080,3079125,2775165,3045720,2928165,3903540,4586940,2890425,2668575,2767770,2895015,0
37,3437400,1896690,1476960,1489200,2065500,2898840,3167865,2893230,3119160,2831520,3703620,3250230,1947945,2159595,2457945,2136900,1970640,2412555,2432445,2067795,2016030,1761540,2496450,2886855,1702125,1667700,1822230,1976760,0
38,3769410,2470185,2386290,2403375,3142110,4217445,4073115,3916800,3787515,3080400,4214130,3477690,1924485,2234565,2805510,2543115,2617065,2980950,2624205,2064735,2130525,2107320,2826930,3245130,2050965,2165460,2574735,2902665,0
