,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,954465,672180,1165605,308550,48450,33405,44370,18615,12240,7905,6885,658920,290190,119850,103785,93330,99960,57120,57630,2154750,1934940,1535355,2530620,3341520,1795200,1478745,1983390,1144185,0
1,4822560,4090200,5056395,4699905,2743035,2917200,4176390,3934905,4100400,4358460,5693895,7028565,4363560,3695715,5107140,4473975,3545010,3554955,2442135,2661180,3295620,3804600,5241270,4674150,2772870,2713200,3228810,2622930,0
2,445740,287130,318750,303195,326400,1611855,784635,372045,420750,511530,651270,776730,556665,1039380,1459365,1449420,1089615,1143675,1396380,1375725,1029435,1222215,2107830,1557795,1129395,818805,715020,1088085,0
3,2000985,837165,490620,518415,1010055,2716260,2416890,1669230,1775565,1656480,2606610,1829370,763725,1071510,1505775,1251285,1224765,1667955,1574880,1193655,1155660,1051620,1749300,2327130,800190,785145,1152345,1572075,0
4,1205640,1720485,3996105,3537360,1016685,779280,1508325,1603440,665805,838695,6573135,2840955,756840,1223490,1592985,930750,743580,1008525,1741140,1118175,2529600,1814580,2221815,3177300,2534190,1772505,1467525,3433575,0
5,2068560,463845,315690,907035,2093550,1729665,934320,1035300,1401990,761940,1486140,953700,218025,329460,455940,124695,191505,792285,297585,118575,124440,136425,358020,487560,149940,173145,387600,95625,0
6,4586685,1345125,123930,73185,2657610,2806020,1574625,643875,1003170,1508835,2259555,1481805,265455,656370,494190,485775,643110,88485,231540,274890,269025,524790,758625,2694075,159120,79560,538305,69615,0
7,4572660,1851810,840480,904230,2888130,4436235,4106520,3437910,3254820,2803980,4242435,3382575,1402245,1747005,2904450,2229720,1921425,2237880,1923720,1754655,2116500,1850025,3504465,3247425,1472370,1729410,2114205,1728900,0
8,4774620,3955815,3963720,3970605,4102950,4374525,4119270,3983355,4145025,4102185,4867950,4372230,3699285,3694950,3812250,3745440,3698010,3815820,3849225,3890535,3959640,3814290,4290885,4473720,3802305,3821430,4023390,3925725,0
9,1171980,337365,238935,896070,1640670,2789955,1696260,969765,529635,430185,1870170,2483700,734655,668355,363375,388110,315180,275910,480675,438855,1762050,709410,784380,313905,209355,431205,395250,574260,0
10,4990860,3244620,2860590,2941170,3210195,2863650,2542605,2120835,2079780,2292705,4343415,3815310,2279955,2683110,2885835,2054025,1880625,2033370,2564790,3035775,2635170,2184330,3141345,2415360,1603695,1874250,2024700,2129505,0
11,3681180,1698555,1662345,2493135,3555210,3763545,3366510,2823360,2383485,2421735,4215150,4617285,2670615,3460350,4622385,3245640,3151545,3322395,4073880,3660525,3211470,2834580,3746460,3345855,2582895,2883285,3129360,3265530,0
12,50235,50745,1248480,1551165,3079125,2316675,1694220,2154240,2361555,1349715,2121600,4010640,2475795,2463045,2434740,2517360,2418930,2441880,2478345,2368695,2451825,2508435,3804855,4318425,2856000,1160760,1093695,2797860,0
13,1308150,1278825,1305345,1436925,1587375,1586865,1454520,1566975,1511895,1501695,2303160,1648320,1235730,1192635,1184220,1046520,997050,1190085,1209465,1116135,1111290,1125825,1629960,1166625,1073805,1292595,1245675,1163820,0
14,1121745,811665,854760,1033005,2360790,2075190,1612875,1147245,975375,1012860,1824780,1520565,594405,902445,1185495,754800,651525,618375,588030,594405,526320,522750,942735,909330,536775,561510,489345,481695,0
15,4338315,2498235,2290155,2437290,2890680,3846675,4183275,3566940,3227025,3060255,4453575,4575975,2952645,3568980,5459550,4981680,3429750,2720340,2923575,3189030,3155880,3024300,3877020,5983320,3657720,3207900,3102585,2810100,0
16,5678085,5426400,4971225,4398240,5151510,5355765,3797970,2678010,3051075,1910715,2086410,2153475,291975,441405,5627085,5405745,7890975,6215370,4536195,5256825,5939715,4500240,5271360,6245715,4599435,4435725,5077815,4283490,0
17,957270,578340,655350,1672035,2357475,1892865,1575135,1168665,981495,858330,1757970,1876545,884340,922590,1275510,1397145,1133730,759390,703545,723690,666315,651780,1225275,1851810,816765,788715,774945,980730,0
