,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2953920,2370225,3789300,3572040,4277880,1726860,1564935,345270,155040,323850,296565,4137120,772905,271575,216750,377910,346035,287130,274635,3478455,3318060,4968675,5161710,4747590,3159960,2845800,4039710,3057960,0
1,5987655,7016835,6933960,5636265,4438275,5041095,7040550,5977965,6239085,6960735,7884600,6512955,4851630,4867440,6040440,5188485,4457400,3950460,3443010,4239630,5360100,5481480,6211800,9798630,11347755,7282035,7181820,6178905,0
2,3317550,2909040,2294235,1506795,1803870,5358570,5196135,1751085,1764345,4242435,4867950,4817970,4159305,5869845,5170380,5888715,5159925,4593315,4838625,4767735,4751925,5261670,6032025,4482135,4367640,3845910,3596265,4077960,0
3,5556195,3812250,4069545,4987545,5935890,6395400,7405200,6555540,6002955,5445780,5836950,7048965,5060985,4757280,5453940,5511060,5079600,5145645,5639325,5461335,4902885,4668030,6163350,5675280,4540785,4743000,4561440,5089800,0
4,6471900,6801360,7677030,7120365,5461335,5486325,7217775,6558345,5348115,6115155,8435400,7839210,6523920,7275915,7035195,6400245,6713130,7150965,7423560,6799320,7577070,7983285,8098800,7937385,7412850,7237155,7568145,8610075,0
5,6728430,3617940,3944340,7660710,7100220,6595575,5712000,4805985,4847295,3554955,4873050,2616555,971805,1483335,4213875,924885,915450,4251105,6743730,2630835,2393430,1907655,2726715,4463775,1740630,1988745,6165645,3781650,0
6,9888390,5594955,2820810,4146555,8838555,8110020,8630985,7588800,6832215,6865875,7544940,6421410,2536740,2933010,4370445,4682055,5375910,3422355,3356565,1445340,1351500,5634480,7949115,7629600,5177520,6509640,5285385,684675,0
7,7860885,6231180,5609235,5544465,6149580,7005870,8139855,7625265,5876730,7660710,10451940,7035450,5332815,6410955,7993740,7752255,6974760,6208995,5880810,5311140,5052570,5471025,6744240,8122515,4625955,4300320,5734950,6120765,0
8,7695645,7028820,6846240,7278720,7222875,6927585,7214715,7341705,7328445,7303200,8182695,8036580,7181310,7077780,7066305,6843180,6988275,7236900,6994395,7139490,7603845,7609455,8543010,7676520,6405855,6224040,7075230,7079565,0
9,7295040,3988710,3737535,6975525,9025215,9962340,10101315,7825695,5305020,5949405,9393435,9177195,7406730,7594920,5586795,6381375,3378495,3019455,4641000,5007180,9541335,7143570,8057235,8737320,7780560,4879935,4800120,9497730,0
