,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,3418020,2910315,3451935,2304435,2405670,1071765,1154130,350115,1021020,878220,936360,2850390,1201050,694110,661470,645915,820590,471240,571200,5539110,4458420,3960660,5022990,5387640,4197045,4222545,5093115,2954685,0
1,7308555,7459515,7682640,7594920,7839210,8433615,8439735,8339010,8525925,8605740,9252675,9747885,9457695,9689235,9749925,9490845,9475290,5251215,5350410,9523230,9010425,8574120,8574885,4926600,4472445,7453140,7313145,7435290,0
2,1898985,2086920,2474775,2390625,2391135,1925505,1540710,972825,1429020,2473500,2811630,3049290,3360900,4098360,4118250,4527780,4316640,3670725,3283890,3683730,3137775,3069180,3177045,3129870,2866710,2510730,2346000,2876145,0
3,7507710,10499370,10729635,9680820,9957495,11275845,7147140,7055340,9489825,9297300,9483450,10400430,11439810,11247540,8747520,6557835,6724860,7764495,9268485,10721985,11432670,8281125,8043465,11172570,7660710,7593135,10087545,7043100,0
4,3199230,4262070,4590765,5440680,6062370,5235915,5579400,3947655,3085500,4255950,6704460,7534230,5508000,5380245,4430115,3859680,5109435,6171765,7023975,7276680,8098545,8218905,7709160,8060040,8015160,7803000,8062590,8710035,0
5,5389170,4043790,3416235,3187755,3212745,2837895,3580455,4002735,3294090,4636920,6227355,2469675,1195185,1455795,1861245,1509345,2966670,2570910,1426725,1048050,1258680,916470,2026740,1464210,758625,1245420,1513425,733125,0
6,5567415,2278935,694875,1494810,5165025,3479475,2718555,2198355,3717135,3739065,4069290,2170560,665295,1177590,3308880,4456635,2447745,1822485,4070565,1076610,1133730,2641290,2629815,4423230,960840,1355835,1411425,267240,0
7,3710505,3750030,3169905,2663220,3574080,3322140,3058215,3430260,3528945,3346875,4168740,6396675,6052170,5462355,5880555,5376930,6449205,3792360,1860990,1632510,2196570,3736260,7867515,5095665,2972535,4243710,4398750,3939750,0
8,9649455,10347390,12015855,11216940,10169910,10270635,10189545,10007985,9831525,9123645,9803730,9489060,9305715,9391395,10014360,9162405,8736555,9630840,10090605,9109875,8363235,9337335,9630075,9198105,9902670,11246775,11294970,9304185,0
9,3387930,1994100,1940040,3749775,4059600,6561405,3851010,3887220,1917090,1791885,5179560,5526360,2159085,2145060,1496085,1415250,1660050,1680705,1880115,1893630,7929225,2414595,2294490,2193765,2057340,2291685,2201925,2181015,0
10,7950645,7333290,5758920,5170125,5918295,6512700,6373470,6641220,6980880,6744750,6806205,7124190,6444870,6906165,6599655,6330630,8028165,10957095,10959135,10489935,11865405,12740310,12781620,12680640,11699655,8764095,8357625,9126450,0
11,10322910,9404910,10181895,10347135,9612225,9931740,9665010,9016800,9429135,10303020,10556235,9507420,9644100,10147980,10349940,11437260,10361925,10103865,10758705,10404765,11354130,11764680,10610550,10506000,11182515,10801800,10320105,9981210,0
12,391680,1028160,11220000,4095810,3454230,3257625,3290010,7890720,6266625,3295875,4515795,8482575,5762745,5217555,5868060,5637285,6997200,8525925,9611205,10395330,9156540,7052025,6789885,6508620,5935635,2766495,3010530,6714915,0
13,7851960,7255260,6799830,7536525,7057890,7362105,9058620,7337370,6634335,7056360,7018110,6180690,6094500,6767445,6361485,6850320,5990460,5427420,5798445,4593825,4752945,5508000,5414925,6352560,7126740,8369355,8797500,8207685,0
14,4800120,5694660,5044665,4576995,4493100,4235040,4443630,3654660,3865290,4580820,4307205,4117230,2853450,2815200,3167100,2623695,2443155,3511860,4264365,3256860,2748390,2130525,3395070,2860590,1953045,2347530,2434485,2033370,0
15,9249360,9410010,9080805,9226665,9665010,10764315,11093520,11030280,10570005,9310305,9665010,9141240,8144190,8128380,8120220,9455400,9867990,8827335,9061935,8815095,9159855,9456420,9271035,9206520,9153735,9800415,9621150,9245280,0
16,6293400,5392740,5378970,5520240,6121020,6845220,6224805,4276350,3690870,3864525,4304910,2525265,1672035,2793270,8274240,7350120,7139235,7063500,6737865,7247610,7440390,6677940,6948495,6901320,6587670,6393360,6525195,6345930,0
17,4305675,4365600,4570875,4299810,3402210,3285420,3356055,3858150,3923685,4083570,4419915,4779210,4117995,4463520,5484540,3971370,3482535,4805730,4208010,4273035,4374780,3938730,4443885,4153440,4175115,3818880,4015230,5241270,0
18,3419295,3035520,5985615,4603005,4217955,5164515,3229320,3307350,6035085,3649050,3953775,7421265,1662600,1801320,7533210,3450915,3616665,8112060,2927655,2739210,7086960,3206625,3306330,7988895,2357475,2376345,7819320,3034755,0
19,4183275,3877530,4898040,4991115,4031295,3638595,2594625,2718045,3991515,3466980,3619470,4841685,6221745,4330920,3070965,2839425,3028635,2167500,1809225,2024700,4705770,2764965,3014100,3193365,2811630,4275075,3872685,3113040,0
20,2312085,2147865,3229320,2364360,1934175,2616045,2124660,2240175,2604060,1814580,2404650,4266150,1578195,1964775,3262725,2151945,1876035,2444940,1595535,1756950,2648940,1359660,1525665,3331830,1857165,1653165,1835490,1076865,0
21,9016545,8984160,9318975,8563155,8787300,9129510,8211255,8012865,7612515,5965725,6612150,7596195,6141930,6289065,8642715,9325605,8310195,8441520,8683770,8654190,10623555,12675540,12583230,9941175,7951155,9707850,10612080,8635830,0
22,2651745,1660050,1652910,1743180,1231140,1274235,1762815,1508325,1314525,1794180,1895160,1688355,941460,837165,726240,636735,612000,983025,1321665,749955,634950,808095,1639650,1630470,1386945,1004445,918000,1512660,0
23,6652695,897855,807075,6946710,7392960,5896875,3099525,3000840,6188850,8501700,6920445,1921680,2216970,9441885,8418060,6811050,1444065,1396890,4342650,4588980,5085465,2279190,2067540,4402065,3985140,3752835,1327530,1336965,0
24,8773530,9005580,8852070,9090495,9258540,9177705,9651750,9868500,9271545,8745225,8630220,9483195,10350450,9833820,8858955,8633025,9683880,10271655,9704025,8256900,7483230,7703295,7899645,7653570,6952830,6915345,7060950,8039895,0
25,5070930,6067470,6751380,5524575,5486835,5829555,6231690,6806715,7939935,6982155,6755715,7053300,6679725,6756990,7654845,6333690,6126120,7274385,7899390,6763875,6524175,6139890,6356895,6712875,6021825,5845110,6165135,5900955,0
26,3203820,2032095,1544790,2250885,2809845,2527050,3958365,6036615,4651200,3664605,4354380,5362140,3677610,3006450,2456925,1717170,1423920,1434375,1416015,1405815,3020730,4011915,4100910,4004010,4223055,5355000,5684970,5140035,0
27,1170960,408000,717570,4595355,2769810,3505485,6170745,5581950,2718810,3467235,9041790,2841210,1249245,2788680,5541660,1815345,1401480,4534155,2619870,1005210,540600,1052130,7116285,1065390,1149540,2414340,528615,149175,0
28,10415985,9802965,9061425,8513430,8236500,8023575,8122005,8272710,7855785,6777900,7039785,6051150,4905180,5364180,5850720,5102550,4779975,4771050,4564500,5746170,5841795,5720670,6165900,4475760,2897565,3307605,5632950,6224040,0
29,8037090,8833710,7832580,7315440,7283055,6634080,7348590,9491100,7157085,5464905,6104445,6420135,6140910,7945545,8251290,7654080,7568145,7205025,7285350,8464980,8925255,7422540,7161165,7757355,6944925,7014030,7158615,7267755,0
30,5793345,5861175,5414925,4370445,4732290,5602350,5313945,5385345,5271870,5009730,5201235,4817970,3274455,3525630,4129980,2867220,3455760,3963210,2760120,3367275,4267935,3265275,3724530,3868860,2531640,2773890,3384615,2400315,0
31,5205825,4779975,5007690,5325930,6180435,6429060,4218210,4343160,5976945,7276680,8196720,6458385,6052935,6581295,7349865,7888425,8233185,6883470,5771925,6028200,6289830,1812030,1870935,7597470,7610730,6522900,6130710,6841140,0
32,1789080,328950,195330,141780,1729155,2155260,1737825,1220430,665805,698955,1601655,2428875,1687590,1037595,921060,2317695,1990275,2177190,1993080,1402245,1749045,1371135,1852575,2231760,1500420,1798515,1970130,1712835,0
33,4948530,4663950,4060365,3670215,4808535,6135555,5955525,5549820,6160290,5714805,6258210,7877970,9436530,8140620,8253330,7855785,8006490,8723040,8911995,8633280,10096980,9516345,8912505,8769450,8614920,8656995,9002010,9237120,0
34,5025285,2023170,1847730,2201415,2490840,11379120,2499510,2161890,2108085,2177190,6526215,6449970,2612475,2586465,1706460,1690395,1239300,1201050,1562895,1607010,9853710,3639360,3498090,2252415,2333250,2132310,1874250,2149140,0
35,4837350,3277770,2267970,1131945,1115625,1413465,764745,448545,861645,1261230,1372410,4262580,1536375,532185,779790,1399950,1487670,1630725,1737060,2260830,2684640,1724565,2049690,3270120,2530365,2526285,2407200,2740995,0
36,6155445,6468840,6764385,5710725,5712255,6686100,6730725,6505560,6953340,6347460,6529020,6939060,6194715,6196245,5651055,4775385,5334345,6316350,5727300,5409315,6156465,5051805,5259630,6864345,5610255,4862850,5239740,5626320,0
37,5612295,6256935,7049220,6471135,6776115,7415145,6423450,6131220,7053300,6320430,6231180,7608435,6503775,5694915,6359190,5434560,5542425,6365565,5751015,5455725,7122660,7501080,8954580,6857970,4941645,5339445,7640820,5409570,0
38,6555540,6841650,7055085,6357150,6717975,7349355,6701400,6209760,5778300,4667520,4898550,4784055,3452190,3770430,5154315,5234385,5141565,5932065,5427930,5507235,6324510,6124080,6398715,7413870,6867405,6989040,7736955,6294420,0
39,9034140,9480390,9773130,8868900,9508950,10395075,10101315,9590295,9420465,8734260,8478750,9377880,10211730,8840085,8821215,8732220,8911740,9576525,9117525,8662860,8892615,8603700,8626650,9201165,9214425,8813820,8551680,8660310,0
40,4418640,1001385,1047285,5529420,5931045,5697210,4938330,4658850,5111730,4785330,5517180,3545775,3602895,7305750,6806460,6443595,1562895,1614150,6925035,5684205,5500095,1762815,1867620,6868170,6639180,6105975,2018070,1949475,0
41,8016690,7184115,6963030,7186155,7071150,6390045,6794220,8343600,8221200,7903980,8486400,9030315,9648945,7887405,6662385,7470735,9412815,10271910,9359010,8019750,7012755,7198140,7576050,6684825,6129690,5927475,5160945,5492700,0
42,4725915,4813380,4444905,4020075,4296750,4264110,4358205,3974685,4231470,4495905,4156500,3947910,4062915,3874725,3996360,3778335,3433065,3955305,3449640,3139560,3883140,4640490,4205460,3599835,2892720,2696880,3074025,3199485,0
43,8591970,9975600,9592080,8320140,9011190,9759105,9497475,8434125,8422905,8569530,8759505,8969625,8909445,9174645,10173480,9748905,9216210,9796080,8888025,9028020,9105540,9265425,8782965,8385165,8888280,9378390,8542500,8210235,0
44,3087030,4007580,6746790,8937240,9734625,7745370,2573460,1900260,4572915,7343235,8799285,4088925,4210305,9448770,9059385,8982375,9048420,7901940,8109000,9268740,5610255,5888205,10315770,7580640,7207575,9461520,9835860,4815930,0
45,5110965,4704750,4250340,4359735,4767735,4628250,4821795,4774875,4596375,4395435,4961280,4826895,4540530,2675460,1657500,1279590,2060145,3110490,2737680,3373905,3239775,3276750,3660270,3699030,3645990,3571785,3521040,4131510,0
46,1650870,562020,94860,80580,1094205,4027980,1818660,1928820,3519000,1513170,1718955,3643950,1229100,1301520,4125135,1480020,1471605,5373360,1843140,1836000,4150125,1475685,2063460,5483265,1277550,1348950,4871010,895560,0
47,7356495,8012355,8709270,8175555,7598745,7548255,7916985,8277555,8108235,8547345,8532810,8360430,7745880,7347570,8163570,8084265,8142150,9843765,9250890,8267355,8469060,8830140,8817645,8642460,8213805,8906640,9220035,8331360,0
48,9678270,9873600,10301235,10010535,9496200,9173370,9164700,10158435,9738450,8048820,8317845,8600130,8523375,8586360,7998075,7591860,8375220,8385420,8198760,8353290,8562900,8479260,8793420,8911740,8303565,8830905,9492375,9845805,0
49,5940480,6592260,5599800,4681800,4373760,4743255,4272270,4440570,4278645,4400790,5046195,3507015,3117120,3615645,3640635,3315510,3747225,4102440,3827040,4855965,6229905,6064920,6278865,5609745,5253255,5695425,5541150,5053845,0
50,4334745,4641000,4139670,3693420,4080765,4393140,3670215,3394305,3045975,3034245,4356930,4179450,3862995,4976070,3700815,2625225,3339735,3642420,2584425,2476815,2843760,3122985,4024155,4355145,3984885,3560055,2514300,2693565,0
51,4856730,4675425,5600055,6623625,6267390,5932830,6606030,6169725,5323890,5027580,6366075,8052390,6971955,7235370,8431830,8677650,9296280,6856185,6876585,10061535,9331215,7990170,7791015,7522245,7286625,8528475,8970645,7216245,0
52,2897310,3471315,3592185,3783945,3189795,3523335,2826420,2566065,3151035,2917965,3315765,3148485,2327640,2656335,2967690,2364615,2586465,3093150,2674695,2035410,2128230,2427600,3286185,6040695,5738010,5817060,5063025,4822305,0
53,1484865,1059780,1036320,1790865,1226805,1051110,1137045,1397400,1053150,841500,884085,1114605,964665,1447635,1073295,1198755,1125570,1038105,1232160,1952790,2769810,2994975,3073770,2882010,2804490,2989620,2816730,3224985,0
54,6565230,6699360,6510915,6353580,5773965,5970570,7725480,7628325,7021170,7131585,7166265,7361850,7139235,7341705,7810650,7399080,6406875,6486435,7737210,8166375,8353035,8196720,8516745,8325240,7890465,7523265,7549785,7423305,0
