,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,6120,1785,1020,10965,1530,510,4080,3315,1530,7905,16320,10200,3060,0,1020,765,510,2805,8415,1785,510,1020,10965,6630,1785,1785,2550,6120,0
1,42075,59415,47940,46665,66810,49215,35445,33915,36465,33405,51510,25755,24225,30855,28050,36210,20400,19635,35700,39270,36720,28305,46665,38760,23205,32130,33405,29070,0
2,4845,1020,0,0,14025,510,0,0,255,0,0,1275,0,0,0,0,0,0,0,0,255,255,765,510,0,0,510,0,0
3,27795,37740,195585,223125,31365,13770,11730,230775,224655,56610,49215,1530,765,44370,39015,253215,243270,14280,5100,35445,190230,159120,84915,1785,1785,76755,103785,22185,0
4,206295,152745,175950,164730,145860,176460,131835,142290,151470,104295,104295,97920,67065,84915,94605,103275,140505,177480,116790,121635,121635,113985,129540,153255,132090,116790,119340,97155,0
5,16575,3315,8925,67575,77775,33405,19890,6375,2550,1530,16320,99450,49980,6630,4590,3825,510,2295,16065,56610,12495,2550,2295,9180,510,255,0,0,0
6,99195,27540,35445,48705,34170,62985,69870,52530,65790,52530,57120,32640,14535,70125,98940,46410,39015,80835,46920,36210,21420,16830,29835,36210,20910,21930,16065,68340,0
7,181560,192015,221595,173400,143820,149940,167280,191760,166515,171105,203745,193290,188190,183600,169065,221340,151725,142035,184110,182325,115005,132345,184875,267750,190230,152235,103785,125460,0
8,183090,270555,277695,269790,383265,305490,221085,192015,261630,355470,282285,283305,223125,196860,232050,483990,294780,367710,243015,289680,294525,255510,238170,223380,33150,48195,254490,179265,0
9,37995,19125,31875,76245,69615,86445,47175,56355,41565,32640,53550,71910,33915,34680,84660,41310,42585,44370,46155,30090,43605,33150,58905,55335,22950,38505,46410,35445,0
10,101745,77010,55080,72165,89505,93330,97920,128775,116025,102255,128775,100470,93585,105825,102000,113985,143565,96135,91035,146625,143310,170340,210375,132855,131580,148665,157590,154020,0
11,162435,168555,147390,144330,184620,198900,205275,216240,234855,221595,233070,205785,166005,169320,201450,174420,170085,212670,215730,240465,221085,167535,242505,242250,165750,160395,249135,177480,0
12,78795,147135,122145,96645,79050,68340,69870,109140,125205,83640,91800,122145,87465,76245,70635,61455,96900,111435,103275,92565,38505,64260,110925,71655,41310,69105,77010,57630,0
13,112710,61710,16320,6120,9690,10965,22950,51000,105570,33405,38505,48960,30345,47430,60435,46920,68085,131835,66300,60690,102000,40035,45900,139740,67320,101745,119850,57885,0
14,185640,170085,134130,143055,155550,164730,177480,173655,155805,154020,168300,171615,144075,156060,157080,140505,139485,133110,134640,127500,126225,120105,138465,21165,2295,1020,1020,765,0
15,65535,58905,40290,55080,86190,88230,93840,48705,48705,52785,98685,99195,42330,36720,45645,44370,23715,33915,23205,29325,25500,32385,53805,68595,46665,55845,47685,65790,0
16,122655,125460,95115,83385,128265,128265,118320,152490,105825,110670,186150,135660,107865,168810,143055,129795,141270,123675,99450,117555,98940,103530,189210,124440,102510,110925,94860,98430,0
17,137955,69615,79305,108375,176205,141270,124185,108120,121380,105570,168555,128775,85170,98175,151470,110415,95370,113475,100725,91800,114750,134385,194055,144840,128520,109395,103275,102255,0
18,51255,42075,45390,46155,83130,92310,77265,71400,79305,61965,90525,91545,65790,66810,101490,64005,88995,97410,75990,65790,65280,81600,83130,100980,71910,78285,76755,66300,0
19,269025,230520,176205,148410,155550,162945,107100,43860,71145,106335,117300,198645,79560,23970,24480,39780,36720,57885,61710,51000,68595,47430,93840,154275,62475,28305,19635,18615,0
20,0,0,83895,73440,112965,146625,101745,100215,118830,132090,157590,164730,175695,228990,264945,388110,524280,505410,492915,340170,235620,59670,91800,142545,95115,85680,66555,70125,0
21,101235,61455,58650,67320,95880,108630,112710,101235,106590,91545,122400,111180,70380,90525,105060,88740,76245,99960,62730,64005,71145,73440,93075,107610,69105,70890,77775,60690,0
22,16575,1785,0,4080,43860,69870,40290,24480,20145,14025,32130,19125,5355,30855,36975,21675,7905,3570,24990,14025,16575,9180,9180,58140,25500,14535,2040,1020,0
23,93585,94095,110415,75990,69615,90015,115260,93330,106080,124440,146370,113220,97665,106080,82620,75480,89505,88995,83640,87975,86445,89250,148665,124950,101745,131070,105060,119085,0
