,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,162435,204000,160395,126735,72420,65790,90270,70125,68085,275655,807840,697425,204765,103020,66555,69105,14535,31110,510765,81345,26775,56100,1584060,749190,168045,125715,140505,145350,0
1,921060,1225785,1211505,923610,1089615,1083495,483990,538815,554880,468435,703035,337365,286620,403920,417180,354960,357255,403410,442170,456450,484245,452625,654840,463845,369750,488580,391935,353685,0
2,249135,122145,35955,45900,481950,113985,79305,92055,22695,16575,34170,209865,80070,46155,48450,51510,80835,41310,29070,0,11730,14535,71910,195840,96900,46155,52530,39780,0
3,621180,1651635,3896145,4035375,2013990,344250,703545,7469715,7207575,3255075,3507015,83385,73950,2593350,2458965,6003210,5832615,1110015,380205,1917600,8226045,9303420,7319265,127500,48195,2548980,2963865,987105,0
4,4055520,2524755,2256240,2086155,2182545,2196060,2133075,2450040,2816475,1933155,2854215,2370480,1323705,1309680,1584060,1700340,2573715,2993955,1799535,1595280,1725075,1567485,1946925,3071730,1914285,1696005,1773780,1419840,0
5,917745,431715,561000,2083605,2230485,1410150,710175,362100,361335,194820,320025,2864670,775965,380205,367455,151470,163965,326145,955230,2831775,640305,293505,464355,755055,273360,19125,33915,90270,0
6,2479875,817275,655860,691050,629085,1436670,1668210,1295400,1229355,847110,1222470,715020,442170,1394850,2727735,1169175,1253580,2520165,947835,541365,446760,452370,875925,859350,493680,414885,444975,963645,0
7,5559765,6080220,5883870,5396055,5052315,5313435,5417220,5277480,4831230,4945725,6578235,5553645,4808025,4879935,5185170,5651820,4890390,4660380,5316750,5324400,4700925,5067360,6489495,6798300,5800230,5052315,4476015,5091075,0
8,6254895,5621220,5289210,5262180,6152640,6094245,5528910,5814255,6111075,5917275,6489750,6262290,5505960,5364180,6006525,7480170,6985725,6815130,6205425,6446400,6578235,6300540,6863325,6634335,2136390,2223345,5905035,5461590,0
9,1347675,748935,927690,1553970,1927545,1772505,1375725,1534845,1723290,1328040,2171070,2133330,1037595,1104405,1206405,878475,1026885,1219410,882555,772905,907290,788970,1334160,1618740,724710,923100,1125825,663255,0
10,1720740,1416015,1408365,1776330,2521695,2457180,2717535,2328150,2016285,2132055,3263490,2364615,1633275,1921170,2257770,2371755,1808460,1525410,1610835,1928820,2571675,3118395,4259265,2482935,1970895,2586465,3168630,2812140,0
11,2541840,2353140,2305710,2389860,3248190,3621510,3717900,3319080,3016140,2914140,3749520,3607485,2679030,2902155,2976105,2365380,2389350,2575500,2983500,3018180,2726205,3012060,4523955,3134715,2192490,2256240,2456925,2290155,0
12,2082585,4398240,3396855,2798115,2261340,2013225,2306220,4045830,4362795,2091510,3223455,5084700,3117630,2328660,2205495,1920915,3018945,4165680,3789555,3611820,2115735,2368950,4735605,3480750,1391280,2198865,3341775,2963865,0
13,4281960,2217990,641325,221850,281265,453135,817785,1646790,3257115,1186770,1877565,1872975,1007505,1110015,1168410,1048305,1794435,4380900,2414595,2401845,2398275,1043970,1451970,4421955,2255475,2341920,2726205,1157955,0
