,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,164475,194310,214965,159885,96645,45645,65025,65280,43350,259845,725985,721905,166005,116280,40545,80835,4335,26010,473280,83640,50745,61455,1421370,681870,204765,91800,91800,106845,0
1,122655,122400,176460,110415,119595,120105,83385,56865,55590,34680,65790,27285,20400,42585,41565,22440,26775,36720,44115,54570,65280,45135,109905,62985,46410,71145,62475,79050,0
2,124950,98940,32385,20655,204000,45390,17340,29325,11220,7650,16320,145860,29580,19380,29580,29325,39270,22695,20145,0,4590,3570,16320,154530,40800,19380,24225,14535,0
3,700740,1390515,2994720,3036285,1488945,276165,468435,4046850,4333725,2323815,2689230,57375,47430,2226915,2057850,4383195,4305930,891225,378420,1678665,5171145,5076540,5119635,85680,37230,2147100,2036940,635970,0
4,2784600,1669485,1632510,1395105,1458600,1517250,1362465,1680705,1833195,1354815,2122365,1751340,826455,821100,1087830,1237005,1804635,2048160,1313250,1268115,1366035,1197225,1545300,2254710,1337730,1439475,1524900,1091400,0
5,399840,288915,399330,910350,920550,638775,325125,193800,235365,146625,235620,1403010,409530,220320,162945,50235,53805,178245,521730,1233945,339405,142800,295035,432480,74205,21420,30345,74205,0
6,1963755,622455,422025,367455,480675,1186260,1271175,1006230,1056465,581655,988380,816000,391425,1261995,2157300,846855,938145,2055810,812940,415395,303450,302175,901425,756330,379695,338640,347565,972315,0
7,1925250,2558670,2542860,2069070,1944375,2065500,2133330,2135625,1720740,1747260,3182145,2235585,1489965,1577175,1774035,1957125,1695750,1581510,1882665,2056320,1750575,1917345,3111510,3075300,1957635,1641180,1446615,1649340,0
8,4099380,3452955,3235440,3218610,3922665,3675570,3486360,3779610,4132275,3905835,5078835,4401045,3009000,3049545,3857640,4976835,4293180,4209285,3634005,3756660,3733965,3673275,4983720,4877385,1288770,1265310,3296895,2975595,0
9,649230,337365,431460,687990,921825,863940,654075,753780,895815,671415,1180650,1346145,537285,563550,604605,393210,450840,613785,416670,407235,426870,368220,785145,895050,343740,451095,610980,384030,0
