,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,229245,313905,323595,239445,148155,90270,155040,119595,81345,398055,1136535,1098285,277440,150960,73185,121635,14280,54315,774945,135915,58905,103530,2475540,1118175,278205,172380,181815,168045,0
1,361335,538050,598485,459000,516120,506430,291465,328950,291975,226695,351390,201705,170595,249900,253725,215730,213690,239445,262140,270555,271575,253725,364395,292740,232305,283305,235365,239190,0
2,141270,90780,29835,22950,241230,51510,23970,34425,16575,13515,23205,147900,21930,16575,25245,24735,35445,18615,16830,0,5865,3570,20655,159120,34170,16575,20910,9945,0
3,1006740,2248845,4442355,4439805,2354925,418710,812685,7199415,7006125,3596265,3985905,74970,60180,3078105,2957235,6306405,6163860,1211250,521220,2323815,8036580,8775570,7814730,122910,57120,3146955,3295620,1064625,0
4,4223565,2479365,2240175,1960950,2068560,2075445,1969875,2398530,2799900,1919895,2961060,2423010,1222470,1259445,1524135,1773780,2722380,3002625,1762815,1640670,1791885,1600380,2043570,3148740,1902810,1850025,1939530,1355325,0
5,406470,266985,395760,1035555,1139850,799425,363375,212415,218535,118575,212160,1567995,450075,207570,185130,56355,62475,168810,604860,1401990,366945,129285,286620,400350,70635,30345,38505,57630,0
6,2513535,812430,554370,540855,570690,1456815,1629450,1194420,1180905,716805,1141125,864195,450075,1537395,2615280,1056210,1145460,2528325,982515,519945,403920,411060,1020000,849660,470730,422025,440130,1123530,0
7,6047580,6669525,6550440,6027690,5659215,5860155,5964450,5843070,5256060,5331540,7195080,6066705,5084190,5285640,5613825,6033045,5372595,5138250,5751015,5844855,5262690,5607705,7167285,7314675,6177630,5451645,4947510,5519220,0
8,6628215,5763765,5494230,5430735,6382650,6265605,5795130,6233985,6545595,6225825,7049985,6725625,5594955,5428950,6230415,7686975,7120620,6923250,6389535,6570840,6617760,6361740,7298865,7110930,2342940,2362320,5911920,5498055,0
9,1425960,786165,978435,1642965,2020365,1878840,1458090,1567230,1721760,1313250,2139450,2269755,1096755,1207680,1295400,909585,1062840,1292085,868530,814980,939420,822630,1442790,1660050,752760,950130,1250265,717570,0
10,1597575,1294125,1338750,1567230,2157555,2200905,2299080,2088195,1892355,1952280,2842995,2153985,1467270,1747515,1999200,2017050,1620525,1353540,1378530,1536885,1790100,2139705,3178830,1938000,1518525,1821465,1889805,1894650,0
11,2050965,1836765,1886235,2041275,2751195,2880480,2954940,2648175,2467380,2339625,3056430,2893740,1994100,2200395,2237880,1721505,1639140,1648320,1733235,1906125,1842120,1985175,3215040,2288370,1486905,1548105,1792905,1679430,0
12,2962590,6237555,4883250,4124115,3479730,3267825,3796440,5654880,5861430,3020475,4326840,7000005,4874070,3922155,3719175,3249720,4514775,5552625,5225460,5160945,3331065,3616410,6309210,5473320,2530110,3175005,4255950,3933630,0
13,1881390,1170450,389640,154020,117045,219045,331245,707625,1488180,475320,797130,1274745,707880,648210,712980,629085,1024845,2089980,1197990,1200540,1349970,589815,786675,2150670,1181160,1203345,1424685,579615,0
14,4323270,2354160,1584060,1510875,2199630,3058980,3419805,2803215,1879095,1598085,2135625,2505375,1666425,2012205,1942080,1635060,1465740,1518015,1439730,1404540,1387455,1444065,2519910,1209465,177735,64770,56610,56100,0
15,1287750,783870,688245,777750,1563150,1931370,1776840,1356345,1095225,1057995,2016795,4116210,1089615,888675,1252815,987105,706350,698190,783870,612510,623475,737970,1304325,1588395,842265,666060,737460,917235,0
16,3011295,2388585,1726860,1750830,2769810,3293580,3166335,3181890,2733345,2695095,4273800,4165680,2792505,3584025,3176280,2749410,2980440,2712690,2498490,2781795,2626500,2781030,5245605,3976725,2777970,2551275,2341920,2522460,0
17,2175915,1231650,903465,1358130,2801685,2928675,2863140,2256495,1752105,1878585,3190560,2682345,1386945,2108085,2740740,1668720,1385925,1416525,1278570,1191105,1347675,1833195,3487380,2211615,1187280,1174275,1188555,1254855,0
18,1051365,786675,800445,1027140,1949220,2165460,1778880,1483845,1395615,1357620,2117010,2215440,1280355,1187535,1459620,1465995,1347930,1370625,1181670,1111545,1200285,1105425,1701870,1927035,1148010,1159740,1209465,1171215,0
19,3570510,3068670,2836620,2531130,2351100,2789700,3152310,1268625,1458345,2877165,3583770,4730250,1503735,475065,308805,542385,555135,928965,1321155,927945,881025,611745,1437435,3256350,1200795,459510,251685,260610,0
20,0,0,1021020,796620,2117520,2633385,1625880,1532805,1987980,1769700,2436015,1909950,1639905,2051730,2329680,3001605,3952500,4256205,4612185,3934905,3209685,2228445,2593860,4046595,2404395,1745985,1208190,1152345,0
21,3505485,1710285,1339515,1274235,1744710,3160725,3423120,3173985,3002370,2407200,3851520,3384870,1840080,2510475,3769155,2987835,2794290,2826675,2200650,1695750,1753125,1832940,3132420,3726570,1881645,1944375,2216715,1829370,0
22,433245,59925,14280,86955,946050,1888275,1223490,627810,313140,311100,1004955,493935,207315,594405,923610,274125,53040,39015,441150,170850,114240,30345,56610,680595,223890,225420,61200,49725,0
23,2890170,3070965,2791230,1826820,1613130,2155260,2314125,2117775,3117630,2569380,3165315,3601620,2056575,1864560,1502715,1678665,2245020,1635315,1741395,1961715,1835235,2069580,3878550,2991150,2125170,2637210,2778990,2128995,0
24,1033770,2603550,1829370,626790,544680,2360025,1996905,459000,252195,237150,650505,6140145,1435650,456195,356490,198135,128520,312630,1257150,356745,231795,185640,516120,5040330,2572950,1732215,1875525,1361700,0
25,566610,382245,888675,1229610,739245,546720,531675,553095,778515,854760,1702635,813960,539835,615570,932535,697680,367455,385050,732615,592110,492150,539835,1088595,1024590,459510,650250,959820,373830,0
26,2540310,2070090,2044845,2270775,2646390,3029910,3436635,3212235,2964630,1839315,2547195,3603150,2671635,2905470,3208155,3044955,2900115,2840445,2786385,2928675,2962335,3039600,4158030,3318825,2511750,2699940,2863905,2801685,0
27,1000365,419220,441150,472515,1409130,2258025,1846710,969765,910605,936615,1539945,1634295,654330,926160,1878330,906015,690285,874905,1106190,812685,830535,660450,914685,1232415,700995,684675,751485,806055,0
28,2801940,2274345,2420715,2632365,2931735,3355290,3174495,3135735,3112785,3038835,4096320,3309645,2633640,2660160,2721870,3114570,2916180,2858550,2933010,2856000,2769045,2653020,3468510,3602895,2805255,2608650,2402355,2575500,0
29,1693965,1234710,1266330,1419330,2636445,2686935,2153475,1940550,1682745,1591710,3076320,2458455,1525410,1582530,1571310,1513935,1488945,1652400,1489965,1471860,1545555,1421115,2282250,1929330,1436925,1414995,1207425,1439220,0
30,606390,477105,124695,118320,519435,483480,590835,700230,402645,279225,1477725,2665770,1949985,1154130,299625,168045,1095225,1912245,725985,551820,163455,104550,1575645,782595,541110,1726095,108630,82365,0
31,2161890,1929840,2035665,2244000,2682600,2683620,2712435,2444175,2162655,2003280,2487780,2718045,2020365,2221305,2574225,2168775,1971405,1857930,1870935,1851300,1843650,1944885,2852430,2324580,1695240,1787550,2086155,2312340,0
32,1443300,955740,873375,1126335,2233800,2913885,3017925,2331210,1597320,1321410,2130525,2511495,1439220,2254455,3763035,2161380,1336200,1174785,1283925,1463955,1510110,1692945,3073770,2472990,1404795,1328295,1274490,1312740,0
33,3195405,2734620,2714985,2658375,2672400,2710905,2815710,2761905,2746860,2372775,3237735,4093260,3144150,2895525,2699940,2832285,3296895,3537615,3181635,2780520,2771595,2631090,3485850,3491970,2285565,2631090,3773235,3436635,0
34,3011040,2565300,1928055,1790865,1671525,1082985,1013880,1490985,1432845,1408875,2218245,3015630,1696005,1733745,1733235,1716915,1718700,957015,897090,1649340,1790355,1834215,2407965,3247425,2069835,2155260,2190195,2132055,0
35,1314015,716805,773415,231030,184875,459255,2208045,1368330,992970,855525,1820955,743325,197370,92310,163710,71400,102000,162945,113220,121635,419220,761940,1124550,380460,57120,34170,37995,3060,0
36,1497360,936105,577320,610980,1025865,2291940,2685150,2075190,1700085,1433865,2820300,2987835,1542495,1599105,2050710,1994610,1775055,1528470,1447890,1499910,1590690,710685,898875,2201415,1522095,1643475,1627155,1745475,0
37,1702380,1040145,978180,1018470,1545045,2265420,2142255,1664640,1543770,1261995,2169540,1992060,915960,1636845,3597030,1932135,1783980,2866965,2377875,1534845,1149285,804525,1310190,1645005,852720,852210,860880,828495,0
38,1835235,1549380,1374195,1472625,2557140,3391245,2909040,2160615,1821720,1720995,2610945,3213510,1695495,1676370,1922445,1772760,1787295,2010930,1649085,1479000,1630980,1831665,2727225,2934030,1663365,1399950,1582275,1733235,0
39,1231140,621945,534990,643620,2202435,2931735,2441115,2685150,2171835,1498380,2967435,2213910,973845,1412700,2136645,1901535,1424430,1090635,753015,737970,764490,1105170,3225495,2862630,1384650,1129140,971040,795600,0
40,705330,792540,690030,871590,1859715,1661580,1225020,1120725,965940,879495,1575135,1768170,848130,781065,926415,888420,754545,757605,754800,826965,859605,829515,1129905,1436670,762195,781830,812430,798915,0
41,2399295,1554225,1563915,1288260,1649595,2324580,2335800,2496960,2363595,3165060,7427130,4477290,2737425,2436525,3775275,4881465,4041495,4498710,3014865,4498455,6920955,6187830,6914835,4013700,3640125,3244365,1192890,826200,0
42,1606500,2320245,2859825,2050965,1995630,2017050,1989255,2416380,2314635,2013735,2317440,2253945,1962225,2259555,2221050,2462025,2067030,1872975,2291940,2017305,2032350,2061675,2458200,2696370,2376090,1711560,1233435,1388730,0
43,2669595,1870680,2422500,2255985,1967835,2204730,2610180,3069435,5093370,4221780,4934760,3933375,2241450,1974720,1951515,2157555,3152820,3714840,2994975,2929185,2489565,1982115,4121820,4322760,1933155,1773780,1756185,1524645,0
44,694620,2307495,1062840,902700,4150125,4429095,2287605,1735530,4361010,5504175,6878880,646680,434010,3436380,2735895,2405415,2907000,1040145,730065,2953155,2925360,1222470,1595535,2991660,1722015,2101200,672435,608685,0
45,1254855,982770,465885,316965,498525,684930,1582530,1529490,940695,1065390,3289245,1910970,1193655,867255,232305,131325,248625,259080,461295,414885,285600,287895,1797750,1865580,1300755,1127865,401625,228735,0
46,295290,413355,384540,659685,1246695,1220685,1485375,1660050,1363995,771885,1573605,1636080,851955,435540,264945,364395,581910,307785,336855,188190,108375,120360,232815,1059525,817020,2371755,1299225,1228080,0
47,2363340,2552040,2493135,2668065,2679795,2555100,2820555,2749155,3099015,3111000,3623295,1541730,1141635,2818515,2803215,3043170,3370335,3639105,3664605,3417765,3104880,1901535,2850900,1363740,506940,717570,1289790,4321485,0
48,604860,733380,1178865,656370,955740,1396125,1188555,1147500,1277805,2004810,2387310,1050345,758370,1377510,1703400,929985,729045,1187790,2282505,899385,598230,822375,4399005,1195185,539835,569160,718080,740520,0
49,4335,444975,928455,1154130,817785,590325,731850,1166880,453390,341700,1171470,1501440,475065,261630,345270,620160,415650,294780,323850,660450,435285,240720,514335,1352520,611745,386070,418200,562020,0
50,2338605,686460,551310,2082075,1903830,1551675,551565,674985,2037450,1508580,2091255,533970,354705,1472880,1267605,1532295,649740,612510,1855890,1560345,1618740,485265,666060,1909440,1549890,1896945,610470,656115,0
51,421005,187935,119340,544935,1582530,1582020,967980,689010,800700,749190,1375725,1506030,475065,388365,622965,354705,468180,1112820,568650,251940,134640,107100,372555,778515,302940,162690,143565,168045,0
52,980985,124185,17085,22950,9180,13515,3060,0,38760,70635,1913265,2339115,1424940,912900,787695,511530,508725,1271175,410550,295035,350625,365670,1438200,336600,243015,820080,487560,1022040,0
