,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,179010,244290,200430,159120,99705,70125,87975,74460,77775,347055,936615,790500,237915,116025,72165,98175,13770,25755,624240,98175,45900,74460,1952025,875160,236130,145860,146115,167025,0
1,905760,1232160,1221450,951150,1087065,1073295,483480,537030,554625,471240,706350,341700,288405,398820,414630,355980,355725,405195,441150,457215,488070,454665,656370,472515,375615,486540,394230,356490,0
2,267495,141270,38760,49215,479400,113730,80070,97155,22185,16830,36720,234090,82875,46155,48960,55590,76755,40035,29835,0,12495,15300,77775,213690,100725,46155,54060,40035,0
3,768825,1971915,4155480,4225095,2178975,377655,765255,7574265,7450590,3580710,3898440,82365,74460,2861355,2683875,6247755,6127395,1237515,456195,2094570,8393580,9173115,7757865,137955,60435,2947035,3284145,1088340,0
4,4439040,2634915,2407710,2146590,2232525,2240940,2167755,2571165,3073515,2060400,3119670,2516850,1347420,1357875,1650870,1844670,2876145,3210195,1842375,1612875,1767660,1675350,2105025,3243090,2003790,1776330,1884450,1443045,0
5,960075,480675,653310,2203710,2334015,1466250,740775,384285,375105,210630,342210,3004920,818550,424830,394995,153255,170850,335070,981750,3023025,710685,324870,508470,848895,283050,15555,43605,101235,0
6,2811630,878730,679830,676770,623985,1593750,1822230,1354305,1328040,878220,1247715,764235,453900,1557795,3002370,1245930,1323705,2720085,993480,556920,464100,464355,987870,909075,523005,465375,475575,1103130,0
7,5816805,6388515,6178395,5640600,5270340,5513100,5586795,5460315,4926345,5048745,6809775,5762490,4933230,5019930,5343780,5806095,5071950,4820010,5468475,5479185,4885800,5285895,6764640,7086960,5949405,5204550,4651455,5272635,0
8,6650910,5892540,5496525,5482500,6445890,6403305,5839245,6190125,6498165,6188850,6908970,6643005,5757135,5583990,6291870,7765005,7199670,7056105,6492555,6744495,6804165,6543555,7283565,7069620,2326365,2382975,6164115,5703585,0
9,1430295,803250,981240,1650870,2060655,1895415,1474665,1616700,1816620,1401480,2325855,2231505,1075335,1162290,1249245,910860,1068960,1296675,929220,819570,942735,815235,1382610,1719720,757350,942990,1174785,696915,0
10,1809480,1459110,1485885,1888785,2714985,2637975,2847075,2493390,2156535,2228955,3413430,2458710,1690905,1996650,2311320,2451570,1854105,1543515,1633530,1947435,2582895,3177810,4410990,2521185,2005830,2635425,3230595,2835600,0
11,2655825,2405670,2393685,2514300,3463155,3817095,3890280,3498345,3171180,3051840,3906090,3762780,2805255,3045975,3072240,2417400,2453100,2583405,3007980,3039345,2757060,3097485,4681800,3221160,2222835,2284545,2511240,2335290,0
