,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,185130,262140,264945,187680,134385,82110,121125,112965,77520,337110,932025,893010,255510,136425,81345,108120,13515,24990,611490,89505,52530,103785,2143530,948600,195075,163200,163200,171105,0
1,927435,1238790,1243890,973590,1107975,1090125,482205,545445,558450,472260,703545,342975,290700,402900,431205,354705,361590,410040,446505,455940,479655,454665,666315,474555,380205,521985,392955,355470,0
2,291975,148920,45645,50745,524790,125460,77265,95880,22185,15300,39780,267495,88485,48705,49215,54060,78795,38250,28305,0,11730,18105,83640,252960,110670,48705,51765,38505,0
3,851190,2180505,4339590,4445925,2341920,441915,812430,7737465,7665045,3736515,4070820,70890,62220,3008490,2887620,6637650,6411975,1335180,452370,2027505,8450700,9250890,7908060,131835,72930,3170415,3517980,1167390,0
4,4635135,2784855,2433975,2160870,2281995,2331210,2241195,2646645,3192090,2096865,3199485,2595135,1377255,1379550,1714365,1916580,2972535,3271650,1902045,1703400,1934430,1746750,2180505,3361920,2066775,1846455,1941825,1490475,0
5,990675,507705,648975,2253945,2372265,1512405,766530,409785,408000,223380,344250,3132675,910095,426870,419985,162690,180285,393210,1071000,3386910,716040,315690,489090,870060,296310,17595,58140,112200,0
6,2815965,930240,724710,684420,658155,1631235,1893630,1471860,1417035,932790,1328295,737715,476595,1657755,3118395,1288515,1390005,2769810,1014390,576810,458745,471750,1050345,948600,546210,480675,520455,1190340,0
7,5729595,6257190,6044265,5607195,5228010,5490915,5593680,5429205,4966635,5063025,6754185,5727810,4925580,5075265,5348370,5805075,5094390,4808025,5472300,5537325,4839390,5183130,6640710,6921465,5946090,5170635,4593825,5185425,0
8,6643005,5869845,5454960,5467710,6439260,6341085,5791560,6192675,6499950,6252600,6994650,6699870,5760195,5561040,6245970,7680345,7159890,6993375,6423705,6694005,6753930,6490515,7284585,7112715,2413575,2462025,6151110,5692110,0
9,1354050,723180,895050,1591710,2097630,1898220,1443045,1595535,1806930,1427745,2334525,2291940,1082475,1147755,1217115,852975,1051110,1238790,908820,775710,878985,782595,1348440,1660560,700740,887145,1232415,677280,0
10,1762815,1402500,1443810,1824780,2525520,2521695,2791485,2389350,2089470,2228445,3433575,2466360,1629705,1918875,2291175,2455905,1835490,1517760,1598850,1903065,2576010,3127065,4349535,2554080,1994865,2640270,3195405,2814945,0
11,2780520,2548215,2471970,2583405,3540675,3962955,4050675,3589890,3261450,3146700,4019820,3831375,2811375,3087030,3090345,2450550,2419185,2606610,3023025,3076065,2785875,3134460,4789410,3224220,2252670,2312595,2499510,2358240,0
12,2773380,5884890,4522170,3805110,3270120,2916435,3356055,5182110,5954760,2877420,4050165,6614955,4473720,3397620,3298170,3005175,4133550,5320830,4951845,4754475,2990130,3176535,5991480,4808790,1997925,2732070,4054245,3675825,0
13,4378350,2344980,692325,212415,280500,468945,864195,1740630,3483300,1238535,1947435,1979310,1071000,1174020,1197990,1064625,1782705,4532370,2559180,2488800,2461005,1078905,1483335,4537215,2326110,2428365,2879970,1171215,0
14,4506615,2477835,1621545,1570545,2145570,3112275,3665880,3054645,1999455,1689885,2272050,2721615,1878585,2144295,2143020,1814070,1677390,1677900,1635825,1625625,1601655,1676115,2769810,1291065,184365,73440,56610,57885,0
