,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,180030,220320,198645,159630,87720,68850,118065,83385,76500,315690,880005,802485,220575,111180,65535,78285,14535,43095,613275,116280,30090,62475,1887765,827475,214965,134895,148665,162690,0
1,918765,1241085,1228845,963645,1091655,1082220,487305,538305,555390,470475,707880,341190,288660,401370,414885,355470,356235,404685,441915,455430,485520,454155,653310,473535,375870,499545,395505,361845,0
2,251175,132345,34680,45390,480930,112200,80070,93840,23715,17340,34170,223125,80325,42330,46665,51765,77010,40035,29580,0,11985,14790,77265,203490,95115,42330,52530,39525,0
3,846345,2048670,4354635,4452810,2311575,384795,760155,7701255,7453650,3605955,3896400,97920,87975,2925360,2812395,6405090,6262035,1225530,499800,2275620,8478240,9362580,7613790,137445,61455,3033735,3255585,1092930,0
4,4329645,2646645,2384760,2153730,2248845,2249865,2193000,2569380,2984520,2021130,3017670,2489310,1368585,1361445,1657245,1799535,2723655,3186735,1850025,1634040,1766895,1644750,2025975,3197700,1998945,1795455,1873995,1436925,0
5,968490,476340,653055,2212635,2354160,1500675,750975,378165,392700,212670,340425,3030420,853230,427890,397035,148665,169320,342720,1019745,3014355,702015,318495,523770,831810,271575,21165,42330,92565,0
6,2800665,913665,695895,723435,688245,1628430,1853085,1405050,1374195,869550,1270920,836910,501330,1682745,3050055,1256130,1358640,2885580,1095480,597465,479145,482205,985065,935085,537795,450075,479400,1125825,0
7,5703840,6181710,5980005,5487855,5155845,5421810,5523045,5352705,4864380,4964850,6613425,5591130,4835310,4986270,5284365,5673750,4964085,4740450,5376165,5383050,4778955,5176245,6562170,6848790,5848425,5141055,4554045,5166045,0
8,6452265,5747955,5405490,5383560,6288045,6278100,5766315,6056250,6378315,6081750,6691455,6454050,5642130,5498820,6193440,7661475,7145355,6939570,6382395,6592005,6722565,6427530,7029840,6829155,2263890,2340390,6039930,5592915,0
9,1425450,795855,971040,1645770,2044845,1879605,1449930,1566210,1787040,1360935,2228445,2246805,1079160,1172235,1260210,908820,1054935,1299225,913410,819825,944010,810900,1416015,1662090,737205,942480,1167390,705075,0
10,1801320,1437180,1453245,1871700,2704275,2619870,2839935,2481660,2142255,2239155,3417000,2442645,1687590,1985940,2306985,2448000,1851300,1546065,1631490,1934940,2578560,3170160,4404870,2528835,2006340,2628285,3221925,2846310,0
11,2626245,2398530,2391645,2507925,3397365,3753855,3842340,3457035,3140580,3028635,3874980,3717135,2770320,2995740,3052095,2422500,2444940,2583150,2991405,3045465,2769810,3069690,4618305,3188520,2203200,2284290,2503845,2330700,0
12,2578815,5552370,4333980,3591675,2976105,2711670,3170925,5042370,5286405,2771085,3912465,6101385,4155990,3170160,3000075,2637975,3937455,5059965,4692510,4572915,2831520,3134715,5678595,4602750,2141490,2835855,3942810,3592440,0
13,4284255,2310810,688755,243270,287130,446760,837420,1669230,3383595,1230120,1926525,1934685,1053915,1185495,1198245,1051875,1817130,4429860,2468910,2452845,2434485,1079160,1487415,4512225,2298060,2372010,2774655,1153365,0
14,4422975,2420970,1628175,1597065,2230740,3203820,3712800,3032205,2059890,1726095,2211615,2712435,1838295,2181780,2140980,1815090,1686825,1683255,1631235,1601400,1604715,1682745,2734110,1247205,180795,71655,59415,56865,0
15,1636590,909585,750210,910860,2124150,2707335,2363340,1725840,1433865,1377510,2479110,4952610,1377765,1087320,1563405,1182690,830535,886890,1064880,769335,797895,933810,1537395,1932390,1050855,837930,907545,1191360,0
16,3148740,2511495,1815090,1893885,2932755,3344580,3198210,3072750,2627010,2682345,4261305,3971625,2721870,3648285,3063825,2606610,3049545,2694330,2504610,2652510,2571930,2867220,5213985,3935925,2809335,2597685,2420205,2654040,0
17,2351865,1344360,1041675,1660050,3528435,3641910,3806130,2838405,2186880,2419185,3991770,2975340,1538160,2526795,3256350,1833705,1540965,1502460,1307895,1231140,1354815,1872975,3679650,2271030,1171215,1172490,1263015,1322940,0
18,1172745,805800,817275,1122765,2429385,2582640,2066265,1723800,1621800,1495065,2436525,2731560,1486395,1340790,1655460,1666935,1551165,1528725,1363995,1232670,1386435,1315035,1996395,2359260,1311720,1296420,1357110,1302795,0
19,6314310,6047070,6178905,6295950,5318790,5720670,7358535,3228555,3950460,7089255,6459150,7707630,3073515,798660,523515,1047795,1078395,1946925,2572950,1794435,1802850,1252050,2286585,6033555,2622420,980220,507960,528615,0
20,0,0,984300,775455,2143020,2622165,1575135,1467270,1945905,1821720,2516340,1836510,1632000,2057595,2347785,2996250,3985395,4370190,4760085,4016250,3224475,2180250,2445450,4040730,2396235,1711050,1174020,1131180,0
21,3562095,1842630,1488690,1499400,1964520,3369825,3661800,3431535,3339480,2785620,3947400,3656955,2116500,2769810,3970095,3142110,3135735,3202290,2463810,1936215,2013225,2122875,3311430,3890025,2137155,2250375,2586210,2117520,0
22,610725,87975,26520,127755,1197990,2628795,1718700,789480,404685,390660,1289790,614040,259590,761175,1187535,329715,55080,40800,598230,219810,120870,41820,68085,793050,264180,281775,60435,41565,0
23,2893485,3111510,2968200,1931370,1617465,2178210,2418930,2245275,3268080,2611455,3128340,3446325,2156280,1929840,1521840,1796220,2350080,1760010,1932135,2062950,1963500,2251905,3812505,3078615,2294490,2787915,2901900,2259555,0
24,888930,2175405,1591965,565845,475830,2132310,1745730,390660,187680,194310,568140,5516670,1203600,379695,275910,148155,92055,190485,966705,306765,204255,166005,356490,4659105,2373030,1425450,1491750,1124295,0
25,749445,484755,1149795,1545555,894540,664785,647445,693600,936615,1107465,2128740,902445,627555,788205,1143165,848640,475575,472005,894795,717060,633675,699720,1289280,1219665,645150,878985,1269390,486795,0
