,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,184365,229245,167280,153765,70125,65535,104040,65280,71400,322830,926415,839715,226695,120105,65280,58650,13770,47940,601545,121125,29835,46410,1843395,922335,245055,124185,148665,159630,0
1,929220,1234455,1226040,937380,1055955,1081965,484245,537285,551820,472005,707115,337620,285090,404940,409785,354195,353940,402900,441405,460275,485520,451605,660960,466140,371025,486030,392700,357000,0
2,256020,128775,31365,44625,486285,113475,79305,91545,22440,15555,34935,217515,80325,48960,53295,55335,85680,48195,35445,0,11730,15045,75990,196350,96135,48960,56865,40545,0
3,784635,1892100,4163895,4248810,2129760,364905,743835,7622205,7448550,3473610,3822705,102510,92055,2859060,2645880,6270195,6162840,1206405,487815,2292195,8333145,9544905,7859865,138210,60435,2793015,3068925,1008525,0
4,4285785,2589780,2333250,2134860,2227170,2222835,2169540,2578815,2890680,2021130,2981205,2477835,1363995,1364505,1634805,1721250,2571930,3077595,1847220,1619760,1702125,1544535,1965030,3116865,1945395,1772760,1850280,1459620,0
5,969000,482970,666315,2222325,2378895,1503480,743070,385560,400350,236130,367200,3100545,867765,425595,381480,149685,164985,325380,1017195,2988855,707625,311865,537540,838185,268770,15045,37995,97155,0
6,2681070,850425,679575,743835,688500,1555755,1766130,1365015,1383375,872865,1277295,861135,498015,1584060,2946270,1225020,1312995,2877675,1075335,588285,488325,478125,933300,902700,520455,437580,474555,1018980,0
7,5782125,6363780,6161820,5629890,5273910,5506725,5565375,5446290,4912830,5021460,6708795,5731380,4912320,4984995,5310630,5763255,5039565,4797825,5451390,5466945,4853415,5247900,6724095,7015050,5914215,5183130,4632840,5248410,0
8,6556050,5805585,5494740,5446290,6335475,6269175,5740560,6123060,6413760,6058035,6724350,6480825,5659470,5527125,6204915,7721400,7263930,7088745,6428805,6635610,6780450,6498165,7192530,6954870,2191725,2259810,6045795,5616120,0
9,1420350,771630,934830,1593240,1968345,1797240,1409640,1553460,1761540,1332120,2214420,2187390,1029690,1124295,1221450,901425,1011585,1259190,901680,799680,926670,804270,1422645,1651380,728025,947070,1082475,648465,0
10,1807950,1444320,1453755,1876035,2715495,2593860,2780010,2453610,2105790,2192490,3367785,2461515,1705950,1975995,2307750,2415105,1843650,1540455,1638630,1934175,2561220,3177555,4432920,2502570,1996905,2619360,3212745,2836365,0
11,2643840,2378640,2380935,2519655,3393540,3698010,3781395,3413175,3088560,2951625,3811740,3686280,2723400,2952900,3054390,2428620,2465595,2600745,3014865,3068670,2751705,3059745,4648395,3239010,2231760,2287350,2514045,2339370,0
12,2541075,5665080,4213365,3356565,2722380,2518380,2973555,4999275,5045175,2542860,3839790,6098325,3907620,2971515,2740230,2306985,3673020,4868460,4485705,4468620,2518635,2978400,5729085,4585920,2017560,2771340,3965760,3606975,0
13,4291905,2238900,635460,236385,286110,448035,822120,1677390,3298935,1206915,1902810,1949220,1067685,1169685,1190850,1045500,1816110,4435980,2438565,2444175,2395725,1053405,1488945,4471680,2263380,2364360,2771340,1170450,0
14,4464795,2409750,1623075,1622565,2270775,3255840,3756150,3067650,2063205,1719465,2209320,2770575,1870425,2216715,2168775,1830390,1697025,1677135,1633785,1598850,1622310,1691415,2772105,1261230,197370,69615,60435,60690,0
15,1658775,931515,741795,912390,2115480,2706570,2385780,1723035,1426215,1358130,2475540,5003865,1370880,1070745,1560855,1203600,831300,890460,1075590,760155,789990,943500,1564935,1932645,1040655,829515,916725,1192890,0
