,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,7172895,4398240,3813270,4977600,5288955,5973375,7642605,5509020,5195880,7898115,8030715,6829155,5908350,4523700,4692510,4781760,1364505,2134605,6147285,4788135,6124590,8756445,9486765,5538090,4135845,6536925,10652880,2714730,0
1,5474850,5295075,6485670,6064410,5685225,4804965,4166445,4609890,4708830,3931590,4948020,5097450,3983100,3704640,3384360,3651600,4415325,3777570,3493500,3801540,5061750,3951480,4539255,5789775,3994320,4035120,3791085,4251615,0
2,1373940,711960,435540,660705,2318460,1710540,799425,935085,495210,502860,559215,1089870,350115,191250,232050,287385,256275,247095,333795,120615,118830,113475,602820,1260465,374340,351645,1050600,589050,0
3,5141055,6844200,7966200,7128780,5269320,2312595,2643075,6568035,6886785,6264585,6346950,1291065,1319625,7417950,7256790,9182040,8772255,5753565,5492190,8543520,7587015,7823400,9266955,4131255,3612075,6544575,8426475,6441555,0
4,9824385,9317190,9147870,9104520,9117525,10163280,11651460,10160220,8984925,8413215,9179235,8202840,6759030,6496890,6348735,7262145,8547090,8128125,7706610,7672440,7651020,8008275,8645010,10246410,11006820,8703915,7252200,6693495,0
5,5122950,4458420,3336165,3213255,3370590,4221270,3452190,3782925,2708355,2532150,2585700,5316750,3420060,2497470,2550000,1556010,1584060,2464575,3614115,5004375,4728210,1912755,2277405,2844525,1238025,905250,1835490,2712435,0
6,7819320,7603080,8597835,6762855,7430445,9704535,8684535,8615940,10500645,11108820,9932250,9487530,8565450,9168015,8782200,7493175,8418060,8435145,8605230,6180690,5261670,8885220,10045470,9846060,10740600,7768575,6274275,8060295,0
7,8706975,8758485,9010425,9253950,8239560,7901940,7922340,8187030,7954470,8111550,8747520,8226555,8598345,9228195,8046780,7677795,7731600,7834620,9027000,8662350,9602790,9925620,8802855,8454015,8237265,8309940,8136795,7897095,0
8,9940410,9629820,10004670,11124375,10727595,10087800,11129220,10335660,9927915,10934145,11040480,10593975,9718305,9463050,10358865,11537985,10987440,10248195,10158945,10108200,10049040,9980955,10582245,11082045,10375440,9952140,10041390,10234425,0
9,7306005,5440425,4728975,5947875,6414780,6247245,6003210,5459805,5420280,5161710,6181455,5886420,4499220,5714805,7225680,6079200,6475215,6288300,5411100,6019020,6052935,5711235,7154790,6897750,6600165,9228450,7384290,7140765,0
10,6783000,6310230,5395800,6084300,6519585,6286515,5912685,5265240,5468730,5995560,7376640,8503485,6279375,7320795,9298065,9625995,6722055,5353980,5313690,5992755,6440790,6469350,8246190,6130710,5564610,4973520,3920370,4262325,0
11,8294895,5362140,5287170,6920445,7875420,5407785,4680780,5726280,7345785,5218065,5301195,6564975,6091695,6764895,6403305,6067725,5458785,5184405,6824820,9814440,10231365,9900120,10705920,7473795,4517580,3782160,3323415,2800410,0
12,9848610,10505490,10394565,10358100,10502685,10741365,10585305,10927770,10584285,10136250,10335405,10056690,9300870,9899355,11176395,9856260,10383600,11241930,10704645,10404510,9942450,10131405,11056035,10900485,9962340,10129620,10267575,10098510,0
13,7790760,6231945,3791340,2077230,2061930,4018800,4893705,5008965,5770140,4874070,5498820,6241125,4669050,4315110,4998510,4806750,5112240,5582205,4783545,4855965,5436345,3561330,4055775,6329355,5917275,5729850,5756370,4327350,0
14,9348555,8258430,7267245,7009185,7738740,9573720,10231620,8911740,6687375,6837315,8875275,10529970,7892760,6760560,8289030,7678050,6007545,5977200,6185280,5907585,6475725,6422430,7851705,4983465,2365635,1596810,1569270,1765365,0
15,7883325,5381775,4376055,6064410,8075595,5890755,5361120,5143095,5029110,5201745,5801505,6554775,5174715,5391210,5526615,5058435,6078690,7608180,6120765,4490040,4256715,5153550,6147540,5868060,4956690,5947620,5306805,4321485,0
16,8164590,6888315,5919315,6379845,7893015,8015160,8278320,8821470,7080075,6491280,8022045,7517145,5925180,6114135,6827880,7025505,6806970,7138725,7169325,6591240,6018255,6176355,7682385,7468950,6278355,6290850,5790285,5683695,0
17,6764640,6448185,5912430,5837205,7161675,7041315,7306770,6603735,5864235,6557835,8358900,7048710,5949150,6609345,6795240,5763510,5400645,5173185,5390955,6579765,6485925,6285240,7763730,7395255,6542025,6512700,6195990,6096285,0
18,7438350,6790650,5782125,6704715,8131440,7674735,6738630,6565485,7311105,6844455,6802125,6320940,5225460,5099235,5164005,5471280,5922120,5960370,5998620,6010860,6246480,5665080,6118980,6086085,5282325,5450880,5547015,5629125,0
19,6024885,6264075,7598235,7998075,6248520,6562680,10443525,11561445,8373435,8263530,7731600,5391720,4803690,4211835,3802815,3829335,3824235,4516560,5842305,5980260,4432665,3788790,5762235,5810175,4100400,2759100,2449275,2583915,0
20,0,0,8550660,6357660,6106485,6287790,6301560,5984595,6149835,6182985,7458750,8134500,7828755,8448405,8789085,9385020,10114320,10266045,9775935,9688215,9623700,8252820,8314020,8172495,7073445,6341595,6162840,5948385,0
21,9280725,8768175,8558310,8336715,8140110,8505780,8832690,8437185,7797390,7785660,9321525,9661440,7394490,7630875,8700855,8246445,9438060,11097345,9471210,7451865,7764750,8528220,8403270,8172240,6715935,6819975,6368880,5485305,0
22,12025800,5650800,1968855,5996835,12314715,10790325,6538455,4776150,3498855,4908240,9757065,3615645,2018580,2579835,2418930,752760,250920,346800,1344105,852210,607410,185385,320535,1826310,1093440,1686315,296055,452115,0
23,6175845,6175335,7090020,8469315,7685700,6988530,6344910,6255660,6572370,6280140,7888935,7151985,6394380,6647340,5712255,5757645,5550075,5082405,5519220,5791815,4879170,5745915,7254240,6648870,5531715,5188995,5462610,4923540,0
24,11097345,12101280,11910030,7589310,6727410,9195555,10041390,6486180,5498310,6207720,8098545,11827665,10199745,10424145,9851670,9899610,8445600,7868280,8042445,7380720,10061535,11007075,11835315,11448990,9050970,9653790,12188745,12065325,0
25,4692765,4418895,6351795,6638415,4214895,4017270,4606320,4423740,5591895,8922705,7851705,4842960,3539400,4274820,4702965,3622020,3865035,4357695,3988965,3915270,4054245,4226115,5356275,5157375,3996105,4128960,4874580,6186555,0
26,6279630,4989585,4880190,5210670,5883105,6167685,7312635,7569165,7012245,6819210,7932540,8220690,7594665,7585485,7141020,7669380,6713640,6702420,6860775,6964560,6571350,7387860,9370485,8464725,7266735,8005470,8172750,8447385,0
27,4010130,1725585,1080180,1676370,4634115,5339190,5938950,3619470,2462280,3461115,6170490,3576375,1606500,2151945,4995960,5825985,9124155,4701180,2067285,1581000,2343960,1873230,2684895,4023900,1483590,1718190,1908930,1786275,0
28,9617835,10550115,10643700,8117670,7558965,9859575,9267210,8188305,7747665,8744205,9777465,7628070,6856440,7182330,7151985,7463850,7428660,7798155,6652440,7185645,7993995,7461300,8002155,8021280,7226955,7457220,6837315,7018110,0
29,6175335,3176280,3704385,6351795,7795860,6280905,6202110,7803510,6371175,5749230,7461810,4395690,2803725,3445050,3602895,3353505,3154350,2960805,2824125,4573935,2995740,2348040,4014720,2346000,1615170,1589925,1611855,2143785,0
30,4215660,3074790,2254965,2610690,4957455,4552260,3251505,3496815,3039345,3088305,5187210,6507345,6186810,6277080,3127065,2329425,4335255,5571750,3891300,3247680,1941315,2187390,5394270,4706790,4153695,5561040,1452480,1376745,0
31,7908060,8326005,6969150,6631020,7455690,6755715,6340065,6645300,6984705,7361340,8583045,6742200,5131620,5509020,6536670,5939205,5437365,5270595,5370555,5250705,5676045,5599800,6659325,6701400,5406255,5597505,5592405,5879280,0
