,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,480675,693345,793050,1217370,693345,448290,691560,260610,338385,1043715,1499145,957525,383520,289170,368985,313140,176970,438090,1339005,391935,270300,743070,2082585,1064625,486030,370005,745110,659685,0
1,3808170,4279410,5384325,4962045,4500750,4429095,3713565,3315765,3420570,3775785,4251615,3374925,2709630,3535830,3227790,3090345,3764565,4468875,4262325,3763545,3951990,3937965,4209795,3972390,3850755,4080765,4324800,4364835,0
2,919530,711195,560745,584715,1500165,907800,337620,467925,189975,179520,261630,909330,233325,182580,232050,172380,244035,255000,210375,71910,55080,220575,263160,640815,266475,245310,252195,223125,0
3,1445085,2529345,8844675,7487055,2107065,725730,1259445,7106085,7076505,2703510,2683620,170850,154530,1467780,1679940,8748540,7908570,1629450,884850,2094570,6426510,5675535,3320865,313395,453645,6161310,6173040,2018580,0
4,7733130,7710945,7931265,7799940,7757865,7826205,7654845,7985325,8445855,7022190,6292635,6270960,5991480,5894325,6460680,6645300,7472520,9206775,8205135,7778520,7895310,7451865,7035705,6978840,6612405,7196100,7060950,6701400,0
5,1645770,1443555,1667955,2800410,3071985,2725695,1380825,1025100,1105680,740775,956250,2944230,1385415,1115115,957525,669375,736185,1535610,1800045,2839170,3152820,1546575,1416270,1729410,837165,577830,268005,386325,0
6,5370810,3762270,3262725,2177445,2634405,4445415,4242945,4385745,5802015,4459950,5455725,4851630,2779500,3549600,4898550,2870025,3051585,4684860,3619470,3111000,3869880,3771960,4177155,5063535,2482680,2651235,4099890,3688575,0
7,4661400,4878405,5035485,5104080,5600820,5249175,5063280,5478930,6038910,5985870,6540750,6486435,6471645,6396420,5801250,5448330,4860810,4934250,5278755,4766715,4474485,4800375,5362650,5835165,5042370,4300320,3739575,4631820,0
8,8812800,9101970,9069330,9212895,9377370,8882925,8990280,9388335,9716775,9668325,9003030,8254350,7874655,8568510,9654555,10326225,9591315,8625375,8393325,8860995,8757975,9198105,9766245,9609165,5798700,5819100,8691675,8268885,0
9,4326075,4684605,3876000,3665625,3567705,4037925,3616920,3760230,3803580,3054645,3872940,4295985,2777715,2527050,2867985,2749410,3010785,4292160,4594080,3548070,3300465,3108960,3737535,4950060,4386510,3281085,3171945,2671890,0
10,5617905,6696300,6050130,6328590,7975890,7184880,7946055,6530805,5685990,6582315,7142805,8934945,7614810,6543810,6516270,6110055,7900410,7109910,6336240,7177995,8293110,9648180,9957750,6988020,6004740,7032135,8766135,7473285,0
11,8704680,8482065,9756045,8573355,9100440,10781910,8891850,8064630,8505525,8851815,9223860,8787045,8441775,8533575,8698305,8570295,8500680,8704170,8635830,8702385,8839320,8371905,8408370,9017820,9152970,9851160,9445965,8430300,0
12,2807805,4042260,3551130,3355290,3385125,3678375,3544245,4149615,4354890,3352740,3991515,4449750,3470805,4050165,3437400,3002880,4131765,4426545,4107795,3964740,3347640,3845145,4792470,4404105,3415980,4053225,4007835,3713565,0
13,5149470,3286185,1403520,854250,834360,1671525,2014500,2757060,4531095,4180980,4738410,5600055,4365855,4975305,5080620,4835565,7202985,6674115,3974175,4241670,5306550,3694440,4189140,5708430,4771050,5362140,6172275,6711855,0
14,7817790,7492665,6790905,6711855,6945690,6902850,7666065,8107725,7947330,8024850,7487820,6907440,6527745,6476745,6562170,7000515,7345785,6632550,6833235,7189725,6949770,6772545,6871740,2024445,404175,352155,264435,239190,0
15,4996215,4512990,4512480,4551495,4052205,3961170,3647265,3082695,3008235,3845145,4051695,4010385,3928785,2911845,3022515,3400935,2635170,2326875,1842630,1400460,1375470,1982115,2591055,3279300,3425670,3462135,4444395,4439805,0
