,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,105315,148410,164475,176970,246585,155040,126735,83640,116535,167790,173400,45135,27540,43605,74205,59925,72165,106590,86445,60690,44115,14025,90015,166515,125715,117045,76755,93585,0
1,32130,27285,58395,44115,52785,22695,22440,15555,8160,10965,74460,75225,18105,0,255,22185,2805,4845,20910,23970,18360,2040,6120,0,0,4845,0,255,0
2,114240,89250,21930,13515,147645,181815,218790,211395,25500,31875,147645,96390,87210,39015,48705,122400,115005,90015,112965,91290,54825,42840,66555,24735,21165,63495,100215,120360,0
3,240210,217005,22440,26265,188445,241230,229500,248370,182070,120360,168300,134130,85425,113730,232560,86445,126990,211140,103530,115770,138465,136170,198135,121380,52785,54570,17340,1275,0
4,61710,43860,35190,27540,73185,51765,59160,40035,32130,67830,80580,81345,35445,72930,48450,41820,36720,40035,34425,52785,58395,40545,66555,57630,49215,79305,47940,59415,0
5,32895,15300,9435,15045,22440,12495,9945,9435,10200,11730,22695,14790,6885,7905,11220,6375,5865,7140,10455,8160,5610,9435,41055,18360,8415,7650,12495,9435,0
6,16065,2295,10710,24480,52530,46920,37485,15555,29070,25245,51000,8925,9690,26265,25245,24735,5610,2805,26265,22950,28050,8415,5100,40800,21420,22695,3060,2550,0
7,77265,60945,43860,40290,36720,11220,9945,35190,41820,28050,27795,56865,9180,4845,6630,2550,1785,2805,4590,15810,8925,24735,74205,8160,3825,10455,5355,7140,0
8,2040,5610,1785,9690,11985,5610,2295,12495,4080,765,5100,1530,0,2550,4080,6885,6885,3825,5100,1275,1530,2040,2040,3060,0,255,3315,2040,0
9,107355,80070,86700,33915,51765,95115,79560,79050,19635,8670,110670,110925,125205,82875,62985,100725,101490,115770,21930,16830,98430,20910,39015,114750,99195,98685,31365,42840,0
10,20655,8670,2550,13770,117555,90525,74970,36975,16065,9690,37995,71910,20400,8415,4845,11220,7140,11985,10200,15300,14025,1530,13770,8670,4080,6375,8160,4335,0
11,102765,36975,34935,111690,147645,146370,54060,49980,129285,115515,151980,18615,12240,73950,68595,82620,33150,33150,100725,122910,125205,48960,66555,176970,125970,112710,34680,40035,0
12,57120,27285,49215,23715,67065,166260,65280,68595,85170,29325,52020,83130,22440,23715,81600,36210,27285,66045,31875,45135,102255,24225,53040,71910,9435,16320,57630,18360,0
13,161160,175695,151980,131325,124950,102510,96900,89250,97155,74205,71655,239700,124695,84660,95370,112965,98175,124695,152745,168810,172380,156315,123165,300645,213690,235620,309825,251430,0
14,80325,68595,79050,86700,110670,131070,102765,93585,112710,106845,140505,162945,108120,106080,140250,107355,103020,131580,109140,109905,137190,104040,130050,152235,92565,93075,126225,81600,0
15,22695,11730,11475,28050,44880,47940,19380,24225,40290,28560,46410,12495,12240,25755,17595,26520,1020,6120,16575,22695,12495,3060,4080,28305,13515,10965,2550,1530,0
16,765,12750,4080,11475,2550,510,510,510,510,510,1020,170850,128010,125715,94605,104295,86190,97920,133365,123930,98940,122910,108375,148665,116535,72930,84660,70125,0
17,86445,60435,63750,53805,85170,77265,97665,74460,63240,71145,138210,94605,60435,43095,116025,56100,59415,56355,63495,110415,96390,64005,77010,109650,73185,55590,52275,77265,0
18,46410,35700,74970,81600,54570,74460,50490,65535,111945,59925,97920,124185,71910,66300,85170,83385,96390,110925,58650,67320,88485,69615,92055,111180,57630,93075,118830,82620,0
19,209865,227715,120870,123420,151980,88740,46920,22185,18360,45900,116790,129030,77010,50235,42075,58650,21930,80835,71400,33150,26010,31620,192270,43860,43860,24990,27795,104805,0
20,20400,2040,2295,21165,15045,8415,6885,28560,12495,5355,33405,2805,0,1530,41310,1530,4080,112455,4845,1785,5865,56610,48960,51765,43095,59415,4845,510,0
21,0,0,1020,765,19380,5865,765,1275,12240,5610,4845,39270,26520,14280,4590,5100,18360,36720,41310,14280,7650,17850,44625,23715,2040,0,34170,31875,0
22,82620,48450,38250,25755,36465,56100,59925,73695,78030,39525,58650,40035,18870,57120,112200,90780,55335,50745,30345,25755,22185,23715,41565,72930,23205,45390,43350,19635,0
23,15045,255,0,0,0,16320,26520,75480,96645,15810,29070,0,0,0,51510,0,1020,269025,29070,1020,0,0,0,19125,14025,7905,116535,13515,0
24,45645,55845,43350,29580,34935,19380,15300,10965,14535,24735,24735,105825,115005,99705,116790,102510,90015,95625,95880,73185,62220,68340,82620,82620,63495,33915,26265,20400,0
25,81600,65535,88740,95880,103020,69615,64260,70125,94860,80070,74970,35190,26010,30345,58140,51255,45390,53295,68595,55080,43095,28305,30855,96900,33915,16065,19890,6120,0
26,96390,65280,90525,65790,94605,133620,136680,130815,141270,126735,172380,126225,90525,105825,123165,119595,108885,123675,104295,89505,95880,92055,101745,121635,82365,92820,103275,89760,0
27,12240,15810,5355,28560,15810,26010,10710,15810,30090,22950,31620,26520,3315,10200,12495,6375,4845,6375,5610,5355,5100,7905,12750,18105,16065,7905,2295,1785,0
28,104295,123675,116280,134385,110160,108885,104295,76500,72165,74970,90525,124950,78795,79560,62220,66810,78795,60690,41565,44370,51000,55845,69105,126990,70380,77265,80070,47940,0
29,88995,82365,70380,62220,44115,29325,26775,37740,32640,53295,66555,26010,19380,35955,17085,17595,55590,41565,33915,35190,34935,49725,62220,69360,31620,24990,66810,33150,0
30,16830,12240,9945,21165,39015,17340,18360,26265,29835,27285,39780,25755,19380,18105,17085,17085,9180,7905,4080,5355,9945,16830,25500,30855,33150,23970,20655,25500,0
31,384795,401880,326655,201960,210885,301665,331755,292230,250665,176460,193035,192780,141525,148920,172635,148410,113985,103530,123675,116025,78030,114495,218025,170595,189975,249135,266220,196350,0
32,153255,96645,79050,66555,113985,115005,115260,102510,105570,91035,102765,106335,58395,69615,95880,56100,76500,55845,42585,61200,70890,43350,69870,76755,49215,44880,56610,65280,0
33,108375,83130,112200,75735,87975,144330,106845,92310,107100,71400,73950,79815,41310,42330,58140,57120,63750,70890,45135,33660,39525,38505,61200,54825,46410,49215,67830,85680,0
34,64260,63750,36465,43605,84660,82875,82875,80325,69870,77775,107355,67575,50235,96135,73695,67830,67575,63240,67830,79050,73950,77775,117810,105060,90780,107100,94860,109140,0
35,117300,107100,100215,70635,79815,119085,120870,151725,174930,243525,306765,287640,239955,191505,205275,162435,184620,239190,167790,158100,195840,185385,226185,185640,139230,147645,164730,180285,0
36,37740,26265,18105,24735,29835,35700,20910,20910,29580,11730,26265,28050,15300,19635,26265,19890,11985,13770,17595,16575,26520,24735,23205,32640,22695,21930,14790,14790,0
37,66045,99195,96135,42840,49470,61710,93585,90015,105060,66300,102000,179010,76755,82620,228480,115515,86955,184365,221595,265965,245565,93330,122145,157080,91290,74970,129540,44115,0
38,57630,60690,39270,54570,82110,72930,39525,27285,53040,56100,84915,69360,44625,52020,61965,57630,68850,74715,78285,60435,67065,8925,11730,93330,67065,57120,61710,58905,0
39,102255,102000,104040,116790,120105,111945,109650,103020,103530,101490,110415,107100,88485,122910,143310,103275,100980,105060,106080,94350,126990,114240,113730,101745,87465,91800,80835,85935,0
40,31365,765,255,255,8415,57630,36210,10200,13770,39270,66555,2295,765,1530,5355,12750,17085,7395,3570,1275,6120,2805,1020,2295,510,0,0,1530,0
41,28560,1275,0,0,26265,34425,22440,9945,8160,1530,6120,8925,1530,2040,1020,16575,31110,29835,18360,15555,17340,26010,34170,36720,10710,25755,21930,19380,0
