,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1909440,2122110,2777715,3070200,4493610,4029510,3210960,2523990,3064845,4020330,4052205,2166480,631635,924630,2968200,2053770,2241450,3052350,2630070,2209320,1197480,481440,1000110,2953155,1781940,1307895,958800,1344615,0
1,1547850,1259700,2720085,2434995,1957380,1052130,687225,550035,375360,437325,2547195,2821575,517905,27795,95115,869040,86445,194310,979455,998580,1212780,146115,391170,0,0,451605,66810,7650,0
2,3020985,2708100,1579980,1280100,2023935,1989765,2421735,2659905,1773270,1977525,3407820,2567340,1838040,1842630,2244765,1882155,1649340,1676115,1776840,1507050,1328550,1696770,2959020,1659285,1066665,1820445,2581620,2153220,0
3,3580710,1981350,388110,306255,2161380,3440460,3672255,2623695,1743945,1483590,2441370,2513790,812685,1698555,3981315,1700340,1745220,3148995,2244510,1966305,2149905,1783470,2823615,1653420,947580,1078395,301155,62475,0
4,4350300,2798625,1710030,1844415,2818770,3215550,3347130,2986305,2695605,2454120,3245895,3485595,2293725,2599470,2081310,1555245,1664640,1646025,1752870,1883175,1830135,2012970,3156390,2878440,1884705,1804635,1861500,1779900,0
5,1803870,1030710,783615,902190,1842375,1504500,976395,878220,836910,792030,1380060,1505265,798150,630105,636225,534990,444975,506685,561765,548505,448545,482715,885105,1458345,858075,718080,657645,643875,0
6,597465,158610,129795,574770,1983645,1972170,1199010,925395,1096245,1034025,1597575,500055,319770,609195,585735,726495,158355,135660,704310,521220,470475,226185,266985,1181670,510765,498015,171870,159120,0
7,2855745,2471205,2044335,2101710,1497870,403665,482205,1653675,1382355,1322940,1945395,2365890,645660,110925,130560,169320,123165,174930,263415,825435,479655,1036065,3166335,905250,401370,264180,237405,187425,0
8,104295,209865,151980,773925,714000,880260,1413465,1142400,647700,109905,307530,1185240,170595,120360,1197480,1243125,1235475,1169685,900660,298605,276675,521730,598740,1225530,180285,97665,436815,135405,0
9,2372010,1430295,1265565,1356090,1892865,2437290,2470440,2170815,1035300,721905,1575900,2139960,2021385,2815455,2147610,2004045,1536120,1372155,874650,813960,1595280,1197480,2137410,2635425,1908165,2174385,1526940,1578450,0
10,924630,230520,126735,253470,2697645,2924850,2481150,991695,364395,269535,1031220,2432190,727260,302940,206295,144840,219045,253980,323595,240975,181305,171105,956505,287640,140250,177480,165750,184110,0
11,3886965,1606755,1499145,3214275,3639615,3712545,2105535,1971660,3286950,3170160,3762015,1178865,985320,2386800,2291430,2564025,1563660,1516740,2921535,3179340,3265530,2043825,2211360,3650325,2995230,2828205,1630215,1577940,0
12,2081820,905250,833085,701760,2031585,4342140,3357330,2736405,2536230,1496085,1889805,2743800,1296420,1493025,2526795,1564170,955740,1711050,1547340,1799790,3393030,1538925,1882665,2496450,823140,964410,2259045,800190,0
13,5069910,4450770,3763035,3533025,3072240,2643840,2559690,2256750,1817640,1413720,2116245,5557725,3559035,2158065,1927800,2136390,2053770,2070600,1714875,1764090,1786785,1336200,1724565,5530185,2410260,2471715,4985505,3511860,0
14,2221050,1666425,1605225,1727370,2613750,2950860,2643075,2498490,2476050,2214675,2820045,2950605,2209575,2252925,2425560,2119560,2132055,2513535,2282505,2158575,2507415,2233290,2574990,2835090,1892355,2018580,2383485,2397255,0
15,1155405,310335,209610,719865,1874760,1894650,1314780,946815,926925,890970,1668465,615570,375615,750210,776730,896835,217260,234600,726750,692325,631635,197370,267495,1204620,575025,524790,142800,126990,0
16,87210,544425,409785,221340,75735,32385,32385,32385,32640,40290,35190,3202545,2364360,2012970,1860990,1741395,1903575,2207790,2610180,2782050,2373795,2597175,3396600,3729885,2714985,2394450,2175915,2095590,0
17,2155515,1646025,1981095,1962225,2318460,2323815,2036175,2394195,1809990,1705950,4184295,3150525,1594770,1414485,1620780,1375980,1765365,1653165,1740375,3029145,2360790,1572330,2250375,2611200,1150305,1525920,1845945,1870935,0
18,1333140,1087065,1400205,1695495,1703655,1761030,1597830,1909695,2362320,1570290,2175150,2278680,1258680,1215585,1278825,1076100,1358640,2207280,1286730,1130925,1204875,1101600,1602675,1756185,995265,1329315,2159340,1418310,0
19,3603915,3661545,3251760,2703255,3463155,2858295,1614405,552585,590580,1464210,2584170,2624460,1703400,1105680,1064880,1433100,749445,1018215,1152600,779280,947835,961605,3696990,1064115,704310,936870,919530,1646025,0
