,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,51,57,68,39,2,5,28,46,17,6,3,52,21,21,56,66,56,27,70,65,39,6,26,41,48,22,19,32,0
1,80,59,64,75,58,53,28,26,19,21,45,29,33,2,3,57,4,11,46,53,66,5,22,0,0,24,4,0,0
2,26,39,46,42,24,9,26,33,50,41,14,36,41,31,37,21,20,14,12,18,11,24,19,71,43,30,47,32,0
3,89,83,20,15,80,90,107,98,64,60,85,95,34,88,47,74,78,92,92,83,97,67,80,79,51,47,8,3,0
4,34,75,36,45,75,72,63,59,60,46,55,68,49,52,58,30,27,32,39,41,40,46,48,67,45,46,42,37,0
5,60,29,16,30,61,55,31,31,18,16,53,65,20,25,16,16,11,12,14,15,13,8,28,47,20,16,13,17,0
6,30,12,8,21,51,57,42,32,40,42,53,32,15,21,19,23,7,4,18,17,14,7,12,51,15,16,6,9,0
7,20,46,64,54,61,11,15,52,51,62,72,55,19,4,4,6,2,5,7,34,10,35,25,41,11,5,5,4,0
8,3,7,6,23,22,22,55,32,20,1,18,34,3,5,38,40,42,41,34,9,7,13,22,38,4,5,14,4,0
9,48,18,17,30,40,49,51,42,31,25,35,39,39,41,49,46,21,20,24,20,19,30,46,44,30,40,52,46,0
10,42,12,6,9,72,80,75,35,13,8,44,96,25,12,9,6,6,8,7,7,6,6,49,9,6,8,6,6,0
11,23,55,49,24,23,23,60,64,23,27,28,61,44,33,42,26,52,53,18,19,22,45,43,25,25,23,58,56,0
12,76,25,14,22,64,7,43,67,65,58,74,57,50,71,81,75,38,70,57,72,40,64,81,85,32,44,84,42,0
13,17,25,61,56,74,66,65,62,39,36,51,5,59,57,43,51,56,45,29,32,23,11,42,3,48,47,22,81,0
14,35,26,21,23,37,34,33,40,34,41,41,26,32,34,25,34,23,32,33,33,43,30,48,29,37,37,44,37,0
15,45,14,7,16,50,54,49,33,33,37,46,42,17,21,27,34,10,12,23,17,24,9,17,62,20,17,7,6,0
16,3,27,19,5,2,1,1,1,1,2,2,30,44,21,21,22,25,29,28,34,22,25,22,27,39,29,25,35,0
17,89,68,82,79,82,73,71,82,75,72,41,94,61,59,74,53,69,60,69,90,90,62,91,85,50,69,70,79,0
18,30,25,26,38,44,45,43,52,50,36,53,51,27,24,23,16,22,50,32,22,25,21,50,43,21,37,59,36,0
19,28,24,57,74,43,81,52,14,14,45,77,51,50,43,27,45,23,33,35,17,24,29,24,36,18,30,29,61,0
20,41,6,5,35,18,19,13,23,28,6,53,12,0,1,28,7,18,61,8,0,9,61,86,65,36,63,16,2,0
21,0,0,2,1,18,8,2,3,19,7,14,34,23,22,3,4,16,25,25,13,10,13,17,27,2,0,34,17,0
22,80,45,28,22,28,29,39,65,59,30,63,43,25,47,77,61,67,53,28,19,21,25,57,55,31,37,33,18,0
23,26,1,0,0,0,12,18,75,76,18,59,0,0,0,42,0,9,8,75,3,0,0,0,13,4,2,71,22,0
24,9,26,34,46,51,45,56,45,45,37,44,37,22,21,41,39,30,37,33,36,34,37,45,37,40,38,37,39,0
25,18,22,47,34,34,31,31,32,32,36,34,25,9,22,57,17,18,39,28,48,38,22,47,15,64,18,16,11,0
26,58,35,18,21,28,35,49,35,37,43,32,30,37,33,33,39,40,36,38,41,19,32,31,32,37,35,33,32,0
27,27,10,18,44,49,34,31,28,21,17,36,40,13,25,38,19,10,15,11,16,10,13,46,36,18,13,9,4,0
28,46,32,33,34,27,25,27,19,25,26,42,21,32,15,16,7,8,19,19,17,9,14,16,26,33,33,44,23,0
29,53,56,60,54,62,39,23,22,34,64,50,61,34,45,23,22,56,53,35,33,47,28,49,72,18,27,62,45,0
30,28,11,17,29,46,50,28,15,12,18,43,25,6,10,16,5,5,4,7,5,9,10,11,25,16,11,11,11,0
31,4,3,5,20,14,1,1,5,16,27,16,34,13,19,36,34,20,20,40,42,13,19,16,37,11,18,25,30,0
32,60,24,17,26,49,58,53,44,52,40,59,52,57,61,50,54,48,25,26,34,46,44,64,59,37,44,33,37,0
33,47,27,22,22,50,50,54,44,56,47,50,43,22,31,46,43,46,58,31,28,44,52,52,53,34,47,63,53,0
34,44,51,34,39,35,11,17,29,56,46,20,37,59,42,61,67,48,48,48,51,68,69,25,37,71,48,44,57,0
35,31,33,42,56,39,42,62,49,47,52,42,49,46,25,54,40,46,45,54,43,53,49,35,48,38,41,34,34,0
36,46,50,52,55,48,67,45,60,52,48,62,68,35,49,57,57,37,28,27,28,25,22,51,50,33,37,21,23,0
37,53,52,61,54,31,37,50,56,28,29,27,22,15,23,37,15,22,34,19,23,22,28,38,23,14,16,43,43,0
38,30,30,20,37,81,76,80,49,29,34,69,75,24,19,15,33,56,52,37,32,15,18,22,26,16,14,15,12,0
39,26,18,23,15,16,10,15,17,16,20,18,18,10,18,23,9,12,11,15,11,4,13,10,18,24,16,12,13,0
40,29,11,3,1,10,99,76,30,38,53,78,10,4,5,20,11,25,22,16,5,2,1,2,13,7,1,1,3,0
41,69,6,0,0,77,60,61,29,9,9,51,37,7,4,5,54,53,64,53,50,57,51,79,61,59,61,86,72,0
42,52,66,69,55,56,55,49,27,17,18,48,49,29,26,37,29,26,27,23,16,25,28,44,48,29,21,15,11,0
43,30,22,17,14,38,35,44,35,41,40,8,39,28,49,14,11,40,46,20,15,18,39,47,34,25,21,41,45,0
44,32,17,61,28,23,22,36,21,11,42,18,10,6,52,79,37,69,77,22,10,7,13,42,23,18,61,19,19,0
