,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1825290,2184330,2922045,3800010,6814875,5255550,3819900,2722380,3917055,5689050,5582460,2389095,546465,925140,3202035,1972935,2273835,3471060,2815710,2137155,999855,474045,1253835,3551640,1809480,1369095,1086300,1494045,0
1,1649595,1100325,2935305,2546940,2005575,958035,580890,520200,378420,356235,3371100,3813015,512295,22695,69615,888165,68085,178755,1042695,995775,1243380,100980,384795,0,0,404175,64260,5610,0
2,3626865,3020985,1459110,1137555,2508945,2486250,3026340,3331320,1696515,1928310,4624935,3035520,2049180,2010165,2439585,2223855,1979565,2007105,2074680,1796220,1648065,1995120,3654660,1612365,882810,2134095,3051585,2615025,0
3,3694185,1922445,353430,250920,2073150,3376455,3615390,2477070,1469565,1271430,2670360,2636190,622455,1749555,4727955,1433100,1526685,3165060,2081310,1766130,1949475,1576155,3206370,1734255,813195,936615,214965,58650,0
4,5520240,3042915,1818150,1955340,3128340,3620235,3992535,3498090,3103350,2870535,4235805,4311030,2615535,3079890,2373540,1825545,1949985,1975485,2150160,2312340,2143785,2397255,4198320,3551130,2131545,2084880,2090745,2015775,0
5,1864305,988890,791520,885870,1753635,1393320,955485,853995,840990,748170,1447635,1550400,771375,619905,596190,523260,420240,507195,619140,570690,463845,527340,945030,1485885,783105,698700,681615,710940,0
6,598485,152235,120360,582165,2005320,1976250,1024335,758625,974100,923355,1736805,486285,237405,596700,556665,713490,144330,119595,660960,532185,525045,214455,261120,1251795,508980,498015,158610,149940,0
7,3388185,2583405,2001750,2166735,1539945,408255,464355,1578195,1232670,1206915,2148375,2698920,561255,108885,136425,175440,135660,201705,281775,858075,488325,989910,4111110,811665,302685,311100,299115,231795,0
8,75225,175440,120615,653055,545190,714000,1244655,953190,520200,72165,294270,1043460,112710,93075,1053405,1094715,1118940,1043460,765765,234345,239190,423300,518670,1087575,128775,58395,330225,96900,0
9,2670615,1665915,1572330,1425960,1902810,2670615,2647665,2366145,963390,676260,1978545,2625225,2340390,3105645,2208810,2200140,1757460,1655205,901680,836655,1899750,1232415,2351355,3258390,2176170,2585190,1603440,1689375,0
10,793815,217515,141270,255510,2631600,2799135,2281995,862920,341700,238425,1050855,2569125,555645,272595,193545,150960,221595,280245,335325,267495,202725,166005,929730,283815,152490,188700,172890,197625,0
11,5024520,1584570,1454265,4153695,4846530,4913085,2219520,2009145,4305930,4022370,5116575,1185240,851190,2619615,2506650,2946270,1520310,1493025,3586320,4008090,4158540,2136135,2484975,4954140,3734475,3464940,1647300,1570800,0
12,2041020,721905,954465,682380,2237115,5812725,3575100,2656845,2665005,1294635,1936725,3105900,1005720,1167390,2455395,1354815,726750,1589670,1317840,1809735,3906855,1288770,1926015,2687445,664275,777240,2108085,625770,0
13,6669015,5723220,4187865,3945360,3365235,2829480,2800920,2449020,1924995,1525410,2428365,8242875,4345710,2285565,2066265,2252415,2165970,2320245,1963245,2085900,2091765,1655205,2119050,8141130,3035010,3145935,6907440,4029000,0
14,2209830,1728900,1875780,2080290,2931480,3354780,2953920,2768535,2826675,2491605,3466215,3563880,2439585,2523225,2798115,2425050,2473755,3005430,2635680,2512005,2973300,2586210,3153840,3381300,2107320,2280720,2687700,2718300,0
15,1034535,239955,175695,691560,1853850,1919385,1151325,782850,867765,820845,1865580,602820,287385,678810,705330,813960,174675,180030,634185,606390,561255,185130,256020,1212780,464100,435285,131835,109905,0
16,62475,442935,341190,156570,66555,28305,28560,28560,28560,36465,33405,4548435,2985285,2774145,2284545,2045610,2470440,3141345,4019310,4512225,3667155,4127940,5278755,5322615,3564900,3004410,2587230,2487780,0
17,2004300,1410405,1815090,1813560,2252160,2186115,1842630,2302140,1600890,1478745,4998510,3491970,1362210,1232415,1501950,1205895,1655715,1494045,1543770,2922300,2153985,1378530,2322030,2863650,1021020,1407600,1691925,1661325,0
18,1238025,966195,1281120,1613895,1688355,1734510,1585335,1873485,2391135,1585590,2344215,2564280,1334670,1268625,1357110,1110015,1419330,2321265,1303560,1209210,1324725,1195950,1780410,2000220,1046010,1400715,2234310,1429785,0
19,4417875,4504320,3737280,2697135,3954285,3034755,1412955,507705,546465,1207425,2669850,2854725,1492005,979965,929730,1266840,663510,928710,1048560,581910,750975,813960,4511715,1135005,631635,747405,788715,1588140,0
20,866745,229755,129030,646170,413355,470220,304470,640305,598740,246330,1053150,188445,0,17085,784890,169065,316200,2397510,211140,3315,176715,1657755,2292195,1153875,753270,1888020,300135,52530,0
21,0,0,27540,37230,585480,123930,32895,65025,423045,181305,205530,994245,552330,442680,107865,75990,359040,868530,785400,301410,211140,338130,1254345,539580,37995,12750,617100,356490,0
22,1821720,938655,623220,571455,714765,983535,1215330,1715130,1393065,593385,1221195,1068960,529890,1159995,2637975,1767405,1992825,1415760,583440,460020,586500,579105,1338495,1648065,752760,984045,987360,429420,0
23,530655,16575,0,0,4080,362610,492660,1826565,3662565,543660,1193655,0,0,0,1002660,10455,125970,8129910,1058250,59415,14535,0,0,334560,92055,67830,2873340,497505,0
24,3147975,2482935,2381700,1746495,1299225,1318860,1036575,835380,931260,860625,1441770,2806530,1318095,1359660,2055555,1577430,1451460,1661325,1592220,1520820,1484355,1398930,2137155,2513025,1440495,1272960,1266075,1049325,0
25,4004520,3304035,2541840,3228045,2926890,1470330,1380315,1367055,2650725,2519400,2717535,760155,483735,874905,1907655,763980,941460,1771740,3181890,2603040,1316055,830025,1322175,4864635,1677390,545955,573240,511530,0
26,2416380,1710285,1677135,1882665,2813670,3541185,3202800,2765220,3107940,2966925,3899970,3309390,2235585,2647665,3384870,3166590,2999310,3370335,2943720,2557650,2579835,2279955,2977380,3482280,2312595,2228700,2468655,2553315,0
27,581400,183090,295035,1252305,924885,603075,515355,474810,308550,284580,693345,647955,246585,523260,690540,299370,248370,220065,187680,228480,218280,247605,853485,783360,235365,190740,164475,79305,0
28,2268735,3004665,2396235,2314890,2241960,1679175,1537905,1493535,1678410,1562640,2244000,4314855,1602675,1075590,1099050,1084770,1138320,1058505,1011075,1018470,920550,1014645,1550910,3534810,1290555,1325745,1980075,843285,0
29,2534955,1804125,1645515,2094825,1884450,1014390,759900,758115,956505,1794945,2856510,1102110,718080,1140360,582675,677025,1533060,1472625,862665,839460,1118175,1037850,1743435,2442135,902955,1036320,1995885,1313505,0
30,771375,458235,473025,854250,1435905,1146480,785145,587265,594150,677790,1387200,785910,436050,544680,533715,338640,279480,270810,288150,312120,403665,510510,671670,966705,585225,502095,540345,568905,0
31,9038985,10071990,8882670,5652840,6203640,9708360,9752985,8500170,6726645,5691090,6658305,3972135,3087285,3757170,4676190,3584790,3090600,3538635,3984885,3647520,2705295,3306330,6471135,3785475,3420825,4138140,6185790,4687665,0
