,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,1399695,1545555,2043315,2713455,4248810,3425415,2260320,1661580,2348805,2947290,3725805,1963755,383265,609960,1853850,1057485,1209465,1702125,1532295,1186005,638520,311865,1013370,2894760,1412445,1064370,836145,1123530,0
1,1106190,683145,1703145,1736550,1341555,610725,458745,314670,181050,212415,2471205,2883285,401625,16830,47175,585225,38505,117555,653310,666825,858585,132855,405960,0,0,262650,47175,2805,0
2,3254310,2612475,1223235,1004955,2321265,2405160,2730285,2984775,1740630,2011185,4601220,2860080,1647300,1538925,1791885,1911990,1661835,1797495,1860480,1507305,1434120,1779390,3523335,1697025,978435,1872465,2460240,2241705,0
3,1337220,772905,139740,123675,800190,1195695,1391790,1035300,582420,481185,1256895,1452735,265200,600525,1798005,643875,704820,1301520,898620,680850,897345,749190,1622565,797640,324615,369495,93330,23460,0
4,2759100,1407600,755310,754545,1044480,1172745,1171725,1125060,940695,709410,1807185,2141490,799680,969255,817785,586755,462060,469710,488835,482460,480420,573495,1680705,1502460,593895,593895,628065,568140,0
5,1472370,759900,550800,603075,1204620,861900,586500,523515,521475,510255,1183200,1155150,514335,401370,404175,313650,245565,326910,371535,305745,263670,311865,719610,991950,480675,485775,492915,519180,0
6,432225,126480,121635,528105,1625115,1401990,761430,609960,1072020,802995,1619760,400350,186660,542895,397035,541875,128010,117045,531420,425595,401880,181050,274635,1165605,362355,358785,117300,121635,0
7,1783215,1320645,967215,1017195,758115,217515,344250,1182945,890460,854760,1616955,1360935,285855,39780,39270,66045,68850,79815,125460,542640,264690,656370,2985030,591345,195330,131070,125715,99195,0
8,47430,222360,208845,748680,553350,852975,1224255,1137300,655095,95115,231795,1076865,93840,93330,1317330,1276020,1281630,1133220,742050,236385,281010,473025,570180,889440,136170,58650,358530,60690,0
9,1793415,1052385,988125,827985,1271175,1766640,1732470,1554480,626025,402645,1396380,1712325,1368075,1971405,1408365,1424940,1149285,1001130,520710,487560,1041420,700740,1668465,2075700,1195185,1417545,828750,919020,0
10,420495,92055,43605,104550,1671525,1564680,1306365,555135,142035,100725,793815,1752615,291720,122910,116535,64260,97920,131580,180030,124950,72675,74970,606900,161415,62985,77265,73695,83640,0
11,4866675,1554735,1362465,3435105,3906090,3931590,1749045,1641180,3338715,3060765,4278390,871335,611745,2204730,1881390,2071620,1057995,1040145,2598450,2899095,2912100,1397400,1937490,4721580,3165825,2696880,1062840,954720,0
12,1588140,563040,583440,488325,1376490,3452445,1926525,1421880,1367565,711195,1412700,1952280,591600,664530,1182690,627045,387345,870570,680595,923100,1974465,684930,1279845,1724055,320535,437580,1102620,368985,0
13,5652840,4911045,3473610,3055410,2634405,2104260,2128230,1786020,1593495,1236240,2390370,7410810,3402720,1829880,1486395,1650360,1726860,1790610,1573605,1567995,1735530,1268625,1804380,7326660,2452590,2507160,5054100,2901390,0
14,1413210,1048305,1176825,1284945,1800300,2059125,1797495,1685550,1675605,1365270,2209830,2693565,1434885,1481295,1681980,1612365,1506285,1725330,1513935,1452225,1839315,1498125,2014755,2298060,1239045,1370115,1626390,1613895,0
15,1057485,224400,184620,696150,1512405,1253325,812430,652035,665805,567375,1477215,469710,220065,631125,611235,660195,180030,199665,504645,446760,380715,147645,235365,1049325,402135,351390,64770,64770,0
16,54315,263670,199410,116790,79305,32130,32385,32385,32130,33660,28050,3008745,1869405,1643475,1526175,1467015,1657245,1996395,2656845,3056940,2467380,2695605,3760230,3716880,2160870,1700340,1495065,1398420,0
17,1499910,1207935,1264035,1194930,1523115,1474155,1420350,1650105,1312485,1503735,5734185,2979165,1129650,1118685,1208190,943245,1294125,1208700,1594260,3423885,2370480,1398930,2236860,2503335,842265,1155405,1422390,1607265,0
18,965430,732870,894795,1051620,1005720,1060800,915195,1207680,1762815,871335,1620780,1874505,706860,716550,741795,671160,900150,1554735,732870,746895,703545,618375,1147755,1278825,533460,849150,1670505,991695,0
19,2689230,2709375,2372775,1634550,2561730,1921680,1007760,358785,441405,1107210,2356710,2688720,1381080,709155,819315,992205,507450,639795,695895,462570,570180,679065,3523335,659430,403155,538050,437325,1012350,0
20,547995,65025,108120,414120,306765,491640,227460,489600,470475,135150,873630,102510,255,6630,431715,68340,150960,1652400,98940,6120,226185,1246950,1749045,863685,521985,1273215,184110,22185,0
21,0,0,59925,33660,379950,109140,21165,44115,334560,91800,143310,816255,437325,287385,111435,121125,383265,614805,654330,265710,161925,316965,1061310,459765,18870,14025,594150,258570,0
22,1591200,721395,398565,342465,565590,754800,985065,1179630,953445,429165,1126590,949620,416160,1138320,2058360,1270920,1409130,1056210,396270,233070,377145,362610,1036320,1475940,630105,722415,774435,321300,0
23,496995,15045,0,0,4845,391680,550545,1608540,3014100,515100,1109250,0,0,0,1201305,8160,77520,7939935,950895,74460,15555,0,0,443700,100470,56100,2708100,453900,0
24,2755530,1957890,1887510,1289790,822375,808860,764235,669630,647955,550035,1208445,2552040,991185,1032495,1539435,1241595,1092165,1274235,1248735,1145970,1063095,990930,1749300,2151690,1049835,933300,913410,687480,0
25,3171435,2444175,1873740,2399295,2237880,1252815,1029180,919530,1831665,1775055,2170305,541365,290955,568140,1381335,549780,609705,1182690,2296020,1716150,904230,564570,1068450,3980040,1320645,443700,477360,353430,0
26,1370625,847620,705585,818295,1393830,1757715,1502715,1304070,1398420,1362210,2207790,1824015,977670,1113585,1462425,1353030,1282905,1494810,1164075,1003170,1035300,937380,1501440,1855125,949620,896580,936360,1050855,0
27,182325,88995,139485,558705,393210,249390,197625,220065,146115,109650,361590,335835,126990,235875,318750,149430,147390,111945,86955,108885,111690,122400,410295,381735,99450,90270,54570,33405,0
28,1233180,1446105,1116900,1092165,1126845,957525,799935,775965,910860,896835,1423920,2329425,711450,580890,568395,562530,537030,573750,582930,500310,460275,559215,932025,1859715,754545,768060,1084005,624495,0
29,2066520,1355580,1322685,1901790,1615170,829515,633675,656370,827730,1593750,2597685,877200,609195,1204875,471240,589815,1401735,1307130,736950,648210,915960,788970,1536120,2394705,726750,869805,1535100,976395,0
30,571965,248370,313905,550035,1031730,755820,534225,401625,410295,471750,1214055,645660,314415,403665,365925,223380,159375,154530,160395,147135,187680,299625,437580,818040,388620,327420,317220,309570,0
31,2044080,2123895,1636845,1067940,1121745,1685805,1776075,1559070,1331100,996540,1512405,683655,313140,378675,552075,507960,369750,379185,492405,470220,301155,384030,901170,490620,350370,424065,736695,702525,0
32,1119450,853230,709155,688755,1423665,1619250,1432080,1221450,1047030,827730,1594515,2284035,965430,1012860,1171215,941715,832065,708900,682635,709665,821610,837930,1616700,1470075,590580,725730,730320,621180,0
33,1673820,1173765,1032750,1381335,2013990,2419440,2046630,1623840,1853340,1687845,2581110,2192235,1073550,1235730,1564425,1326000,1345125,1485630,1062585,992205,1177335,1113585,1935705,1938000,1084515,1135260,1480530,1493025,0
34,2890680,1497870,982515,1139085,2221560,3055410,2985540,2568615,2236095,1906380,3274200,2935305,1949220,2722890,2171580,1597830,1577685,1597065,1718445,1790865,1967580,1882920,3069945,3163785,1976505,2205750,2068560,1956870,0
35,4812105,3865800,2956215,2525775,3199230,3119160,2583405,2656590,3022515,3335400,4567815,4572915,2824125,2398785,2540820,2418420,2557395,3205095,2550510,2445195,2662455,2771085,4134060,3563115,1792905,1727625,1696515,1894650,0
36,2331975,1002405,767805,1064370,1696260,1522095,1020255,1092165,914940,720885,2295765,1384395,507960,663000,1063605,935085,639285,388875,465630,453135,480675,389895,960585,2012970,706860,537030,374340,360060,0
37,1898220,2516085,2302650,1024845,664530,1205385,2121345,2123640,1755165,1495830,2431680,2581620,1029435,1330335,3195660,2300865,2114970,2864670,2670870,2713965,3462645,2322540,2792250,2903430,1294125,1183710,2475030,1244145,0
38,1157445,696150,759390,1128630,1868130,2117010,1106445,670650,1059525,1230120,2723400,2153985,758880,823140,869040,1046775,1439475,1280610,990165,877455,744090,296820,421005,1118430,605370,625260,612255,602820,0
39,1766640,1603950,1812540,1851555,1645770,1455285,1645770,1779390,1869405,2070600,2827185,2175660,1559580,1929330,2339115,2014245,1718190,2055555,2323305,2368695,2765730,2644095,3081165,2389605,1889040,1895925,1770975,1842630,0
40,281010,113475,49980,24225,115515,980475,640050,270045,368985,478635,789735,179775,62730,81090,201450,135150,261630,261630,178245,47685,54570,27285,43095,196860,100215,10965,7140,95880,0
41,918765,45900,9690,2550,1021020,1381080,929985,409275,142545,123420,700740,569670,112965,52785,77520,709920,665040,730320,575280,574005,597720,451350,1058250,1540455,511020,534735,846855,577065,0
42,2332230,1864050,2058615,1685295,1842885,2068305,1442025,607665,471240,456705,1321665,2411280,744600,665550,909585,746895,519180,568650,385815,324360,872865,551565,749445,2644350,595935,326145,594405,763215,0
43,1843140,1882155,1916325,1805400,1405560,1206915,1438455,1322430,895050,1158465,2918475,1162290,852975,1416780,551055,415395,1023060,1324980,549270,408255,528360,825180,1422135,846090,691560,1704930,1035045,1097265,0
44,781065,500055,1122765,655350,474045,561000,615315,585480,375105,949365,3464685,829260,450075,1781685,1505265,822120,1608795,1349205,501075,727005,771120,698190,1547850,1970130,470220,1701870,1252560,1172490,0
45,611490,286875,181815,149430,95370,45135,37485,61455,36720,14790,38250,419730,68595,45390,0,0,0,889185,374850,45135,42330,27030,72930,431715,43605,4590,28560,1785,0
46,2330700,1841610,1975740,1778370,1583805,1473390,1286730,1226550,1429275,1371135,2324325,2112420,877710,1135770,1790865,1513425,1299225,1286730,1019745,940185,1229100,1329825,2272305,1798515,751485,783870,836145,1326765,0
47,7128525,8065905,4897530,4231470,6179160,3641400,1607520,2100180,3504465,3460095,7462575,1588905,111435,285345,4162365,4776405,6159015,3262470,2760630,5724240,2445705,2073150,5943030,621435,27030,51765,874905,804270,0
48,1898730,1689630,2069580,1473390,1149030,1142655,966195,703800,926415,988380,1890315,3017670,1579980,1329825,1237515,1144440,1023060,1271430,1556520,1415250,866490,1110525,2682090,1811265,1319625,1187025,808350,937380,0
49,162945,582420,388365,171615,103530,234345,279480,220065,174930,173400,478380,660450,145860,156060,206040,132600,136680,237660,186660,140250,234090,1086810,1586100,320280,130050,117810,271320,290700,0
