,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2372010,2656335,3473100,4269465,7023975,5811960,4237080,3136245,4284255,5756370,6011880,2907000,682635,1105680,3570765,2171325,2496195,3686280,3068415,2381700,1191105,510510,1348440,4135080,2123895,1536120,1159995,1606755,0
1,1386435,920805,2328660,2237370,1722525,755820,538815,410805,240210,268770,3022515,3512370,453645,19890,62475,710940,48960,145350,813450,810900,1043715,131325,449055,0,0,329460,59670,3315,0
2,4459440,3726315,1831920,1480020,2823615,2853195,3317805,3672255,2362830,2747115,5547015,3769410,2370225,2305455,2756295,2523990,2217735,2426070,2497980,2066775,1929585,2465850,4542825,2224875,1284690,2496960,3586830,3031950,0
3,2278680,1248735,228990,190740,1316565,2023425,2249610,1579725,869805,788715,1904340,1989000,375615,1004955,2977635,976905,990930,1989510,1351245,1091910,1295655,1078650,2333760,1148010,460530,511275,135915,37230,0
4,6763620,3969840,2445705,2605590,3747735,4353870,4538235,4038180,3563370,3184695,5001825,5367240,3057960,3627120,2925870,2070855,2135115,2200650,2278170,2377875,2206770,2488035,4751415,4197300,2343450,2261850,2395215,2233545,0
5,2045100,1111800,838950,941970,1875780,1454775,994755,827730,827985,827475,1637865,1753635,858075,654075,653820,526830,455940,516120,640305,564060,463080,537030,1047285,1573860,845580,777240,776220,735930,0
6,586500,153000,131580,656370,2208300,1954065,1120980,894540,1348185,1100070,2031840,521475,275145,737460,578850,775965,168810,148920,739500,588795,559215,242250,316965,1468290,530910,545955,169320,172890,0
7,2552805,1883430,1397910,1482825,1116135,314415,431970,1481040,1086555,1019235,1894650,2002260,428910,87465,98685,136935,135405,152490,206040,736950,420750,958800,3686025,672945,228990,246075,224655,188445,0
8,55335,250920,233070,829770,625515,978690,1410405,1280355,741540,108630,264945,1171980,105570,105315,1542750,1373685,1370370,1270155,840480,254490,313140,519180,623220,983790,139485,57375,400350,82620,0
9,2851920,1630980,1474920,1372410,2080035,2712945,2632620,2343960,1030710,687990,1994355,2537760,2184330,3202545,2328150,2224365,1752615,1503735,876945,818805,1639140,1198500,2464320,3057450,1906635,2263125,1534845,1635315,0
10,648975,163710,100725,236130,2368440,2272815,1885215,780045,245820,159120,999855,2282250,449055,212925,179265,113985,174165,234600,315180,212415,134640,128010,912645,216240,104805,123165,120360,133875,0
