,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2099670,2399550,3262725,4167975,7093590,5692110,4157775,2982225,4157010,5979495,5974650,2738700,586500,976650,3484575,2116500,2459730,3711015,3026595,2270775,1081965,507195,1350225,3958110,1994355,1450950,1129650,1545810,0
1,1745730,1130415,3106155,2781795,2059125,987870,605625,514080,374085,375615,3563625,3936435,532950,22695,61455,906525,68085,185895,1071000,1078905,1235220,115770,440130,0,0,440130,59160,5865,0
2,4120035,3435615,1726605,1404285,2691270,2673420,3269865,3627375,1968855,2328915,5170890,3388440,2190450,2169030,2652255,2466870,2138175,2131545,2212380,1907145,1786785,2116755,4006815,1920660,1124550,2398275,3331830,2786385,0
3,3802050,1935960,368730,270300,2136135,3511860,3791850,2587995,1508325,1318350,2760630,2696625,613020,1762050,4885035,1506285,1583040,3242580,2101455,1799790,2009400,1641435,3372885,1773525,825435,940440,206805,53550,0
4,6206700,3517215,1943100,2046120,3344325,3804855,4152165,3700815,3264255,2963355,4472955,4646865,2667045,3124260,2426070,1893120,2049435,2004810,2214675,2334780,2214930,2495940,4427055,3624825,2143275,2131545,2165715,2158065,0
5,2030820,1088085,868275,1012350,1883175,1456560,995775,945285,926160,840735,1620015,1657500,802740,642090,609960,571965,488580,553095,655605,579870,467670,525810,1010055,1565445,827475,781065,769590,791775,0
6,670395,164475,121380,655605,2365635,2217990,1218900,923865,1327785,1166880,2123130,574515,260355,628575,611490,811410,160140,140250,741795,598485,565845,215985,268770,1349715,549015,550545,159375,143055,0
7,3582495,2649195,2071875,2249865,1611600,420750,512550,1713600,1263270,1278060,2258025,2746605,579615,114750,138210,177990,142800,200940,282540,915450,490620,1017450,4199850,860115,325635,313140,293505,230265,0
8,81090,237915,183600,806565,617865,961095,1598595,1317585,748425,99450,308550,1368330,126990,115260,1452990,1426215,1573605,1480785,929730,258060,337875,559215,670650,1307895,162945,80835,428910,115515,0
9,2881500,1754400,1624350,1508580,2060400,2855235,2782815,2452335,1048560,736440,2094825,2699685,2407455,3262470,2372265,2377365,1814070,1693455,945285,874395,1917345,1279845,2483190,3413685,2227425,2658120,1685295,1766895,0
10,814980,226185,140505,264945,2736150,2965905,2380170,909075,350370,247350,1160505,2662200,568140,282795,218790,155295,211395,279225,331245,260355,197880,167535,964665,290955,150960,191250,169830,195330,0
11,5774220,1938000,1761540,4601475,5340210,5406255,2439075,2200395,4671345,4333725,5532480,1334415,985065,3066885,2905215,3355800,1735530,1675095,3910425,4428330,4570875,2300610,2726460,5626065,4235550,3882630,1838550,1741650,0
12,2256750,820080,998835,693090,2332230,6153405,3802560,2823870,2739465,1323960,2051220,3242835,1073550,1209720,2479875,1377000,756585,1679940,1405305,1922445,4040220,1354815,2063460,2834070,690285,820590,2149140,632400,0
13,7598745,6285240,4787625,4476015,3794910,3190050,3054135,2650725,2135625,1704420,2832795,8815095,4829955,2545665,2231760,2437800,2453100,2540055,2165205,2258280,2259555,1755930,2302650,8730945,3386145,3479475,7394745,4442100,0
14,2631600,1966560,2136135,2368950,3318060,3736260,3273435,3064845,3159960,2691780,3756150,4039200,2707335,2743290,2966925,2622420,2671635,3232890,2859825,2720595,3257880,2839680,3506250,3771195,2310045,2463810,2891700,2930715,0
15,1311465,277950,220065,891480,2227935,2178210,1293870,867765,955995,917490,2092530,668355,319770,773415,816765,917235,200685,209355,724200,688755,620415,199155,300645,1353030,548505,522750,133875,111690,0
16,80580,488835,363630,166260,85170,41565,41565,41565,41565,49215,47940,4856985,3140325,2895270,2477835,2241960,2663220,3259155,4157775,4629525,3810210,4280685,5596485,5787480,3884925,3257880,2799135,2700960,0
17,2234055,1605990,1978800,1994355,2461515,2424540,2045100,2545155,1836000,1791375,5933850,3836220,1572585,1420860,1677645,1328040,1836510,1730940,1876290,3635280,2643075,1674075,2662710,3135735,1149030,1660815,1920660,2019855,0
18,1384395,1148775,1525920,1809480,1816620,1923975,1732215,2063460,2719320,1750065,2658120,2805510,1460640,1332120,1460130,1215585,1609560,2592075,1373430,1279080,1371900,1259700,1912245,2139960,1119705,1536630,2524245,1630725,0
19,4860555,4968675,4148085,3065355,4426290,3443775,1638120,565590,594150,1621035,3244875,3577140,1919130,1201305,1168665,1454775,748425,1027140,1236240,710430,858840,963390,5263200,1281630,745620,925650,905250,1871190,0
20,921060,227205,165750,717315,441660,524790,332010,708390,663255,251430,1087065,192270,0,16065,792795,164475,310590,2697900,229755,1275,194055,1764855,2487015,1323450,802485,2068050,312375,53805,0
21,0,0,69870,47940,623475,134385,36975,63495,479400,179520,222870,1034025,578850,469965,123420,110415,402390,876180,825945,351390,230520,367455,1324470,614550,38760,12750,675240,352155,0
