,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,30100.79,32729.877,36732.895,37669.848,32537.652,32056.24,30889.303,34138.477,25950.637,35705.285,32442.053,32406.725,32974.914,31467.434,39746.523,38826.383,37127.746,35657.797,34192.67,33369.684,29501.875,29602.322,39460.0,36142.297,34800.19,33790.996,33588.61,0
1,38039.69,34171.793,39020.336,40280.938,41574.207,40693.598,34300.48,38520.598,42795.875,36019.5,37982.81,38904.133,36457.27,37395.895,41077.355,37878.91,34016.92,36469.688,39285.574,37585.207,39048.895,42679.992,41444.047,39088.734,34388.855,29054.16,29227.576,0
2,37078.28,43995.574,50767.055,40996.863,40003.75,39088.688,40943.1,42234.797,49882.527,37606.832,39886.93,38142.02,35075.406,46005.766,35653.08,36787.855,38184.08,37130.66,36939.973,33865.133,31532.854,34665.168,40153.68,41575.98,35428.324,26664.97,30313.766,0
3,37886.934,37573.773,35563.168,36116.715,39350.832,46142.797,39403.8,39917.227,42467.21,38954.184,39127.273,37170.504,34311.23,39601.15,40427.934,39952.41,41586.54,43957.875,42109.746,44628.105,42895.895,36563.527,33522.547,36197.83,36164.168,38562.477,39700.836,0
4,35040.754,34792.93,32132.518,36899.184,39146.3,39101.94,38377.945,34329.605,39830.31,38641.69,39536.58,32858.99,40014.773,37459.39,34233.195,38580.773,37803.586,40313.688,38860.5,38017.547,38896.086,35507.375,35131.316,41456.0,36458.457,38068.906,39229.777,0
5,45753.574,42699.777,42077.156,42317.01,42981.52,37090.242,36403.273,37532.76,38950.89,40056.766,44344.793,38531.855,35015.484,37054.695,38774.504,39819.76,42383.113,40083.56,44797.906,39953.914,34675.91,34944.727,43330.043,38533.297,40902.004,45499.258,37682.246,0
6,34818.64,41364.84,32879.754,34413.33,39496.312,41534.473,42492.113,38230.15,39306.95,36091.0,39440.805,37491.918,39005.824,34728.51,35289.87,34759.71,37669.125,34854.582,33768.84,32502.232,32597.203,37603.08,38086.855,35996.18,40246.598,37502.824,40775.36,0
7,37716.56,41150.434,36549.918,40231.152,36879.11,35854.94,41081.965,39236.094,38043.9,37777.305,43935.152,41633.523,37970.504,38045.785,32061.053,32380.994,34774.57,34162.047,36159.785,36406.152,36688.176,34144.902,39893.9,37775.766,38717.688,38058.49,40885.312,0
8,41359.94,31212.355,35415.297,38431.53,40090.477,34717.426,36830.316,37307.33,34722.004,31126.12,38503.707,30369.521,30727.756,38034.75,43345.246,44770.895,41374.297,45559.0,35851.055,33963.14,40979.5,34464.93,43949.402,34056.71,29000.883,37925.58,31762.936,0
9,34068.82,32012.678,35869.965,43155.59,38540.957,41859.5,37381.465,38241.773,43846.723,34655.83,40969.41,33216.477,39420.35,43021.473,34927.176,36347.684,32492.668,38186.23,46045.164,36403.61,36182.16,39834.055,42204.676,37145.555,33082.83,33336.48,41220.395,0
10,36563.215,36830.715,34491.613,38050.367,44160.11,45037.773,43539.566,39384.117,42107.863,41182.492,40477.75,41296.223,39792.195,35481.95,39314.54,35360.676,33948.88,36455.555,40910.336,40478.992,32373.67,39674.332,40050.246,37849.676,52075.656,40749.32,42287.527,0
11,42013.727,39965.145,37355.977,37674.59,33873.703,38657.35,44184.17,38373.72,41236.438,39362.223,41750.91,42261.895,39493.188,34653.523,40945.785,42186.47,40698.45,36096.133,37243.55,37666.812,39203.926,41980.914,42521.125,38013.29,40148.805,41685.11,42099.42,0
12,40636.043,38038.87,39411.227,39993.39,36073.73,37629.1,37768.66,37867.273,37324.484,45347.418,47173.117,39113.957,40752.1,39963.32,40235.508,40678.742,39508.71,47667.066,41805.312,39996.23,42687.496,42026.78,41540.68,40453.992,40905.766,38216.793,38770.043,0
13,33808.723,36308.973,37591.266,36127.812,35989.312,34061.586,33448.17,33031.99,33318.035,36052.61,35874.258,37317.047,32910.66,35393.984,33068.324,36074.957,30940.82,35414.83,36548.29,38243.332,35994.61,31592.72,36558.023,39963.77,35758.406,33992.316,33099.54,0
14,35924.844,32156.727,30291.482,29527.105,32795.363,34553.87,33720.76,33456.62,31636.734,31280.838,33426.2,29479.365,34513.375,31265.53,33676.297,33554.332,33032.605,30150.92,36471.95,32390.395,35397.035,31182.64,32934.51,33826.54,35445.27,35489.945,35781.79,0
15,38604.87,42099.08,37161.21,35927.42,35915.832,38762.34,41155.812,38660.76,35678.633,32267.283,35708.875,38172.914,39753.004,37795.83,36335.004,37185.71,38754.34,36599.29,39909.23,37319.297,34208.035,37301.918,36887.426,34156.043,36370.965,33215.355,32286.115,0
16,39956.08,40637.207,39788.535,43174.023,27951.635,13602.095,20636.607,10610.135,60334.555,30968.156,40138.65,37155.387,37162.67,43960.062,42401.62,38109.082,35167.387,35814.633,42402.312,41089.598,40475.23,36127.695,42537.523,36994.805,46471.14,42746.23,35603.965,0
17,38398.1,40858.09,40583.914,43291.85,39960.22,41764.633,41593.62,45056.918,40827.46,41350.492,46137.086,45688.37,43392.832,46291.03,47616.21,42587.836,39677.566,39246.547,41849.35,41864.93,43905.668,45572.363,45366.207,40233.703,39692.656,41904.6,38351.266,0
18,38454.883,41456.395,38950.836,36988.035,36688.566,38391.715,41447.832,36778.715,33769.855,34018.46,35495.594,40525.227,41422.625,38782.145,40088.28,35327.16,40832.15,37867.668,36209.25,37819.906,37143.38,34776.707,40128.043,37995.145,35341.24,40317.793,43311.96,0
19,45648.43,36798.027,42181.234,45838.21,43431.688,41776.9,39618.04,39593.85,38849.016,41420.07,42368.395,38593.02,41421.51,37133.66,41358.29,44042.418,39211.04,40283.75,34157.016,39549.707,41434.31,39615.535,40243.3,35307.066,44737.59,41813.984,39132.465,0
20,35050.51,38163.72,37340.57,36706.586,37100.25,39586.402,37562.574,39909.613,35186.547,32371.953,37838.6,34935.047,32451.586,39546.395,37871.484,34525.156,41445.32,39315.54,35366.867,36678.19,38263.992,37697.125,39812.094,35841.84,38341.69,36212.36,32595.783,0
21,19895.594,31859.213,28616.896,39545.734,35067.438,26937.496,34047.934,30729.697,45804.47,45237.105,40602.13,37135.723,37096.098,38127.883,33247.3,34232.504,39983.797,44070.72,43608.715,40268.64,38974.043,37084.64,41672.656,30879.09,31231.516,39486.58,41024.16,0
22,39534.816,35673.246,34693.844,40665.387,42334.4,41148.11,38330.375,36450.113,33693.69,36751.03,40058.87,36444.04,41617.004,46611.9,41324.094,41111.79,43715.95,42644.363,38354.316,38101.6,40523.812,40105.617,38947.85,41357.367,41808.203,44268.727,37812.695,0
23,35388.555,32903.305,24769.902,17316.541,43224.652,40317.37,42206.617,40476.14,39838.824,34818.02,38479.883,0.0,0.0,46637.414,44130.793,33646.65,39054.992,41142.1,35931.402,27840.096,22992.05,22630.232,47504.2,35024.67,36527.418,37659.086,42333.113,0
24,35756.625,40088.707,38094.11,40515.918,40095.082,39851.88,44945.01,37451.23,36446.332,35987.95,40227.97,37826.55,37309.598,36467.844,36522.254,33266.965,36335.87,37138.285,37763.312,40193.742,38827.594,36826.055,36521.88,35326.562,40063.363,42228.69,40469.258,0
25,34680.527,36966.74,36932.266,36715.527,41155.03,43830.543,41806.543,37037.387,37110.18,39274.965,40036.12,34166.98,40674.58,43999.438,40155.234,34102.996,37753.773,43893.652,41326.285,39183.754,36077.332,36030.81,43530.48,38850.363,40089.883,36070.223,40032.453,0
26,41550.234,38628.31,36261.7,35849.863,39225.566,37979.523,37127.71,35224.855,35912.52,37023.875,35126.21,40577.65,40909.28,39557.37,43945.504,46447.586,40080.02,43882.508,39194.594,41041.117,39837.58,39655.113,45403.938,41145.336,40339.73,38494.26,40909.195,0
27,41007.96,37764.492,36184.883,39388.0,40469.16,38558.04,38028.36,40117.406,40175.793,38263.56,43861.984,40540.38,44553.45,48581.17,41467.527,38239.83,36618.2,40462.94,38351.45,37646.293,39037.84,41750.93,47533.863,33860.58,34240.18,39410.883,37713.742,0
28,34870.918,35955.5,36173.07,37275.46,37454.664,36014.1,36142.527,38595.67,34891.36,35840.863,40858.402,43273.055,40585.77,39463.97,36042.64,36124.58,38638.77,37317.277,40786.773,35750.04,39053.42,41980.344,47864.137,40667.305,40056.32,38380.938,37440.37,0
29,45763.906,40275.273,40483.465,40894.234,42446.96,38361.65,41991.066,43354.062,46414.145,40004.715,40710.055,37973.535,38124.824,40556.523,33710.297,32251.318,40304.82,41863.81,39974.21,40254.684,42072.426,37603.188,43211.39,39796.76,39119.7,37626.02,37759.152,0
