,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2092785,2386035,3278025,4115190,7033155,5664060,4088670,2904195,4097850,6005250,6054720,2475285,564060,1033260,3464430,2058105,2316420,3721470,3063825,2322285,1088340,474300,1300755,3901245,2022660,1469055,1126845,1540200,0
1,1876035,1299735,3407820,3110490,2314125,1061310,764235,567120,420240,417690,3885180,4269210,579360,28305,92310,1053150,71655,219555,1140870,1107210,1410660,136935,486030,0,0,461805,94605,6120,0
2,4256205,3449640,1803360,1438200,2795310,2811885,3382830,3803070,2136135,2528580,5426655,3599070,2235075,2157300,2725440,2430150,2130015,2294235,2336310,1971915,1820700,2373285,4456635,1956615,1145715,2533425,3601110,3033990,0
3,3958110,2137410,394485,286875,2201160,3596520,3889260,2594625,1519800,1311465,2841720,2917965,669630,1845180,5017125,1514445,1614405,3372120,2262360,1856145,2033115,1620015,3323670,1788315,830535,934320,213945,55845,0
4,6369390,3533280,2297550,2518125,3691125,4313325,4536960,3963720,3519765,3204330,4791450,5109690,3070200,3590145,2831265,2012205,2155005,2267205,2335545,2510475,2316165,2604825,4716480,4136610,2404395,2353140,2404650,2200650,0
5,2060655,1111290,876690,1005210,1890570,1424940,964410,916470,912135,839715,1641945,1609050,783105,661980,633165,591090,511785,588540,659940,581655,501330,531420,1016430,1559070,820590,782340,774945,809625,0
6,725220,202215,148410,740010,2592585,2281995,1245165,917745,1174275,1067940,2099415,591855,279735,694875,630105,789990,173655,151725,729555,614295,618885,262140,330990,1434120,548250,561765,200940,195330,0
7,3719430,2825400,2193510,2352885,1672035,460530,611235,1916070,1434120,1395360,2492370,2919495,663000,120360,130560,172125,133365,205275,294780,1096500,592620,1152345,4721070,966450,351390,327930,313395,229245,0
8,93840,241485,186915,854760,676515,1004445,1674840,1410405,773415,82875,283560,1448910,133875,123165,1601145,1463955,1587885,1521330,963900,264945,347565,600525,722160,1369860,139995,57885,496740,103020,0
9,2897820,1727370,1623840,1511895,2058615,2817240,2807805,2532660,1027905,705330,2059380,2686680,2418420,3410115,2471205,2408475,1882665,1679940,973590,914430,2005575,1320900,2562750,3485595,2250375,2651235,1737315,1819680,0
10,861390,257550,146115,277950,2964630,3142110,2716260,1067175,359805,245310,1115880,2688720,571455,275145,224145,160650,240720,289170,384030,282030,194310,180795,1169940,317985,158100,193545,190230,212670,0
11,6138360,2174385,1979310,4752945,5578635,5679360,2645370,2406180,4849845,4566285,5792325,1318605,1007250,3272670,3110490,3608760,1790610,1690140,4106265,4589235,4769265,2370735,2758590,5776770,4372995,4066995,1900005,1756950,0
12,2358750,922590,1000365,727260,2336820,6093225,3883395,2865435,2829735,1433865,2203710,3292560,1055190,1213545,2458455,1367310,741030,1655460,1327275,1788315,4058580,1402755,2119560,2896035,710175,838695,2209320,639795,0
