,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2085390,2441370,3155115,4027980,6927585,5455725,3989730,2913630,4163640,5796915,5733930,2661180,623985,1018980,3367785,2083860,2430150,3585300,2925105,2246040,1072785,481440,1299735,3870390,1983135,1442025,1113330,1552950,0
1,1762560,1185240,3119670,2787660,2149650,1019490,601290,520455,385050,362100,3509055,3929550,547740,23205,75735,935850,67065,180030,1121745,1094970,1312485,116025,412845,0,0,433500,62475,5355,0
2,4068270,3435615,1705185,1351755,2677245,2651745,3216570,3525120,2037450,2354160,4968420,3368295,2223600,2221560,2650470,2378130,2095590,2137920,2211360,1892100,1728645,2126955,4002480,1917600,1089360,2293470,3343560,2793780,0
3,3844890,1980585,365160,268515,2151435,3510330,3751815,2605845,1520310,1331100,2744565,2731050,638265,1773525,4836330,1538160,1603440,3260430,2140980,1803870,2025465,1646025,3295110,1766640,817530,947580,215985,60180,0
4,6147030,3540675,2055300,2224620,3433320,3986670,4267425,3842085,3370845,3073260,4565520,4755240,2828715,3360645,2637975,1995885,2114205,2128995,2300100,2428875,2301120,2574990,4447965,3823725,2252415,2208300,2247315,2195295,0
5,1981860,1061565,836145,957525,1946160,1541985,1026375,890460,846600,785145,1569525,1658265,814470,643365,646680,546975,437835,508725,630360,589050,470985,539580,1031475,1592475,850425,767295,733125,710685,0
6,632910,161925,132600,667335,2285565,2191470,1160505,908820,1345380,1126590,1997670,531675,261630,672180,612765,802740,167025,144075,741030,604860,563550,232560,289425,1394085,547740,555135,163200,147900,0
7,3542205,2659905,2077230,2233800,1596045,422790,508470,1712835,1291065,1309935,2277405,2716005,574005,114495,140505,173910,144585,200940,281265,899130,489855,1044225,4167465,861135,329970,315690,297330,228480,0
8,78795,245055,185385,846600,609960,891990,1406325,1115370,666825,88740,300390,1133220,123165,109650,1356600,1313250,1344360,1298205,868785,241485,262905,463590,554370,1168155,144330,71910,363120,107865,0
9,2918985,1755420,1620780,1514955,2087685,2842740,2775675,2482935,1054680,724710,2050455,2690760,2419440,3290775,2360025,2353650,1837530,1689885,927435,864195,1913265,1288260,2496195,3369825,2193000,2645115,1713855,1800045,0
10,848385,230010,144075,275910,2920005,3035010,2490585,932280,364395,253980,1183965,2772870,605880,286365,215475,153000,223380,286365,349350,270045,206040,162945,999090,300900,154785,189210,172890,196605,0
11,5461080,1814325,1653165,4427820,5094645,5181855,2424030,2214420,4504830,4210815,5371320,1268370,936360,2953665,2776950,3210705,1699065,1641690,3791595,4256715,4386000,2303925,2698410,5304255,4094790,3768900,1795200,1692180,0
12,2255220,828495,990420,769080,2383230,6033810,3769155,2866965,2813160,1398930,2080800,3237480,1085535,1254345,2527560,1416270,768060,1663110,1394595,1919895,4089945,1370880,2036430,2802195,681360,837930,2188155,664275,0
13,7290195,6218940,4743510,4309245,3735750,3115590,2999565,2610945,2089215,1653165,2699430,8425710,4664715,2525775,2202180,2449785,2377365,2522460,2103750,2145825,2218245,1714110,2233290,8365275,3215295,3285675,7208085,4232745,0
14,2592840,1974210,2064735,2282505,3206880,3644970,3251250,3058725,3123495,2719320,3709485,3923175,2663730,2757060,2965905,2629050,2667300,3219120,2823870,2674695,3190560,2775675,3398640,3728100,2280465,2453865,2916180,2921025,0
15,1291830,275655,200175,842265,2096355,2088450,1273725,878475,960075,902190,2041020,652545,314670,778260,790755,889950,190230,208335,706860,659685,603330,207060,300645,1334670,533205,488325,135150,111435,0
16,66555,451350,340935,156315,70380,26520,26520,26775,26520,33915,30090,4780740,3097995,2838405,2415870,2098395,2547450,3202290,4103715,4608105,3739575,4134570,5452410,5621220,3679140,3108195,2645370,2552040,0
17,2254710,1642965,2022150,2003280,2504355,2415870,2082330,2564025,1811520,1795200,5913195,3787515,1560345,1459110,1707225,1407090,1887255,1705440,1919130,3679650,2647410,1719720,2674440,3231615,1174530,1658520,1921935,2043570,0
18,1373430,1111800,1485885,1775565,1824270,1914285,1727625,2068305,2657355,1695750,2530875,2800410,1425705,1319370,1438200,1190085,1562895,2592330,1401735,1321665,1409895,1240320,1905870,2105790,1076355,1492515,2451570,1611090,0
19,4850355,4951080,4150125,3110490,4501515,3471060,1637355,589050,657645,1637100,3242835,3524865,2010165,1205640,1178100,1542495,759900,1037340,1233435,701505,902955,1036065,5207100,1251540,742305,916980,902190,1876545,0
20,956250,229755,153510,705330,453135,556665,344250,732615,717825,255510,1169175,194820,0,17340,815235,167025,316455,2684640,227970,2550,205785,1844415,2534445,1350480,860370,2107830,321555,54570,0
