,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,2063970,2464575,3111255,3953265,7053300,5551860,4103715,2971770,4175115,5744640,5748465,2744055,615315,976650,3365490,2101200,2449785,3579690,2870025,2195805,1060035,514335,1295655,3751050,1889040,1404285,1118175,1558815,0
1,1691415,1108995,2985285,2601255,2004300,973845,547485,512040,367710,352920,3397875,3864015,523515,24480,59670,860115,65790,169320,1051620,1069470,1218645,86445,374850,0,0,396525,57375,5865,0
2,4071840,3495540,1671780,1310955,2651235,2639250,3191835,3451935,1932900,2261340,5015850,3385635,2239920,2225895,2637210,2397765,2100690,2088450,2180760,1909950,1782195,2090235,3921900,1920915,1030710,2241960,3212235,2696115,0
3,3755130,1882665,348840,263925,2093040,3434340,3694950,2576520,1503225,1326255,2731560,2646645,611490,1761030,4813125,1501950,1584315,3197190,2088705,1773780,1999200,1632255,3326475,1776840,824160,929220,210120,55590,0
4,6185790,3517725,1943610,2039490,3329535,3786240,4134825,3685515,3257370,2960295,4458930,4642020,2667045,3123495,2424285,1892355,2049945,2004300,2214420,2333760,2214420,2496195,4420935,3620745,2142510,2129760,2163420,2159085,0
5,2110890,1129905,838950,972315,2007105,1615170,1060290,915195,887910,798405,1604205,1795455,884595,670395,684165,552330,419730,532185,656625,608430,486540,559470,1084005,1654440,875415,801975,758370,751485,0
6,605370,137445,109395,638010,2113440,2157555,1127610,880005,1281630,1100070,1914540,467160,220320,669120,610470,815235,153255,125205,710685,573240,570690,210120,249390,1331610,543660,539325,147390,131070,0
7,3502680,2632620,2048925,2252670,1584315,417435,472770,1699575,1298715,1289790,2312850,2765475,561000,110670,138210,181560,143055,193290,278715,877200,492405,1095735,4298535,861900,321300,300135,286875,230775,0
8,77010,234600,165240,815745,605115,924630,1394340,1126335,676260,95370,329715,1176825,134895,119340,1304325,1338240,1364760,1240065,862665,256275,261120,469710,582420,1189065,152235,82110,346290,109140,0
9,2907255,1754655,1643730,1514190,2060400,2852940,2793780,2470695,1048305,732360,2105280,2726715,2413065,3318315,2365380,2324070,1796475,1699065,931515,863175,1945395,1268880,2470950,3389205,2229465,2666535,1687845,1776585,0
