,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,9591315,9468405,9496455,9719325,10289505,9785115,9810105,8451465,8174025,9129510,9901395,9268740,8361450,8965035,8807445,8236245,8480790,9105795,8951265,8635575,8012610,7849155,9631860,9305460,8627415,8933670,7425600,7708650,0
1,11414565,10469280,9738195,10133700,8479515,6957420,7468440,7831815,6587670,7753785,11023140,10470300,6163860,4841430,6798300,7618635,5780085,7715535,8381595,8206665,8449425,5920590,7209105,0,0,6465270,2311830,2567340,0
2,9216720,8607270,8628690,9047655,9365130,9303165,9660420,10188525,8435400,7859610,9460500,9175410,8942595,8450955,7892505,7905765,7564575,7373580,7699215,8354565,7565850,7212930,8607525,6723585,5948130,7739250,9725445,11317665,0
3,8740380,7823655,6342105,6622095,8516235,8757210,9250635,10452960,9223350,8253585,9602535,9145320,6216900,7225425,8899245,6908970,7580385,9180000,8773275,8376750,7885620,7897095,9380685,6908715,5519985,5120655,3436635,1322430,0
4,11316900,7970280,8671275,11441340,11587200,11674155,11678745,8829885,5758410,6264840,10428735,12187980,12222660,12234135,11684100,11697105,11391360,11275335,11786610,9279450,5274420,6710070,11787885,8440500,5936910,6386475,8142915,7482720,0
5,6907950,4740960,4811340,6234495,8790615,5412375,4273545,5656410,4957200,3713310,4552770,4984740,3890790,3523590,2783835,2363595,3414195,2891190,2546175,2288625,2184585,2554590,3579180,3691125,2851665,3585045,4157775,5590110,0
6,7652295,4115190,4218210,5757645,7389645,7049475,5244330,4986525,5569710,5858115,7554885,6281925,4846785,5375655,5597505,5311395,4508145,4858260,4592805,4220505,4144005,1828605,2148630,5681145,4542060,3487635,1557030,1821720,0
7,11085360,8421885,7757610,8790105,6688395,5233110,6421155,8059785,8255115,8126340,8302290,7731600,5744130,3653640,3547305,2158575,1786530,1732725,2567085,5283855,4668285,6382905,8622570,7412850,5082660,3629670,4468620,2857275,0
8,2174130,2622675,2742525,6793455,7461045,11495400,10887480,9024195,6342360,2978400,3606465,5802270,1435650,1685040,5930280,5831595,5785440,5622240,4848315,2757060,2851665,3373140,4136865,5075775,2370735,2916690,3704385,1779390,0
9,7391685,7035450,6787080,6226845,6364035,7198395,7940700,9548220,7065795,6540750,9126195,6219195,5499075,6363525,5760450,6073590,7114755,8988750,9545415,6299520,4654005,4859025,6282180,6888825,6032790,6769740,4969950,5019165,0
10,8025615,5716335,4790175,7067325,10959645,10308120,10870905,9769815,8453250,8248485,9890175,11290380,9108855,8285205,5816295,5196900,5869335,5725260,5903250,5902995,4544865,5770395,9563775,8012100,5273145,3474630,3670725,4147830,0
11,10716375,8830140,9084120,10730400,10491465,10684245,10100550,9925875,10071225,10091880,10743405,11421705,10869375,9903180,10454745,10524870,8678415,8716410,10277265,10538895,10524360,9360540,9688725,11396460,11205465,10599840,9025980,8607015,0
12,8752875,6308190,6381885,7078800,7472265,9137925,10016655,8847990,6677940,7961610,10069185,7415145,6801360,7344000,6051150,6469860,5421300,5493975,7314420,6906675,7322325,6174315,7371285,7251690,4168740,4824855,8641440,6452010,0
13,10439190,10439445,10801545,9664245,8788320,8848755,9832800,10366515,10338975,8769705,8677140,10090605,9444945,8827335,9486000,10175265,10713060,10504725,9280725,9146595,10132680,10051590,10041900,10863510,10536855,10376205,10640130,11439045,0
14,9484980,7494450,6470625,6461445,7127760,8069475,7954725,8266590,8077635,6484140,7677795,8905875,7253475,8206665,8539950,7488075,6099345,6417585,6896220,6981390,6786570,6306150,7808610,8565450,6940845,6849300,7162950,7171365,0
15,5327970,2266185,1710540,4043535,6527235,5971590,5459040,4319190,3287205,3884670,7362360,2798370,2174130,3358605,4209285,5184150,2662965,2773125,5369790,6841140,5600055,2836620,3627120,5708175,3392775,3411390,1661580,1670505,0
16,275655,918255,900915,607665,194820,205275,263925,263925,162690,132345,206295,5244330,4186845,3886965,4728465,3875490,3464685,3429240,3706170,4133550,4501770,4425015,4990350,4917675,3831120,3348915,2749665,2963865,0
17,9687960,9273585,6836805,6592770,7755570,6669270,5948130,6679215,8483085,8783730,8910465,7871340,6488730,5931810,5840010,5879535,6386475,5782380,6030750,7870830,7071150,6903870,7730325,6837315,5384835,6123570,7164990,7562535,0
18,8667195,8573610,7571715,8572080,10141095,8572845,7490370,7863435,8400465,8620785,9246300,8713095,7947840,7408515,7282545,7514595,9039240,8195445,7152750,7251945,6942885,6238830,7084410,9474015,8979570,8070750,8409390,7706100,0
19,8652915,9119055,9946785,9109365,9267210,8480025,7787700,6405600,6362250,8578200,9893490,9506655,8616960,8767665,8856660,8017965,6927330,7739760,8227065,7821615,7770360,7800960,9669090,7900920,7335585,7373070,7660455,9878700,0
20,6079965,3250230,3308625,4505085,4134060,4140180,5161965,6451500,6136575,5091075,6354345,2612220,1039380,2420205,4286805,1691670,2079780,6151365,2344980,1715130,3963975,5665080,6773310,5555685,4190160,5512590,3353760,1956615,0
21,1253325,1311720,6780450,6508110,6377295,5294565,4219740,4454850,6672585,8292855,9013230,8129145,7254240,8297955,7386585,5832615,6276315,7382250,7279485,5356020,4586175,5892030,7424325,7144335,2754510,2840445,7239450,6245970,0
22,8044995,7236900,5590620,5255040,6695280,7966200,7455690,6879135,7202730,5897640,6837315,6288555,5135445,6612660,8463450,9731310,9162405,7287900,4785330,4340610,4750650,4730250,7301160,6776880,4918695,5214495,5448840,4402575,0
23,3857640,2375580,0,0,878730,6144735,6635610,7836150,8716665,6380610,7584465,0,0,0,8660310,1481805,1687845,11388810,7284585,3967290,3135225,0,0,7780305,2235075,2872575,11220765,6212310,0
24,9732840,9646395,9007620,7370520,6321195,6030495,6898515,7545705,6800085,6206445,7473285,9234570,8367315,8623590,9429900,8934690,8499405,8438715,8293365,8564685,8920410,8280870,8451720,8790105,7630875,7347570,7795605,7944015,0
25,9577290,9985545,10706685,10405785,9612225,8776080,8220690,8240070,8951775,9040515,9541335,6262035,6052425,9366405,8373945,7281270,8237265,8806425,8900520,9070350,7803255,7555140,9061935,9628035,7942995,7001280,7098945,5754330,0
26,10660785,9545670,8238795,9119055,9327390,8885220,9150930,8676120,8908425,8973705,9535725,8786790,7523010,7484760,7558200,8068455,7484505,6913560,6771780,6828645,8222475,7602570,8711055,9492375,8256390,8309175,7977930,8171985,0
27,7045140,4048380,4319700,7372560,7004595,5912685,6847260,7114755,5266770,5173950,7521225,5643405,4938840,6381885,5856840,4937565,6428295,6193185,4961535,4904670,4920480,5442465,7641585,5761980,4378605,3922665,4154970,4591785,0
28,7278465,7972065,8509350,8337735,9813675,11091480,8640930,7424070,8500935,9756555,9874365,11324295,9013485,8534340,7537545,6719760,7382250,6671820,6840630,7997820,9148380,9914400,10202295,8174535,7529640,8162040,7800195,7780815,0
29,7721145,6242400,7243785,7004085,5253000,3727335,4467345,4020330,3543990,5938440,7178505,2588760,2093040,3470295,2212890,2858550,5603625,4375290,4801140,4083570,2818770,2781030,4415835,5947110,4910025,5889480,5628615,4161345,0
30,4764420,3786750,3864270,4385745,5115045,5353470,4783035,3481260,3666900,4861575,6330630,4340100,4113405,4799865,4174350,2582385,2516085,2732580,2365635,3065100,4255695,3726570,3564645,4781505,3367530,2939895,3671490,3760740,0
31,8918115,8951265,6965580,5757135,6628725,8785260,9808575,8853855,4348260,5356785,11925075,9887880,7773675,8361195,8167140,7583190,6885510,6597360,7723950,8308155,7527600,7715790,10557255,12047730,11910285,12416205,9585450,4020075,0
32,6785805,5740560,6651930,7970535,7492155,8013885,7839720,7394745,7497510,6325020,7183095,8305605,6277080,6428550,6358425,6492810,6771780,5802015,5645190,6088125,6040440,6153660,7415145,6932430,5384325,6159525,6044010,5766825,0
33,9040260,8521845,7818045,7878735,8324730,8499405,8067435,7989915,8178360,7651020,8201565,8480535,6413760,6042735,6877860,6456600,7146885,7474050,6792180,6990060,7023465,6758775,7852725,7721655,6919170,7087980,7742310,7163715,0
34,7867770,6250050,5501880,6497145,8901285,8482320,9069075,10452195,8028420,7346550,9106560,8641440,8006235,8581005,7769850,7741035,8093445,7754040,8442030,10286700,9123390,8627670,9911850,10476675,9445455,9505125,10035780,9262365,0
35,8922195,8408880,8140620,8259960,8863800,8370120,9431175,10744170,9727740,9664245,10571025,9514305,9374565,9883290,10042665,9449790,8302545,8854110,9916185,10922415,10047510,9347280,9824385,10708470,12123210,12279525,11272785,11357190,0
36,7788465,6791160,6537180,7204260,7279995,7981245,8045505,7514595,7961100,7609710,7900410,7847370,6650400,7157595,8002155,7208595,6443085,6007035,6600930,7576050,8233440,7200435,7559730,7581915,7005615,5764020,5435580,5313945,0
