,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,7962120,8051115,7940190,8492265,9557655,7837425,6679725,5711235,6248010,6734805,6432120,7319775,5597505,5136465,4669560,3560565,4260795,5389425,4858260,4600710,5466690,5975670,7106340,8180910,7760670,7780050,8141130,8208195,0
1,6518565,6561660,6405855,5301195,4169760,3232380,3777570,3283380,2181780,4664970,9285570,9046125,2826420,472260,1447890,4283490,1219155,2082585,4303380,4549455,3435105,1097010,2287095,0,0,2232015,383265,554880,0
2,8535105,8940300,3993300,4033335,10280835,9934800,9466875,9170055,3627120,3539655,9544650,9338355,9601260,6639435,6551460,11175885,9203205,8695755,8806935,7926165,6966345,8268375,9291435,3133950,3304800,8822235,7350885,7990170,0
3,5678595,6086595,3212745,3369060,6022080,5317260,5224440,5183895,3842340,3522825,6036105,4296240,2590290,4374780,5467455,3113805,3770685,5806605,5642130,6889845,4495395,3615135,6618270,5260395,5237190,3732180,1112820,488070,0
4,8436165,7187175,6344655,6312780,6858480,7745880,7770105,6988530,6687120,6614700,7837680,7483995,6280395,7179270,6590985,5552625,5536560,4939605,5047725,5708175,5347605,6104190,8714625,9014250,8908935,8667195,6927585,6008565,0
5,2651745,1660050,1652910,1743180,1231140,1274235,1762815,1508325,1314525,1794180,1895160,1688355,941460,837165,726240,636735,612000,983025,1321665,749955,634950,808095,1639650,1630470,1386945,1004445,918000,1512660,0
6,6652695,897855,807075,6946710,7392960,5896875,3099525,3000840,6188850,8501700,6920445,1921680,2216970,9441885,8418060,6811050,1444065,1396890,4342650,4588980,5085465,2279190,2067540,4402065,3985140,3752835,1327530,1336965,0
7,4397730,3951735,4135590,4646865,3681945,3049035,3514665,4927365,5236425,4333470,4227645,3136500,2484975,3162765,3171180,1802595,1470075,2325090,4188120,3448110,3956325,4872795,4525485,1924995,1774290,2926635,3155625,4139415,0
8,574515,693090,699465,1863795,1498125,1711560,1837020,1621800,974610,375105,664785,1112820,596445,766530,1626135,1404285,1353540,1217625,1116390,568905,615825,791775,782085,1321410,566610,610725,721140,342720,0
9,5794110,5632185,4808535,2365380,2695860,6057270,5319045,5324910,1683765,1700085,5927985,6214095,6377295,3814545,3677865,5290995,5669925,6334455,1899495,1968090,5360355,2116500,2356200,5705625,5563080,5819610,2760885,2754510,0
10,3150270,1360680,1175805,2917965,3772470,4161600,3925725,2383740,1805400,1775055,3273690,3749010,1643985,1308915,945540,781830,1100580,1821465,2028015,2312850,1996905,1363230,2128485,983790,520710,960840,732870,1062075,0
11,4180215,2484975,2484465,5844855,6730215,8686065,3903795,3844125,6856440,6420645,6228885,1939530,1822740,6191145,5593935,5690325,3479985,3576885,5989440,6908205,5990460,2390115,2482425,6433905,6177630,5350410,2401335,2460495,0
12,2339880,2271030,4678485,2132310,2130780,5548290,2660160,2451570,5016870,2165460,2179740,4429350,1705185,1830135,5441700,1575135,1467270,4186080,2194530,2092020,4186335,1721505,1859460,4732035,1263015,1239045,3063825,1123785,0
13,9503340,9279960,9124155,8891850,8208450,8193660,8855385,8851815,8393070,8474415,7953195,8290815,9250380,9444690,9393180,9759360,9366405,9187650,9566070,9785880,10420830,10433835,9576780,9442140,9932505,10520280,10472085,10049550,0
14,5490405,5801505,6309720,6119490,6219960,7180545,6408405,6202365,6819720,5987655,6150345,7684425,7623735,6813090,7186155,7952175,8795460,8146485,6820485,7349610,8011845,6170745,6565995,7417695,6655245,7876185,8056725,7243275,0
15,2630070,1761285,2022915,3235185,3472335,3807405,2676990,2295765,2723400,2517870,3655935,2066775,2214930,3869115,3595245,3498855,1634040,1152600,2204730,2277150,1909185,934575,1249245,3105900,1769445,1710030,580380,656370,0
16,810135,1475685,1239555,951660,399075,213690,328440,328440,192780,284835,436050,7595685,7996035,9366150,6752910,6344910,6845475,6359190,7041315,7546725,7561260,7722930,7994760,7641585,7398315,6825585,6728940,6578490,0
17,3209430,2992170,3806640,4022370,3766860,4262070,4314855,4431900,3172710,3373905,5549055,4887075,3046230,2940150,3590400,3176535,3855090,3679140,3186480,3719175,4005285,4262070,4407165,5715570,2949840,3043425,4496415,4149870,0
18,3849735,4402575,3030420,2026740,3009510,4607340,3304800,3043935,4404105,4833015,4769265,4074135,2867475,3026340,7772400,5956545,6168960,6050130,6369900,7238685,9122880,6811560,5275440,5306805,3785220,5068125,6928350,4422465,0
19,9112680,8136285,10597800,11920485,11736120,11376315,7882560,7794075,10273950,11333730,9017310,5773965,6362250,10386405,8101605,3559545,2908785,4375545,4951845,6377550,10654665,7863945,7403670,5934870,4293690,3747735,5426910,6724860,0
20,1898220,787440,968235,2699175,2569890,1814070,1727625,2662455,2089470,1259190,2431170,1232415,163455,417690,2704530,1694220,1584825,3783435,1033005,475065,838695,3497325,3930060,3314745,2853705,3943830,1181415,779535,0
21,108375,88740,482715,762195,3391500,1548615,2304435,3459585,3326220,3741360,3039090,2532150,2706060,1967325,666060,744345,1533825,4454850,2619360,1469310,1870170,2506395,4877130,1969875,1714875,2197590,3209175,2684385,0
22,2605080,2689995,2191725,2362830,2169795,2096100,2072130,2105025,2095080,1538670,2845545,2729010,1813305,2280465,3255585,2741505,3450660,2383740,2204985,1713090,1448145,1702635,2509965,3332340,4072605,2147355,1480275,1659540,0
23,1531275,233835,0,0,96135,1573095,1945905,4015995,4447200,1596045,2301630,0,0,0,2555610,322830,505410,6601950,2569380,779535,231795,0,0,2724675,2577030,3171180,8178615,1822485,0
24,3555465,3736770,3034245,1815600,1862010,1957635,1681725,1771485,1487670,2711670,3215040,6351795,7093080,6421155,6763110,8162040,6360975,5191800,6376530,5955270,5389170,6103425,6521625,5754840,5224440,4696335,3619470,3435105,0
25,5072205,5212710,5745660,5489130,5183895,5319300,5718630,6179670,5856840,6443085,5897895,4090455,3443010,4191180,3848460,3715350,4731015,5442720,5433540,5021205,4702200,4252125,4069290,4009875,2045610,1761795,2833305,1080690,0
26,5070930,6067470,6751380,5524575,5486835,5829555,6231690,6806715,7939935,6982155,6755715,7053300,6679725,6756990,7654845,6333690,6126120,7274385,7899390,6763875,6524175,6139890,6356895,6712875,6021825,5845110,6165135,5900955,0
27,2270520,1262760,1593240,2588505,2366655,1963500,1911735,1451715,1679430,1780410,2440095,2939640,1529745,2231760,2067030,1775565,1301265,884595,943245,1015665,1442280,1328295,2129250,2842485,884085,1555500,2379405,940695,0
28,6470625,7381230,7812180,6890610,7018620,7914180,8657505,9082080,7974360,8023575,8783985,8833965,6538965,6634080,8551170,6692220,6720780,7014285,7438350,9076980,6864090,5976690,6771780,7470735,8303565,6748830,6014940,6839610,0
29,7462830,6248775,5773965,5681655,5890500,5703840,6177375,5329755,5043390,5459805,6518565,8417805,8647560,6161055,5442720,5183130,5694660,5814000,6026670,5011260,5184150,7023210,7736445,7730580,6789630,6685590,7896585,7033410,0
30,3203820,2032095,1544790,2250885,2809845,2527050,3958365,6036615,4651200,3664605,4354380,5362140,3677610,3006450,2456925,1717170,1423920,1434375,1416015,1405815,3020730,4011915,4100910,4004010,4223055,5355000,5684970,5140035,0
31,11283495,11453835,11257230,11240145,11264115,10884420,10997130,10850250,10549350,9453360,9234315,10711530,10515180,10058985,10328265,9791745,9251910,9241965,9450045,9093045,8598090,9188670,10104885,10334895,10558785,10771200,10579695,10185720,0
32,5793345,5861175,5414925,4370445,4732290,5602350,5313945,5385345,5271870,5009730,5201235,4817970,3274455,3525630,4129980,2867220,3455760,3963210,2760120,3367275,4267935,3265275,3724530,3868860,2531640,2773890,3384615,2400315,0
33,6458640,5699250,5479695,5593425,6322215,6640710,5181345,5607960,6024375,4282725,4351065,5137230,4867185,4945980,5432265,4661400,4832250,5921100,3767115,2931225,3576375,4340355,4547160,4957965,3833160,4423485,4836330,4281195,0
34,10885950,9040515,6861540,7002045,7422795,5735715,6148305,7959060,8343345,8038620,8040915,7576305,6891120,7613790,7897350,7455180,8100330,7614810,7057635,7872615,7891230,7726245,8142405,8187795,8198760,8545305,7907040,7829265,0
35,10561845,12445020,10226010,6133770,6762090,10101060,9407715,9312855,9609165,9622935,9953160,9817500,9452595,9136395,9151440,9892725,10835715,9969990,8954580,8482575,8712585,9010680,9299340,9159090,8888790,8547855,8511135,9003285,0
36,4851885,3718920,3293835,3512625,5693640,5814000,3396090,2457690,2585445,2383740,3761760,3825765,3117630,3793380,4619835,6063900,2987580,2495175,3071730,3582240,3550620,3834180,4774620,7183860,4750395,3775530,3876765,4830465,0
37,7962120,7221345,7582680,4674915,4867695,7125210,6316605,7286115,8969880,8783985,9196320,9895275,5088525,5016615,9621660,8270670,8236755,9579075,8890575,8811015,9237375,6909480,6617250,8433105,8483595,9412815,9221820,4401555,0
38,5205825,4779975,5007690,5325930,6180435,6429060,4218210,4343160,5976945,7276680,8196720,6458385,6052935,6581295,7349865,7888425,8233185,6883470,5771925,6028200,6289830,1812030,1870935,7597470,7610730,6522900,6130710,6841140,0
39,5626065,8006745,7326660,5847915,5216535,6534885,7370265,6247500,6096795,6501480,7529385,6824565,6424215,6330120,6332925,6744495,6724350,6790395,7485270,6920700,7686465,7874910,7090785,6795240,6146010,6055740,6673095,6940335,0
40,1144950,578595,437580,644385,1214310,2868240,1743435,888165,1139085,1627155,1971660,4059090,1541220,943755,1029435,953700,1367820,1445085,797895,677280,733125,508215,890715,946305,601800,256530,281265,1132710,0
41,1789080,328950,195330,141780,1729155,2155260,1737825,1220430,665805,698955,1601655,2428875,1687590,1037595,921060,2317695,1990275,2177190,1993080,1402245,1749045,1371135,1852575,2231760,1500420,1798515,1970130,1712835,0
42,5023500,4270485,3459840,3267315,3140070,3488655,3474375,3454995,4244220,3334125,3308625,3782670,3091110,4389570,6183240,6609345,5101785,3997380,2647920,2575755,3718155,2903940,3973665,6003975,4925580,6227610,5090310,3561585,0
43,4632840,5880300,5903760,6771780,6520095,5780850,5719395,6767445,6498675,5002590,5655645,7093335,6106485,4920735,4137630,3933120,4508400,4732545,3721215,2924340,3305565,4514010,5663040,5736990,5861175,6684315,6361995,6457875,0
44,7520715,7556160,7447020,7093080,7643880,6386475,6500970,8438715,5970570,5787480,8484615,8191875,7896075,9138435,6030240,4228665,6097815,5334600,4192965,6456855,8967075,9050460,8835750,9083100,5272380,5384580,9003030,9009660,0
45,3674805,2799900,2273325,1804380,1331100,1343595,1454010,1393065,1476195,600525,838185,2467380,1082985,1073805,535755,0,0,3493500,2758335,904485,666060,739755,948855,2648175,708135,403155,523005,463080,0
