,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
0,41,41,58,75,79,88,84,73,72,64,65,39,79,67,65,71,72,58,61,83,84,73,23,46,63,64,58,71,0
1,30,71,63,58,65,66,74,59,68,63,51,31,75,64,58,42,63,82,59,39,64,69,51,26,72,72,72,61,0
2,4,7,12,7,3,8,7,9,8,1,2,2,1,2,3,7,6,5,3,7,4,3,1,3,3,11,3,1,0
3,32,27,16,11,22,15,13,26,29,17,18,12,12,12,41,8,3,1,0,0,0,0,0,11,6,1,1,1,0
4,42,74,51,38,50,58,53,39,30,54,7,46,49,53,37,29,55,26,2,12,29,23,4,42,38,27,67,39,0
5,46,47,55,49,43,38,59,44,32,37,46,39,35,32,56,53,51,41,34,38,44,38,44,20,58,49,38,33,0
6,45,38,60,48,34,46,31,43,18,33,13,32,34,33,28,30,20,39,30,29,19,18,31,21,34,41,48,39,0
7,38,39,30,18,38,33,25,32,23,17,45,42,30,29,34,24,22,48,35,24,31,21,42,43,20,19,22,21,0
8,50,40,35,21,12,18,34,25,23,13,11,31,19,18,7,38,31,28,33,22,24,23,31,21,36,37,16,11,0
9,15,39,37,35,15,15,29,26,29,31,10,17,14,34,35,32,36,19,18,29,31,19,28,23,21,21,41,34,0
10,64,55,66,55,49,56,42,40,39,15,32,54,11,8,18,10,35,65,30,28,36,15,36,45,15,24,36,12,0
11,41,45,44,53,21,24,32,14,38,32,31,40,22,5,8,27,13,18,21,16,35,43,39,35,13,14,9,37,0
12,35,16,16,23,27,20,24,37,27,31,49,34,25,24,24,34,22,23,36,61,41,31,45,45,26,33,23,21,0
13,51,54,39,24,17,19,45,52,27,48,36,42,6,20,50,20,26,27,19,13,12,22,41,41,40,33,14,30,0
14,65,9,38,56,45,31,19,27,80,83,62,21,27,5,13,75,11,1,3,9,0,1,16,6,1,4,17,10,0
15,27,30,14,21,23,27,17,18,15,21,17,17,20,29,29,22,28,32,29,30,35,30,26,28,24,23,24,23,0
16,10,26,18,21,27,17,12,10,37,29,27,46,30,27,26,28,33,33,25,23,34,33,33,36,38,31,31,26,0
17,34,33,26,22,40,39,22,18,27,34,32,29,19,21,17,9,14,30,20,13,6,7,23,22,8,3,9,10,0
18,44,48,23,28,21,15,24,21,7,6,10,13,11,14,14,10,25,29,31,29,37,33,16,12,29,19,19,20,0
19,30,32,36,47,43,22,23,29,30,33,41,40,26,31,24,43,40,30,31,26,32,41,42,38,18,30,25,28,0
20,18,15,53,7,4,7,4,0,4,1,3,15,7,5,45,19,28,14,7,6,46,55,24,10,3,9,11,8,0
21,71,53,33,12,5,10,12,10,32,9,14,18,19,32,42,19,9,20,26,7,9,31,62,70,21,11,12,18,0
22,23,43,63,54,60,54,49,50,61,51,49,25,54,61,51,49,44,71,56,43,52,61,27,52,35,48,55,64,0
23,62,54,66,49,46,47,28,28,53,58,27,50,12,17,50,23,25,59,42,27,23,23,61,20,54,41,40,31,0
