,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,41517.383,46243.195,50213.51,48564.62,47253.137,41203.62,41810.07,41990.61,46382.402,44329.05,45508.758,42485.11,46421.984,47335.86,40992.15,41754.844,42827.38,39487.54,44556.355,45286.61,43465.453,43711.67,42153.008,35667.18,40430.383,39293.223,38207.176,0
1,45571.363,44183.336,44261.29,43227.465,42442.445,41081.484,39885.55,45008.055,45332.703,40804.586,44400.36,44585.914,44724.816,41071.68,38542.66,41722.996,42381.59,42279.58,45154.99,45681.477,44385.438,35756.36,42928.957,41720.918,43039.38,43178.41,41953.867,0
2,52829.117,57250.074,52960.84,53769.95,51697.95,52752.5,49191.38,47728.793,45490.37,48717.926,45645.254,47220.24,53973.242,60537.31,53024.184,52886.016,49797.617,47315.19,53085.984,45066.62,45043.336,46123.2,46589.04,47338.055,46064.566,46574.496,47054.395,0
3,35359.363,35041.8,34450.543,31039.785,32581.207,33702.82,37097.355,40790.992,36675.98,33821.934,33952.195,28027.898,30914.973,33714.848,37833.695,44387.562,53462.883,51903.883,62200.08,87386.54,87386.54,30807.486,38568.535,39897.043,65009.93,75728.65,88340.945,0
4,30237.719,31306.467,29290.838,28825.803,32296.393,33004.34,32396.982,37117.758,37167.16,36492.49,32109.545,28260.225,30655.787,26975.664,30395.025,27929.287,24545.732,27823.846,34176.867,32114.684,39932.66,35943.242,35096.867,36974.55,39431.715,30457.986,26386.412,0
5,44036.707,44612.188,41230.36,39563.15,43389.594,42827.375,38700.87,40337.277,37939.375,33957.45,40599.71,38204.195,43952.52,43259.383,43006.902,43362.508,41665.23,40033.633,39382.25,43032.51,41788.46,39975.117,41267.785,36527.918,39996.69,41568.01,37940.92,0
6,44252.08,41517.133,45924.28,45439.918,41983.016,42841.75,42973.957,38277.91,39306.324,46105.434,40510.348,37480.61,38177.33,41575.117,39916.734,37581.02,41914.547,46795.7,39730.316,50530.5,44842.637,47161.973,41554.54,40397.766,39059.496,44892.953,38636.715,0
7,45155.543,39849.71,41496.86,40107.15,43367.246,39576.035,37049.406,37657.594,35505.156,39680.484,49218.473,39117.63,38039.316,45880.273,46229.023,41955.81,43524.977,49075.773,40751.414,39524.39,40766.395,36972.582,42509.86,36898.91,40683.375,39350.297,39066.79,0
8,40459.027,40707.02,39714.023,36906.53,36290.43,35581.645,35022.703,35611.703,36180.28,34562.387,37972.29,33663.53,33207.93,40287.21,39906.863,35524.094,35919.887,33440.53,32318.775,32986.812,34385.53,38825.84,38625.61,37683.19,39564.965,37762.996,35383.32,0
9,39397.934,40193.777,43977.094,41519.4,37771.96,35907.5,38405.227,38234.83,39848.773,41587.625,43925.414,40235.816,36549.984,43556.355,38910.742,37194.152,34912.63,37874.98,39431.277,43962.54,40001.496,39670.246,44028.297,37816.25,41310.754,40473.07,43329.3,0
10,45953.84,41899.37,44061.117,41468.066,43102.24,43266.297,41458.07,42018.86,38965.25,37659.965,43391.94,42332.56,43823.05,50650.535,40995.023,42147.824,45487.45,44365.91,44514.453,36210.066,38412.816,38017.58,47288.93,43435.598,48919.83,42743.527,46595.28,0
11,43701.9,40513.758,41921.28,40830.22,43145.086,47240.61,42282.65,44170.777,44622.723,46575.72,48107.746,41949.316,43432.516,46929.473,53338.555,42258.484,40421.145,46602.824,47427.29,43442.523,41223.543,43416.805,48663.344,41854.094,43365.8,42483.47,39222.81,0
12,42471.33,43587.15,43320.035,49367.062,47015.973,46455.688,47681.758,45964.133,47995.086,43115.934,45842.727,48013.473,51709.434,45883.496,44776.89,42001.37,40520.29,42133.414,47636.387,45388.867,45279.113,38295.75,44500.66,44845.527,47552.63,46564.086,44493.613,0
13,36382.73,34670.31,32761.566,37106.926,37477.516,32815.695,36785.46,40482.48,38352.973,35344.4,39761.65,42369.67,39477.117,44472.312,42363.15,38178.66,36797.32,37005.59,39738.867,40282.496,38376.88,39278.113,40950.523,34846.234,38410.758,38216.94,39522.13,0
